SP	nb	taxo
Streptococcus_gordonii	10	Firmicutes
Gluconobacter_oxydans	5	Alphaproteobacteria
Streptococcus_pneumoniae	75	Firmicutes
Bordetella_parapertussis	21	Betaproteobacteria
Brucella_canis	8	Alphaproteobacteria
Coxiella_burnetii	13	Gammaproteobacteria
Campylobacter_pinnipediorum	5	delta/epsilon_subdivisions
Mesoplasma_florum	9	Tenericutes
Dickeya_solani	6	Gammaproteobacteria
Bacillus_megaterium	11	Firmicutes
Staphylococcus_lugdunensis	10	Firmicutes
Leuconostoc_citreum	5	Firmicutes
Mycoplasma_hominis	7	Tenericutes
Xanthomonas_oryzae	90	Gammaproteobacteria
Vibrio_parahaemolyticus	33	Gammaproteobacteria
Pediococcus_damnosus	5	Firmicutes
Fusobacterium_periodonticum	10	Fusobacteriia
Francisella_noatunensis	23	Gammaproteobacteria
Leuconostoc_mesenteroides	16	Firmicutes
Moraxella_catarrhalis	12	Gammaproteobacteria
Rhizobium_etli	6	Alphaproteobacteria
Pseudomonas_protegens	7	Gammaproteobacteria
Clostridium_butyricum	7	Firmicutes
Borrelia_miyamotoi	9	Spirochaetia
Pseudomonas_synxantha	7	Gammaproteobacteria
Streptococcus_porcinus	5	Firmicutes
Propionibacterium_freudenreichii	16	Actinobacteria
Staphylococcus_xylosus	5	Firmicutes
Pseudomonas_chlororaphis	43	Gammaproteobacteria
Campylobacter_coli	24	delta/epsilon_subdivisions
Staphylococcus_argenteus	5	Firmicutes
Escherichia_albertii	14	Gammaproteobacteria
Proteus_mirabilis	25	Gammaproteobacteria
Edwardsiella_tarda	5	Gammaproteobacteria
Pseudomonas_fluorescens	20	Gammaproteobacteria
Pseudomonas_mendocina	6	Gammaproteobacteria
Clostridium_pasteurianum	5	Firmicutes
Bacillus_subtilis	115	Firmicutes
Bifidobacterium_breve	42	Actinobacteria
Lactobacillus_brevis	20	Firmicutes
Shewanella_putrefaciens	5	Gammaproteobacteria
Erysipelothrix_rhusiopathiae	8	Firmicutes
Staphylococcus_warneri	5	Firmicutes
Helicobacter_pylori	170	delta/epsilon_subdivisions
Orientia_tsutsugamushi	9	Alphaproteobacteria
Oblitimonas_alkaliphila	6	Gammaproteobacteria
Vibrio_cholerae	50	Gammaproteobacteria
Pseudomonas_stutzeri	18	Gammaproteobacteria
Wolbachia_pipientis	6	Alphaproteobacteria
Streptococcus_pyogenes	199	Firmicutes
Klebsiella_aerogenes	27	Gammaproteobacteria
Xanthomonas_campestris	17	Gammaproteobacteria
Corynebacterium_diphtheriae	21	Actinobacteria
Vibrio_alginolyticus	16	Gammaproteobacteria
Rickettsia_prowazekii	10	Alphaproteobacteria
Klebsiella_pneumoniae	376	Gammaproteobacteria
Bordetella_hinzii	12	Betaproteobacteria
Mycobacteroides_abscessus	33	Actinobacteria
Trueperella_pyogenes	10	Actinobacteria
Campylobacter_lari	9	delta/epsilon_subdivisions
Lactobacillus_salivarius	8	Firmicutes
Mycobacterium_marinum	5	Actinobacteria
Akkermansia_muciniphila	23	Verrucomicrobia
Lactobacillus_curvatus	11	Firmicutes
Aggregatibacter_actinomycetemcomitans	10	Gammaproteobacteria
Moorella_thermoacetica	6	Firmicutes
Lactobacillus_backii	5	Firmicutes
Mycoplasma_synoviae	5	Tenericutes
Pectobacterium_carotovorum	8	Gammaproteobacteria
Staphylococcus_epidermidis	19	Firmicutes
Bdellovibrio_bacteriovorus	5	Oligoflexia
Mycobacterium_chimaera	8	Actinobacteria
Brevibacillus_laterosporus	5	Firmicutes
Glaesserella_parasuis	9	Gammaproteobacteria
Staphylococcus_saprophyticus	9	Firmicutes
Mannheimia_haemolytica	85	Gammaproteobacteria
Streptococcus_oralis	6	Firmicutes
Pediococcus_acidilactici	11	Firmicutes
Enterobacter_hormaechei	42	Gammaproteobacteria
Lactobacillus_helveticus	16	Firmicutes
Streptococcus_mitis	5	Firmicutes
Bifidobacterium_animalis	24	Actinobacteria
Flavobacterium_columnare	6	Bacteroidetes/Chlorobi_group
Bacillus_velezensis	89	Firmicutes
Clostridium_botulinum	46	Firmicutes
Citrobacter_koseri	7	Gammaproteobacteria
Streptococcus_mutans	11	Firmicutes
Pantoea_vagans	6	Gammaproteobacteria
Clostridioides_difficile	53	Firmicutes
Legionella_pneumophila	97	Gammaproteobacteria
Burkholderia_cenocepacia	18	Betaproteobacteria
Capnocytophaga_canimorsus	6	Bacteroidetes/Chlorobi_group
Methanococcus_maripaludis	9	Methanomada_group
Clostridium_beijerinckii	6	Firmicutes
Listeria_ivanovii	8	Firmicutes
Mycoplasma_hyopneumoniae	9	Tenericutes
Sinorhizobium_fredii	5	Alphaproteobacteria
Bacillus_coagulans	10	Firmicutes
Vibrio_anguillarum	15	Gammaproteobacteria
Corynebacterium_pseudotuberculosis	100	Actinobacteria
Enterococcus_faecium	124	Firmicutes
Enterococcus_mundtii	5	Firmicutes
Staphylococcus_simulans	7	Firmicutes
Enterobacter_ludwigii	9	Gammaproteobacteria
Lactococcus_lactis	39	Firmicutes
Klebsiella_oxytoca	18	Gammaproteobacteria
Lactobacillus_sakei	17	Firmicutes
Enterobacter_cloacae	32	Gammaproteobacteria
Streptococcus_sanguinis	5	Firmicutes
Methanosarcina_mazei	7	Stenosarchaea_group
Enterobacter_asburiae	7	Gammaproteobacteria
Pasteurella_multocida	60	Gammaproteobacteria
Burkholderia_gladioli	6	Betaproteobacteria
Pseudomonas_monteilii	5	Gammaproteobacteria
Xanthomonas_citri	67	Gammaproteobacteria
Bacillus_amyloliquefaciens	33	Firmicutes
Salmonella_enterica	751	Gammaproteobacteria
Bordetella_pertussis	546	Betaproteobacteria
Xylella_fastidiosa	16	Gammaproteobacteria
Lactobacillus_rhamnosus	20	Firmicutes
Brevibacterium_aurantiacum	6	Actinobacteria
Buchnera_aphidicola	25	Gammaproteobacteria
Brucella_suis	18	Alphaproteobacteria
Burkholderia_mallei	28	Betaproteobacteria
Mycoplasma_capricolum	10	Tenericutes
Neisseria_meningitidis	106	Betaproteobacteria
Clavibacter_michiganensis	7	Actinobacteria
Serratia_plymuthica	9	Gammaproteobacteria
Rhizobium_phaseoli	14	Alphaproteobacteria
Riemerella_anatipestifer	13	Bacteroidetes/Chlorobi_group
Phaeobacter_gallaeciensis	8	Alphaproteobacteria
Leclercia_adecarboxylata	5	Gammaproteobacteria
Yersinia_enterocolitica	20	Gammaproteobacteria
Weissella_cibaria	9	Firmicutes
Acinetobacter_nosocomialis	9	Gammaproteobacteria
Serratia_marcescens	46	Gammaproteobacteria
Ureaplasma_parvum	10	Tenericutes
Elizabethkingia_anophelis	19	Bacteroidetes/Chlorobi_group
Pantoea_ananatis	8	Gammaproteobacteria
Pseudomonas_putida	32	Gammaproteobacteria
Campylobacter_sputorum	5	delta/epsilon_subdivisions
Pandoraea_apista	5	Betaproteobacteria
Bifidobacterium_adolescentis	6	Actinobacteria
Acinetobacter_johnsonii	5	Gammaproteobacteria
Acetobacter_pasteurianus	13	Alphaproteobacteria
Fusobacterium_nucleatum	16	Fusobacteriia
Sulfolobus_acidocaldarius	9	Crenarchaeota
Enterococcus_faecalis	37	Firmicutes
Rickettsia_japonica	12	Alphaproteobacteria
Providencia_stuartii	7	Gammaproteobacteria
Brucella_abortus	19	Alphaproteobacteria
Ketogulonicigenium_vulgare	5	Alphaproteobacteria
Paenibacillus_larvae	9	Firmicutes
Pandoraea_pnomenusa	7	Betaproteobacteria
Porphyromonas_gingivalis	21	Bacteroidetes/Chlorobi_group
Chryseobacterium_indologenes	7	Bacteroidetes/Chlorobi_group
Methanosarcina_barkeri	6	Stenosarchaea_group
Bordetella_holmesii	16	Betaproteobacteria
Acinetobacter_haemolyticus	5	Gammaproteobacteria
Clostridium_perfringens	13	Firmicutes
Acinetobacter_baumannii	162	Gammaproteobacteria
Lactobacillus_pentosus	5	Firmicutes
Ethanoligenens_harbinense	5	Firmicutes
Klebsiella_variicola	20	Gammaproteobacteria
Rhodopseudomonas_palustris	10	Alphaproteobacteria
Sorangium_cellulosum	5	delta/epsilon_subdivisions
Bacillus_cytotoxicus	11	Firmicutes
Bifidobacterium_longum	26	Actinobacteria
Lactobacillus_acidophilus	8	Firmicutes
Ralstonia_solanacearum	45	Betaproteobacteria
Aeromonas_veronii	10	Gammaproteobacteria
Burkholderia_pseudomallei	97	Betaproteobacteria
Brochothrix_thermosphacta	5	Firmicutes
Bacillus_cereus	56	Firmicutes
Streptococcus_thermophilus	27	Firmicutes
Methylorubrum_extorquens	6	Alphaproteobacteria
Chlamydia_muridarum	20	Chlamydiae
