fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.004073612563786527	0.0	0.011696543710509776	0.000829004329004329	0.0	0.002621667681625895	0.06763030303030303	0.0648	0.06678296267291065	1206656	0.012910257591108653
fam1785	0.058486195243445005	0.05032822757111597	0.0280228584492734	0.01378744588744589	0.0069	0.02210242132757052	0.19201082251082252	0.1636	0.18653947115411706	834427	0.03948490087103949
fam966	0.048935917318342535	0.033149171270718224	0.04485793753255968	0.018251515151515147	0.0048	0.039857169070014804	0.21620562770562773	0.168	0.23263981917583335	48392	0.05152068218270309
fam3872	0.019181848159662	0.01964085297418631	0.008099827409608133	0.0073831578947368415	0.0035	0.009249081349905756	0.3394631578947368	0.2477	0.3341733116537086	1513461	0.040206822040438336
fam158	0.025764814123676042	0.02454308093994778	0.0139177337180511	0.007454545454545454	0.0037	0.010948045888471257	0.21583939393939394	0.1619	0.21512647555042957	966063	0.02969187675070028
fam3479	0.008717058659792202	0.0	0.01257797791979675	0.004096969696969696	0.0	0.009031025857935563	0.2814852813852814	0.1628	0.4717391570958202	1993327	0.028777571634714495
fam3276	0.013009502028166196	0.01235657546337158	0.009546828482177241	0.0021779220779220773	0.0014	0.003193077877470339	0.1698051948051948	0.1142	0.19709800684435733	2248053	0.03214331378888341
fam1720	0.041277070620139376	0.026395173453996983	0.031893186114145	0.012196190476190479	0.0035	0.020296905341453148	0.22256047619047617	0.1517	0.2503774295885959	758552	0.033670753730633975
fam2659	0.017728996237765415	0.011818181818181818	0.020987262085103413	0.007661904761904761	0.0006	0.01861213177434909	0.1850822510822511	0.1078	0.2560674204140973	1813531	0.02760911527145293
fam3994	0.011436792944375787	0.0	0.01404323904770562	0.002458008658008658	0.0	0.005459485840713086	0.1435177489177489	0.0731	0.21536746808269938	1360293	0.016084832598594064
fam1031	0.008373447965135948	0.0	0.0240487147611617	0.0012709956709956714	0.0	0.004019258654799463	0.04535367965367965	0.0379	0.04617150103803396	24791	0.01244979167057089
fam3345	0.021106593711608723	0.01631991847890927	0.01643038975241837	0.005296103896103898	0.002	0.009269936160627323	0.18596969696969698	0.1312	0.1830544655290458	2167677	0.031886469842674216
fam4095	0.02847619667768902	0.03133333333333334	0.02385263874667999	0.011544155844155845	0.0047	0.02706743139770043	0.3382376623376624	0.1271	0.6638239891579305	1236971	0.03799231071958345
fam680	0.052413032999681634	0.050034746351633075	0.027350827192364646	0.012462770562770566	0.0054	0.019015650859367583	0.1885138528138528	0.1439	0.17376575708763242	376517	0.03306384128301936
fam875	0.016444049398175557	0.01668999872221763	0.007401169788981801	0.005238528138528137	0.0039	0.0053982709672037955	0.28803896103896093	0.2798	0.1827638578770614	161393	0.0413974536423516
fam1483	0.015809673098998837	0.01628902404043693	0.0051884194004764	0.005045021645021645	0.0047	0.004010922195830199	0.30978268398268394	0.279	0.2110337833353076	510468	0.038540448493055136
fam425	0.2458255696343121	0.23741007194244604	0.09744481006087964	0.02607952380952381	0.0299	0.017423501090464942	0.10877904761904761	0.1129	0.05987841123832782	648976	0.054295051353874885
