fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.40467341399216084	0.42391304347826086	0.07757393761602005	0.015359999999999995	0.0075	0.015661664449646895	0.03087555555555556	0.0	0.040843757339160736	1731293	0.019135802469135807
fam966	0.10815453998791856	0.05307262569832403	0.17470885361294294	0.0031666666666666666	0.00475	0.002724069667896832	0.05638055555555556	0.05995	0.05486661006196171	1086282	0.017629629629629627
fam393	0.1334130490858465	0.10463300364393545	0.08234330165753892	0.010155555555555557	0.0115	0.008406916611551482	0.09028666666666668	0.0816	0.07874245953317265	431516	0.030896686159844054
fam158	0.12914711413643876	0.16747572815533981	0.08712632949966115	0.0026777777777777776	0.0	0.0035066216023016223	0.016153333333333332	0.0089	0.018416002702963407	168062	0.0066411238825031926
fam1720	0.1409024519698446	0.14877659070290178	0.04676214202874026	0.009053333333333333	0.0016	0.01119443512544415	0.056284444444444456	0.0241	0.0674061453036098	1787883	0.025336423141033463
fam1499	0.2162135510411514	0.2255055648801473	0.1878847036328357	0.020622222222222222	0.0298	0.018165961929925596	0.10291111111111112	0.1126	0.06600063374181332	1631668	0.03953592146363231
fam1031	0.23654959382083612	0.175	0.1551729125928351	0.006619444444444444	0.0078	0.0054626926329850506	0.05408055555555555	0.0515	0.06003854234038351	1147986	0.020275215927389838
fam3345	0.07896759414927836	0.03293413173652695	0.11560279581585163	0.0019666666666666665	0.0022	0.0020132891827388667	0.025091666666666665	0.0097	0.026045466389459114	42515	0.008878741755454084
fam680	0.24550374929486474	0.23500000000000001	0.13970572608864504	0.0105	0.0079	0.011681685570917312	0.07642666666666667	0.0215	0.11373883222345638	773908	0.026911976911976915
fam1483	0.15533865587155843	0.2524531668153434	0.157489324049467	0.00980222222222222	0.0	0.012931262529903408	0.03962222222222223	0.0113	0.04551707317718577	1618183	0.017478562306148512
fam1781	0.09015237014338705	0.1190965092402464	0.06633647961978928	0.0020622222222222222	0.0	0.002776351633900455	0.018340000000000002	0.0118	0.02069020594924619	1733368	0.00723514211886305
fam425	0.20351248780699285	0.06169965075669383	0.2078263313717488	0.005039999999999999	0.0021	0.0052867297179930725	0.07592666666666667	0.0044	0.09543129791751877	469743	0.02436564223798266
fam1195	0.17665350616223136	0.2261904761904762	0.13153466095578606	0.013104444444444446	0.0019	0.016531894501310766	0.04931333333333333	0.0084	0.058922384352449425	1320745	0.022624174562159056
