fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.05026648532092618	0.023876404494382022	0.083091236791942	0.002290909090909091	0.0023	0.0011631106767118044	0.10644363636363638	0.1041	0.06367233383399551	1249101	0.015684219718801854
fam4124	0.007934510844220826	0.0043446777697320775	0.008104518207949246	0.0005672727272727272	0.0006	0.00040319386063802893	0.10931090909090911	0.15	0.06587741970088296	949736	0.011572918196504625
fam1785	0.22478582944693462	0.2053422370617696	0.1353079168395883	0.008463636363636364	0.0082	0.004265266213001082	0.04644545454545454	0.0456	0.024901148700643718	1550743	0.014749908725812342
fam393	0.016806527258991205	0.020219039595619208	0.011395082407258372	0.0016145454545454547	0.0024	0.0013130697110647638	0.08195636363636363	0.0951	0.035211474181715066	427028	0.01019283746556474
fam5072	0.015352734144862754	0.020089285714285716	0.014301371146241955	0.0015018181818181814	0.0027	0.0014233751066443714	0.0902690909090909	0.1044	0.03964627632510121	461756	0.012056965413855873
fam3872	0.10555288754517697	0.08964477211796247	0.05802412401359167	0.03067272727272728	0.0504	0.023634077511819892	0.3411436363636363	0.5627	0.2790381490787995	667926	0.07114369501466276
fam158	0.10652790751573579	0.08193484698914116	0.04812451926389136	0.006223636363636361	0.0068	0.003009256243741278	0.06955272727272728	0.079	0.04058227492411593	168813	0.01605129796256076
fam4609	0.03914049621620982	0.03784219001610306	0.016210509428562545	0.004036363636363636	0.0031	0.0023544436622433096	0.09637818181818184	0.0982	0.059126750417015414	953906	0.01754261363636364
fam1037	0.0794696719202435	0.05363577923967004	0.06842747214433824	0.0036945454545454547	0.0025	0.0023894022213111405	0.05849090909090909	0.0599	0.032867824956260366	1087169	0.013216502373128882
fam3479	0.08568320941390532	0.06384742951907131	0.08623890998881893	0.005852727272727273	0.0054	0.0027971969440498206	0.09304545454545453	0.1125	0.04492521388903125	259782	0.018580388019459586
fam3276	0.022996813518877886	0.010410958904109589	0.02365855204821436	0.002367272727272727	0.0019	0.0016356321597423642	0.14029090909090908	0.1825	0.08663425791583892	44828	0.019689578713968963
fam1720	0.08170420095042082	0.051235684147076556	0.07687912428966753	0.0056745454545454556	0.0057	0.0032105631441352056	0.10896000000000002	0.1439	0.06767349850569276	1620764	0.019533464137780683
fam5537	0.01836907067783675	0.015256588072122055	0.009311141347321427	0.00116	0.0011	0.0008236504112789601	0.06697090909090908	0.0765	0.0417600534339926	61620	0.01116340516885476
fam1499	0.011677869175886021	0.014714204867006225	0.007453359271295576	0.0017418181818181818	0.0026	0.00137400422244831	0.13073272727272728	0.1606	0.06897927239276094	1573514	0.016040404040404042
fam2659	0.0	0.0	0.0	0.0	0.0	0.0	0.010472727272727272	0.0192	0.00956024827645381	605123	0.03425559947299078
fam5170	0.01908880514186014	0.0158474348643567	0.010880144160279655	0.0035818181818181817	0.0037	0.001963122828472386	0.2304709090909091	0.3271	0.14530939614582553	349127	0.027618389215347393
fam1031	0.08444980021678068	0.02466248803180603	0.1574256561648736	0.0023890909090909084	0.0026	0.0015979159981645097	0.08471090909090907	0.1234	0.05544788108986106	1081850	0.016090618646529185
fam5256	0.03925160661639599	0.045454545454545456	0.022867250710460304	0.0031163636363636363	0.0043	0.0022787367821479622	0.07204	0.0777	0.03379250912150906	253014	0.011883541295305998
fam4952	0.1473059171793442	0.13167259786476868	0.08752506188121102	0.0037927272727272723	0.0037	0.001939339582571584	0.028134545454545454	0.032	0.011719001170311065	588291	0.009378703233451836
fam3345	0.15830020500882966	0.20020376974019358	0.08331467409214181	0.021207272727272724	0.0323	0.016599593144471448	0.11199454545454544	0.1431	0.07084239464712386	113660	0.04261766602192134
fam4095	3.0003491112605367	2.671957671957672	1.9738089251503215	0.028194545454545455	0.0503	0.024355491582966127	0.009999999999999995	0.0095	0.007090454530884845	917492	0.0868035190615836
fam680	0.020896640529096476	0.015468607825295723	0.015293404951496637	0.001354545454545454	0.0017	0.0007006018664024608	0.08103636363636361	0.1041	0.04082588912859701	734037	0.011629811629811627
fam6141	0.035866402520458425	0.03301081388730791	0.017480977264045038	0.006123636363636364	0.0068	0.003857128636993333	0.20511090909090907	0.286	0.13335045239412954	201429	0.02184811073699963
fam875	0.004999293428592468	0.0	0.009725841146782757	0.0004181818181818182	0.0	0.0008870975982158505	0.08761090909090906	0.103	0.04930251209800118	938091	0.011978609625668447
fam4775	0.023357309908290075	0.014084507042253521	0.020407536911947587	0.001790909090909091	0.0023	0.0008795190270871144	0.11221636363636364	0.154	0.06863582622306161	798493	0.014538167243578063
fam4190	0.012617986095634371	0.0027845457709711106	0.015716013094579696	0.001890909090909091	0.0	0.0022984004498997064	0.16645636363636362	0.2163	0.0932049350305529	1029771	0.02426706085242671
fam1483	0.0	0.0	0.0	0.0	0.0	0.0	0.009458181818181815	0.0	0.013560392739138104	1558982	0.0016783216783216779
