fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1571	0.03954148106944299	0.019935178294793177	0.07216600797080194	0.01093333333333333	0.01285	0.006661331198291625	0.5705666666666667	0.6467	0.32835730115565	159594	0.06235161443494778
fam158	0.0424217089976292	0.0241397021058038	0.042486384237838466	0.010266666666666667	0.0094	0.008567088186776182	0.2619861111111111	0.25385	0.15028560800610757	142344	0.04469987228607918
fam1499	0.05183167130786364	0.05491650186772137	0.011622944935989908	0.010980555555555554	0.0098	0.005145430521046181	0.2128111111111111	0.2222	0.08069262935422766	230007	0.04070281885981545
fam425	0.10878063074724226	0.08131682801719467	0.14821690575067792	0.02001666666666667	0.0184	0.011340867593697485	0.24211944444444441	0.2156	0.1563092337846937	412801	0.050106522451655186
fam1195	0.025454629644873848	0.024909602249899555	0.02146902529860974	0.003430555555555555	0.0061	0.0030685519064322726	0.1657861111111111	0.18095	0.11076629339082901	550315	0.023726851851851853
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.1988555555555555	0.2024	0.08373304287517444	84554	0.02639965546942291
fam657	0.054242256938619296	0.044391731616401225	0.03939698328054519	0.01686111111111111	0.0129	0.01366746497216774	0.39555833333333335	0.27949999999999997	0.3802524164398345	658886	0.052568697729988054
fam1496	0.04245776328327439	0.030582390288957036	0.03432973045716618	0.008158333333333333	0.0099	0.0036952202610639837	0.25051388888888887	0.33145	0.12984078744707514	234193	0.03938724657379092
fam265	0.016919973859153482	0.00940248710949348	0.0404578201712431	0.0026972222222222224	0.003	0.0017281149188753352	0.25769722222222224	0.26795	0.08912446193108922	244449	0.042606011808910355
fam443	0.020742495609657765	0.013849635180926318	0.02953897494705437	0.007	0.0065	0.003501666270030122	0.461025	0.52555	0.18093909100240826	436136	0.053712974551522734
fam519	0.03546949963238146	0.030171791540349355	0.019616342697587816	0.014813888888888889	0.01805	0.007971865555320083	0.4781305555555556	0.51445	0.28803832482216324	520018	0.063370710159701
fam1093	0.16244564959657787	0.14485399340171123	0.1323853517928902	0.008594444444444444	0.0069	0.0044269970035155665	0.0802638888888889	0.0727	0.046064406316818934	649588	0.02228244504667269
fam594	0.10436752818704728	0.08505041648399825	0.08259960752062154	0.013969444444444442	0.0143	0.009192503571583764	0.1565527777777778	0.17445	0.07741527083819198	608729	0.035960378983634814
fam346	0.0	0.0	0.0	0.0	0.0	0.0	0.15612499999999996	0.13145	0.0927923649128047	331591	0.023052097740894423
fam62	0.03508609702001326	0.03241530587375091	0.018045619017658884	0.013125000000000001	0.0132	0.010622548736845911	0.3763083333333333	0.38865000000000005	0.2516127098615825	56019	0.056951793062904175
fam1679	0.04374170775910527	0.039662938756129404	0.0260960059701032	0.027338888888888892	0.0271	0.021368490272904397	0.5829416666666667	0.6737	0.32531542759382864	33359	0.08565816899150232
fam494	0.12258238850679645	0.10331136386475159	0.06046464460457494	0.025713888888888887	0.0304	0.0113236270391155	0.26503888888888893	0.29585	0.14667429956990075	496339	0.06635336242586998
fam870	0.09910182494796126	0.1012994638359678	0.023544381434461695	0.017750000000000002	0.0172	0.0061202532627334955	0.18239444444444444	0.1984	0.06293324039737332	915146	0.04343756324630642
fam150	0.19033056787875552	0.14979299962363568	0.12343832874318486	0.04357777777777777	0.052599999999999994	0.017419834019988555	0.29866666666666664	0.2732	0.16840156702886638	131218	0.07574588477366255
fam885	0.06063503683943306	0.049877063575693714	0.06249923185549879	0.03301944444444445	0.01415	0.030764254324390873	0.6064722222222222	0.28105	0.6085021836951191	897403	0.07323655313605063
fam119	0.10018954279601221	0.08510379143579372	0.04982173175590013	0.022541666666666668	0.0213	0.009275426764665154	0.28551388888888884	0.19485000000000002	0.1776783785270106	102687	0.06735731633272618
fam1364	0.10124847543986923	0.07332796132151491	0.11038358559571322	0.014830555555555553	0.015349999999999999	0.004762283500150161	0.1985111111111111	0.21295	0.08199704865209675	374344	0.03786799620132955
fam1587	0.06314570068080881	0.050964688751365124	0.04078898070584197	0.010138888888888888	0.0119	0.0046706101063385816	0.20474166666666668	0.26055	0.11076017228177684	148735	0.04533290515949475
fam174	0.026055162781821493	0.02605635457792818	0.009244535466506472	0.015819444444444445	0.0084	0.01696664733863412	0.5314916666666668	0.50285	0.4348556608391903	156106	0.06941783737760748
fam1143	0.13808590282330507	0.12244897959183675	0.05010693507647389	0.024866666666666665	0.0284	0.012565030839596059	0.18894722222222227	0.16820000000000002	0.10342320684694598	602540	0.049506172839506174
fam839	0.40785132507654553	0.4044350580781415	0.09555592720148146	0.05213333333333334	0.0536	0.01781648737047295	0.133	0.1469	0.053342186765156986	943656	0.06496999793089178
fam1447	0.04209817495595695	0.04318235277932585	0.044070641481584856	0.009600000000000001	0.00745	0.007503480673808803	0.22928055555555554	0.18515	0.12410510514041548	279082	0.04918313232400992
fam1584	0.05712082709263086	0.05148205928237129	0.03860024426575656	0.009797222222222221	0.0108	0.004354020243860909	0.19480555555555557	0.19195	0.07843163670230571	150980	0.039471172203130976
fam568	0.08694866711423138	0.07832061541659338	0.03138226503479284	0.021450000000000004	0.025349999999999998	0.01000504039638688	0.27062222222222226	0.30635	0.12998695471108523	583993	0.055906617517991926
