fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	0.6672648284134356	0.6467941507311585	0.09251189092330911	0.03006666666666667	0.0343	0.027086240869571482	0.045227777777777776	0.0554	0.04037046920647092	465847	0.04607145777123702
fam158	0.630187834488513	0.0930232558139535	0.7643142309411466	0.003933333333333334	0.002	0.005835142576569049	0.0071444444444444455	0.0053	0.007807206231156089	175106	0.004771146692544073
fam680	0.06401556420173117	0.08968609865470852	0.06084038453742035	0.001216666666666667	0.002	0.0011682132605916704	0.012325000000000001	0.018349999999999998	0.01061187424539134	307230	0.0035150891632373107
fam875	0.42801297556886636	0.40499999999999997	0.17236960014084804	0.003866666666666667	0.0024	0.003513861440384669	0.010772222222222225	0.004	0.011900154319987038	64440	0.005791014382079674
fam425	0.7447741107616233	0.7394957983193278	0.08632021967020591	0.005213888888888888	0.0029	0.005631220154824243	0.006288888888888889	0.0	0.007689053466446735	505911	0.005523066926575698
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.0035555555555555557	0.0	0.006651835354264785	117346	0.0010288065843621398
fam657	0.3989921764250847	0.3503649635036496	0.10002105700686273	0.0045249999999999995	0.0042	0.003688523869155971	0.010666666666666665	0.0102	0.010819247252517669	335589	0.006034398514609597
fam265	0.41294617210592593	0.4782778864970646	0.26330782641798706	0.08291944444444445	0.1222	0.07538298076210735	0.1829583333333333	0.251	0.1742268099904387	300965	0.09688031344717972
fam443	0.010983326375517313	0.0	0.014221393992601403	0.0001777777777777778	0.0	0.0003325917677132393	0.014463888888888887	0.0049	0.01599988112417259	528070	0.0034423407917383822
fam355	0.06121882190298492	0.07703838292073587	0.04146888670134593	0.0016555555555555553	0.0014	0.0018370333034609613	0.02492777777777778	0.0138	0.024944300296539698	423071	0.007532956685499058
fam519	0.6380632138696412	0.6756756756756758	0.2217205377375174	0.011702777777777777	0.0125	0.011100787912754241	0.020077777777777778	0.0185	0.01953336335479933	523627	0.013815789473684208
fam814	0.29521141915729887	0.2161172161172161	0.1834657915813636	0.0029972222222222223	0.003	0.003237839309641806	0.009774999999999999	0.0	0.012157242354525418	137807	0.004629629629629629
fam594	0.4546910352257945	0.3529411764705882	0.142147059346988	0.0049	0.0042	0.0038974350539810157	0.008047222222222223	0.0	0.010708861494396725	416227	0.00565843621399177
fam346	0.06079404120696708	0.0	0.07822523426120748	0.000977777777777778	0.0	0.0018292547224228158	0.010163888888888886	0.0055	0.01117532382771618	413541	0.003564597461311077
fam643	0.39926678778210406	0.4838709677419355	0.18173602513849993	0.004702777777777777	0.0026	0.00431666577291568	0.011308333333333333	0.01725	0.009811256998412022	349177	0.006200645089533979
fam62	0.10332736229793485	0.11578947368421054	0.047714084705544564	0.002813888888888889	0.00165	0.0027661799549577163	0.020624999999999998	0.0095	0.02185058319842084	81685	0.007283337928499219
fam922	0.1615432229188077	0.13663663663663664	0.07866783978144255	0.004247222222222222	0.0027	0.003450723443562323	0.02470833333333334	0.0291	0.024166567528532287	10244	0.008953168044077137
