fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	1.7558139534883719	1.7209302325581397	0.28976594870644445	0.003974242424242424	0.0015	0.003819182468684793	0.0013030303030303028	0.0	0.001976143297540707	622151	0.004241764045685614
fam1571	0.7829625240326203	0.6382978723404256	0.5019153193173284	0.002153846153846154	0.003	0.0013308655663959981	0.003405128205128205	0.0023	0.0025105877050183066	730788	0.0025424645677810235
fam158	0.24124999999999996	0.2	0.19449855397920057	0.0007	0.0	0.0008796852583999313	0.002974358974358975	0.004	0.0032303622047227943	159441	0.0013604235057522256
fam1720	nan	nan	nan	0.0009692307692307691	0.0009	0.0010268582520593992	0.0	0.0	0.0	569683	0.0007011217948717949
fam1499	0.26829268292682923	0.0	0.3794231508805865	0.0034692307692307687	0.0066	0.0032956578928562295	0.0012615384615384617	0.0	0.0029585699408117027	803418	0.03450854700854701
fam875	0.182	0.0	0.24600000000000002	0.001353030303030303	0.0018	0.001543335594307824	0.0015151515151515152	0.0	0.002297841043651985	528737	0.0013995375441158576
fam425	0.04827586206896552	0.0	0.14482758620689654	0.00021538461538461536	0.0	0.000505121697211754	0.0011153846153846153	0.0	0.0014108623406905076	90040	0.0004971944030115775
fam1928	0.0	0.0	0.0	0.0	0.0	0.0	0.0024000000000000002	0.0	0.0025922962793631437	371885	0.0006518904823989571
fam1988	0.5	0.42857142857142855	0.1515228816828316	0.0007012820512820512	0.0012	0.0007154868505203902	0.0007897435897435897	0.0	0.0012599948863947664	312612	0.0007193026995007195
fam265	nan	nan	nan	0.00430128205128205	0.0041	0.0030917381050455522	0.0	0.0	0.0	59212	0.0029211295034079847
fam1040	2.127777777777778	1.4666666666666668	1.7302233496014823	0.00391153846153846	0.0038	0.002975885163263355	0.0002307692307692308	0.0	0.000541201818441165	695862	0.002931284519732173
fam1786	0.15155537628528434	0.19230769230769232	0.12890617609308835	0.0009115384615384615	0.00075	0.0010024304783401818	0.005423076923076924	0.0039	0.004421912890307481	498584	0.002123142250530786
fam355	1.0629629629629627	0.7777777777777777	0.3666666666666667	0.002573076923076923	0.0021	0.0015560199950039432	0.0010384615384615384	0.0	0.0013135614896084037	22003	0.002136752136752136
fam1784	nan	nan	nan	0.0004923076923076924	0.0	0.0011545638793411521	0.0	0.0	0.0	502156	0.0003488574917146346
fam1093	0.25085634698462544	0.20353982300884957	0.20865718550675888	0.0016512820512820509	0.0012	0.0013693292003417634	0.007733333333333334	0.0038	0.006638517494886529	754327	0.0038563020093363106
fam814	0.41411345566275143	0.0	0.5680857640014171	0.0011230769230769233	0.0	0.0018270701695171012	0.0019	0.00175	0.0020160891311188063	461768	0.0013495276653171387
fam594	nan	nan	nan	0.0007538461538461538	0.0	0.0017679259402411393	0.0	0.0	0.0	249077	0.000528680941052075
fam346	0.1794871794871795	0.1346153846153846	0.0634583008757158	0.0004846153846153846	0.0007	0.00043855149774407336	0.0007999999999999999	0.0	0.0018761663039293715	10601	0.0005681172594023407
fam643	nan	nan	nan	0.003538461538461539	0.00325	0.0037460827666610037	0.0	0.0	0.0	304902	0.002393162393162393
fam62	0.38749999999999996	0.38749999999999996	0.0	0.0008743589743589744	0.0	0.0013949943385084906	0.0022564102564102562	0.0	0.0035999853896993323	243296	0.0012619744163368325
fam1679	0.3244133144816946	0.27397120864480795	0.17974222342760457	0.006146153846153847	0.0085	0.005482646102387394	0.015343589743589745	0.0	0.0196645821781686	610477	0.008547008547008548
fam922	0.1405797101449275	0.12173913043478261	0.042128816967387336	0.0006076923076923077	0.0	0.000755962492416673	0.0017692307692307695	0.0	0.0041492139413822635	582309	0.000965364601728238
fam651	1.2023460410557185	1.1290322580645162	0.3919758276886197	0.0023141025641025643	0.0023	0.0016865017928163945	0.0008743589743589744	0.0	0.0013949943385084906	314163	0.0019089765282658687
fam870	0.20456802383316788	0.33333333333333337	0.1540162660060453	0.0010743589743589747	0.0016	0.0009981310608968912	0.004669230769230769	0.0048	0.004199154606380195	526549	0.001996381558425354
fam910	0.4607843137254901	0.5294117647058822	0.3973915333237499	0.0017076923076923074	0.0018	0.0017269187938956652	0.0025499999999999997	0.0	0.0029160365619740145	571167	0.001908719300023648
fam508	0.045890277235454906	0.0	0.07592925405075905	0.001042307692307692	0.0	0.001318557800991755	0.006884615384615385	0.0	0.008652301856510412	182763	0.04362156755773778
fam155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	162521	0.0
fam179	0.2832636271716151	0.19318181818181815	0.3053427013034483	0.0012461538461538458	0.0017	0.001394558316962143	0.0029307692307692307	0.0044	0.002696926441117156	140911	0.0016970594587923105
fam1934	0.4926829268292682	0.39999999999999997	0.3157571186864831	0.001005128205128205	0.0	0.0013052062845013833	0.0020641025641025645	0.0035	0.0021294018877931462	362373	0.001297313797313797
fam119	0.7040816326530613	0.7346938775510204	0.2351371147306717	0.0016153846153846153	0.0018	0.0013699220381220767	0.0007538461538461538	0.0	0.0017679259402411393	194929	0.0013905847239180573
fam43	0.3705357142857143	0.3928571428571429	0.24908153990291645	0.0013628205128205129	0.0011	0.0010143975064626715	0.0018666666666666664	0.0	0.0024005697329457115	258335	0.0015131067762646708
fam1364	0.19651056014692375	0.1919191919191919	0.18780884962491307	0.0022923076923076933	0.0039	0.002012637587637575	0.0027923076923076925	0.0	0.004454981919752925	953921	0.0024216524216524216
fam1587	0.4156431866085234	0.4482758620689655	0.30015438262512767	0.0011474358974358973	0.0013	0.0008671681525893464	0.0031551282051282045	0.0029	0.002406489486831412	715633	0.001741057296612852
fam174	0.0	0.0	0.0	0.0	0.0	0.0	0.007413636363636363	0.0103	0.006501628848677109	146099	0.0018839185505852172
fam1446	0.0	0.0	0.0	0.0	0.0	0.0	0.00383076923076923	0.004	0.0038930677275589424	860271	0.0010647788425566206
fam1143	0.2849807445442875	0.2236842105263158	0.1483420112715898	0.0009	0.0008	0.0009511127086814605	0.0034102564102564104	0.0038	0.003473695650559404	804077	0.001644785149939789
fam933	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	590213	0.0
fam1534	0.43860861962892206	0.40057636887608067	0.1140967522585241	0.007461538461538461	0.00685	0.007911193478137207	0.013380769230769233	0.0	0.016926311316790184	767576	0.009049773755656111
fam1804	0.06504065040650407	0.0	0.0919813699104452	0.00047179487179487185	0.0008	0.0004867204314955763	0.0006307692307692309	0.0	0.0014792849704058514	483926	0.0005229812922120616
