fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.3516793829036057	0.22084195997239475	0.4497805232704499	0.0056813186813186815	0.0033	0.004445887396751751	0.02072087912087912	0.0202	0.015989436873599983	2088540	0.010434740697898593
fam1785	0.1715737828668149	0.16111111111111112	0.13228202938054565	0.0025164835164835165	0.0029	0.0017663063674782547	0.016456043956043956	0.0179	0.006729273572329682	430167	0.007016307307852497
fam966	0.01130354514474189	0.0	0.01997593959229986	0.00014175824175824176	0.0	0.00023396530881474018	0.014316483516483515	0.0146	0.006332703600129326	1293073	0.004462648885909134
fam393	0.05606785139574128	0.0	0.10405710969391622	0.00045604395604395597	0.0	0.000756830985706194	0.01130879120879121	0.0107	0.00644194101442487	1887719	0.003722468008182294
fam1571	0.08354470359533818	0.09195402298850576	0.09442263401313533	0.0010978021978021982	0.0016	0.0010055863766351902	0.01215824175824176	0.0139	0.00738110248077229	644712	0.0044874739408501466
fam1037	0.1694949140593909	0.10576923076923078	0.15643306081813613	0.002746153846153846	0.0011	0.003389165273493849	0.036504395604395605	0.0104	0.06621630540552519	1221068	0.011558433832215732
fam3479	0.05584847144094118	0.0	0.0973268984915321	0.0005714285714285715	0.0	0.0009509146221003928	0.016125274725274728	0.0095	0.016626231051878836	1387765	0.005084929135562048
fam3276	0.04552000816394583	0.007418856259659969	0.0685554306495205	0.000857142857142857	0.0012	0.0009950584341053266	0.05525824175824177	0.0115	0.10834476012921912	1164756	0.013901098901098903
fam1720	0.030987262901642044	0.04527435843939078	0.025436754344458825	0.011085714285714286	0.0021	0.010864870009069216	0.24210329670329667	0.0686	0.21825464029685548	492772	0.04585197047508604
fam2659	nan	nan	nan	0.001124175824175824	0.0	0.0014903602823759295	0.0	0.0	0.0	511267	0.0007748661594815441
fam3994	0.14972970852032197	0.108843537414966	0.16389217199050032	0.001097802197802198	0.0016	0.0010055863766351902	0.007145054945054945	0.0073	0.005324632035705599	1963033	0.002894373386176665
fam1031	0.06990086959648777	0.0	0.12425537314867538	0.0008791208791208791	0.0	0.0013350323273458842	0.01851098901098901	0.0188	0.007861653358381541	1229441	0.005860805860805861
fam3345	0.020837927990287528	0.015015015015015013	0.028776881060204398	0.0008384615384615386	0.001	0.0008244570948618023	0.050197802197802205	0.0549	0.019464738352356792	1227790	0.013948523882298714
fam4095	0.07193999537300184	0.0	0.1225293131283287	0.0018296703296703295	0.0	0.0030469041937748464	0.016215384615384614	0.0141	0.015971202952600967	2062441	0.006217466743782534
fam680	0.08577940974781809	0.07352941176470588	0.07689459323745494	0.0011615384615384615	0.0015	0.0007771134572530494	0.01723186813186813	0.0188	0.007342707814460879	1596971	0.006242890343930462
fam875	0.09273699218583195	0.0880648899188876	0.033318925248929605	0.006713186813186813	0.0065	0.0023667666445419196	0.0775923076923077	0.0787	0.028846072087796222	1380870	0.02912087912087912
fam1483	0.9471495635281175	0.7897435897435898	0.5562554303345117	0.00867032967032967	0.0096	0.004809891239671778	0.010486813186813188	0.0115	0.006023419655786588	751245	0.009185471017532088
fam3726	0.0735722697686266	0.0	0.14320463265913158	0.0009714285714285713	0.0	0.0023795043215608016	0.012513186813186814	0.0172	0.01088984009601377	1665610	0.00419387375909115
fam4141	0.23572713398202025	0.22033898305084745	0.23333160455673924	0.002414285714285714	0.0026	0.0018442408979837527	0.0115021978021978	0.0118	0.005790765251901732	2106522	0.010744810744810747
fam3379	0.2673237819575099	0.20155038759689922	0.27707550141319115	0.0038589743589743583	0.0026	0.0027475600316549343	0.015191025641025644	0.0155	0.008818747307654619	1269474	0.0075827306596537355
fam1928	0.012025150680370677	0.0	0.033292533339168234	0.0005857142857142858	0.0	0.0014347011350587186	0.02698131868131868	0.0359	0.017318305833493017	262466	0.008741958321790253
fam98	0.056270455480511634	0.026757607555089196	0.06033950897944925	0.0027978021978021976	0.0031	0.0015999298076621112	0.09878681318681318	0.0323	0.08478517028840145	2200898	0.02690141399818819
fam657	0.2290098330429558	0.20466321243523317	0.17572497412089938	0.004347435897435898	0.004	0.002008298447977111	0.02245128205128205	0.022	0.009681594268875026	1619610	0.0096124251248905
fam4153	0.6763448086554511	0.7635135135135135	0.3878373913939542	0.010085714285714285	0.0113	0.006403906284338266	0.005346153846153846	0.0	0.007087697245231882	2115931	0.011904761904761902
fam1496	0.031573142625930146	0.030434782608695653	0.018038739180203815	0.0013846153846153845	0.0013	0.0008518787352337969	0.0431043956043956	0.0451	0.011457670899310372	736455	0.01293306321239282
fam2317	0.1362828582168662	0.0970873786407767	0.1611707372660412	0.002491208791208791	0.003	0.0024291566099218695	0.022607692307692308	0.0229	0.013350986552584924	164844	0.008002613098154499
fam4239	0.05616649732640338	0.0	0.10635122828551037	0.0007285714285714284	0.0	0.0009477892975710724	0.023127472527472527	0.025	0.012403633515269363	2197559	0.007140873566866345
fam2943	0.0929701696565363	0.04301075268817204	0.18505153824364648	0.0010593406593406593	0.0012	0.0012334155224352336	0.019103296703296704	0.0221	0.00881537680718337	799229	0.006630975861745091
fam1040	0.4377237598169352	0.416	0.20342728358304007	0.0038120879120879117	0.0042	0.001672586676400856	0.009026373626373627	0.0091	0.0038373192097538866	1215790	0.0057901347299628095
fam1786	0.27906383278892183	0.24682647625524198	0.21812497872572578	0.0035615384615384606	0.0036	0.001273318979234852	0.015164102564102562	0.0157	0.004905882767970546	428116	0.00714544931236
fam3641	0.056888365935550814	0.0	0.12069346882930033	0.0007417582417582418	0.0	0.0012322645939346955	0.017674725274725276	0.0203	0.009571163115633568	1563389	0.0053317053317053316
fam3986	0.059010729664547026	0.0	0.10915104621293774	0.0005912087912087912	0.0	0.000983227288810261	0.014909890109890108	0.0167	0.009469001536477555	1953533	0.0044021748057622495
fam3286	0.038117927337701016	0.0	0.12351620151819626	0.0004923076923076924	0.0	0.0011545638793411521	0.0021525641025641027	0.0	0.003328691294348328	1172278	0.0010038432857224805
fam4262	0.14270550871345075	0.09264305177111715	0.13914766786691504	0.0031967032967032964	0.0034	0.0022086966247312064	0.029281318681318683	0.0262	0.01771305417964304	2224507	0.010937053490244979
fam3216	0.2847222216410472	0.22007255139056833	0.25733295310379056	0.011273626373626375	0.012	0.006433682574140485	0.05696483516483517	0.0322	0.061776645492204685	1106760	0.023762562224100683
fam355	0.18746981645576635	0.15774853801169592	0.16486065385068369	0.0016989010989010987	0.0013	0.001322709050387429	0.009983516483516483	0.009	0.005413480603985599	1927427	0.004145496080979953
fam3280	0.3435708250379465	0.4268292682926829	0.23295288229902394	0.007747252747252748	0.0106	0.006991318645909818	0.03280989010989011	0.0165	0.04811810117229777	1168607	0.016860590390002154
fam1784	0.362741566744822	0.48672566371681414	0.31900146853544453	0.0030219780219780217	0.0	0.003288267595518459	0.003216483516483516	0.0	0.0053569152952513185	431218	0.003059211850420642
