fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.016465705248068143	0.024379709785573366	0.011653685356295988	0.00448	0.0084	0.004190656273186814	0.1842133333333333	0.3317	0.16702969742600332	92564	0.03333333333333333
fam966	0.029603427587069988	0.029603427587069988	0.005589705460140312	0.0019333333333333331	0.0028	0.0017222724007026947	0.06216000000000001	0.1165	0.05814536725598467	913076	0.010334110334110335
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.13013333333333332	0.244	0.12172858698304553	1552590	0.02188034188034188
fam1571	0.06815642458100558	0.06815642458100558	0.0	0.01952	0.0366	0.018259288047456832	0.28640000000000004	0.537	0.26790266889301423	167165	0.056410256410256404
fam1037	0.04486432207471515	0.04486432207471515	0.001157107751387082	0.013973333333333332	0.0249	0.012392872503535607	0.30373333333333336	0.5693	0.28411655511231454	823297	0.045425867507886436
fam1720	0.126278700270536	0.1408637873754153	0.02639415211627287	0.01160666666666667	0.0212	0.01050450485373881	0.08241333333333332	0.1504	0.07285253476868339	3467	0.019725343320848944
fam1499	0.14438434814732903	0.02640757349277529	0.1859759824474863	0.004113333333333333	0.0053	0.002765469620556737	0.10854666666666664	0.1976	0.0977463579315817	249105	0.019080860965677723
fam2659	0.05566714724504883	0.030333266813011375	0.06466898398311638	0.02426	0.0441	0.02241879568576332	0.8022733333333334	1.493	0.7477567844040081	1152072	0.07354226020892687
fam680	0.14243906600389716	0.045884923525127456	0.14399035303369853	0.003126666666666667	0.0035	0.0022116258474002533	0.07152666666666667	0.1264	0.06455886684948	1229412	0.012855183225553596
fam875	0.026840977106475074	0.013292876751914462	0.04269857016265869	0.00452	0.0073	0.004070249787584705	0.37595999999999996	0.6921	0.35015748990037804	1016026	0.033070036861506044
fam1483	0.07592764968545611	0.04686019850509045	0.08771142686704309	0.031520000000000006	0.0578	0.02890322242703513	0.6684133333333333	1.2401	0.6223732351428861	267377	0.09047619047619047
fam1781	0.2059927733730779	0.08220086178322836	0.2410533800157519	0.013479999999999999	0.0225	0.011195427638102976	0.16108	0.294	0.14812207668001418	88451	0.03399399399399399
fam425	0.02700263494633724	0.03909322229932916	0.01912845838022218	0.009013333333333333	0.0169	0.008431201311530613	0.2267466666666667	0.4032	0.20452864792547332	1518876	0.04444444444444444
fam1195	0.1520307990727161	0.15778019586507075	0.009958247357231774	0.007873333333333333	0.0124	0.0065949947350665535	0.04902666666666666	0.0919	0.04586025827324666	638226	0.016718587746625126
fam1928	0.012149956493858296	0.01793543244320446	0.008593833060376248	0.0024	0.0045	0.0022449944320643645	0.1327266666666667	0.2406	0.122155831988853	262208	0.022613803230543315
fam657	0.0030413953419715914	0.0032504592719617992	0.0027932315160067236	0.005546666666666667	0.0104	0.005188431576326532	1.1321666666666665	1.6742	1.1765061845235758	1253409	0.05917907081641858
fam1496	0.07141883378918389	0.06344735077129443	0.04334195566755826	0.02548	0.0468	0.023199775860986246	0.39687333333333336	0.7187	0.3655135938496527	252749	0.060250801983085446
fam2317	0.23787817260657393	0.1239479724560061	0.2618281077913251	0.010353333333333332	0.015	0.007231216280051986	0.07736666666666667	0.1262	0.06322971523650008	730460	0.022165677127509185
fam265	0.10528997544993594	0.022127703347464986	0.1301960795327689	0.008253333333333335	0.0136	0.006759276752894663	0.3751466666666667	0.6809	0.3454233843978848	1691890	0.050505050505050504
fam1040	0.09130126578261472	0.08788272674754477	0.008450727280436367	0.06592666666666666	0.1192	0.059858772308010316	0.7161933333333333	1.1881	0.672924251771492	820135	0.10380952380952381
fam1786	0.037527543717559786	0.03023357932421957	0.027373374835528	0.011000000000000001	0.0195	0.009822830549286697	0.36583333333333334	0.6732	0.33068624942013475	94131	0.049185185185185186
fam355	0.058506169363406246	0.028967277801091745	0.06251401945134909	0.0101	0.0173	0.008627475490161263	0.34181333333333336	0.6056	0.31152229640196794	1600239	0.07183271832718327
fam1784	0.04059633160857569	0.02840012622278321	0.06250231014705536	0.005426666666666666	0.009	0.004904075402719207	0.17583333333333334	0.3169	0.16079027610178698	92020	0.031321839080459775
