fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.03664054433773439	0.016236345580933467	0.04495452547746196	0.02353111111111111	0.0013	0.03126225855367048	1.4363088888888889	0.0163	1.9253656275941424	212579	0.08694829014317831
fam966	0.31520148932686626	0.04165082262275965	0.413462843288336	0.05950222222222222	0.0063	0.07809139798662956	1.4037266666666666	0.0067	1.8876490671261494	1176759	0.11407972858354537
fam1031	0.04185356952786437	0.04185356952786437	0.0	0.03914666666666668	0.0	0.052702812912489676	0.9353244444444445	0.0	1.2592190703687136	1097340	0.09929929929929929
fam98	0.034623828839373226	0.04977291930713984	0.022901510280842644	0.06701777777777777	0.0	0.09022544674040783	1.348757777777778	0.0145	1.8111155781867203	2203558	0.11379875450671911
fam265	0.06455200675135352	0.055598312146705235	0.05796832874074862	0.07513333333333332	0.002	0.0997618742584338	1.3442444444444444	0.0135	1.7999992845128894	2015086	0.12150866462793068
fam1786	0.08551149166291122	0.08551149166291122	0.0	0.05397333333333334	0.0	0.07266382379760157	0.631182222222222	0.0	0.8497550725000151	211938	0.08874293012224048
fam3314	0.019416433221947138	0.027908078654347312	0.012842765170082341	0.041888888888888885	0.0	0.05639464601152695	1.5020244444444446	0.0079	2.0195968798148862	1487683	0.09671905155776123
fam2375	0.05132267209731453	0.0761200338123415	0.034338466852180276	0.064	0.0	0.08616278134373848	0.8800311111111111	0.0324	1.1838099364757695	444058	0.10801033591731267
fam2090	0.08884968261947668	0.1277676213690839	0.05876862950935902	0.06708888888888889	0.0	0.09032118300136148	0.5263022222222221	0.0066	0.7064152456794766	125946	0.1071195547879486
fam2823	0.030939839461014224	0.044487706395558435	0.020464796455211976	0.0657911111111111	0.0	0.08857404892636372	1.4805866666666667	0.0086	1.9905083413931115	949394	0.11488469601677147
fam2025	0.03808086065675548	0.03281811903117483	0.011134375888816982	0.04932666666666668	0.0011	0.06570113613088353	1.496631111111111	0.0248	2.0068603600674053	43987	0.10639730639730641
fam2091	0.02950068650751942	0.04241228688178103	0.019512873183336207	0.0642088888888889	0.0	0.08644386443678598	1.5153777777777782	0.0082	2.037477016299967	127423	0.11145475372279494
fam150	0.026636107869249862	0.04732378590287223	0.024042347776669956	0.042080000000000006	0.0	0.05665198868726695	0.8778066666666666	0.0123	1.1719884971752546	2136928	0.0917037037037037
fam2642	0.03562983593847511	0.015468495583954214	0.04358050479143199	0.022542222222222227	0.0012	0.029962543200832078	1.4433977777777778	0.0107	1.9382837044364662	761456	0.08062169312169312
fam1934	0.024579795570652894	0.021739130434782608	0.004191171753463686	0.029697777777777778	0.002	0.039339900518932505	1.3574955555555555	0.0647	1.806696071956955	51230	0.09409775071875527
fam2822	0.020265214686871775	0.029131246112378186	0.013404179581699106	0.03996444444444444	0.0	0.05380377993972607	1.374037777777778	0.0139	1.845344109829912	947871	0.09146289146289145
fam1364	0.028931524447384737	0.026064764454857333	0.004318895143505383	0.04439777777777778	0.0005	0.059610153828908816	1.7019133333333334	0.0141	2.286694046444439	734011	0.1005038451339167
fam1446	0.01650161664935803	0.03196233894945491	0.015977622499718562	0.04588888888888889	0.0	0.06177981411511987	1.4370888888888889	0.0054	1.9309810428003482	640245	0.09551656920077974
fam2627	0.053559537478677546	0.03964108454886322	0.021267718908609838	0.07172222222222221	0.0037	0.08865300368136657	1.8011055555555555	0.043	2.243154778796105	744903	0.12427983539094652
fam839	0.023724134551573094	0.017803879858493837	0.008907115803131142	0.02756222222222222	0.0009	0.036816133473663644	1.5415066666666668	0.0242	2.0674693789912992	1308732	0.0927891156462585
fam1447	0.024744956032828537	0.03557003608164144	0.016367250071042096	0.046968888888888886	0.0	0.0632338018686638	1.3219400000000001	0.0097	1.7765671432287609	639529	0.11086182336182333
fam3466	0.016264269137424826	0.023376359386116475	0.010757805664706634	0.032720000000000006	0.0	0.044050665778800166	1.4003644444444443	0.0056	1.8834796480221339	1688402	0.08858932461873639
fam2613	0.041803248446600175	0.059586148648648654	0.02767278815024608	0.05017777777777778	0.0	0.06755391226071512	0.8370955555555556	0.0109	1.1238149764590166	728350	0.101194743130227
fam989	0.016890087385660425	0.016832088406835158	0.00015345087426736452	0.023708888888888887	0.0015	0.03143784571515479	1.3899022222222222	0.0	1.8712131397677563	1146436	0.08640153068197348
fam1715	0.04601069675434098	0.04601069675434098	0.0	0.06698666666666667	0.0	0.09018355997014584	1.4558933333333333	0.0	1.9600563854021023	319529	0.11120256058527664
fam1736	0.02640715042483757	0.035732516590096984	0.013989893409934626	0.05281777777777776	0.0012	0.0707197388409233	1.4686355555555552	0.0436	1.961353837775842	296074	0.1143216871262197
fam1250	0.015144394637690541	0.02176911694630452	0.010017075711511409	0.03086666666666667	0.0	0.041555526440869184	1.4186733333333332	0.0053	1.9082260755185403	857757	0.10094804702313233
fam157	0.01634885510965636	0.023503504351324457	0.010813752133595126	0.039462222222222225	0.0	0.0531276462405566	1.6806933333333336	0.01	2.259455599170345	2127847	0.09766495584223425
fam1564	0.0795705070629542	0.0795705070629542	0.0	0.06929777777777778	0.0	0.0932949885253791	0.8708977777777777	0.0	1.1724820158751337	503833	0.11758896151053011
fam3187	0.026939613469939117	0.038725316306018685	0.017818879433945826	0.046586666666666665	0.0	0.0627192318547066	1.2050133333333333	0.013	1.6180807309347152	1367949	0.09707876890975482
fam2649	0.045718884677293736	0.045718884677293736	0.0	0.06261333333333334	0.0	0.0842957797810121	1.3695288888888888	0.0	1.8437846936996163	770810	0.1128991060025543
fam2014	0.04490234160710018	0.03958058468161934	0.008096676857883687	0.060871111111111105	0.0008	0.08169107287613697	1.5382355555555554	0.014	2.0663690669766677	29606	0.10451527224435594
fam2482	0.07397856251405507	0.05993174699640036	0.08862817843900755	0.04574222222222222	0.002	0.06093907518128757	0.7597133333333334	0.0075	1.0176113232249115	576034	0.09406344143186247
fam3176	0.0463868057531509	0.018145964882837904	0.042668140866731825	0.03256444444444444	0.0114	0.040327510078553105	1.711115555555555	0.1028	2.270528090403988	1353516	0.09616601526149265
fam1899	0.08783364213253946	0.0815450643776824	0.06057510254520496	0.07144	0.002	0.09412671459261712	1.3663555555555555	0.0233	1.82044318261675	81548	0.12382428940568475
fam1869	0.0408048709650564	0.02348580941810686	0.026318521721179468	0.042539999999999994	0.0023	0.05639952088054965	1.7984000000000007	0.0293	2.411665032296152	110886	0.10054514818118743
fam1512	0.0877081624684829	0.02663016954187621	0.09231329160008969	0.04473111111111112	0.0005	0.06005902216328431	1.6759733333333335	0.0022	2.255633352731679	563790	0.10622087716769946
fam1730	0.047877799915474244	0.047877799915474244	0.0	0.0563911111111111	0.0	0.07591885674769176	1.1778133333333338	0.0	1.585679728010112	301517	0.10676461585552494
fam983	0.16370991503134108	0.1346093504863508	0.09231757922364243	0.06140666666666668	0.0023	0.08107892834899967	0.45330666666666664	0.0071	0.6079951346296558	1153457	0.09238366571699903
fam835	0.0443321729551846	0.025164774037951566	0.0354983027094583	0.039468888888888894	0.0019	0.05219953947103034	1.5612466666666673	0.021	2.0851951693999506	1315069	0.10363786008230452
fam2534	0.04791769698168405	0.04643457382953181	0.03134419618589747	0.06895333333333334	0.0023	0.0920899333381354	1.4860688888888887	0.0238	1.989896459821434	629600	0.11474417196488042
fam1500	0.03574159476195048	0.05138449586593419	0.02364084645052676	0.06583555555555556	0.0	0.08863384895313364	1.2828444444444445	0.0094	1.7240305950566417	580213	0.11628001628001629
fam176	0.012668909899144517	0.018214063174040167	0.00837969806739228	0.027017777777777776	0.0	0.0363738018596956	1.4854333333333336	0.0121	1.995898064865371	2104715	0.09375192366882115
fam1916	0.04993752575226012	0.03891142345061787	0.016672852582835015	0.029620000000000004	0.0013	0.039458994749824366	0.7587488888888888	0.0173	1.015939687322305	65596	0.08650638943036604
fam2689	0.032211721879570165	0.032205760793539775	1.2408990109361549e-05	0.03602444444444444	0.0	0.04849939818896064	1.1183644444444445	0.0	1.5056442119431883	805794	0.08480204342273306
fam2708	0.02952836919400435	0.02959135744480977	0.00015293025313829834	0.042686666666666664	0.0014	0.05701696667562112	1.43824	0.0	1.9362898596600204	824417	0.09914717348927876
fam2750	0.011531471069676186	0.016573880177741456	0.007627353348956592	0.02308	0.0	0.031072407194951746	1.3933755555555554	0.0067	1.8737133995423874	868964	0.10146161487157657
fam1371	0.0065674649845717	0.011898745807874306	0.0059198361380882625	0.018426666666666664	0.0	0.024807672648239742	1.5490888888888887	0.0035	2.083250609154647	726859	0.08163153945842713
fam3517	0.01740169098531513	0.01740169098531513	0.0	0.02641777777777778	0.0	0.035566021792897216	1.5181155555555557	0.0	2.043825615735306	1763118	0.08209074875741543
fam1067	0.12506769562462144	0.05143631436314363	0.10517126122235339	0.0678311111111111	0.0026	0.08988314839519196	1.3153377777777777	0.0084	1.763454609602525	1066243	0.13436788744051312
fam374	0.06842000498396149	0.056985916226277564	0.03077436132322831	0.07842444444444442	0.005	0.10158411327139595	1.3947711111111112	0.0606	1.820140969708082	1902943	0.12990344430033143
fam256	0.02274545058414346	0.03269364161849711	0.015044702828212707	0.050284444444444444	0.0	0.06769751663114897	1.539528888888889	0.0104	2.0692777115185996	2022378	0.10393762183235869
fam1362	0.029420361238638247	0.039642034799534744	0.017484081234956293	0.059555555555555556	0.0009	0.07988766990261474	1.5008688888888886	0.0214	2.013661448078237	737820	0.10983179341388297
fam2697	0.014479215319943952	0.014479215319943952	0.0	0.00992	0.0	0.013355208721693572	0.6851200000000001	0.0	0.9223710281659977	809464	0.06065908428113152
fam2690	0.008423865682914077	0.008423865682914077	0.0	0.010311111111111113	0.0	0.013881758169502276	1.2240355555555555	0.0	1.647908299114777	806325	0.060621541081311195
fam1422	0.1108925860628238	0.04377760777829875	0.10137097472048721	0.0633911111111111	0.0014	0.08489041255177099	1.441753333333333	0.0053	1.939298420861409	667255	0.11733727082564295
fam1959	0.02471561354577099	0.035525888147203685	0.016347842908561887	0.05053333333333333	0.0	0.0680325934958956	1.4259488888888887	0.0233	1.912187565488772	25339	0.10452674897119342
fam2445	0.04965951286710428	0.030886132528774164	0.0327148020489108	0.04959555555555556	0.0009	0.06590933488278697	1.5928222222222224	0.0122	2.1404420526703136	531979	0.11301379811183732
fam1710	0.011734547803841294	0.01686952808029041	0.007761674199610174	0.02527555555555555	0.0	0.03402826377884227	1.5002777777777776	0.0121	2.015883091064436	324832	0.08933619609948111
fam1091	0.01026214136492733	0.0	0.010577974293126565	0.031737777777777774	0.0	0.04272830073792565	1.5060022222222218	0.0163	2.013932329160914	1046457	0.0917233560090703
fam1734	0.07751118051938426	0.049645002730748226	0.04805468346151077	0.06570666666666665	0.0024	0.08691224795415456	1.3052555555555554	0.0195	1.7509301569363456	298574	0.11835016835016832
fam1419	0.03639766939438103	0.023832835820895522	0.019062699232608952	0.035604444444444446	0.0012	0.04754669730582092	1.4916888888888886	0.0184	2.0022782328828685	670489	0.09768390980512191
fam3067	0.07479370071997701	0.0467350840124761	0.07450605398351874	0.06635555555555554	0.0014	0.08888107048949187	1.4162511111111111	0.0069	1.900605515983697	1235965	0.1328584995251662
fam2267	0.10159874589576956	0.022454614313289517	0.11972687428315955	0.032806666666666665	0.0013	0.0437482870775785	1.4558222222222221	0.0046	1.958466467859073	328996	0.09538427316205096
fam1948	0.11761522909435054	0.04703282078094921	0.10679220549259495	0.07046666666666668	0.0012	0.09448033540254702	1.4966599999999999	0.0043	2.013543405751275	35731	0.11779190634776465
fam1231	0.011668115781614443	0.01677273791532747	0.007717733166769171	0.028017777777777777	0.0	0.03772008771575101	1.6714755555555554	0.0068	2.248084274928377	888698	0.09475438870656873
fam2376	0.01463291637073202	0.02103550467778488	0.00967876453700537	0.02574222222222222	0.0	0.034656527292136724	1.2256733333333334	0.0121	1.646186383453182	444539	0.08659165494608531
fam2489	0.09694532330668186	0.03268770810861511	0.09720302807993995	0.04966666666666667	0.001	0.06654213702609799	1.5169844444444445	0.0041	2.0409709422457136	583243	0.10478686233403216
fam1518	0.06379374849418606	0.030617920711974108	0.04864379700269515	0.043359999999999996	0.0014	0.05792344142630569	1.3725866666666666	0.0102	1.851225396997591	557518	0.09627224627224626
fam254	0.09437739499643602	0.02309389035052752	0.10765935627523297	0.03127111111111111	0.0018	0.04152175131300179	1.3387911111111113	0.007	1.8001297914714955	2024838	0.09895783229116564
fam2508	0.07999960637279498	0.027765757969133133	0.10520328214947892	0.041502222222222225	0.0012	0.05504060920564374	1.479691111111111	0.0043	1.990698318884576	601810	0.10617983422515999
