fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.013450271235354794	0.0	0.03095200425541037	0.0006175	0.0	0.0008899122147717716	0.04740500000000001	0.0139	0.04363844988462964	1551948	0.010330836454431959
fam4124	0.23905954531140292	0.2341001353179973	0.1497886546020562	0.011911666666666666	0.0173	0.008316782063327671	0.048720833333333324	0.0443	0.02750627472606124	1840114	0.024973031283710898
fam1785	0.02179009055920752	0.0	0.024781393623632124	0.0013999999999999998	0.0	0.0017146428199482247	0.03976916666666666	0.0373	0.030661995466248156	1028204	0.011468855218855219
fam966	0.03066120475528546	0.011747430249632894	0.03289737483766288	0.0010241666666666667	0.0008	0.0010116814249335388	0.041411666666666666	0.0387	0.032616154441557875	135660	0.011501419302514193
fam1571	0.015895719432924303	0.011715481171548118	0.01788597527993431	0.0010208333333333332	0.0014	0.0007975896849606041	0.07079333333333333	0.0475	0.046886641191518745	792679	0.01571837538021113
fam3872	0.0	0.0	0.0	0.0	0.0	0.0	0.039120833333333334	0.0122	0.037345463570634056	2109312	0.010823412698412698
fam158	0.11158394997721506	0.0989010989010989	0.05435131228659897	0.0046075	0.002	0.0038680348692844016	0.0481675	0.0124	0.04438748352576433	706416	0.01421867072552004
fam4609	0.014505960455063121	0.008064516129032258	0.019069615689694445	0.0006274999999999998	0.0007	0.0006045607909879701	0.046445833333333325	0.027	0.03415240815285049	1311379	0.011891233766233767
fam1037	0.0	0.0	0.0	0.0	0.0	0.0	0.03557333333333334	0.018	0.03112411908615068	213319	0.009242005981136418
fam3479	0.018626943926973914	0.015682656826568265	0.012227784785710943	0.0017771428571428571	0.0013	0.0015505610132407926	0.10475619047619049	0.0411	0.09761159564588189	2511485	0.022366976140561046
fam3276	0.24238054575993814	0.2457805907172996	0.1208766746665069	0.023973333333333336	0.0188	0.02000408180569378	0.09830833333333332	0.0973	0.07825652111627644	2562301	0.04080717488789238
fam1720	0.0	0.0	0.0	0.0	0.0	0.0	0.005040833333333333	0.0075	0.004646405345951738	959907	0.0015802905378877108
fam1499	0.06991525182546662	0.07125307125307125	0.04496660416270187	0.003133333333333333	0.0019	0.003256361295816066	0.036886666666666665	0.0199	0.03623396411594453	714315	0.010493827160493827
fam3994	0.0	0.0	0.0	0.0	0.0	0.0	0.005519166666666667	0.0	0.00998933010627951	1975878	0.0017730496453900709
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.03356166666666667	0.0092	0.03324330554997335	206135	0.009835479256080115
fam3345	0.10757858228085863	0.06586169952593188	0.13210674207074644	0.004769166666666667	0.0055	0.002856156970281726	0.07750083333333334	0.1038	0.04760170251828067	2626975	0.0189453125
fam4095	0.18708870318889637	0.06473429951690822	0.24507586004652568	0.004224166666666667	0.0053	0.0029888402386581687	0.053632499999999986	0.0388	0.05084497051905266	1871394	0.014333333333333332
fam680	0.40243902439024387	0.40243902439024387	0.0	0.0015125000000000002	0.0	0.001644260852176442	0.0037583333333333336	0.0	0.004085739087226311	171375	0.002136752136752137
fam875	0.0	0.0	0.0	0.0	0.0	0.0	0.022472500000000006	0.0111	0.022059075843818422	32680	0.006293612453032743
fam4775	0.06487788806612574	0.02096099891381141	0.0831993281005451	0.0018899999999999998	0.0021	0.0012569407305040282	0.08700833333333334	0.0261	0.082412519865343	1149612	0.017507002801120445
fam4190	0.007018775560191716	0.007545271629778672	0.005961932219462041	0.0011399999999999997	0.0015	0.0009730878685915265	0.1529875	0.1838	0.06491942899022346	1761093	0.035458612975391504
fam1483	0.053656907994421445	0.0	0.09988190276676846	0.0008074999999999998	0.0	0.0009747788210666048	0.07042416666666668	0.023899999999999998	0.06561973279920369	700645	0.01551020408163265
fam1781	0.2472384438036565	0.2013064133016627	0.17876357010311325	0.01697	0.0151	0.012047320587306265	0.09108916666666667	0.09459999999999999	0.06859669549357963	1024176	0.03284534534534535
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	451831	0.0
fam1195	0.023290531761961667	0.022273425499231947	0.01695874123166354	0.0015609523809523812	0.002	0.0010857076023186106	0.07300761904761904	0.0885	0.0453750438965824	394159	0.017012433265254936
fam3726	0.016330793473801997	0.006550218340611353	0.02294680368347188	0.0007714285714285713	0.0009	0.0006622780721856637	0.07371238095238095	0.0339	0.06281634712206399	2262971	0.0140628749700024
fam1928	0.008093899214338148	0.007360672975814931	0.012166024232567699	0.0004991666666666666	0.0	0.0006401166343374897	0.047411666666666664	0.0174	0.04270679528937858	1175485	0.010631720430107525
fam657	0.054029877040619206	0.044117647058823525	0.06795927467761166	0.0014550000000000003	0.0011	0.0013967730667506445	0.026785833333333335	0.0166	0.021452308717374816	195144	0.007383040935672514
fam4153	0.025722060436229405	0.029288702928870293	0.01767376321687267	0.0021766666666666666	0.0023	0.0018285118417870733	0.07396500000000002	0.06989999999999999	0.036461250321402856	1808090	0.014848914069877242
fam3894	0.00865402072257646	0.0	0.026279342276388524	0.00018750000000000003	0.0	0.0004960783708246109	0.05520916666666666	0.0348	0.0459219900044872	2078927	0.01225547730829421
fam1496	0.13331220037923983	0.03807615230460922	0.1775609639518461	0.0021016666666666666	0.0025	0.0012631299308551842	0.05117416666666665	0.0212	0.046922461742455734	712692	0.012678687459389213
fam2317	0.3217744843028661	0.36042944785276076	0.17361717853910116	0.012480833333333333	0.0067	0.010334475440915657	0.03422166666666667	0.023	0.023510555017315568	1590996	0.019118773946360152
fam4239	0.03741032677893466	0.027559055118110232	0.025601404821180937	0.002675833333333333	0.0031	0.0016195676292009406	0.09698333333333334	0.0485	0.07402158619093638	1696961	0.01921056950599048
fam4592	0.03218942511005067	0.011508951406649615	0.07771930649043184	0.00044999999999999993	0.00045	0.00044999999999999993	0.042582499999999995	0.026500000000000003	0.032330129555622464	1334055	0.010766711833785003
fam1988	0.06544940833480972	0.05088265835929388	0.036297667273341425	0.005108333333333334	0.0038	0.003656058518252804	0.10039333333333333	0.0397	0.0829713833532716	1238582	0.024412003244120035
fam2943	0.09992319812863008	0.07125307125307125	0.15679920218435572	0.005150833333333333	0.0043	0.004161570133041401	0.06510166666666667	0.0395	0.04918695962572013	2211689	0.01896482813749001
fam1040	0.030656603159176836	0.017084282460136675	0.05607909429670061	0.0010391666666666665	0.0015	0.0011891380515127567	0.04700666666666666	0.0133	0.04652861079187968	221839	0.014592013888888889
fam3456	0.09942570380616973	0.0712401055408971	0.10169053747447908	0.0069658333333333326	0.0033	0.006248006293121742	0.09418666666666668	0.0349	0.08676931190743009	2536837	0.024009971509971514
fam3641	0.39967040874106646	0.41836734693877553	0.09912121716620632	0.008986666666666669	0.0	0.009580317786424878	0.022288333333333334	0.0119	0.022872575220604745	2345073	0.013425925925925926
fam3986	0.09463670506660472	0.10774410774410775	0.09362245591362882	0.0037133333333333332	0.0032	0.003588846920979247	0.03342666666666667	0.0289	0.02425521158202684	1981126	0.012463450292397659
fam443	0.059514279239764774	0.0	0.11786103091442648	0.00065	0.0	0.0009367496997597598	0.026484166666666666	0.0195	0.019864427988380527	439724	0.024929549114331727
fam3198	0.09838556318746086	0.040526849037487336	0.1552875015014649	0.002833333333333334	0.004	0.0024977767892445653	0.04495833333333333	0.019	0.044749518774569584	2481883	0.014652777777777777
fam3286	0.08057421039536898	0.05502846299810247	0.09165297872136621	0.004614999999999999	0.0043	0.00338852598239018	0.07510916666666664	0.0627	0.05090820005302572	2573038	0.018462962962962962
fam4262	0.0	0.0	0.0	0.0	0.0	0.0	0.10724333333333333	0.0376	0.09739802678813479	1671321	0.02079124579124579
fam3216	0.05268450781708047	0.06761565836298933	0.02897012224147637	0.003359166666666667	0.0014	0.003075399590116525	0.04981333333333334	0.03	0.03756729946228353	2498958	0.013116261957321563
fam355	0.007164495734176478	0.007352941176470587	0.009368975264478404	0.0007799999999999999	0.0012	0.0007372923436466703	0.11979999999999999	0.1276	0.0756053580552772	513354	0.02322443181818182
fam3280	0.25726492157447756	0.3103629668595476	0.15698210047385747	0.02715714285714286	0.0113	0.027798440713868267	0.08767999999999998	0.0853	0.08151481361136292	2566791	0.0398311048557354
fam1784	0.03870615595780293	0.010185185185185186	0.05962986879016526	0.0008616666666666667	0.0011	0.000712645696604483	0.05406583333333334	0.0119	0.050107817912699235	1027748	0.014049919484702095
fam3247	0.04391272801899948	0.05216284987277354	0.042465917388362	0.0050908333333333335	0.0041	0.005371778039490794	0.07964166666666667	0.0269	0.07427851369825747	2531869	0.025995370370370367
fam2761	0.0	0.0	0.0	0.0	0.0	0.0	0.009015833333333332	0.0092	0.006967543754596897	2051766	0.0026639344262295085
fam3314	0.04099427054610776	0.039016393442622956	0.022866271180711252	0.0063191666666666665	0.0027	0.005501519423961186	0.15848333333333334	0.049600000000000005	0.1432571227626125	2600120	0.029378980891719746
fam2375	0.1347293671137288	0.12672176308539945	0.1315087137541847	0.006349166666666667	0.0046	0.004963298564351019	0.057528333333333334	0.0363	0.04683648183366845	1648713	0.019719471947194717
fam5036	0.02477195197352842	0.0163265306122449	0.02755670909491422	0.0012916666666666669	0.001	0.0011357510975365842	0.0642975	0.022949999999999998	0.05920057356492982	885448	0.014167964693665628
fam2090	0.0	0.0	0.0	0.0	0.0	0.0	0.045705	0.0259	0.030874930094387798	1339896	0.011442869995501575
fam2139	0.01200402060375728	0.009636900365759302	0.010795177481072256	0.0009424999999999999	0.0013	0.0008215496028846949	0.08899833333333333	0.0731	0.05137273917707285	1393402	0.0185412406271302
fam2305	0.015774556013696175	0.0	0.022681886118662294	0.0006225000000000001	0.0	0.0007750766091168022	0.02942	0.0183	0.02265371419142271	1578168	0.007882882882882884
fam519	0.057457904278142985	0.0236800929986709	0.061087623958749955	0.0024549999999999997	0.0023	0.001602490249580321	0.10119583333333333	0.034350000000000006	0.09250584972118729	353110	0.022002294893861154
fam4968	0.23235338709686423	0.1565135895032802	0.17008456385337853	0.010940833333333334	0.0143	0.008063575466600133	0.07174583333333334	0.09670000000000001	0.06145605326279006	955343	0.024485596707818927
fam2025	0.08763775228051618	0.08896210873146623	0.09798441587299182	0.006326666666666667	0.0043	0.00624367324221532	0.06371083333333333	0.0298	0.05206365622298875	1278700	0.02245679012345679
fam814	0.10228493261728644	0.0	0.11959125344747115	0.0017875	0.0	0.001943217370753977	0.011949999999999997	0.0139	0.010768356420549982	36282	0.003964646464646464
fam321	0.04613571554445154	0.044624746450304266	0.0526945158798362	0.0021858333333333335	0.0015	0.0020398650214059648	0.045579999999999996	0.019450000000000002	0.04116164395809931	548328	0.014042735042735044
fam594	0.06624307673819599	0.05980861244019138	0.028772444869763308	0.0040616666666666666	0.0025	0.0028096317473212664	0.067505	0.0429	0.04849396328410373	274361	0.016194891817146576
fam643	0.03150424701075827	0.013598326359832635	0.047949669279908166	0.0006916666666666666	0.0007	0.0005493304004776077	0.04817	0.0239	0.041337337037275795	211421	0.0121673923560716
fam62	0.05351910702475853	0.03934105415959138	0.09562891808128367	0.0021550000000000002	0.0037	0.00210562144429303	0.048829166666666673	0.036	0.034559816251038655	801633	0.015051679586563308
fam1679	0.0	0.0	0.0	0.0	0.0	0.0	0.007255	0.0074	0.005130981874846178	913179	0.002152317880794702
fam922	0.019982554528372092	0.0	0.04277285606561689	0.0003583333333333333	0.0	0.000649946579001348	0.0595275	0.0208	0.0525170082965192	82436	0.013098062475286675
fam494	0.04103861532042107	0.0	0.11266917623355574	0.0006625000000000001	0.0	0.0017528102435802912	0.0117425	0.0127	0.009030879086962318	388605	0.0039013732833957557
fam2091	0.017097329392512028	0.011121408711770158	0.04356390695157651	0.0006	0.0006	0.0006	0.05451583333333333	0.0296	0.04234517287687254	1340938	0.010447035957240038
fam2732	0.007490975445068584	0.007007739451559676	0.005514547669304013	0.0006033333333333335	0.0005	0.0005734302243710408	0.07331333333333334	0.0753	0.05953106042693642	2025278	0.015868302982317232
fam1358	0.04069821029912767	0.03275902975492659	0.026550437984793885	0.004512500000000001	0.0037999999999999996	0.0032497836466448037	0.11227916666666668	0.11745	0.04959491387873246	562904	0.02360097323600973
fam4782	0.4283809725803396	0.4405228758169935	0.0561361520992828	0.016394166666666668	0.0083	0.01569693333018339	0.03505583333333333	0.0	0.03810983642891804	1145131	0.02137476459510358
fam4961	0.03205578292269111	0.041796909886576764	0.027972520450412285	0.021020833333333332	0.0018	0.022682999859782414	0.4955241666666666	0.0168	0.5337274209113102	960733	0.07570294784580499
fam651	0.0514746936625122	0.02538787023977433	0.06593452437111148	0.0011099999999999999	0.0009	0.0006647555941848102	0.03386333333333333	0.0128	0.032192871709260246	202366	0.009232185401776045
fam3550	0.10007967373524952	0.06691935694680434	0.06734206662656786	0.0278175	0.0202	0.021478165899737965	0.3793466666666666	0.1091	0.35200289959348663	2431341	0.07725629904997935
fam870	0.1235329961319486	0.022954679223072396	0.20610493362521193	0.002269166666666667	0.002	0.001427923657701007	0.08008666666666665	0.0281	0.0791755685521459	23879	0.02074391988555079
fam150	0.05624586797065771	0.04156769596199525	0.04859647330643278	0.0017033333333333332	0.0012	0.0011882713868847004	0.046794166666666664	0.0274	0.0350107942779398	716749	0.01244616709732989
fam508	0.0	0.0	0.0	0.0	0.0	0.0	0.030784166666666668	0.0195	0.025531777571728573	367753	0.0069283320443413255
fam155	0.004099040069441045	0.0	0.0074522503320080145	0.00024	0.0	0.0002939387691339814	0.0480275	0.0151	0.04325294395086497	708700	0.010911643026004728
fam4627	0.025206697180310638	0.019795221843003412	0.022220554157893806	0.0016266666666666665	0.001	0.0013378299177731407	0.07533916666666668	0.0247	0.06583500119722707	1295733	0.01569912609238452
fam179	0.01842754449210058	0.03021582733812949	0.018410714378914828	0.0009633333333333333	0.0	0.0010472928063451129	0.03652916666666666	0.0345	0.021848231796621185	685752	0.009223300970873786
fam2642	0.03633355749770228	0.04985119047619047	0.03317130095706953	0.009825	0.0014	0.010313916569373634	0.18257	0.0381	0.186424572146485	1942489	0.04099219027334044
fam885	0.012360896920016911	0.00892857142857143	0.01265116095702674	0.0003666666666666668	0.0	0.0003986086914367132	0.018799999999999997	0.0098	0.01403457635033325	46990	0.005409115870400879
fam2735	0.03442177834733642	0.026672000522500162	0.07263247998015944	0.0031091666666666668	0.0033	0.002640044060027955	0.13266583333333332	0.1146	0.130061885587742	2027289	0.03143878101402373
fam2021	0.041337171627877596	0.03426031746031746	0.02201475010883541	0.0020900000000000003	0.00185	0.0015526536424242637	0.06252416666666667	0.0299	0.05021358381260548	1275996	0.01569627851140456
