fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.0938719158237575	0.08977777777777778	0.03984745075071192	0.010273333333333334	0.0115	0.0042370759608971725	0.11616000000000001	0.1257	0.05024683946469147	367068	0.03514952480469722
fam393	0.03539236359187007	0.026315789473684206	0.04538600914482636	0.0024828571428571434	0.0025	0.0011030224401168641	0.09468095238095238	0.0946	0.05645019902995509	802094	0.024684024684024683
fam1571	0.07149506220389408	0.06006006006006005	0.06599729560226657	0.0023580952380952386	0.002	0.002267315633388059	0.03311809523809524	0.0333	0.016951526302694093	90611	0.009292929292929292
fam158	0.04062830487203085	0.030710172744721688	0.02048647500113244	0.008085714285714283	0.0087	0.0035278329668759646	0.23703047619047624	0.2918	0.12994112009002168	543589	0.05244878578211912
fam1037	0.042607811493278164	0.03252552000202868	0.04345744259114949	0.00695809523809524	0.0084	0.0035618021375590446	0.23548571428571427	0.1955	0.16879256214067492	526111	0.04463045634920635
fam1720	0.08409529484965819	0.06377551020408163	0.062287345546884205	0.013843809523809524	0.015	0.006910198450868505	0.2062342857142857	0.2498	0.11502320662625014	276056	0.053561253561253554
fam1499	0.13674473568356363	0.12585812356979406	0.05613577108362658	0.015656190476190476	0.0166	0.0069012755730478844	0.1257180952380952	0.1541	0.06146766363351025	1821	0.04179271708683473
fam1031	0.030885378047874133	0.03168854685377999	0.01909619095797043	0.0047742857142857135	0.0059	0.0032304512016104493	0.15945047619047617	0.1594	0.07558373738388505	530115	0.03609953265125679
fam875	0.051062455515710856	0.04301075268817204	0.040217479911980034	0.0047780952380952375	0.0045	0.002485768289871304	0.10788952380952381	0.1242	0.05742758574531187	718802	0.03391330891330892
fam1781	0.0849622976852093	0.080797481636936	0.048594044401760385	0.00931809523809524	0.0102	0.005397632301956125	0.11929619047619047	0.1034	0.06790221670245071	361247	0.03624819624819625
fam98	0.017753547122610406	0.0	0.04086644906410444	0.0006142857142857143	0.0	0.001069083147145349	0.060938095238095236	0.0749	0.03576650569604494	486848	0.015480281459662903
fam657	0.15338337377741357	0.127942681678608	0.09667132145555962	0.027906666666666666	0.0299	0.01472812836308012	0.20899809523809523	0.2152	0.11668363330855862	975278	0.06739697443922796
fam1496	0.018227737879439473	0.009174311926605503	0.04169583977127059	0.0012923809523809526	0.0007	0.0012605890715281628	0.10201809523809524	0.103	0.04937070228375256	6287	0.02645502645502645
fam265	0.054971801444226365	0.048262102278693694	0.0719672820447562	0.0017485714285714283	0.0018	0.0017470581687219116	0.032234285714285715	0.0278	0.022065425782567313	657948	0.008947772657450075
fam1040	0.14549752564504473	0.15524611722894155	0.07205005548772538	0.013931428571428574	0.0113	0.009269338233796252	0.11536476190476191	0.0698	0.09990436091435255	523625	0.0333968253968254
fam1786	0.09122969636681635	0.07764460656591976	0.04380856526844026	0.010804761904761907	0.0108	0.005864605389272332	0.11892952380952379	0.1327	0.057342602667873596	368932	0.04003557280297517
fam443	0.11020723547176282	0.1055431690264188	0.022566590063079678	0.011852380952380951	0.0121	0.005703183659577805	0.11067238095238095	0.1145	0.053596404455164164	856532	0.03701900491138159
fam355	0.009170509762410333	0.010297029702970296	0.009344966203214525	0.0012523809523809525	0.0	0.0013138888289635782	0.11261619047619048	0.1058	0.07917018573489044	758050	0.021512373065168098
fam1784	0.10420868251153986	0.0983739837398374	0.030685025683497583	0.00934	0.0096	0.004749127238115392	0.08983428571428573	0.0964	0.03857716528767573	366125	0.02976443231220301
fam519	0.020464071855182866	0.01976788322023294	0.01056587894791721	0.0029771428571428575	0.0029	0.0017644239390618949	0.14380380952380953	0.1661	0.0662150837711534	933606	0.03595627305648628
fam1093	0.05262075467820692	0.04669703872437358	0.05970932124617466	0.005378021978021978	0.0062	0.00340009056756564	0.11541428571428575	0.1322	0.06170759401042736	480255	0.03314453534717851
fam321	0.040372931745449744	0.03618711385701677	0.04793371780491601	0.003237142857142857	0.0021	0.002763891567815108	0.10435428571428572	0.1133	0.07995941831248367	721899	0.027914131878889584
fam346	0.15581194026015355	0.1019522776572668	0.14204806887193147	0.007324761904761905	0.0094	0.005476978328419543	0.06659904761904761	0.0611	0.06710458716168806	750347	0.024349533627884147
fam62	0.7563284277854567	0.7569721115537849	0.0012325605772400515	0.008473333333333334	0.0	0.00941286117796048	0.0033495238095238096	0.0	0.00853965677697182	445131	0.016433239962651728
fam1679	0.12082248701134697	0.11692752184691946	0.05423190552708762	0.01899238095238095	0.0184	0.010979085704305907	0.17151238095238097	0.1701	0.095543558448478	232387	0.05984784446322908
fam922	0.042593678092511446	0.02818181818181818	0.039066700728065895	0.0028047619047619045	0.0031	0.0015407098520073667	0.0890447619047619	0.0983	0.04576894555617666	667726	0.021700600145829824
fam1358	0.06647187868318198	0.06011183597390494	0.02853977456775253	0.008273333333333332	0.0086	0.004761077642452423	0.1300009523809524	0.1487	0.07301866231801304	155551	0.03563941299790356
fam870	0.030512826323946026	0.02220230169668372	0.02759048044502229	0.0027133333333333332	0.0023	0.0019303622490865315	0.10201428571428571	0.1068	0.050072314237123335	722701	0.029793576272449517
fam910	0.058765991055520654	0.04594594594594595	0.07003772455113054	0.004889523809523811	0.0049	0.0027227060701939905	0.10606285714285714	0.1151	0.053052885128032044	682607	0.025538548752834466
fam508	0.09256483710887356	0.08468834688346884	0.08094253814354559	0.006635238095238095	0.0025	0.005957084313213909	0.07540285714285715	0.0699	0.04310360377629	922740	0.02486495470788665
fam155	0.025795037871481175	0.00804093567251462	0.05711365413177062	0.0010276190476190476	0.0011	0.0009816890437836247	0.0731752380952381	0.0798	0.06055832887697515	540120	0.01669376693766938
fam179	0.09597098157246862	0.08179419525065962	0.06127920340024814	0.003314285714285714	0.0031	0.002515757145196142	0.036590476190476194	0.0379	0.025404958360466804	563964	0.0111000111000111
fam885	0.15358056598897815	0.12502777880662247	0.09954551182928047	0.013107619047619049	0.0135	0.008355616249116179	0.10210857142857144	0.0922	0.08191468048470654	706082	0.03519954062589722
fam119	0.016277779984298375	0.012096774193548388	0.008654118548074345	0.0024380952380952383	0.0018	0.001675844120059867	0.14854190476190476	0.157	0.07105962456972968	507870	0.031835818502485166
fam1001	0.08675814040340353	0.08059432687978388	0.07047049204910193	0.009093406593406595	0.008	0.0061106069229291725	0.1236307692307692	0.1163	0.07079485250473036	564793	0.03694178162263269
fam43	0.08638493150694981	0.06067961165048544	0.06527382732729399	0.008265714285714286	0.0086	0.0037109318190969762	0.12648857142857142	0.1542	0.0677446639111552	428237	0.03966562779348167
fam1364	0.0486422834664419	0.030730280118209254	0.04631238593341869	0.00292	0.0031	0.0022261818690946424	0.06985428571428572	0.072	0.03868247795424011	148553	0.02198120028922632
fam174	0.0365721333515815	0.0	0.07810472741691668	0.0007285714285714285	0.0	0.0018575823655757394	0.02942095238095238	0.0343	0.02415967791979456	558994	0.008637873754152824
fam1143	0.016777742134397623	0.019143413367942896	0.013026185884495552	0.0029161904761904763	0.0039	0.00265351963247105	0.15833333333333333	0.1604	0.08351232548514326	416125	0.03319033319033319
fam839	0.06917906060841018	0.07298474945533769	0.046766150876007336	0.007485714285714286	0.0078	0.003971216164241032	0.11326761904761905	0.1347	0.05629863483964115	749502	0.04195455960161843
fam1534	0.04095519140301924	0.03209242618741977	0.03732463937922255	0.0030904761904761904	0.0033	0.0017468624286620861	0.08924761904761903	0.1086	0.04706383323841111	34985	0.022293295427623785
fam1804	0.07722668392959671	0.0	0.17285548056247674	0.0012866666666666666	0.0	0.0022363263526497105	0.03325238095238096	0.0215	0.035127203120843116	384208	0.008841099163679809
fam317	0.06626678132474899	0.04932094353109364	0.04944146375514162	0.006276190476190475	0.0057	0.0033582173221467435	0.11388761904761904	0.0989	0.07700514972913991	718829	0.028720238095238094
fam568	0.06080769359502684	0.056777856635912	0.040252952123944745	0.006868131868131868	0.008	0.0037086735024056726	0.1166967032967033	0.1233	0.05539949904670847	984889	0.03446899121639606
