fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.025501404186612314	0.0048721071863581	0.06556996445953549	0.003982591093117409	0.0019	0.0034295110122089766	0.8895901484480433	0.0766	0.9282854173748364	1049953	0.05983115536891281
fam393	0.11820606322845649	0.04753538311371401	0.1133687094540654	0.02482294197031039	0.0128	0.021833566563016674	0.5049241565452092	0.0719	0.5107045829399757	422539	0.07431879974084542
fam1571	0.06518524902986912	0.02706724296747679	0.08389611678726151	0.017865856950067475	0.0074	0.0156287662637492	0.6757439946018893	0.162	0.6632531540652976	887732	0.07278897698305593
fam1720	0.08006083524735022	0.014745972738537795	0.13830321262715697	0.006190013495276653	0.0045	0.004423676651217597	0.3960249662618084	0.0554	0.398157188776652	719275	0.0501630083181134
fam1031	0.1706626687308468	0.06122217174011813	0.26612550111066585	0.028300404858299592	0.0093	0.024896993457783203	0.48568812415654516	0.0638	0.4847341006789069	1110767	0.0828493509414562
fam680	0.06251565297422035	0.017548321464903358	0.08488195522414002	0.010549928876244665	0.0045	0.009166997946235876	0.791219345661451	0.0515	0.9269334217820833	741648	0.07010261563881107
fam1483	0.06970821207454583	0.007204453662263945	0.17503052582200188	0.005258839406207827	0.0033	0.004582106635285195	0.5080649122807018	0.0998	0.5090406922635832	987805	0.05860253598740441
fam1781	0.10516094181712128	0.049509516223694136	0.1274817189427787	0.05468243243243245	0.0121	0.05555133389385511	1.0549630630630633	0.0583	1.165530312010478	655280	0.09619914031678736
fam425	0.04286962856966071	0.033206072982331525	0.044598300862609686	0.019047233468286098	0.0164	0.018221421408585865	0.5522867746288799	0.1086	0.5574632234928927	460587	0.06726124117428464
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.026957894736842108	0.0346	0.023323965720785673	118207	0.005796834744203164
fam657	0.018725977522967077	0.014484467314655993	0.03292085522223509	0.004150742240215925	0.0046	0.0034438100099021336	0.272795681511471	0.126	0.24118636531810572	717256	0.044863761969025126
fam2317	0.05975243886921041	0.018473756126892504	0.08972369440811485	0.013743859649122808	0.0043	0.012671328669808244	0.893755330634278	0.0791	0.9511579941098292	118409	0.08380022846130533
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.040658839406207826	0.025	0.04114420994026362	478215	0.00574414339596526
fam355	0.011207577539751231	0.00242338961851157	0.03878709081735304	0.0018342780026990553	0.0016	0.0017296920145576846	0.6110535762483131	0.0765	0.6156574432697718	382779	0.05511071125106213
fam2375	0.07987751590188416	0.06544502617801047	0.11930327148196244	0.00181970310391363	0.0025	0.0019692755865049465	0.019238461538461538	0.0187	0.0158950562190901	60184	0.005432919906604116
fam2090	0.13001826141906547	0.04008535284255449	0.16292512257453265	0.018783130904183536	0.0254	0.013725448410055248	0.35977044534412955	0.096	0.35022907969331246	355605	0.06397374555269292
fam2139	0.037055671679667	0.021989984759416503	0.0555367706411215	0.0055198380566801614	0.0034	0.004738064538850666	0.2475246963562753	0.1526	0.22388789547665855	305686	0.041520823912158444
fam2305	0.10752278524158633	0.0824711794265445	0.09524961265948205	0.014675714285714285	0.0106	0.011444376065885591	0.1738715873015873	0.07085	0.15167870502413294	139964	0.040735091980643574
fam519	0.028655415725740097	0.01758569299552906	0.055508026457474414	0.003722332859174965	0.003	0.0035003961113203243	0.16433271692745377	0.032	0.16294166602075644	556605	0.0317815129845205
fam814	0.01026802278018985	0.01238471673254282	0.023007947050023354	0.009276529160739688	0.0019	0.009576577841030113	0.755548079658606	0.1321	0.8015520587196481	904112	0.06168080674659621
fam321	0.034297660781658884	0.016293633306273918	0.052534163363789174	0.014346153846153845	0.0029	0.013856041304019937	0.9039496626180837	0.047	0.9392143301964919	344437	0.08502456832416345
fam346	0.048376804689447654	0.03166370956735362	0.04117765668009246	0.011491767881241566	0.0022	0.010942418285151937	0.3586750337381916	0.0685	0.35775748883940967	375041	0.05181907262690616
fam643	0.07709655101569199	0.060769591740966675	0.09217508332836384	0.012344444444444443	0.0043	0.01190035483133921	0.19891126126126124	0.0368	0.2038204115354232	704385	0.04805272562281908
fam62	0.023456599610160365	0.01198598561681726	0.022209090072807677	0.010047098515519569	0.0041	0.008979237278728278	0.8866295546558706	0.0845	0.9588491598331601	83066	0.06777269960287169
fam922	0.1027945515238682	0.06123951126159281	0.09756976214669408	0.018111201079622132	0.0088	0.015609488663764177	0.2861431848852901	0.07	0.2773317974094639	1003470	0.05537173664344384
fam2091	0.10678333937833463	0.13513513513513514	0.06830820481338552	0.03665303643724696	0.0051	0.037664307887186846	0.2507777327935222	0.0554	0.23850207201840615	355289	0.06716943187531423
fam1358	0.11900960162217825	0.06992639327024186	0.1422589208298196	0.04838448043184886	0.056	0.04294440544323671	0.6708129554655871	0.3637	0.6600807843616098	1114362	0.09896536212325688
fam651	0.044789671224701386	0.02684258416742493	0.08234716881961923	0.0035677462887989202	0.0059	0.0034335054533397437	0.11928879892037787	0.0405	0.10970188444499998	712350	0.029637368856384134
fam150	0.06998662758415229	0.029381367193267387	0.08339832132718841	0.009058434547908233	0.0078	0.006635586775436894	0.2994927125506073	0.076	0.31235141651077203	173279	0.048375534316413914
fam508	0.1865941538014893	0.07927278683154532	0.1811261846851458	0.04875405405405406	0.0191	0.04286412828370561	0.6159456614509246	0.0992	0.6170270004585154	546874	0.1016776894319356
fam155	0.03991562237203585	0.033149171270718224	0.02273991461299596	0.005372334682860999	0.0052	0.0035775131519289903	0.1528309041835358	0.1053	0.11283312485779322	176679	0.032650857914015806
fam119	0.06158209073080073	0.05329153605015674	0.07071556169870072	0.007696896086369771	0.0045	0.007162669650316586	0.1256288798920378	0.0396	0.11918132717669434	142009	0.031934367525821405
fam1001	0.03704949390168595	0.022036543935359473	0.046209764330864954	0.00885910931174089	0.0067	0.0077902332544950775	0.43334993252361675	0.1456	0.48099247809552687	1082694	0.046936051720740724
fam2143	0.07227947934757173	0.023454157782515993	0.14350848780062397	0.007460323886639675	0.0041	0.006560715449517482	0.3162894736842105	0.037	0.3199797049019136	301749	0.04929805512695964
fam43	0.12790160231637343	0.021713557494363298	0.20433626614897166	0.021638056680161943	0.0079	0.01940651791677238	1.182048987854251	0.0544	1.2725409991999175	65891	0.08466752545699914
fam1364	0.021164365822902233	0.0	0.0833886838609153	0.00044628879892037786	0.0	0.0007769818542831822	0.09887287449392713	0.0631	0.0855231648171843	1106738	0.019552233641302468
fam1587	0.03324251225339512	0.026756364192340037	0.027718537257015466	0.01810013495276653	0.0037	0.017779567568525338	0.6872048582995951	0.0583	0.7020404182305308	867438	0.06927475383615735
fam2161	0.027939526425242854	0.03656884875846501	0.02364018815543886	0.00864966261808367	0.0023	0.009019321920320162	0.1918995951417004	0.0915	0.181050291288207	288460	0.037195900353795094
fam1446	0.18866758947941287	0.05855855855855855	0.238785786528972	0.014619838056680164	0.0113	0.012587812925674463	0.23979176788124157	0.0368	0.24141241410482422	1033295	0.04953394517047238
fam1143	0.05155445628983191	0.031935017247134746	0.07659039972894569	0.026578528528528527	0.008	0.026428218918272357	0.9517172672672672	0.13219999999999998	1.062083736661484	1239977	0.08275703588203588
fam933	0.012887420163977321	0.013451140709481738	0.01679643325776043	0.005307422402159244	0.0048	0.005225315877012497	0.35623238866396767	0.0371	0.3727295205590559	1013944	0.04757989875957208
fam1534	0.045060082392134174	0.01625607507960449	0.11395344015510611	0.007756950067476382	0.0096	0.008024710210578857	0.3065539811066127	0.1211	0.2936197377891573	919730	0.05635360956998385
fam2304	0.16044984275296664	0.09662853702588801	0.17272604451065995	0.016288798920377868	0.0102	0.013383810845735932	0.16363765182186235	0.0655	0.15623567658835313	140843	0.040927639611850135
fam1447	0.04192268739020769	0.015339499210466954	0.07615768760185249	0.02392348178137652	0.0063	0.023910509364140218	1.4747946018893385	0.0641	1.538030680020204	1032644	0.08430049482681062
fam1804	0.007541179568410639	0.0	0.0412342455849085	0.0005319838056680162	0.0	0.0006880628441287447	0.3312112010796221	0.0654	0.3216926434317368	633106	0.044074042170346765
fam1584	0.02068465072696095	0.015175237158360382	0.04855053248205346	0.007230904183535763	0.0019	0.007351445761412645	0.4659649122807017	0.0541	0.467432089892093	871408	0.05565180333336422
fam2045	0.0622951046649366	0.03290372394131971	0.09155528435455926	0.028097300944669366	0.0127	0.026001659725959306	0.882482995951417	0.1917	0.8931456464260215	404093	0.09012929124996366
fam2116	0.04840102247963555	0.019068103461145694	0.07202291461489249	0.006166531713900135	0.0028	0.005520736273055666	0.310812955465587	0.0619	0.30982863039109804	331931	0.045203077228054916
