fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	0.03509705267704033	0.02725933202357564	0.018031725610116487	0.011150000000000002	0.0119	0.0075609192562809445	0.3778972222222222	0.44455	0.2589770629977694	344397	0.058613264427217926
fam1571	0.021088694208453145	0.0202020202020202	0.006120445919957074	0.010058333333333334	0.0126	0.00630988532207819	0.4627861111111111	0.5954999999999999	0.26390746395151654	183233	0.06844321215855412
fam158	0.02327634431901576	0.025806451612903226	0.011456783388229998	0.013144444444444445	0.0172	0.010252951998881007	0.5124277777777778	0.6193500000000001	0.39236288377180684	120445	0.06676744771982868
fam1037	0.05989437973529568	0.06132914311078033	0.027355947536286923	0.023544444444444444	0.030600000000000002	0.02007665095528253	0.3804083333333333	0.46285	0.3246986289665815	681549	0.06920789402541228
fam1499	0.04008999186210094	0.04138988247317322	0.00810337261643143	0.011519444444444443	0.013049999999999999	0.007480634979155046	0.2714777777777779	0.30779999999999996	0.15730421007135453	245564	0.04892812709350178
fam1031	0.0781057529443332	0.07613319642071292	0.036997638659388876	0.03242222222222221	0.0333	0.02315066727033431	0.3794777777777777	0.4362	0.26893429919582706	689148	0.0760192966075319
fam680	0.03304500222684348	0.03591954022988506	0.011379190586607786	0.019677777777777777	0.02015	0.012092700073256113	0.7048166666666665	0.59135	0.6134481162974492	616622	0.08146449201495072
fam1483	0.02985511075902097	0.033648790746582544	0.010601665478278285	0.016961111111111114	0.021249999999999998	0.011991693369851616	0.49296666666666655	0.6473	0.3022124344820305	260111	0.07801662086114382
fam425	0.07246078541575998	0.052516010978957	0.04233261987791443	0.023891666666666665	0.0281	0.01214462329592812	0.43830555555555556	0.51855	0.31815461907035464	380361	0.07260675976522972
fam98	0.0349268826858301	0.043268648209180124	0.017731448669717924	0.03011944444444444	0.0435	0.02525870388427681	0.6786638888888887	0.9921	0.5456630462885284	59277	0.08994708994708994
fam657	0.10636122087282691	0.07486250464875219	0.11529208832324357	0.04164722222222222	0.0278	0.034849681061119166	0.4594055555555556	0.33975	0.432787816207925	596973	0.09027777777777778
fam1496	0.06700493632471854	0.05776686482295166	0.024426758699732626	0.02416944444444444	0.026549999999999997	0.017186991518853313	0.42715	0.42845	0.33893779952145264	248186	0.06910896403650028
fam265	0.06696487165982505	0.07437185929648242	0.03045103677864763	0.02667777777777778	0.02855	0.018943954050348846	0.34766944444444436	0.4223	0.2225294535055284	217796	0.07714752567693745
fam1040	0.3835477633736354	0.2616875712656785	0.2862113921870611	0.02903055555555556	0.03535	0.02215183488066501	0.12130833333333332	0.11399999999999999	0.11148017106941784	679418	0.04266521423384168
fam1093	0.034655627602527606	0.030281935259310822	0.018925992427888196	0.03686111111111111	0.0398	0.017784188948141825	1.3002555555555555	1.36855	0.9026357750882333	626753	0.12037037037037039
fam321	0.08854796606115367	0.07739499764039642	0.026329311658302962	0.03341388888888889	0.0386	0.016277901734454085	0.41404722222222223	0.4736	0.22596355346003025	270671	0.0847953216374269
fam594	0.012397253679425225	0.016540317022742935	0.010072973878913299	0.014266666666666669	0.0216	0.012444409722173781	0.7921138888888888	0.8604	0.7307802372019079	539702	0.07744430254008798
fam346	0.15074033915603538	0.14035087719298245	0.07054834838746137	0.034975000000000006	0.0363	0.025442728441650193	0.30735	0.3461	0.25535437630868985	294812	0.07068997931942095
fam643	0.013718491770163875	0.0	0.02928050419809303	0.0006222222222222223	0.0	0.0011640711869963373	0.053158333333333335	0.05745	0.027754032489792264	583756	0.007216775599128539
fam62	0.07783762981960021	0.0607940446650124	0.040339081803814736	0.007833333333333333	0.0098	0.007504035951110278	0.11535277777777779	0.1492	0.10930521865682939	25380	0.02253458277554663
fam1679	0.025820038747104517	0.025116822429906545	0.012176793852214835	0.010477777777777777	0.0127	0.005708819254797845	0.4174	0.46625	0.19013836044078825	82137	0.06464798131464797
