fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.011356216133682503	0.0	0.036096570394687146	0.0005960227272727273	0.0	0.0023468715667881407	0.04957727272727273	0.0857	0.04455948414659294	486090	0.016514151415141513
fam4124	0.0	0.0	0.0	0.0	0.0	0.0	0.11664715909090909	0.2144	0.10662989744817362	730586	0.018518518518518517
fam1785	0.03316608091550573	0.04841402337228714	0.025746809568513294	0.009978219696969695	0.0	0.010130640920834414	0.21150397727272727	0.1005	0.17858103394520616	1818336	0.04278132891414141
fam966	0.018520743660789606	0.019938650306748466	0.017944904986236642	0.0008098790322580644	0.0013	0.0007885542006116569	0.0403945564516129	0.0473	0.03150539365313103	1009310	0.010193374956642387
fam393	0.028333554696498207	0.026239067055393587	0.023338410360902867	0.0018821969696969697	0.0018	0.0020630096484718116	0.05655776515151516	0.0686	0.03830339579066537	415404	0.01635448977968663
fam3872	0.10321795990183896	0.11501210653753026	0.037866525413395226	0.006388825757575756	0.0095	0.004427660147157919	0.057569886363636365	0.0744	0.033175667401920406	992245	0.017264309764309763
fam158	0.12136479054957126	0.10801186943620178	0.06558189702360599	0.010744886363636364	0.0136	0.008694957415466952	0.09515606060606062	0.1029	0.07913630455181452	165189	0.02569140603899962
fam4609	0.12081743175358789	0.10701754385964912	0.10144188535293965	0.0038443181818181814	0.0061	0.003461329376161056	0.03594128787878788	0.057	0.03468418991643816	234075	0.01153570251458927
fam1037	0.05712496660410128	0.037004405286343606	0.07019489712887818	0.002946590909090909	0.0028	0.0025233732622272544	0.08172954545454546	0.1135	0.06250112300643978	1079012	0.016894534571302244
fam3479	0.09364192347875389	0.03965702036441587	0.09246192598468943	0.0023486742424242424	0.0025	0.0016644222038502974	0.05601534090909091	0.0933	0.04948015529931557	1388929	0.01232174688057041
fam4712	0.21356582922757225	0.22028262676641727	0.11443939893673578	0.013604545454545452	0.0104	0.012671535828301708	0.07052196969696971	0.1203	0.06372920642986935	103538	0.043088935330314646
fam3276	0.22162977632974265	0.20512820512820512	0.06286588328182581	0.007140530303030303	0.0096	0.004919837059138815	0.033485606060606056	0.0444	0.023083248164953125	1588730	0.013910121946883777
fam1499	0.0	0.0	0.0	0.0	0.0	0.0	0.045281439393939395	0.0694	0.04231278815993504	1511855	0.008750000000000003
fam2659	0.019143286896960265	0.027218934911242602	0.015156326446757578	0.001158712121212121	0.0023	0.0011499669990673582	0.0434594696969697	0.0616	0.03422600056784745	2206597	0.010825358851674642
fam3994	0.09213902423099082	0.042277975518708225	0.06804626024748049	0.022611182795698924	0.0196	0.017947905610552317	0.4842591397849462	0.1444	0.5148833467709513	882251	0.08010130818719399
fam3345	0.10955132505992768	0.0948678071539658	0.05374235560725818	0.005711174242424243	0.0061	0.004329467405477737	0.050168560606060605	0.0643	0.03283530407020301	1516792	0.01753341272991928
