fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.0	0.0	0.0	0.0	0.0	0.0	0.0020818149146451036	0.0	0.004556578918556707	119148	0.0005528216710491247
fam1037	0.201455285490121	0.19886363636363638	0.09072905602472572	0.01241492673992674	0.016	0.01012850828714861	0.06260117216117217	0.0637	0.04842373814781812	814736	0.0263755120897978
fam1720	0.13614936426005161	0.10989010989010987	0.10688346987228572	0.004232897684839432	0.0043	0.0032983034606345386	0.03737496265870053	0.0458	0.026681832705179643	173151	0.009396891169518792
fam680	0.80045987081084	0.6666666666666666	0.4885157845065191	0.0025821024258760104	0.0024	0.002083365745729561	0.0034414734950584005	0.0036	0.003265341643662508	1025521	0.002786798830128943
fam1781	0.0	0.0	0.0	0.0	0.0	0.0	0.002442641509433962	0.0	0.006034742646425896	120770	0.0005494108291766067
fam1195	0.16702930751742062	0.1552346570397112	0.049590836848318755	0.009374393530997303	0.0101	0.006201585761878553	0.05498645103324348	0.0638	0.03196737745947641	671933	0.022937347043697886
fam98	0.14776238630353106	0.10050251256281406	0.19920130497901786	0.0012165318957771789	0.0	0.0013967025128351484	0.00798093441150045	0.005	0.0073124448948223295	425676	0.016322994710644797
fam657	0.03314418499515183	0.03486750348675035	0.02625552791168883	0.0010935849056603773	0.0012	0.0010148157615316308	0.031458831985624436	0.0383	0.02292294909912861	999569	0.009447864360030919
fam1988	0.5238740012696569	0.47668393782383417	0.3798787259597639	0.008878286034353994	0.0092	0.007873463488756035	0.007440291262135922	0.0	0.01034171029542547	77927	0.008311896661411225
fam1040	0.26671448003565584	0.2435897435897436	0.15918607974425883	0.007570253436426116	0.0076	0.006316617309233053	0.03217411941580756	0.0417	0.027714189888480293	812134	0.05615871993127148
fam1786	nan	nan	nan	9.622641509433963e-05	0.0	0.000693898547353447	0.0	0.0	0.0	118861	6.836204539239814e-05
fam1784	0.0	0.0	0.0	0.0	0.0	0.0	0.009709847259658582	0.0116	0.007304524073772732	119487	0.0024026980220581535
fam2090	0.13578903645230656	0.13472671671972525	0.03170595960885391	0.024665876010781674	0.0282	0.014695750770871738	0.18398938005390839	0.2124	0.10596746123031209	177039	0.08097481914814217
fam2139	0.2299942556753015	0.21884200196270853	0.0680636886125398	0.016728337825696316	0.0188	0.008499096734680722	0.07947500449236299	0.0882	0.046687556407386345	238237	0.04209582563145837
fam814	0.11093815381662134	0.062228654124457314	0.12652228178022334	0.0033676565771939846	0.0	0.004831735128726734	0.028383457072149246	0.0351	0.022805067603472	1006903	0.008174143443785281
fam321	0.1303420654559593	0.12224938875305624	0.10651690480295271	0.003291787960467205	0.0017	0.003437666593785058	0.025773530997304585	0.0299	0.01784420795700724	646773	0.008746250776664743
fam594	0.0835134568677059	0.07290867229470453	0.04777933739965862	0.007895633423180592	0.0074	0.006188287401934867	0.10494389937106918	0.1056	0.07781344881690137	931863	0.028323811243374304
fam346	0.011973732455920998	0.0	0.016366789091053977	0.0011098292902066488	0.0	0.002019983379871033	0.05157203953279425	0.0486	0.05629251683674437	670641	0.01614228784040105
fam643	0.004180014822429683	0.0	0.04093442576500947	8.490566037735848e-05	0.0	0.0006122634241353943	0.0019527762803234505	0.0	0.004276816661476083	983925	0.0006237473218605293
fam62	0.06064334632548558	0.05491329479768786	0.051281794183001064	0.005627539208364452	0.0063	0.003724353875995899	0.09493082524271845	0.1224	0.055516468098780275	389047	0.02823523673038236
fam1358	0.12358787404055603	0.15	0.11551860177335585	0.004182860343539955	0.0	0.005555432629322642	0.023276699029126213	0.0081	0.02820903048764362	522057	0.03873330014106713
fam651	0.12107079015873187	0.10340775558166863	0.05732031852531722	0.005981794871794872	0.0068	0.004553077098419214	0.05376532967032967	0.0669	0.04167428799215678	992991	0.018656454656454657
fam870	1.0613776116191547	1.2026143790849673	0.8873253381050182	0.005643782673637042	0.0	0.006371065435837298	0.0038298356982823002	0.0	0.004737195552818275	955654	0.005008584837968047
fam508	0.19587281351005514	0.1829787234042553	0.09186746684127185	0.005256064690026953	0.0057	0.0037817419180476955	0.030963629829290202	0.0309	0.02494111778681873	834475	0.011941686710232356
fam179	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	500758	0.0
fam2021	0.13803633072858923	0.10251450676982592	0.16059482823406376	0.009987996406109615	0.0105	0.007658323498443734	0.09787024258760106	0.1034	0.07978448758130499	104485	0.026995376153222454
fam1934	0.05421437561782645	0.04797047970479705	0.02626174504533679	0.0023292003593890385	0.0026	0.0017741776091943634	0.04638170709793351	0.0566	0.032721208636906134	31944	0.011453642580068972
fam2143	0.6573611321441626	0.5414507772020725	0.34651483007295425	0.014639991408934704	0.0	0.01849629719143106	0.024956765463917525	0.0377	0.028965639478176566	245361	0.0177262313860252
fam1587	0.04753444068662131	0.04675324675324675	0.036163427320876934	0.005962764511745292	0.0089	0.0046014308679463364	0.12582879052611143	0.1521	0.09377397001829782	291236	0.03447831723894624
fam2024	0.05071437350675505	0.038860103626943004	0.04788738887542014	0.0022719137466307277	0.0018	0.0022764634272478866	0.05715545372866128	0.041	0.053646448754484544	108658	0.013054307676949187
fam2161	0.07329270915659888	0.06316725978647687	0.06106197515914589	0.0031474213836477985	0.0024	0.002915185494687708	0.04922039532794249	0.0434	0.03998849460572423	258417	0.012563974576553191
fam174	0.8929473200661162	0.2375	1.4685910463545178	0.0031807326007326003	0.0019	0.0055149535824347345	0.0058796886446886455	0.004	0.005329572577524564	496426	0.00401051939513478
fam1143	0.13140999749495544	0.09207161125319692	0.15026918492832583	0.0040161725067385445	0.0012	0.005943766801192071	0.025856424079065594	0.011	0.025909800214222258	718246	0.010840686312384428
fam933	0.09055004035507307	0.07986111111111112	0.051734353611706745	0.008643486073674753	0.0098	0.005637593880064845	0.10253917340521114	0.1155	0.06701695592152705	908441	0.027783348782004627
fam839	0.419039973592243	0.4182692307692308	0.21000701234450175	0.0035763162623539983	0.0022	0.00417883467085709	0.008118041329739444	0.0	0.013444903433231858	986525	0.004842495031174276
fam1447	0.2616391181579507	0.19384057971014493	0.16573204181353254	0.008378846153846153	0.0048	0.008128070204891459	0.0440090926064227	0.0267	0.04657975519016219	430889	0.01769827371601727
fam1584	0.11382178803064286	0.09438040345821326	0.07504788137659003	0.005116783468104223	0.003	0.005272459637045405	0.057607439353099726	0.0415	0.06274120703779129	294238	0.03263605501931632
fam568	0.08591860426968065	0.07171314741035856	0.08378033242699089	0.004366469002695417	0.0036	0.0047443188348603805	0.05885787960467206	0.0502	0.05453854017332218	906304	0.015593978042206299
fam645	0.13699827213068144	0.1111111111111111	0.12908944131939856	0.004386721611721612	0.0021	0.004506206694768874	0.03582564102564103	0.0377	0.03819868280685644	986433	0.011668402952806623
fam1765	0.010930064446510053	0.0	0.054594554281543035	8.30188679245283e-05	0.0	0.00042129422017098936	0.004993243486073674	0.0061	0.0048114207116157146	127830	0.0013826010345519414
fam732	0.0541515535632859	0.05614973262032085	0.057500270700798085	0.00801832884097035	0.0021	0.008462797296859392	0.13368659478885891	0.0805	0.1324097590885265	1078157	0.04073917713381228
fam2075	0.011881531964700676	0.0	0.02422637601097	0.0009225641025641027	0.0	0.0018241752666342175	0.0556114652014652	0.0574	0.043042914317512934	158206	0.012724168192918195
fam2128	0.0858341771941184	0.08590645062671966	0.04554645968682122	0.011218274932614555	0.0122	0.010024592863231829	0.12712037735849055	0.1384	0.08860869987973483	223701	0.032151324057513433
fam622	0.022480378632717134	0.0	0.07210420683114115	0.0007155795148247977	0.0	0.0017255023491392122	0.032855920934411496	0.0182	0.04365477851123823	964828	0.009749164125903995
fam1736	0.21400098805099924	0.21074380165289258	0.06014337070428564	0.013161098901098902	0.0134	0.0093613164109682	0.06610402930402931	0.0562	0.05109498798269281	155582	0.023825887743413515
fam1604	0.12439117261648128	0.10273972602739725	0.09328398578197146	0.012089798534798534	0.0116	0.007401154768061786	0.11403402930402931	0.1348	0.07455738574243596	280782	0.033476840619697766
fam1808	0.00026535057463095217	0.0	0.0016745334801973133	2.2641509433962265e-05	0.0	0.00016327024643610514	0.049516783468104224	0.0445	0.0387988216223837	97207	0.013468271451223276
fam1334	0.1493250772106011	0.14935064935064934	0.08132968888299077	0.0030028212039532793	0.0038	0.0021084796797990286	0.019215345911949688	0.0193	0.012023888691844911	549066	0.007502973101067991
fam504	0.09784147928139118	0.09798994974874371	0.02747738017677488	0.013668014375561545	0.0153	0.008713321652757431	0.1425096316262354	0.1555	0.09420602888605725	832217	0.03768168487650523
fam1564	0.3127673082436722	0.26	0.1712920336582051	0.0019099305701662107	0.0013	0.0020496945874360923	0.006232274353040185	0.005	0.006807829694802013	313337	0.00281053872628608
fam363	0.3151895761202771	0.3824701195219123	0.14746849566241776	0.004816927223719676	0.0048	0.004074191235547753	0.019970170709793355	0.0126	0.021823626375213817	687225	0.008876044744552817
fam1318	1.672358859439522	1.781456953642384	0.8374817494692047	0.015226282051282052	0.0131	0.01249047430836474	0.0048189010989010996	0.0	0.007540958361168067	569107	0.011902252998143409
fam530	0.061305769735305354	0.05508474576271186	0.03438440293867909	0.006691338724168914	0.0051	0.005468100131890585	0.11559442946990117	0.1294	0.08021208005953798	858682	0.032662675698503556
fam1145	0.48316357543115374	0.4622496147919877	0.14123878967006992	0.02815805929919137	0.0344	0.021601973600563228	0.059898059299191383	0.0564	0.046690865678770205	716160	0.03545853938069062
fam1713	0.22700508076638004	0.38785046728971967	0.191083018498846	0.0031869345676414896	0.0	0.0040367071943597935	0.010160572270145172	0.0	0.010685010089610092	181352	0.005112059551361044
fam1685	0.2755782642620341	0.2077922077922078	0.29769695449541517	0.0020284249084249087	0.0016	0.0022459498938489112	0.007326318681318681	0.0076	0.0064300056113644624	207618	0.004186769720750304
fam229	0.2110315204571704	0.21686746987951805	0.08712065324230925	0.008339353099730459	0.0094	0.006772647298020831	0.04064751123090746	0.0498	0.03168040630108326	548698	0.01723375346656447
fam116	0.1412435955984212	0.09115281501340482	0.16250125844457908	0.007437051282051283	0.0085	0.004855863389118397	0.08108179487179487	0.1028	0.06064922520849015	445248	0.025664541220096773
fam2014	0.17834950731861865	0.16272189349112426	0.06715702983079522	0.0030192307692307693	0.0023	0.0027706666251063414	0.017778827838827838	0.0143	0.016452003187528513	100549	0.006946816321816322
fam1797	0.011422958020528963	0.0	0.06216367183853348	0.00014339622641509434	0.0	0.0007276900166589818	0.014606972147349503	0.0097	0.022387331842820258	110752	0.004091093920822407
fam1899	0.06676635495335398	0.06583969465648855	0.03850536815966876	0.004522785265049416	0.0053	0.0026984062657933014	0.07347757412398923	0.0861	0.038621520103944436	1401	0.023430490746376324
fam1501	0.22995599922697307	0.2128982128982129	0.11663725044661595	0.02162346810422282	0.0274	0.017667669647564947	0.09435784366576822	0.1287	0.07078990170434403	377444	0.041516378677986555
fam1312	0.21479474101321466	0.1752021563342318	0.15916164264058505	0.0033297394429469902	0.0032	0.002611420357642806	0.011449344115004492	0.0	0.01404088581296003	574233	0.004977949699251731
fam1331	0.03936419198544526	0.0257201646090535	0.04061613622401513	0.001872201257861635	0.0025	0.0015484246717188525	0.06141775381850854	0.0644	0.06496639173428549	552735	0.05722376971082334
fam1979	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	71817	0.0
fam2153	0.00267648947315062	0.0	0.026235513578240745	6.226415094339624e-05	0.0	0.00044899317769928927	0.0027412578616352198	0.0	0.005419799434577405	252050	0.00419567984426475
fam2012	0.11949149023165588	0.11003236245954692	0.1132136883398962	0.004428956043956044	0.0051	0.003656199813830468	0.03952397435897436	0.055	0.030630843441191047	97628	0.014721018418201517
fam942	0.5626671604574265	0.5572519083969465	0.37511074125686017	0.006957502246181493	0.0048	0.005934008450863428	0.010633063791554358	0.013	0.011377700137747615	896913	0.0078775555240302
fam949	0.05569739804020822	0.03442188879082083	0.08109834487372895	0.001364690026954178	0.002	0.0012460908570936329	0.0356766576819407	0.0369	0.034761446195019724	888262	0.010302230888340884
fam1221	1.245725628051255	1.2021276595744679	0.5835542280699689	0.019374505494505496	0.0226	0.014929720654499814	0.0156739010989011	0.0185	0.013879265710028007	651397	0.017940965560013178
fam1393	0.0997356612666253	0.0974914481185861	0.04765671088633643	0.012956765498652292	0.015	0.006591806804011721	0.12675441150044922	0.1535	0.06397717737188766	488649	0.03857968203026049
fam74	0.06767185965657199	0.021634615384615384	0.08715094845324069	0.0013081940700808627	0.0009	0.0014805760243749911	0.028060718778077264	0.0227	0.023737797614815835	401527	0.008870117650388042
fam1512	0.08338968468382635	0.07699037620297464	0.047723667970757624	0.007055507637017071	0.0077	0.005440211065796792	0.09082050314465408	0.1114	0.06811196320106724	360665	0.021721268288354245
fam1730	0.06520413398037542	0.0546875	0.05562666642591763	0.002808212039532794	0.0028	0.002649984478748671	0.04821340521114106	0.0391	0.049381261218842586	165313	0.013999473622115134
fam868	0.14320526977757828	0.19047619047619047	0.09250006849297737	0.0014615567765567765	0.002	0.001689301650768519	0.005586227106227106	0.0	0.010696737925591572	957560	0.0020914961213468674
