fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.030388445951367027	0.022831050228310504	0.014175519995667149	0.022359999999999998	0.01	0.02476246622074088	0.54744	0.4678	0.4540483568960469	1997303	0.09831649831649833
fam393	0.04644503338726217	0.024033437826541278	0.04422873452543141	0.036919999999999994	0.0035	0.04899405678243026	0.43576	0.2934	0.3976900934144576	434489	0.09410430839002268
fam1571	0.0997301930318191	0.10487793229550443	0.037321023175602	0.04409999999999999	0.0139	0.05065330525576128	0.3410200000000001	0.1794	0.3480690739877168	1764722	0.10092879256965946
fam158	0.01108958723883377	0.0	0.016512059665669005	0.027426666666666665	0.0	0.03878821928827818	1.0388866666666667	0.151	1.4491235552874329	170788	0.09629629629629631
fam1037	0.04755730247603062	0.026199113260781944	0.05028458956974004	0.017473333333333334	0.0049	0.0211400872488476	0.30100666666666664	0.2419	0.2511570065826465	1128629	0.07590683466972127
fam3479	0.048160811527294255	0.04158790170132325	0.02936586506132067	0.022560000000000004	0.0079	0.024280439315081045	0.45798000000000005	0.289	0.4116555035463512	195125	0.09031716026044949
fam3276	0.05707686046743679	0.06756437514764942	0.02193291584515197	0.058846666666666665	0.0227	0.06615506900877328	0.8528599999999998	0.4835	0.8742577719033062	442033	0.13326071169208425
fam1720	0.049066448593654846	0.05430932703659976	0.01873994937139708	0.03892666666666667	0.023	0.03813309090832032	0.7611333333333334	0.4235	0.7926657544149502	1921824	0.12232606438213914
fam2659	0.07460652775007245	0.059459459459459456	0.04197436244274838	0.05632	0.0196	0.06360015932894089	0.5488733333333333	0.4419	0.4940549759782699	1130577	0.12217723796671168
fam1031	0.042490418787865476	0.0193504963822985	0.04340782629383378	0.04861999999999999	0.0115	0.06150128670740691	0.6335666666666667	0.5943	0.5297654017476876	1123877	0.1297465886939571
fam3345	0.029690001104454612	0.02938418255704908	0.02026589407343987	0.028813333333333337	0.0094	0.034878281048367175	0.6082133333333333	0.3221	0.6027466265539959	365982	0.10900649953574744
fam875	0.024904899309142955	0.022505114798817914	0.007949610370761152	0.014833333333333332	0.0098	0.013856053630894413	0.5623866666666667	0.4323	0.46885551984474805	949087	0.09010416666666667
fam1483	0.06609901059699348	0.029274395329441198	0.07799685242837716	0.013753333333333333	0.0026	0.01584915840737994	0.46049333333333337	0.1251	0.558593659668835	1670987	0.0616101131071191
fam1781	0.05839169925180342	0.04517277681446619	0.024842410163187462	0.025580000000000006	0.0103	0.024218428245174513	0.5416133333333334	0.2805	0.5504414796223925	1991271	0.08921330089213302
fam425	0.05832850833876307	0.0392156862745098	0.04936811958356228	0.013533333333333333	0.0024	0.01746087690301441	0.13227333333333333	0.056	0.12396941809261759	462805	0.04060913705583757
fam1195	0.009650605465184115	0.0	0.013710165325856985	0.010939999999999998	0.0	0.015471642877643386	0.5112133333333333	0.4027	0.46897153554939297	1333767	0.0842105263157895
fam3379	0.0344233091456958	0.02782874617737003	0.019781575371075378	0.034159999999999996	0.008	0.040946889177730386	0.6904733333333335	0.3171	0.6862997075784181	331605	0.10362694300518135
