fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.05716770170841105	0.053201970443349754	0.017870056986845326	0.01628787878787879	0.012150000000000001	0.010180708363035766	0.29026515151515153	0.2469	0.16238612372836078	54258	0.06306786457540225
fam1785	0.029395640967389672	0.0	0.03563616094274579	0.0074045454545454545	0.0	0.01003825156540511	0.17073030303030304	0.1391	0.09916377480330964	2542375	0.042395104895104896
fam393	0.028871426020734142	0.029092488059053408	0.00821256493084613	0.007709090909090909	0.0068	0.004211122619802024	0.2625954545454546	0.2267	0.12429643871128626	807410	0.04414141414141414
fam5072	0.01069940374250975	0.011099899091826439	0.004416803975445298	0.0036969696969696973	0.0027	0.0026759857825056988	0.33636515151515156	0.246	0.23453009724309548	514966	0.05299849884232756
fam1571	0.11759570726628414	0.11811023622047245	0.03619476845412929	0.04451212121212121	0.0419	0.025871550510232072	0.3634833333333333	0.35245	0.18170578582150348	2005602	0.09916327453640886
fam158	0.06148038153820701	0.06090133982947625	0.01928761228741817	0.020996969696969698	0.01625	0.012626774939101356	0.336619696969697	0.26844999999999997	0.1604025799117097	559054	0.07066302560488608
fam1037	0.1326259891886303	0.13292117465224113	0.040139530104415205	0.03474090909090909	0.0315	0.0162159197617344	0.27011969696969695	0.27685000000000004	0.11011037743142102	1444188	0.0852326685660019
fam3479	0.06036497588608141	0.05540325226111814	0.02380994450816792	0.016030909090909092	0.0146	0.006237682341361697	0.28321090909090907	0.2628	0.10454060659115327	758176	0.06692287304532202
fam3276	0.05810630576013676	0.04844006568144499	0.035042516117582606	0.016434848484848486	0.0133	0.012152160207317705	0.2494681818181818	0.2512	0.09188844217737682	995434	0.061612434306161236
fam1720	0.1106379482039673	0.11234567901234568	0.03087546950949928	0.015309090909090911	0.0132	0.008923661554383946	0.14378030303030306	0.0987	0.08766097957074237	2159715	0.040795454545454544
fam2659	0.09524285843937057	0.09282617264485614	0.026692522911033252	0.041678787878787885	0.0474	0.018105352591710446	0.4452818181818182	0.4979	0.18976558019566467	1647096	0.10306012151030601
fam3994	0.03230774811272172	0.03242565388749552	0.009584128868807228	0.010775757575757577	0.01185	0.005027471820997852	0.3501969696969697	0.33709999999999996	0.16733916110493116	204284	0.050261878039655816
fam1031	0.0592284054450948	0.06069160197600565	0.028542940500216593	0.016565151515151515	0.0138	0.011568183802663005	0.27017424242424243	0.22835	0.1319702162342357	1439161	0.057128663686040734
fam3345	0.0437496336910979	0.043683589138134596	0.03046312059820289	0.020927272727272725	0.0093	0.020546558699212025	0.7992060606060606	0.1713	1.0136055802862924	911833	0.08739214002371898
fam4095	0.06732254923258706	0.06635294117647059	0.017516825032750878	0.015506060606060607	0.01475	0.008485689893345378	0.22811363636363638	0.2218	0.1074936585675239	82711	0.05798037190082644
fam4190	0.05371687908544989	0.05088309503784692	0.022413254475686803	0.016168181818181814	0.01395	0.008125421370722299	0.36903030303030304	0.24760000000000001	0.26817676269845475	22435	0.06814173480840147
fam1781	0.022092736190711643	0.020840450973693202	0.01047755560852453	0.007860606060606061	0.0056	0.005948003963334427	0.32054090909090915	0.28395000000000004	0.13301302280429986	2546063	0.05124945601136078
fam425	0.043505854449768074	0.0448662640207075	0.014717513815756571	0.014227272727272727	0.0133	0.008530951587380268	0.3185939393939394	0.2623	0.16960519295829526	848937	0.06270475020475019
fam1195	0.09079577115679394	0.09199020636586219	0.02015881507282752	0.0322469696969697	0.0262	0.01962193592908565	0.3455560606060606	0.27605	0.1759422332271761	1607157	0.08419437932331918
fam5807	0.07269507885702332	0.06564973933191735	0.025811999438714126	0.02393787878787879	0.02605	0.009922514422773903	0.3589409090909091	0.28075	0.19021189856775342	135280	0.0740423098913665
fam3379	0.014005782623900835	0.01540383014154871	0.009037599398745997	0.005772727272727272	0.0037	0.005121539347623544	0.36158484848484845	0.3528	0.15383459559128634	866515	0.05828193438812908
fam3111	0.013893252075391788	0.01448400724200362	0.005103365481496177	0.00403939393939394	0.0035	0.002518169055140322	0.2831939393939394	0.3002	0.1367619795636863	1171920	0.042973083435511185
