fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.15390304690952228	0.14159292035398233	0.11943778818275645	0.001182222222222222	0.0016	0.0009962794986880805	0.011506666666666665	0.0056	0.011854833050982484	1054894	0.007463312368972747
fam393	0.04660445573578268	0.0	0.09715487877403044	0.00017999999999999998	0.0	0.0003599999999999999	0.009204444444444444	0.0069	0.008244350403776328	446150	0.0020202020202020206
fam1571	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	874804	0.0
fam158	0.1571626187196465	0.10453648915187376	0.14033506135966553	0.0039044444444444443	0.0053	0.0022047378836955807	0.038233333333333334	0.0338	0.029833888262995302	179623	0.01186970102632753
fam1037	0.05076142131979696	0.0	0.0802608543189944	0.0012444444444444447	0.0	0.0016753846066640678	0.00916	0.0	0.009792500531869613	1134366	0.0024041585445094215
fam1720	0.19226785813806407	0.19879518072289157	0.0576518187248824	0.0022044444444444446	0.002	0.0012844290656518786	0.012202222222222224	0.0138	0.007239505473868559	709240	0.0074074074074074086
fam1499	0.07744258795838163	0.08108108108108109	0.03371594443491804	0.0006399999999999999	0.0007	0.0005017303392593808	0.008593333333333335	0.0061	0.006287179194378208	960479	0.002207593589999335
fam1031	0.2978555677036334	0.24	0.2612453846878755	0.00208	0.0018	0.0013120975573485381	0.007753333333333335	0.0075	0.006277812782596605	1129138	0.003165421386679522
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.00352	0.0	0.007039999999999999	758559	0.0008658008658008658
fam1483	nan	nan	nan	0.0028799999999999997	0.0	0.003877318661136842	0.0	0.0	0.0	976917	0.00188124632569077
fam1781	0.180697446621539	0.23456790123456792	0.12142220154993737	0.0006466666666666667	0.0005	0.0007784885641064	0.0037533333333333338	0.004	0.0027444975253526223	645208	0.001227464518603759
fam425	0.13665295332224756	0.1592920353982301	0.052183814555382284	0.0017066666666666675	0.0024	0.0013020325990115947	0.012188888888888888	0.0134	0.008109040831681423	481735	0.003925292814181703
fam1195	0.1141672462484196	0.09999999999999999	0.06971365904401375	0.0009555555555555556	0.0011	0.0005438772555786853	0.008973333333333333	0.0081	0.005369974136085035	1306793	0.00268299795858851
fam1928	nan	nan	nan	0.0008533333333333332	0.0	0.0011488351588553607	0.0	0.0	0.0	498429	0.0006890611541774332
fam98	0.27502579979360164	0.25438596491228066	0.08950409125715801	0.0005622222222222222	0.0	0.0007534480410866326	0.00228	0.0	0.0032442496136326437	109386	0.0010351966873706003
fam657	0.5312500000000001	0.4	0.31361868731707104	0.0017533333333333329	0.0021	0.0015037139207826585	0.004266666666666667	0.004	0.003991101212558871	734527	0.0022592592592592595
fam1496	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	964296	0.0
fam1988	0.033950617283950615	0.0	0.09602684682780274	0.00066	0.0	0.0013200000000000002	0.002177777777777778	0.0	0.00435557823123349	430057	0.00101010101010101
fam265	0.2703909366382211	0.26	0.12809954289981437	0.0028599999999999997	0.0026	0.0016352233962231445	0.012131111111111112	0.0148	0.007866435652602975	293611	0.004763532763532763
fam1040	0.10549313358302123	0.07303370786516854	0.03629074120786175	0.0009533333333333334	0.0013	0.0007943131204590122	0.0035600000000000002	0.0	0.007120000000000001	1139602	0.0014245014245014248
fam1786	0.0	0.0	0.0	0.0	0.0	0.0	0.006613333333333333	0.0058	0.005474530928663102	640414	0.0012592592592592594
fam1784	0.7175491098162069	0.5689655172413793	0.5443591772057425	0.004282222222222222	0.0047	0.0025235150871476333	0.008277777777777778	0.0077	0.005791713961970493	642378	0.005050505050505051
fam2090	0.3590733590733591	0.3142857142857143	0.08546696378833459	0.0010333333333333332	0.0011	0.0005517648452415616	0.0028777777777777777	0.0035	0.0013381394859844087	319177	0.0014814814814814814
fam2139	1.508823529411765	1.397058823529412	0.1368832503320012	0.005953333333333334	0.0095	0.004899233500139474	0.0037777777777777775	0.0068	0.0033789471659996816	276815	0.005465020576131688
fam519	nan	nan	nan	0.001611111111111111	0.0029	0.0014410215854998643	0.0	0.0	0.0	589982	0.0012103606874848706
fam1093	0.1750275210930042	0.19863013698630136	0.14800783443737284	0.0015466666666666665	0.0029	0.0014467741895525905	0.009255555555555553	0.0072	0.006683231272888406	1192477	0.0028490028490028487
fam2025	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	385837	0.0
