fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.07868902247062004	0.08372093023255814	0.014827555375981622	0.0028666666666666667	0.0032	0.002293745810082242	0.03719047619047619	0.0559	0.02894367115231312	728907	0.01055651176133104
fam966	0.144645137748586	0.15740740740740738	0.07920483374712704	0.0007523809523809523	0.0009	0.0006083694425961969	0.006180952380952381	0.0036	0.0053593371167585425	1081821	0.0017673048600883655
fam393	0.05671407616948986	0.040268456375838924	0.09305906659973091	0.0006809523809523808	0.0012	0.0006884205854667124	0.017557142857142854	0.0237	0.012121314223441341	486705	0.005343391482005343
fam1571	0.0427807486631016	0.0427807486631016	0.0	0.0013714285714285714	0.0024	0.0011876919823329444	0.03205714285714286	0.0561	0.027762300087032576	951147	0.009070294784580499
fam158	0.024677049625895515	0.0	0.029088775226708254	0.0005714285714285715	0.0	0.0009035079029052512	0.018961904761904763	0.023	0.01473678507908425	180839	0.00561816766507598
fam1037	0.22994255765839894	0.2807017543859649	0.16139914015260223	0.0010857142857142858	0.0008	0.0008967059900842982	0.006828571428571429	0.0057	0.0066290948069237686	1163010	0.002362777171937477
fam1720	0.0	0.0	0.0	0.0	0.0	0.0	0.009142857142857145	0.016	0.007917946548886296	796113	0.002801120448179271
fam1031	0.13226215383346904	0.07784431137724551	0.07706590299672166	0.0009809523809523807	0.0013	0.0007737472502414699	0.008733333333333333	0.0083	0.007046669820245273	1156273	0.0027525461051472614
fam680	0.14912280701754385	0.17763157894736842	0.04031749190975929	0.0011809523809523808	0.0014	0.0009629414498439998	0.004342857142857143	0.0	0.006866660062079909	798822	0.002002002002002002
fam875	0.0	0.0	0.0	0.0	0.0	0.0	0.00638095238095238	0.0	0.006692399316895253	983806	0.0013683634373289546
fam1781	0.0	0.0	0.0	0.0	0.0	0.0	0.03065714285714286	0.0506	0.025522904212800363	732981	0.008476689104961358
fam1195	0.0	0.0	0.0	0.0	0.0	0.0	0.03772380952380952	0.0446	0.03155057775883193	1338907	0.0042016806722689065
fam98	0.04021246453213058	0.029197080291970802	0.03887437445810509	0.0017142857142857144	0.002	0.0018808016817268099	0.04479047619047619	0.0685	0.03291531565297753	109395	0.015050907481186362
fam657	0.8699294532627865	0.7098765432098766	0.18485343646860922	0.006857142857142857	0.0087	0.004982117682134721	0.008457142857142856	0.008	0.006836636002942872	777594	0.007233273056057867
fam1988	0.16893686470521896	0.19285714285714284	0.03266330563455756	0.004476190476190476	0.0065	0.003639977075006924	0.02547619047619048	0.0417	0.019464519730645072	498882	0.007808499743983614
fam1786	0.09031958225506612	0.06854838709677419	0.09468539457464047	0.0009714285714285713	0.0017	0.0008412818208191689	0.013285714285714284	0.0093	0.010422835996219149	727404	0.003677893921796361
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.018676190476190475	0.0131	0.01534041983537685	542358	0.004478280340349306
fam355	0.09137392079766628	0.09523809523809523	0.013262647376611614	0.0022380952380952382	0.0024	0.0016720321797074735	0.02448095238095238	0.0251	0.020724212180962195	444242	0.006737685513976143
fam1784	0.0	0.0	0.0	0.0	0.0	0.0	0.0108	0.0189	0.009353074360871938	730311	0.0025740025740025744
fam2375	0.055156177181820185	0.06765327695560254	0.015912509888198412	0.0021333333333333334	0.0032	0.0015084944665313016	0.04327619047619048	0.0473	0.03638961003941732	88946	0.010463111586707092
