fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.19023413060347416	0.20238095238095238	0.16956347904410482	0.004164327485380117	0.0017	0.006141228898517087	0.021988888888888888	0.0084	0.025625210184719388	348302	0.009068254682289771
fam393	0.2729233944982598	0.34767025089605735	0.19585224423408223	0.002789473684210526	0.0024	0.0026348996592317816	0.009712865497076024	0.0069	0.010527505520809805	443941	0.004544933337502996
fam1037	0.17661438488692874	0.15556734686536022	0.0938415140258614	0.003999415204678362	0.0035	0.0026447232485693477	0.02683684210526316	0.0161	0.02252013756342652	1136020	0.009304946393762184
fam1781	0.4613421743204378	0.4936440677966102	0.2238335175185415	0.006615204678362571	0.0023	0.006350153319434814	0.014326315789473684	0.0083	0.014369113150865722	353149	0.009203194811019683
fam1195	0.0815157284816173	0.08326452842172118	0.07371120987104486	0.06525672514619883	0.0663	0.0620033935953953	0.7530637426900585	0.217	0.754439513792827	1309969	0.1284777600567074
fam1040	0.10785818874635493	0.11320754716981131	0.05653695367336886	0.009994771241830066	0.0062	0.00866836175617429	0.08607581699346406	0.0659	0.0714819663039949	1138779	0.025726824488434396
fam1786	0.3287518299451994	0.1956043956043956	0.30521058370838033	0.004332748538011697	0.003	0.0033167804866189128	0.021627485380116957	0.0087	0.021033621208961305	347283	0.009907120743034055
fam443	0.1398374062189663	0.15833333333333333	0.11448442775302639	0.003225146198830409	0.0013	0.0034236551304578145	0.02261052631578947	0.0052	0.021311576220672687	495715	0.008185527922370027
fam2090	0.132297932510975	0.1234567901234568	0.09439409446263246	0.0029418300653594777	0.0015	0.0038495838732603305	0.01708496732026144	0.0	0.0272006818715998	9240	0.0061452933663887
fam1093	0.03854721253266284	0.03918722786647315	0.02166343396073074	0.0013637426900584798	0.0013	0.0013678326320241778	0.037206432748538014	0.0433	0.03181782233699958	1199457	0.008905113024106159
fam2025	0.08585810758684852	0.09291485394655066	0.044415910451071926	0.006243790849673203	0.0026	0.008543658199704639	0.06620065359477124	0.0322	0.08833160745389959	73750	0.018978057341228698
fam814	0.1605662879308932	0.13862332695984705	0.11704076862413275	0.02468654970760234	0.0173	0.022805618865493926	0.14712923976608186	0.13	0.09000521992013762	880375	0.05057521774893239
fam594	0.13937328564234522	0.12271454893345617	0.09541958780201983	0.004535947712418301	0.0027	0.003753266366189144	0.031433986928104576	0.0327	0.023503469813087832	651014	0.010880200383546632
fam62	0.006260976516861364	0.0	0.015750005567859344	0.0005052631578947368	0.0	0.001473082583960918	0.026744444444444442	0.0177	0.03135668989704661	77142	0.005837001993122632
fam922	0.2664568601387367	0.22935779816513763	0.20977236248710662	0.0031116959064327486	0.0025	0.0032637263962223377	0.009815204678362572	0.0054	0.009374433462129033	1004856	0.005198180636777129
fam494	0.2636872607915614	0.2807017543859649	0.2228394967972913	0.003994771241830065	0.0032	0.0032738175203911456	0.015052941176470588	0.0114	0.011718841645803377	543002	0.010877226707676534
fam2091	0.009763471195245172	0.0	0.030373993838212782	0.0004210526315789474	0.0	0.0006013834466141347	0.04515087719298246	0.0435	0.047335440240260825	7542	0.010133559005739458
fam1358	0.17889031612699274	0.027426160337552744	0.4998039524788467	0.002669590643274854	0.0013	0.0035655448894583927	0.02706198830409356	0.0333	0.026694297409283915	759498	0.017569109878899897
fam870	0.015440872632116227	0.0	0.016449640684447424	0.0005730994152046783	0.0	0.000688401221366294	0.022974269005847953	0.0112	0.020787871349079525	947953	0.006581182824543521
fam910	0.28736286844759007	0.2441679626749611	0.1638903716207143	0.006709150326797386	0.0008	0.006873453332638837	0.022398039215686272	0.0046	0.02557523687580164	993891	0.010449018062701834
fam885	0.18541299116286672	0.14624602592320862	0.07260747417788094	0.02337485380116959	0.0105	0.02359385660342688	0.15696023391812866	0.0337	0.1717341688029735	964495	0.055623555011559904
fam1934	0.011332042092878978	0.003652300949598247	0.018307105836140015	0.0009346405228758169	0.0	0.0012082137337126046	0.08004313725490195	0.0675	0.06047549686341226	182360	0.019307005157915676
fam119	0.10485938431715248	0.11208151382823872	0.07679553520210879	0.011222807017543858	0.0043	0.012052284016541818	0.08856491228070176	0.0819	0.07693639848684632	138395	0.028330709251761878
fam43	0.3292001591084039	0.2735042735042735	0.16313654338963007	0.008304093567251461	0.0043	0.00687966200656533	0.032313450292397655	0.0092	0.03473732501091867	66354	0.013313761236198908
fam2024	0.18759948412667066	0.11776061776061778	0.2535020129046873	0.004307017543859649	0.0027	0.004334825369953939	0.04494912280701754	0.0433	0.04543146289597067	76433	0.013724968988126881
fam1446	0.2934446895638895	0.2020725388601036	0.3703640021696855	0.005686928104575163	0.0045	0.004971903973886664	0.027959477124183008	0.0218	0.023470385840273413	671407	0.011877483019351532
fam1143	0.09624849168059448	0.07896645398426785	0.06207164055764583	0.01044736842105263	0.0077	0.006938538159312993	0.14426842105263157	0.1137	0.11074744276412649	1248913	0.039210796477096556
fam933	0.2741712018517503	0.2099737532808399	0.2556434502610676	0.004316339869281045	0.002	0.003808632395111161	0.023340522875816994	0.0093	0.023493902526735555	1017110	0.00907451999643262
fam839	0.14966697717181857	0.13345864661654136	0.04092124523171405	0.010708496732026142	0.0071	0.00906870614109415	0.07500196078431372	0.0532	0.07129146056223355	910949	0.02437291018605898
fam1804	0.3021206443497695	0.2589641434262948	0.1167077245467197	0.009026900584795322	0.0091	0.0058659969002200696	0.032196491228070175	0.0336	0.022590084495483432	324281	0.01496661042584675
fam1584	0.0	0.0	0.0	0.0	0.0	0.0	0.026368421052631576	0.0501	0.025015280648595126	539488	0.07997936016511868
fam568	0.1943035946781855	0.128	0.24280016694983325	0.0019064327485380122	0.0016	0.0017591580322186366	0.015211111111111113	0.0042	0.019973791144486334	627767	0.005542311062208366
