fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.33563859140956054	0.32063798405824395	0.14843822402754392	0.01575151515151515	0.015449999999999998	0.00723133422502465	0.05143787878787878	0.0504	0.021886101616900796	139788	0.04309579309579309
fam966	0.0722602606900754	0.06685223266745005	0.056211361878055296	0.0035807692307692307	0.0039	0.0015161572285278847	0.05561538461538463	0.0556	0.025125424231260036	1044316	0.017274587697122906
fam393	0.03493132722722626	0.03846153846153846	0.03860807554636124	0.0019717948717948713	0.0022	0.002149293111932233	0.058055128205128204	0.054849999999999996	0.03137902552553666	456581	0.016036219006516042
fam1571	0.12345029560639287	0.12746721112175868	0.030624015479426125	0.007276923076923078	0.0078	0.0026293180883011197	0.06175256410256408	0.06315000000000001	0.022893945702644497	366266	0.022456596227088028
fam158	0.3486189578575874	0.2913907284768212	0.19975784836761945	0.013315384615384614	0.0141	0.006688510564394716	0.04597435897435897	0.040400000000000005	0.02807805711326467	192510	0.022903549593941055
fam1037	0.13875993323884872	0.13636363636363635	0.06630182317724603	0.00939102564102564	0.0097	0.0055844607181144215	0.06897948717948718	0.07025	0.034964529128431183	975741	0.0592240468644963
fam1499	0.11118212684353053	0.08780487804878048	0.14931990910310675	0.005278787878787878	0.0068	0.004059202606853892	0.058556060606060605	0.0611	0.03582661584161967	438005	0.0189271354319898
fam1031	0.19201214141957632	0.178932724469044	0.07336658578117547	0.011557692307692307	0.0112	0.005016728917684368	0.0639602564102564	0.06625	0.025034424195616096	980515	0.028958357725481016
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.00854102564102564	0.0	0.013630268314771939	787433	0.0021822149481723944
fam875	0.1397858444634998	0.12351097178683385	0.06416085935408598	0.012334848484848483	0.013600000000000001	0.006019475775630864	0.0997090909090909	0.1117	0.049155275703393064	1015454	0.03259323545719728
fam1483	0.04285188840671519	0.041128084606345476	0.015169973949673492	0.003227272727272727	0.0035	0.0013342283497423516	0.07730303030303029	0.0851	0.033241936683256396	453565	0.02392246591141619
fam1195	0.11045105341343309	0.08568308091107665	0.10739936549415147	0.007521794871794872	0.0081	0.0029704375675206176	0.08672307692307693	0.09365000000000001	0.039466428197077935	793011	0.02733055058636454
fam98	0.22958624772224462	0.21254423852379561	0.11198673362312381	0.010712121212121211	0.011	0.0051518315410863215	0.051936363636363635	0.052	0.02410085272201742	118707	0.02395910322739591
fam657	0.09932359567179308	0.07293666026871401	0.1282514351818492	0.003702564102564104	0.0038	0.003045761003763215	0.053458974358974364	0.0402	0.039728670897171386	762463	0.016746577722187475
fam265	0.14364703629223607	0.12472406181015452	0.07089680240093606	0.007924358974358973	0.0069	0.0060064961819648165	0.05989999999999999	0.0527	0.0468199497255998	323314	0.020822859058153176
fam1040	0.18765460688344732	0.1618798955613577	0.08915159497687886	0.01298974358974359	0.0122	0.006816883071173265	0.07637948717948717	0.0635	0.045156458376076715	971361	0.02995342415137637
fam355	0.3497887722340481	0.24717691342534506	0.3566684673135914	0.014170512820512817	0.013	0.007671778267670226	0.06131666666666667	0.059399999999999994	0.041340888732543976	415204	0.026969276969276975
fam1784	0.4741193020919565	0.469187675070028	0.19471472965145237	0.027591025641025634	0.02485	0.017499334682572247	0.059835897435897414	0.0714	0.03661516420604494	140869	0.046696937321937325
fam519	0.027144331703405813	0.023703937643379434	0.021800929341443197	0.0014461538461538464	0.0016	0.0010916574445911877	0.058921794871794865	0.0621	0.0230319435224095	601060	0.01868945868945869
fam1093	0.08404737211083577	0.0948081264108352	0.049094266769017667	0.004053846153846153	0.0042	0.002832806541119299	0.052534615384615395	0.0533	0.027016565796121713	917184	0.019230769230769232
fam814	0.07341661506597516	0.06719367588932806	0.05965140133631709	0.007351282051282051	0.0089	0.005154304737857812	0.10387435897435897	0.0852	0.0731962578486812	939755	0.038060465244931264
fam321	0.11562051123014722	0.1099476439790576	0.05462025764952995	0.00768974358974359	0.0084	0.0035358816310239734	0.07369871794871796	0.0693	0.03243312446340791	387492	0.02412126880211987
fam594	0.08945231309651612	0.09004739336492891	0.04186178435023097	0.002438461538461539	0.0029	0.001427767736734225	0.025464102564102562	0.0266	0.01118600286483267	694172	0.008510868975985254
fam346	0.3060068421629115	0.2707283823412856	0.15669016854863238	0.015251282051282051	0.0161	0.0071124258112438025	0.05571923076923078	0.0597	0.02868533556246747	405753	0.027137736815156164
fam62	0.05519274691607648	0.0	0.11888015146777091	0.0014974358974358974	0.0	0.0018564492133608982	0.05013846153846154	0.0716	0.03592620010581961	71704	0.011525511525511524
