fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.17735569215020133	0.18110236220472442	0.09299902927153882	0.005623809523809524	0.0055	0.0049193403314928465	0.029740952380952382	0.0507	0.024135252601549244	1162101	0.012327836452350069
fam966	0.5652190932265618	0.5114613180515759	0.43800945007419817	0.07255083333333333	0.0478	0.05554833630246924	0.1942966666666667	0.0978	0.21675607947388442	137359	0.10616773798591979
fam393	0.46339068206022827	0.47132169576059857	0.2072178266048744	0.013224999999999997	0.0172	0.009111295645150218	0.028888333333333332	0.038	0.018378747614810124	615790	0.01728395061728395
fam1571	0.09388424966055411	0.09247842170160295	0.0448675879149725	0.0043	0.0045	0.002812472222085047	0.04383000000000001	0.04695	0.02242273251263845	900929	0.0136558538404176
fam1037	0.392668605996021	0.31249999999999994	0.26304256326282927	0.006406666666666667	0.0098	0.0053210143441634935	0.019544761904761905	0.0287	0.01614487376082063	227591	0.010255131721100307
fam1499	0.13919349646434245	0.13524292253590303	0.04307905254986108	0.005509166666666667	0.0059	0.0037745639004908758	0.03771833333333333	0.04965	0.023403211970914495	814817	0.013570914326853851
fam680	0.08721382141907916	0.08552631578947369	0.04976166592595416	0.0028791666666666666	0.0034	0.0018065573075758089	0.03401333333333333	0.0322	0.020515855386072066	251883	0.010732323232323232
fam875	0.37645958789354694	0.31396554026041557	0.21044069330095205	0.01105238095238095	0.0119	0.005234739184626657	0.033580000000000006	0.035	0.017881479644752958	5138	0.017253968253968254
fam1483	0.12515356814122525	0.08118811881188119	0.09323987953766497	0.0050708333333333334	0.00525	0.0035701166141862777	0.05772833333333334	0.054849999999999996	0.04942403292483886	793228	0.018869492934330837
fam1781	0.4129550060646604	0.3864628820960699	0.12055230759272258	0.0099825	0.01	0.008017789205884624	0.02337416666666667	0.03155	0.020885962174920798	1157810	0.013802978235967926
fam425	0.19088510609613402	0.22222222222222218	0.09151246821130253	0.003974166666666667	0.0035	0.0037419134105724874	0.018144166666666666	0.0191	0.014921381726867283	575213	0.008103541497702083
fam98	0.16130156805243526	0.15306122448979592	0.13408471753396753	0.0026499999999999996	0.0045	0.0023404059476936903	0.016321666666666665	0.0174	0.011267513651595408	950075	0.0064185544768069055
fam1496	0.19170281235626407	0.17560321715817695	0.1014038514747021	0.007381666666666666	0.0087	0.005543509468037573	0.037429166666666666	0.04735	0.03176660037375034	810534	0.015845959595959597
fam265	0.2526554413284265	0.1927710843373494	0.1708672608585953	0.0056775	0.0063	0.004155848539508307	0.026409166666666668	0.0295	0.020412145060532523	750826	0.011111111111111112
fam443	0.46193960537375617	0.380952380952381	0.09199880306672217	0.009835	0.01	0.008760828062080282	0.022905833333333334	0.0168	0.02228834260263024	556560	0.013219070133963751
