fam	loc
fam1	16923
fam2	18012
fam3	20448
fam4	21350
fam5	24859
fam6	25520
fam7	27669
fam8	28600
fam9	29635
fam10	30055
fam11	30341
fam13	31753
fam14	32805
fam15	34129
fam16	36313
fam17	37184
fam18	38687
fam19	39224
fam20	47935
fam21	50195
fam22	51532
fam23	52358
fam24	52548
fam25	53326
fam26	54487
fam27	56457
fam28	57555
fam29	58855
fam31	59717
fam32	60483
fam33	61370
fam34	61748
fam35	64187
fam36	65551
fam37	66445
fam38	67425
fam39	69442
fam40	69749
fam41	70698
fam42	72272
fam43	73587
fam44	74025
fam45	75483
fam46	76579
fam47	78525
fam48	79509
fam51	93633
fam52	94559
fam53	96277
fam54	97059
fam55	97673
fam56	99304
fam57	99592
fam58	99988
fam59	100804
fam60	101902
fam61	103094
fam62	106706
fam63	108174
fam64	108938
fam65	110315
fam66	110860
fam67	111357
fam68	112893
fam69	115502
fam70	117034
fam71	118105
fam72	118770
fam73	120377
fam74	122737
fam75	123335
fam76	124034
fam77	125020
fam78	125429
fam79	126398
fam80	128354
fam81	130106
fam82	131315
fam83	131733
fam84	132993
fam85	135051
fam86	136550
fam87	137767
fam88	138264
fam89	138895
fam90	139250
fam91	139938
fam92	140953
fam93	142121
fam94	142620
fam95	143383
fam96	144337
fam97	144906
fam98	145606
fam99	146543
fam100	147303
fam101	147911
fam102	150318
fam103	151036
fam104	151956
fam105	153347
fam106	154830
fam107	157167
fam108	158077
fam109	160285
fam110	160592
fam111	161343
fam112	162846
fam113	163489
fam114	163901
fam115	164510
fam116	165881
fam117	166648
fam118	169320
fam119	171179
fam120	172224
fam121	174095
fam122	174988
fam123	175838
fam125	178430
fam128	180988
fam129	181897
fam130	182653
fam131	183692
fam132	184286
fam133	185642
fam134	187593
fam135	188381
fam136	188929
fam137	189115
fam140	192133
fam160	210841
fam163	213642
fam165	216875
fam170	220860
fam173	221947
fam174	224242
fam191	248023
fam192	248667
fam193	249286
fam194	249585
fam195	250426
fam196	250726
fam197	251069
fam198	251789
fam199	252211
fam200	252402
fam201	252656
fam202	253190
fam203	253521
fam204	254087
fam205	254410
fam206	254833
fam207	255379
fam208	255742
fam209	256260
fam210	256444
fam211	256885
fam212	258240
fam213	258392
fam214	258895
fam216	259951
fam217	260967
fam218	261377
fam219	262194
fam220	262948
fam221	263738
fam222	264684
fam223	265137
fam224	265800
fam225	267833
fam226	268981
fam227	269947
fam228	271395
fam229	273216
fam230	273853
fam231	274882
fam232	275728
fam233	276992
fam234	277693
fam235	278485
fam236	278824
fam237	279513
fam238	280054
fam239	280788
fam240	282735
fam241	286487
fam242	286898
fam243	287358
fam244	287986
fam245	289142
fam246	290845
fam247	291506
fam248	292735
fam249	294352
fam250	295050
fam251	295701
fam252	297162
fam253	298620
fam254	299110
fam255	299976
fam256	300435
fam257	300725
fam258	302212
fam259	302991
fam260	303500
fam261	304029
fam262	304583
fam263	305554
fam264	306541
fam265	307691
fam266	308472
fam267	308963
fam268	309603
fam269	309920
fam270	310178
fam271	311453
fam272	312318
fam273	312841
fam274	315499
fam275	316663
fam276	317499
fam277	318804
fam278	319898
fam279	320481
fam280	320759
fam281	322084
fam282	323011
fam283	323475
fam284	323973
fam285	324875
fam286	325270
fam287	326137
fam289	328399
fam291	331791
fam292	332681
fam293	333393
fam294	334805
fam295	335916
fam296	337550
fam297	338918
fam298	339692
fam299	340743
fam300	342055
fam301	344048
fam302	346231
fam303	346727
fam304	348760
fam305	349902
fam306	351482
fam307	352674
fam308	354575
fam312	360032
fam313	362052
fam314	363169
fam335	392853
fam337	395246
fam338	395490
fam339	396738
fam340	397678
fam341	398379
fam342	398862
fam343	399341
fam344	400160
fam345	401534
fam346	403702
fam347	404386
fam348	405829
fam349	406644
fam350	408367
fam351	409153
fam352	410526
fam353	413484
fam354	414968
fam356	417270
fam357	417719
fam358	418562
fam360	421271
fam361	423560
fam362	424703
fam363	426202
fam364	426808
fam365	428071
fam366	428751
fam367	429159
fam368	430080
fam369	431345
fam370	432079
fam371	432812
fam372	433292
fam373	433963
fam374	434556
fam375	434928
fam376	436726
fam377	437658
fam378	439355
fam379	439682
fam380	441409
fam381	442922
fam382	444280
fam383	445359
fam384	446722
fam385	447966
fam386	449020
fam387	450494
fam388	451453
fam389	452726
fam390	453973
fam391	454989
fam392	455530
fam393	458576
fam394	459040
fam395	459942
fam396	461563
fam397	464813
fam400	467315
fam401	468111
fam402	468844
fam403	469737
fam404	470687
fam405	471394
fam406	471919
fam407	473444
fam408	477926
fam409	479825
fam410	484363
fam411	485869
fam412	487710
fam413	490259
fam414	490713
fam415	491502
fam416	492273
fam417	492814
fam418	493275
fam419	496206
fam420	497181
fam421	498458
fam422	498959
fam423	500165
fam424	501147
fam425	501810
fam426	502073
fam427	504215
fam428	505096
fam429	506395
fam430	507265
fam431	508845
fam432	509475
fam433	510552
fam434	511364
fam436	515962
fam437	517495
fam438	518258
fam439	519333
fam440	519853
fam441	520523
fam442	521660
fam443	523909
fam444	524707
fam445	525562
fam466	549098
fam467	550366
fam468	551637
fam469	552062
fam470	552445
fam471	554257
fam472	555264
fam473	558175
fam474	558760
fam475	559433
fam476	560416
fam477	561213
fam478	562915
fam479	564568
fam481	565146
fam482	566969
fam483	568174
fam484	569213
fam485	570478
fam486	571625
fam487	572700
fam488	573103
fam489	574887
fam490	577159
fam491	577483
fam492	578065
fam493	579253
fam494	579820
fam495	580898
fam496	582012
fam497	582732
fam498	585423
fam499	592244
fam500	592533
fam501	593937
fam502	594994
fam503	595902
fam504	597221
fam505	598171
fam506	599722
fam507	601808
fam508	604198
fam509	605896
fam510	606716
fam511	607439
fam514	609764
fam515	610570
fam516	611440
fam517	612543
fam518	614785
fam519	616226
fam520	616789
fam521	618217
fam522	619486
fam523	620839
fam524	621286
fam525	623164
fam526	624126
fam529	625805
fam530	626777
fam531	627401
fam532	628646
fam533	629073
fam534	629469
fam535	630045
fam536	631920
fam537	632270
fam538	632546
fam539	633997
fam540	634486
fam541	635807
fam542	637123
fam543	638247
fam544	639551
fam545	640235
fam546	641408
fam547	643100
fam548	644107
fam549	645449
fam550	645706
fam551	647070
fam552	648767
fam553	650403
fam554	652356
fam555	653110
fam556	654776
fam558	657376
fam559	658443
fam561	660346
fam562	661236
fam563	662360
fam564	662938
fam565	663695
fam566	664147
fam567	665932
fam568	667079
fam569	667626
fam570	667976
fam571	668431
fam572	670274
fam573	671406
fam574	672148
fam575	673711
fam576	675103
fam577	676422
fam578	677305
fam580	680238
fam581	681590
fam587	686784
fam588	687673
fam589	688853
fam590	689890
fam591	690472
fam592	692508
fam593	696699
fam594	697164
fam595	697706
fam596	698894
fam597	699751
fam598	701280
fam599	703578
fam600	704187
fam601	705597
fam602	706092
fam603	707355
fam604	708636
fam605	709286
fam606	710412
fam607	711070
fam608	712277
fam609	712923
fam610	713390
fam611	714425
fam612	714934
fam613	716868
fam614	717773
fam615	718036
fam616	719165
fam617	720134
fam618	721727
fam619	723667
fam620	724271
fam621	724659
fam622	725747
fam623	726554
fam624	727570
fam625	729007
fam626	730813
fam627	733177
fam629	734691
fam630	735471
fam631	736368
fam632	737081
fam633	738105
fam634	738942
fam635	739928
fam636	741522
fam637	743274
fam638	743972
fam639	745568
fam640	746036
fam641	747201
fam642	747854
fam643	748311
fam644	749615
fam645	750502
fam646	751623
fam647	753515
fam648	754016
fam649	754338
fam650	755420
fam651	755953
fam652	758712
fam653	759305
fam654	760941
fam655	761859
fam656	762402
fam657	763504
fam658	765002
fam659	766457
fam661	769812
fam662	770413
fam663	771495
fam664	772412
fam665	773005
fam666	774424
fam667	775541
fam668	776421
fam669	776828
fam670	777675
fam671	778546
fam672	780612
fam673	781191
fam674	782327
fam675	783006
fam676	783296
fam677	784820
fam678	787885
fam679	788398
fam680	791151
fam683	795030
fam684	795619
fam685	797039
fam686	797847
fam687	798287
fam688	798909
fam689	799256
fam690	800149
fam691	801151
fam692	801992
fam693	803010
fam694	803431
fam695	804156
fam696	805491
fam697	806482
fam698	807292
fam699	808109
fam700	809260
fam701	810197
fam702	812270
fam703	813477
fam704	815091
fam706	818100
fam707	818686
fam708	820531
fam709	820925
fam710	822188
fam711	823083
fam712	824221
fam713	826295
fam716	829164
fam717	830097
fam718	831115
fam719	832230
fam720	833197
fam721	834133
fam722	834924
fam723	835264
fam724	835668
fam725	836266
fam727	837345
fam728	837927
fam729	838800
fam730	840937
fam731	841887
fam732	843036
fam734	846665
fam735	847477
fam736	849224
fam737	851033
fam738	852337
fam739	853476
fam740	855539
fam741	857435
fam742	857989
fam743	858682
fam744	859245
fam745	859515
fam746	860396
fam747	861022
fam748	862762
fam749	863841
fam750	864247
fam751	865693
fam752	867091
fam753	867888
fam754	868729
fam755	870095
fam756	870883
fam757	871221
fam758	872988
fam759	873712
fam760	876639
fam761	877876
fam762	879233
fam763	880105
fam764	880973
fam765	881751
fam766	882708
fam767	886284
fam768	887298
fam769	889574
fam771	890338
fam772	892205
fam773	893022
fam774	893917
fam775	894313
fam776	896330
fam777	897032
fam778	897363
fam780	898813
fam781	900632
fam782	901834
fam783	902180
fam784	902995
fam786	904137
fam787	905159
fam788	906149
fam789	907573
fam790	908953
fam791	909713
fam792	910941
fam793	912475
fam794	913197
fam795	913658
fam797	915501
fam798	917762
fam799	918408
fam800	918824
fam801	920377
fam802	922064
fam803	922428
fam804	923808
fam805	924373
fam806	924631
fam807	924908
fam808	925761
fam809	926510
fam810	926944
fam811	928045
fam812	929326
fam815	934567
fam816	936117
fam817	937113
fam818	938561
fam819	939928
fam820	940957
fam821	941811
fam822	942932
fam823	944440
fam824	945171
fam825	946536
fam826	948689
fam827	950124
fam828	951913
fam830	953763
fam831	954495
fam832	955846
fam833	958316
fam834	958782
fam835	960818
fam836	961253
fam837	961884
fam838	962472
fam839	963825
fam841	965710
fam842	967264
fam843	968955
fam844	969727
fam845	970619
fam846	971748
fam847	973178
fam848	974397
fam849	976370
fam850	976975
fam851	978086
fam852	980543
fam853	983656
fam855	984798
fam856	985987
fam857	986578
fam858	989956
fam859	990907
fam860	991523
fam861	991892
fam862	992786
fam863	994884
fam864	997144
fam866	999602
fam867	1001701
fam868	1002795
fam869	1003973
fam870	1004726
fam871	1005763
fam873	1007223
fam874	1009178
fam875	1011436
fam876	1012157
fam877	1014213
fam878	1015157
fam880	1018512
fam882	1020685
fam883	1022193
fam884	1022852
fam885	1025148
fam886	1025397
fam887	1026483
fam888	1027932
fam889	1029201
fam890	1030730
fam891	1032258
fam892	1032897
fam893	1033806
fam894	1034496
fam895	1037819
fam897	1039174
fam898	1039892
fam899	1040565
fam900	1041204
fam901	1041942
fam902	1043401
fam903	1044083
fam904	1045163
fam905	1045594
fam906	1046140
fam907	1046806
fam908	1047570
fam909	1048198
fam910	1049281
fam911	1051938
fam912	1052547
fam913	1053127
fam915	1056039
fam916	1057713
fam917	1058060
fam918	1059026
fam919	1060331
fam920	1060924
fam921	1061414
fam922	1061656
fam923	1062113
fam924	1064302
fam925	1065326
fam926	1066246
fam927	1067246
fam928	1068238
fam929	1069375
fam930	1069865
fam931	1070161
fam932	1070661
fam933	1071305
fam934	1071822
fam935	1073125
fam936	1074271
fam937	1075461
fam938	1076967
fam939	1077971
fam940	1078568
fam941	1080136
fam942	1080439
fam943	1081406
fam944	1082057
fam945	1082843
fam946	1084141
fam947	1084513
fam948	1085082
fam949	1086083
fam950	1088278
fam951	1090644
fam952	1091645
fam953	1093479
fam954	1094083
fam955	1098218
fam956	1099478
fam957	1100690
fam958	1101258
fam959	1102364
fam960	1103772
fam961	1104146
fam962	1105279
fam963	1107642
fam964	1108817
fam966	1111818
fam967	1112606
fam968	1113138
fam969	1114625
fam970	1115664
fam971	1116352
fam972	1117310
fam973	1119243
fam974	1119745
fam975	1120163
fam976	1121365
fam977	1123753
fam978	1124989
fam979	1125813
fam980	1128063
fam981	1128776
fam983	1130921
fam984	1134292
fam985	1135898
fam986	1136518
fam987	1137192
fam988	1137398
fam989	1138434
fam990	1139390
fam991	1140388
fam992	1141147
fam993	1141549
fam994	1142882
fam995	1143771
fam996	1144784
fam997	1145419
fam998	1146380
fam999	1147138
fam1000	1149012
fam1001	1149781
fam1002	1151407
fam1003	1152536
fam1004	1153867
fam1005	1155348
fam1006	1156835
fam1007	1157959
fam1008	1161098
fam1009	1162517
fam1010	1163197
fam1011	1164070
fam1012	1165262
fam1013	1166135
fam1014	1167915
fam1015	1168446
fam1016	1168851
fam1017	1170036
fam1018	1170819
fam1019	1172384
fam1020	1173427
fam1021	1175295
fam1022	1176180
fam1023	1177013
fam1026	1183078
fam1027	1183914
fam1028	1185225
fam1029	1186486
fam1030	1187727
fam1031	1188377
fam1032	1191479
fam1035	1194903
fam1036	1196241
fam1037	1197434
fam1038	1198575
fam1039	1199384
fam1040	1200064
fam1041	1201501
fam1042	1202161
fam1043	1202883
fam1044	1204192
fam1045	1204962
fam1046	1206254
fam1047	1206774
fam1048	1207294
fam1049	1207829
fam1050	1209389
fam1051	1210155
fam1052	1211290
fam1053	1211749
fam1054	1213170
fam1055	1213623
fam1056	1216000
fam1057	1217257
fam1058	1218558
fam1059	1219609
fam1060	1220752
fam1061	1221393
fam1062	1222143
fam1063	1222898
fam1064	1223530
fam1065	1224286
fam1066	1225576
fam1067	1226415
fam1068	1226968
fam1069	1228556
fam1070	1229215
fam1071	1229956
fam1072	1230783
fam1073	1231661
fam1074	1232176
fam1075	1232548
fam1076	1234293
fam1077	1235436
fam1078	1236739
fam1079	1237407
fam1080	1238642
fam1081	1241129
fam1084	1244332
fam1085	1246308
fam1086	1247624
fam1087	1248708
fam1088	1249229
fam1089	1250113
