fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.007179992400183717	0.0	0.024566101846890325	0.00022433333333333333	0.0	0.0005274857554685455	0.027962666666666667	0.0192	0.031344710445127565	1607131	0.0075320179993077175
fam966	0.3774594832993044	0.14349775784753363	0.4007321293874018	0.005347430830039526	0.0032	0.006044927586485047	0.02786403162055336	0.011	0.0536069321326901	1240652	0.009798467769482263
fam393	0.05577657280119301	0.0	0.07650679771265922	0.0006473333333333333	0.0	0.002195228056995952	0.005312	0.0	0.013708315821670678	533747	0.0020356234096692116
fam1571	0.03287982917557068	0.0	0.04613245806065024	0.001258333333333333	0.0	0.002553591697111258	0.030158666666666663	0.0207	0.032036758443318755	1844104	0.007991324657991324
fam158	0.3963117740616601	0.2943469785575049	0.2889608327079369	0.011675333333333333	0.0101	0.006924511406750821	0.029948000000000002	0.03325	0.02271652326684991	254484	0.015555555555555553
fam1037	0.004431460776312168	0.0	0.010913003720121807	0.00016	0.0	0.000375588427226754	0.022791	0.0215	0.013104427457924287	1325271	0.006279126808928133
fam1720	0.005779858626696731	0.0	0.018189613388041526	0.00035999999999999997	0.0	0.0012208193969625483	0.019889333333333335	0.0195	0.01778195207381787	1685062	0.005311111111111111
fam2659	0.049636107612928485	0.04782608695652174	0.037626151558740384	0.0013877470355731227	0.001	0.0019368814997087812	0.02665098814229249	0.0156	0.02938984204158145	530840	0.006397842186559397
fam1031	0.01410647614560534	0.0	0.033335567882687836	0.0005700000000000001	0.0	0.0009112079894294167	0.04727966666666666	0.0444	0.023067945000705106	1316048	0.01117845117845118
fam680	0.06677183963309254	0.05693069306930693	0.0586409175968384	0.002048333333333333	0.0023	0.00127432225995712	0.037344666666666665	0.0348	0.0254406840491542	879573	0.01186905732138006
fam875	0.04354628064561872	0.0	0.06540020442141357	0.0011906666666666665	0.0	0.0018156485220316063	0.021178333333333334	0.0118	0.02174772702043953	1130707	0.006025452765540872
fam1483	0.12387377857811471	0.11421319796954314	0.07964160057246351	0.004301086956521739	0.0045	0.002584352071626411	0.042065217391304345	0.0386	0.02663722238254373	1847188	0.013780913075471095
fam1781	0.04002801352145696	0.030744336569579287	0.05387994222301179	0.0012793333333333333	0.0	0.001538583619942561	0.042626333333333336	0.0453	0.02272012778475411	1611402	0.009518011161846779
fam425	0.050388253216432206	0.022167487684729065	0.060629593041080475	0.000975	0.0	0.0011047511031902163	0.020332000000000003	0.0175	0.021465755115221703	572791	0.0054995331465919695
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.007387999999999999	0.0093	0.008235864010533443	201779	0.0017747949291573454
fam657	0.0	0.0	0.0	0.0	0.0	0.0	0.017957333333333332	0.0128	0.02598141219324992	852439	0.0044444444444444444
fam1988	0.08518605931323578	0.07918968692449355	0.07981558388587968	0.001819666666666667	0.0014	0.00162529378540893	0.022633666666666667	0.0193	0.012971513657070078	1361987	0.00737530099759202
fam265	0.062357645877621756	0.0	0.11589517046899145	0.0009666666666666666	0.0	0.001367073110293992	0.013112333333333333	0.0081	0.015580552447058981	383409	0.004057665260196905
fam2943	0.06900596785198629	0.06683168316831684	0.08803901814305048	0.00135	0.0	0.0014706121174531373	0.019935666666666668	0.0238	0.01346553234084053	189253	0.006010709504685409
fam1786	0.09374979833761543	0.0	0.13573524036560172	0.001304	0.0	0.0021243314242368116	0.014808333333333337	0.00825	0.025405417346612426	1606262	0.0045079365079365085
fam443	0.08136736292325805	0.0	0.11866020303991952	0.0013283333333333333	0.0	0.0021181825280702847	0.018772	0.0199	0.01479843739498645	588828	0.005777777777777778
fam355	0.020494658023431186	0.0	0.053749650594605944	0.0004316666666666667	0.0	0.0008085154434036633	0.02406666666666667	0.0155	0.029828965043319146	480275	0.006201859229747675
