fam	loc
fam1	1585
fam2	2890
fam3	3862
fam4	4221
fam5	5333
fam7	9950
fam8	11017
fam9	12869
fam10	14467
fam11	15475
fam12	16881
fam13	18024
fam15	20439
fam16	20744
fam17	22300
fam18	23955
fam19	25067
fam20	26105
fam21	26957
fam22	28802
fam23	30129
fam24	30905
fam25	31710
fam26	32538
fam33	39326
fam34	40909
fam35	41986
fam36	43341
fam37	45612
fam38	46367
fam39	47594
fam40	49358
fam44	55202
fam45	55960
fam46	56650
fam47	57658
fam48	58025
fam49	60101
fam52	62908
fam53	63868
fam54	65314
fam55	66442
fam56	67714
fam57	68581
fam58	69571
fam60	70126
fam61	71554
fam62	72109
fam65	78522
fam66	78658
fam69	83902
fam70	85181
fam71	86442
fam72	87504
fam73	88488
fam74	90181
fam75	90697
fam76	91588
fam77	92858
fam78	94132
fam79	95242
fam80	96847
fam81	97338
fam82	97927
fam83	98833
fam84	100261
fam87	103583
fam88	104472
fam89	105414
fam90	111066
fam91	112214
fam92	113358
fam93	114303
fam94	115238
fam95	117023
fam96	117517
fam97	118438
fam98	119309
fam99	119732
fam100	120918
fam101	121620
fam103	125452
fam104	126845
fam105	127643
fam106	128108
fam107	128830
fam109	132361
fam110	134061
fam111	135206
fam112	136548
fam113	137669
fam114	138364
fam115	139666
fam117	141574
fam118	141884
fam120	144042
fam121	145139
fam122	146149
fam123	147103
fam124	147781
fam125	149293
fam126	149864
fam127	150673
fam128	151646
fam131	154491
fam132	156835
fam133	158055
fam134	159866
fam135	161217
fam136	162545
fam137	163726
fam138	164401
fam139	164910
fam140	166236
fam143	170083
fam144	170889
fam145	173053
fam146	173504
fam147	173770
fam148	174232
fam149	175739
fam151	188342
fam152	189918
fam153	191446
fam154	192362
fam155	194746
fam156	196270
fam157	197594
fam158	198836
fam161	203929
fam162	205519
fam163	206979
fam165	209151
fam167	210858
fam168	211541
fam170	213077
fam171	214318
fam173	218041
fam174	218539
fam176	220238
fam177	222675
fam178	223137
fam179	223418
fam180	224798
fam183	228238
fam184	229875
fam187	233569
fam188	234626
fam189	236593
fam190	237976
fam191	239069
fam192	240496
fam194	243091
fam195	244637
fam196	245587
fam197	246829
fam198	248326
fam199	249672
fam200	251570
fam202	255656
fam203	256694
fam204	258330
fam205	260835
fam206	262405
fam207	263737
fam208	264394
fam209	265090
fam210	265879
fam211	267749
fam214	272647
fam215	274664
fam216	276252
fam217	277967
fam218	279789
fam219	281140
fam220	281883
fam221	282638
fam222	283339
fam223	283907
fam224	284485
fam225	285482
fam226	286738
fam227	287342
fam229	289160
fam230	290372
fam232	298754
fam233	299492
fam234	300728
fam235	301422
fam236	302551
fam237	303155
fam238	303511
fam239	303928
fam240	305469
fam241	305902
fam242	306402
fam243	307993
fam244	308745
fam245	310854
fam246	312850
fam247	315518
fam248	318681
fam249	319696
fam251	322211
fam252	323187
fam253	324008
fam254	324777
fam255	325459
fam264	341342
fam265	342318
fam266	342757
fam267	343418
fam268	344237
fam269	345401
fam270	346093
fam271	347252
fam272	350172
fam273	352663
fam274	354122
fam276	355741
fam279	358708
fam281	360332
fam282	360794
fam284	363745
fam285	364974
fam286	366562
fam287	367649
fam288	368119
fam289	368802
fam290	370640
fam291	371309
fam304	386022
fam305	387806
fam306	389686
fam307	392180
fam308	392761
fam309	393749
fam310	394525
fam311	395150
fam312	396358
fam313	397110
fam314	397940
fam316	399844
fam317	401487
fam318	402757
fam319	404706
fam322	409157
fam323	410911
fam324	414298
fam325	415995
fam326	417501
fam327	418483
fam328	419799
fam329	420337
fam330	421083
fam331	422690
fam332	424081
fam333	426627
fam334	427447
fam335	428709
fam346	441202
fam347	442487
fam348	443180
fam349	444226
fam350	444965
fam353	450059
fam354	451689
fam355	452729
fam356	453502
fam357	454414
fam358	454857
fam359	457255
fam360	457574
fam361	458509
fam372	475113
fam373	476659
fam374	477227
fam375	477897
fam376	478374
fam377	479408
fam378	480077
fam380	484720
fam381	485260
fam382	486375
fam383	487629
fam384	488706
fam385	489396
fam386	490873
fam387	493052
fam388	495066
fam389	496695
fam390	497156
fam391	499222
fam392	499728
fam393	500394
fam395	502379
fam396	503428
fam397	504958
fam398	506190
fam399	506840
fam400	507649
fam401	509707
fam403	512914
fam404	514846
fam405	516589
fam406	517259
fam407	519171
fam408	519857
fam411	521852
fam412	523353
fam413	524373
fam414	525141
fam415	525899
fam416	526395
fam417	527420
fam418	529029
fam419	529564
fam420	530771
fam421	532150
fam422	533389
fam423	534421
fam425	535853
fam426	536407
fam427	537219
fam428	538725
fam430	540280
fam431	541452
fam432	542698
fam434	544243
fam435	544974
fam436	545795
fam437	546834
fam438	548124
fam439	549194
fam440	550698
fam441	552384
fam442	553622
fam443	555347
fam444	556473
fam445	557937
fam447	559194
fam448	560304
fam449	560761
fam450	561671
fam451	562361
fam452	562549
fam453	562946
fam454	563288
fam455	564218
fam457	566522
fam459	568152
fam460	569399
fam461	570480
fam462	571417
fam463	572913
fam464	576046
fam465	576513
fam466	577499
fam468	579453
fam469	580616
fam470	580994
fam471	581317
fam472	582206
fam473	583953
fam474	585376
fam475	586124
fam476	587016
fam477	588773
fam478	589140
fam479	589950
fam480	591548
fam481	592049
fam482	593242
fam483	595220
fam484	596243
fam485	597072
fam486	597916
fam487	598557
fam488	599353
fam489	600228
fam490	601421
fam491	602630
fam492	603638
fam493	605150
fam494	606014
fam496	607301
fam497	608597
fam498	609113
fam499	609858
fam500	611188
fam501	611661
fam503	612355
fam504	612970
fam505	614009
fam506	615957
fam507	616899
fam508	617840
fam509	618085
fam510	619482
fam511	622853
fam513	624671
fam514	625926
fam515	626868
fam516	629144
fam517	630599
fam518	632320
