fam	loc
fam5	7364
fam10	14058
fam11	14518
fam12	15420
fam13	16675
fam15	24958
fam16	25708
fam18	27974
fam19	29321
fam20	30280
fam22	34061
fam24	35770
fam26	40130
fam29	45302
fam30	45819
fam31	47036
fam32	47501
fam35	50443
fam36	51251
fam44	57681
fam50	62743
fam56	67521
fam57	68511
fam59	70527
fam60	72105
fam64	75741
fam65	77488
fam66	78331
fam67	79739
fam71	84489
fam74	88849
fam76	91860
fam77	92598
fam80	96723
fam82	98150
fam83	98615
fam84	99089
fam85	100222
fam86	101751
fam87	103052
fam89	104530
fam92	107395
fam93	108243
fam97	112705
fam98	114133
fam99	114853
fam102	118234
fam103	119495
fam105	121410
fam117	138647
fam119	140783
fam120	142273
fam124	144789
fam129	150388
fam137	158453
fam138	159913
fam140	161734
fam142	164397
fam146	169716
fam147	171698
fam149	172943
fam152	177373
fam154	179432
fam156	181586
fam157	183287
fam158	184099
fam160	186089
fam161	187176
fam162	188637
fam163	189341
fam165	190989
fam166	193233
fam170	196871
fam171	197653
fam172	198680
fam173	199490
fam176	205614
fam177	206476
fam178	208609
fam182	216850
fam183	217749
fam184	218730
fam185	219148
fam187	220266
fam189	223122
fam190	223755
fam192	224811
fam194	227176
fam195	228740
fam196	230189
fam197	231634
fam198	232714
fam200	234511
fam202	237081
fam203	237512
fam205	240657
fam207	242513
fam210	244992
fam225	256673
fam227	258678
fam229	260226
fam230	261289
fam231	261931
fam232	262357
fam235	264253
fam239	267195
fam240	267788
fam241	268274
fam244	272554
fam245	273336
fam246	276340
fam247	278832
fam249	281341
fam259	292895
fam263	296853
fam266	300680
fam267	302078
fam268	303224
fam269	303556
fam271	306903
fam272	308312
fam274	309824
fam276	313224
fam278	315086
fam280	316361
fam282	319175
fam283	320286
fam284	321177
fam285	326113
fam286	327604
fam294	335432
fam295	335871
fam296	336464
fam298	339176
fam299	339878
fam301	341594
fam302	342148
fam306	348326
fam307	348748
fam309	349714
fam310	350500
fam313	353220
fam314	354279
fam316	355728
fam317	356596
fam318	357572
fam319	358903
fam320	360692
fam324	362706
fam325	364305
fam326	366492
fam327	367261
fam331	370591
fam332	371174
fam333	371984
fam334	373389
fam335	375236
fam337	378890
fam339	381409
fam340	382770
fam341	383757
fam343	385483
fam345	387404
fam349	390264
fam350	392386
fam354	395698
fam355	396498
fam356	397731
fam357	398055
fam359	400852
fam360	403413
fam361	404247
fam362	405371
fam364	408309
fam365	409262
fam369	414167
fam371	415134
fam372	416217
fam374	417372
fam376	420048
fam377	420884
fam378	421950
fam379	424564
fam380	425712
fam382	428074
fam385	430373
fam387	433300
fam388	434196
fam390	435455
fam392	436386
fam394	437511
fam395	437852
fam396	438606
fam397	439023
fam398	439220
fam399	439474
fam400	439935
fam402	440814
fam403	441129
fam404	441536
fam405	442083
fam406	442448
fam408	443131
fam409	443575
fam410	444940
fam411	445077
fam412	445541
fam413	445947
