fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	474673	0.0
fam875	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	29574	0.0
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	529116	0.0
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	120465	0.0
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	260702	0.0
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	331997	0.0
fam443	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	508932	0.0
fam355	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	436766	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	424116	0.0
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	99898	0.006842105263157894
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	399398	0.0
fam594	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	333246	0.0
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	424382	0.0
fam643	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	279720	0.0
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	75930	0.0
fam494	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	452335	0.0
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	269327	0.0
fam870	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	34554	0.0
fam150	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	192046	0.0
fam508	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	435721	0.0
fam155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	198756	0.0
fam179	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	221706	0.0
fam885	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	20877	0.0
fam119	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	149300	0.0
fam43	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	50285	0.0
fam174	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	218341	0.0
fam839	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	71394	0.0
fam317	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	392903	0.0
fam568	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	367899	0.0
fam645	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	276485	0.0
fam124	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	163909	0.0
fam732	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	175176	0.0
fam622	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	301162	0.0
fam531	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	413762	0.0
fam507	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	436284	0.0
fam157	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	200559	0.0
fam646	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	276168	0.0
fam504	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	439075	0.0012483559597851045
fam363	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	444275	0.0
fam233	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	286678	0.0008447043534762832
fam565	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	373604	0.0
fam231	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	283453	0.0
fam530	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	414393	0.0
fam229	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	280916	0.0
fam488	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	459196	0.0
fam116	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	145690	0.0
fam69	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	82800	0.0
fam222	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	275971	0.0
fam498	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	448195	0.0
fam74	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	90867	0.0
fam868	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	37672	0.0
fam835	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	77828	7.017543859649121e-05
fam93	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	115327	0.0
fam176	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	219127	0.0
fam817	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	96828	0.0
fam287	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	356859	0.0
fam271	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	339585	0.0
fam374	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	456932	0.0
fam256	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	323442	0.0
fam44	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	53038	0.0
fam518	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	425430	0.0
fam258	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	324337	0.0
fam846	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	62749	0.0
fam581	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	350557	0.0
fam833	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	80536	0.0
fam794	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	121077	0.0
fam162	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	202512	0.0
fam254	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	318658	0.0
fam475	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	471420	0.0
fam796	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	119747	0.0
fam15	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	22746	0.0
fam559	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	379713	0.0
fam462	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	484739	0.0
fam17	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	24590	0.0
fam90	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	112526	0.0
fam603	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	322648	0.0
fam300	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	373217	0.0
fam200	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	252019	0.0
fam698	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	212756	0.0
fam274	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	342575	0.0
fam563	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	375223	0.0
fam463	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	484175	0.0
fam360	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	440391	0.0
fam77	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	94258	0.0
fam647	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	274709	0.00016244314489928527
fam802	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	114383	0.0
fam444	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	508103	0.0
fam705	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0007799999999999999	206704	0.005247324086389259
fam185	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	229645	0.0
fam803	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	113882	0.0
fam460	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	488657	0.0011112467944804005
fam526	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	417877	0.0
fam789	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	125643	0.0
fam216	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	268884	0.0
fam864	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	39880	0.0
fam625	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	298110	0.0
fam348	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	427608	0.0
fam750	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	155813	0.0
fam372	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	456108	0.0
fam484	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	463521	0.0
fam791	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	124285	0.0
fam556	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	382717	0.0
fam41	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	47555	0.0
fam578	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	357505	0.0
fam543	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	398143	0.0
fam399	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	480462	0.0
fam457	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	492649	0.0
fam524	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	419052	0.0
fam821	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	89407	0.0
fam78	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	98107	0.0
fam318	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	394299	0.0
fam608	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	315584	0.0
fam36	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	43673	0.0
fam16	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	23325	0.0
fam352	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	430973	0.0
fam751	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	154399	0.0
fam283	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	354850	0.0
fam294	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	365735	0.0
fam720	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	185677	0.0
