fam	loc
fam1	1350
fam2	2662
fam4	3727
fam5	4839
fam7	7053
fam8	9736
fam9	10545
fam10	11159
fam11	11583
fam13	12533
fam15	15508
fam16	16520
fam18	17407
fam21	20280
fam27	26418
fam28	27132
fam29	27996
fam30	28813
fam37	34551
fam38	35513
fam39	36200
fam43	39463
fam44	40030
fam46	42148
fam47	42978
fam50	44439
fam62	54467
fam65	58927
fam67	63518
fam68	64029
fam69	64905
fam70	65834
fam71	66475
fam72	67731
fam73	68903
fam78	72552
fam79	72799
fam80	73531
fam81	74239
fam83	75647
fam84	76860
fam85	77443
fam87	79399
fam91	83239
fam92	83976
fam96	87166
fam97	88068
fam98	89363
fam99	90075
fam100	91432
fam102	95172
fam103	96181
fam104	97243
fam106	97816
fam112	102252
fam113	104570
fam114	105041
fam125	138194
fam126	139423
fam134	151717
fam135	153885
fam136	154330
fam138	157960
fam141	159796
fam142	161479
fam143	163976
fam144	164897
fam149	170096
fam151	171543
fam152	172837
fam153	173310
fam154	174537
fam155	175202
fam156	176270
fam158	177317
fam159	178360
fam160	178847
fam161	179371
fam162	181023
fam163	181487
fam165	183021
fam166	183851
fam167	186249
fam169	187401
fam170	188296
fam171	189500
fam172	189958
fam174	192542
fam175	192944
fam176	194471
fam177	195719
fam178	196644
fam179	197588
fam186	206095
fam187	206509
fam188	209150
fam189	211018
fam192	212428
fam198	218837
fam199	220344
fam200	220987
fam201	222486
fam202	223453
fam203	223827
fam204	224121
fam205	224876
fam206	225338
fam207	225973
fam208	226263
fam209	226454
fam210	227516
fam211	228441
fam212	228931
fam213	229784
fam214	230206
fam215	230666
fam217	231652
fam219	233232
fam220	234000
fam221	234751
fam222	235264
fam223	236305
fam224	237139
fam225	237916
fam226	238778
fam227	239249
fam228	240387
fam229	241240
fam230	243103
fam231	243865
fam232	244706
fam233	245902
fam234	247209
fam235	249501
fam236	250259
fam250	266204
fam251	267412
fam252	269050
fam253	270587
fam254	271178
fam255	271971
fam256	272765
fam257	273684
fam258	274562
fam259	276358
fam260	277581
fam261	279185
fam263	281915
fam264	282782
fam265	283544
fam266	283985
fam267	284887
fam268	285903
