fam	loc
fam1	11227
fam2	11417
fam3	13884
fam5	16162
fam7	22213
fam9	25668
fam10	25881
fam15	28970
fam16	30225
fam18	34674
fam19	35038
fam20	37421
fam22	38477
fam23	38774
fam24	41113
fam25	42559
fam26	43832
fam28	46106
fam29	46470
fam30	47725
fam32	48668
fam33	50626
fam37	57229
fam38	58449
fam39	58697
fam40	59736
fam41	60020
fam44	64245
fam45	65670
fam46	66598
fam47	66880
fam49	68543
fam50	69310
fam51	69714
fam52	70289
fam54	72156
fam57	74358
fam58	75553
fam59	76103
fam60	76800
fam61	78098
fam62	79186
fam63	80282
fam64	81031
fam65	81647
fam66	82020
fam67	83579
fam68	83857
fam69	84918
fam70	86319
fam71	87770
fam73	88858
fam75	90706
fam76	91944
fam77	92450
fam78	93833
fam79	94175
fam80	95626
fam81	95889
fam83	96692
fam84	97166
fam85	97563
fam86	98215
fam92	103972
fam93	105630
fam94	106279
fam95	106932
fam96	107198
fam97	107760
fam98	108332
fam99	108977
fam100	109095
fam101	109701
fam103	112930
fam104	113364
fam105	114942
fam109	120219
fam110	122891
fam111	123162
fam112	123323
fam113	123850
fam114	124150
fam115	124688
fam116	125969
fam117	126905
fam119	128483
fam120	128604
fam122	129832
fam123	131049
fam124	132020
fam125	132787
fam126	133593
fam128	135895
fam130	138192
fam131	139034
fam132	139768
fam133	141213
fam134	142308
fam137	146113
fam138	147433
fam142	149906
fam143	151400
fam144	152808
fam147	154248
fam148	154627
fam149	155522
fam150	156028
fam151	156305
fam152	156808
fam153	157112
fam154	157357
fam155	158192
fam156	158866
fam158	160591
fam159	162119
fam160	162375
fam161	163450
fam163	166818
fam164	167430
fam165	168805
fam167	169651
fam168	171526
fam170	172822
fam172	173692
fam174	176206
fam175	176803
fam176	179439
fam177	180144
fam178	180892
fam179	181727
fam181	183171
fam182	184852
fam184	187966
fam185	189267
fam186	192348
fam187	192467
fam188	193652
fam189	194829
fam190	195738
fam191	196335
fam192	196459
fam194	200195
