fam	loc
fam3	7990
fam4	8672
fam5	9200
fam7	10585
fam8	11203
fam9	11778
fam10	13099
fam11	13695
fam12	14783
fam13	15145
fam15	21474
fam16	21916
fam17	23470
fam18	25190
fam19	25827
fam20	26395
fam22	28047
fam23	30189
fam24	30684
fam25	31694
fam26	32602
fam27	33271
fam28	34002
fam29	34257
fam30	35474
fam34	42531
fam35	43125
fam37	44123
fam38	44930
fam39	46091
fam40	47056
fam41	48755
fam42	49501
fam43	50745
fam44	51397
fam45	51960
fam47	53749
fam48	54002
fam49	54827
fam50	56018
fam51	57082
fam54	61256
fam55	62570
fam56	64652
fam57	65314
fam58	65610
fam59	66720
fam60	67208
fam61	69759
fam62	71116
fam63	71948
fam64	72733
fam65	73126
fam66	73936
fam67	74620
fam68	75365
fam69	76064
fam70	76865
fam74	81087
fam75	82127
fam77	83830
fam78	85426
fam79	87219
fam80	87988
fam84	92678
fam85	93417
fam86	94383
fam87	95487
fam88	95902
fam90	99014
fam92	102062
fam93	103189
fam94	104122
fam95	104851
fam96	106155
fam98	107229
fam99	108159
fam101	109452
fam102	111495
fam103	112311
fam104	114069
fam105	114818
fam106	115696
fam107	116698
fam108	118157
fam109	119002
fam110	119534
fam111	120181
fam112	120955
fam113	121607
fam114	122989
fam116	124924
fam117	126177
fam118	127184
fam119	127459
fam120	128160
fam121	130952
fam122	131972
fam123	132592
fam124	138586
fam125	139537
fam126	140522
fam127	141082
fam128	142882
fam129	143745
fam130	145077
fam131	146485
fam132	148538
fam134	150152
fam135	150869
fam136	152052
fam138	153936
fam139	154403
fam140	155278
fam141	156252
fam142	157114
fam144	159734
fam145	160270
fam147	165189
fam148	166197
fam149	167032
fam151	169322
fam152	169606
fam153	170348
fam154	170624
fam155	171303
fam156	172154
fam157	172814
fam158	173599
fam159	174475
fam161	177099
fam162	178719
fam163	180377
fam164	181202
fam165	182168
fam166	183187
fam167	184261
fam169	186072
fam170	187056
fam171	188243
fam175	192634
fam178	199256
fam179	200062
fam180	200321
fam181	201720
fam182	202259
fam183	202585
fam184	202852
fam185	203241
fam186	204124
fam187	204627
fam188	205041
fam189	205383
fam190	205916
fam191	206443
fam192	207950
fam193	209051
fam194	209389
fam195	209942
fam196	210669
fam197	210957
fam198	211564
fam199	212135
fam200	212962
fam201	213714
fam202	214635
fam203	215370
fam204	216587
fam205	217445
fam206	218686
fam207	219220
fam208	219881
fam209	220504
fam210	221521
fam211	223175
fam212	223812
fam213	225336
fam214	225762
fam216	229970
fam217	230888
fam218	232106
fam219	233372
fam220	233751
fam221	234357
fam222	234751
fam223	236569
fam224	236914
fam225	237210
fam226	237503
fam228	238914
fam229	239589
fam236	251309
fam237	251942
fam238	252961
fam239	254648
fam244	258712
fam245	259547
fam246	260656
fam247	260928
fam248	261658
fam249	262078
fam250	263068
fam251	264467
fam252	265451
fam253	266552
fam254	267388
fam255	268221
fam256	269121
fam257	270140
fam258	270512
fam260	273286
fam261	274377
fam262	275245
fam265	277599
fam266	278251
fam267	278966
fam268	279810
fam269	280888
fam270	281473
fam271	282623
fam272	283891
fam273	285088
fam274	287123
fam275	288008
fam276	288251
fam277	288467
fam280	292268
fam281	292958
fam282	293461
fam283	294297
fam284	295460
fam285	296386
fam287	298521
fam288	299132
fam289	299776
fam290	302025
fam291	303341
fam292	303824
fam293	304705
fam294	306148
fam295	306693
fam296	307960
fam297	309722
fam299	311500
fam300	314609
fam302	318109
fam303	319899
fam304	320082
fam305	321249
fam306	322832
fam307	324595
fam308	326262
fam309	326815
fam310	328058
fam311	328438
fam312	329219
fam313	329421
fam314	329715
fam315	330833
fam316	331588
fam317	332576
fam318	333106
fam319	333894
fam320	334900
fam321	335571
fam322	335864
fam323	336630
fam324	338241
fam325	338499
fam326	338811
fam327	339186
fam329	342847
fam330	343583
fam331	344201
fam332	344675
fam334	345702
fam337	348009
fam338	348515
fam339	348950
fam340	349870
fam341	350331
fam342	352177
fam343	352771
fam344	353433
fam345	354304
fam346	356098
fam347	356299
fam348	357861
fam349	358671
fam350	360522
fam351	360909
fam352	361479
fam353	361815
fam354	362501
fam355	363890
fam356	365535
fam359	370435
fam360	370787
fam361	371795
fam362	373288
fam363	373863
fam367	378449
fam370	381037
fam371	381749
fam372	382958
fam373	383908
fam379	398075
fam382	401271
fam383	402262
fam386	404849
fam387	405003
fam388	405182
fam389	405801
fam390	407415
fam391	409091
fam392	409737
fam393	411124
fam395	416895
fam396	417951
fam397	418533
fam399	421807
fam400	422862
fam401	423902
fam406	428642
fam408	430320
fam409	431613
fam411	433514
fam412	434949
fam413	436217
fam414	437300
fam415	437844
fam416	438580
fam417	439105
fam418	440578
fam419	441399
fam420	441728
fam421	442045
fam422	443134
fam423	444099
fam424	444539
fam425	445588
fam427	448446
fam428	449419
fam429	451016
fam430	452852
fam431	453777
fam432	454186
fam434	455910
fam435	456632
fam436	457528
fam437	458123
fam438	459280
fam439	459851
fam440	460130
fam441	461296
fam442	461792
fam443	462986
fam444	463372
fam445	464053
fam446	464726
fam447	467069
fam449	469066
fam450	470315
fam451	470890
fam452	471530
fam453	472083
fam454	473151
fam455	473603
fam456	474552
fam457	476685
fam458	477227
fam459	478560
fam461	480814
fam462	481644
fam463	483766
fam464	484825
fam465	485666
fam468	489612
fam469	489952
fam470	490890
fam471	491520
fam472	493009
fam473	496736
fam475	500005
fam476	503061
fam477	504143
fam478	505243
fam479	506846
fam480	507878
fam481	509270
fam482	510444
fam483	511270
fam484	512034
fam485	512876
fam486	514258
fam487	515543
fam488	516594
fam489	517927
fam490	518644
fam491	519517
fam492	520349
fam493	521436
fam494	523177
fam495	524693
fam496	525212
fam497	526169
fam498	526933
fam499	527101
fam500	527881
fam501	529858
fam502	530473
fam503	530715
fam504	531166
fam505	532057
fam506	532999
fam507	533167
fam508	534031
fam509	535080
fam511	537745
fam513	540192
fam514	541166
fam515	541774
fam516	542388
fam517	542543
fam518	543645
fam519	543971
fam520	546131
fam521	547214
fam522	547898
fam523	548373
fam524	549797
fam525	550406
fam526	551680
fam527	552658
fam528	553366
fam531	556719
fam532	557621
fam533	558292
fam534	559138
fam535	561676
fam536	563084
fam537	563219
fam538	564601
fam539	565174
fam540	566014
fam541	566700
fam542	567422
fam543	567776
fam544	568692
fam545	569350
fam546	570200
fam547	570687
fam548	571427
fam549	572073
fam550	574380
fam551	574744
fam552	575756
fam554	577248
fam555	578193
fam556	578561
fam557	579454
fam558	579945
fam559	580506
fam561	582109
fam562	582300
fam563	583273
fam564	584438
fam566	588454
fam567	588625
fam568	589096
fam569	589607
fam572	592835
fam573	593951
fam574	595007
fam575	596451
fam576	597071
fam577	598354
fam578	599169
fam581	604147
fam582	604876
fam583	605267
fam584	606305
fam585	606938
fam586	607965
fam587	608601
fam589	610939
fam591	612550
fam593	614330
fam594	616187
fam595	617407
fam596	618594
fam597	618773
fam598	619673
fam599	620120
fam600	621190
fam602	623203
fam603	624284
fam604	625117
fam607	629578
fam609	632275
fam611	633879
fam612	635535
fam613	636428
fam614	637347
fam616	639717
fam618	643071
fam619	643544
fam622	647208
fam623	647507
fam624	647803
fam626	649412
fam627	650828
fam628	651860
fam629	654024
fam630	655531
fam631	658395
fam632	659383
fam633	661187
fam634	662346
fam635	663996
fam636	664396
fam637	665499
fam640	671608
fam641	672060
fam644	675283
fam645	676227
fam646	676707
fam648	678787
fam661	698201
fam662	698657
fam663	699023
fam664	699652
fam665	700092
fam666	701334
fam667	702068
fam669	703996
fam670	704815
fam673	707398
fam676	710892
fam678	714224
fam679	715175
fam680	716659
fam681	717785
fam682	718279
fam683	719215
fam684	720688
fam685	721961
fam686	722315
fam687	723620
fam688	724975
fam689	725658
fam690	727052
fam691	727855
fam692	728736
fam693	729520
fam694	730321
fam695	731213
fam696	732856
fam697	733417
fam699	735146
fam700	735845
fam702	738514
fam703	739936
fam704	741025
fam706	742325
fam707	742942
fam708	743838
fam709	744615
fam710	746006
fam711	747268
fam712	747860
fam713	749268
fam714	749795
fam716	753089
fam717	754834
fam718	755918
fam719	756772
fam720	757605
fam721	758483
fam725	762543
fam726	763007
fam727	764985
fam728	765886
fam730	768786
fam731	769665
fam732	770836
fam734	773315
fam735	774237
fam737	776203
fam738	776657
fam739	777559
fam741	779778
fam742	784757
fam743	786308
fam744	786619
fam745	787637
fam746	788739
fam747	789107
fam748	790152
fam749	792010
fam750	792388
fam751	793034
fam752	795920
fam753	796222
fam754	796699
fam755	797363
fam756	798308
fam758	800998
fam759	801896
fam760	803573
fam761	804007
fam763	807364
fam764	808507
fam765	809607
fam768	813900
fam769	815543
fam771	816825
fam772	817412
fam773	817826
fam774	818529
fam776	821194
fam779	825342
fam781	827428
fam782	828584
fam783	829684
fam784	830448
fam786	832133
fam787	833002
fam789	835073
fam790	836621
fam791	837701
fam792	838298
fam793	838867
fam794	839431
fam795	839926
fam796	840769
fam797	842176
fam798	842435
fam802	846865
fam803	848581
fam804	850955
fam805	851845
fam806	852149
fam807	852467
fam808	854240
fam809	854889
fam811	856136
fam812	856828
fam813	857736
fam814	858681
fam815	859627
fam816	861172
fam818	862733
fam819	863940
fam820	864534
fam821	864882
fam822	866644
fam823	867216
fam825	868491
fam826	869119
fam827	869723
fam828	870599
fam829	871230
fam830	873228
fam832	875431
fam835	879757
fam836	880210
fam837	881214
fam838	881604
fam839	882609
fam841	884688
fam842	885834
fam843	886769
fam846	888607
fam847	889177
fam848	889947
fam850	893227
fam851	894216
fam852	895121
fam853	895928
fam854	897466
fam855	898359
fam856	899798
fam857	900187
fam858	900616
fam861	903320
fam862	904251
fam864	906100
fam867	909973
fam868	910160
fam873	914277
fam874	914875
fam875	915102
fam876	915988
fam877	916990
fam878	917683
fam879	918439
fam880	919520
fam882	920750
fam883	921289
fam884	922082
fam885	922951
fam886	923866
fam887	924501
fam888	925250
fam891	928138
fam892	928613
fam893	929064
fam894	930056
fam895	931543
fam896	932500
fam898	934575
fam900	936826
fam901	937239
fam905	944699
fam906	946866
fam907	947144
fam908	947557
fam909	948354
fam910	948653
fam911	948876
fam912	951429
fam913	952243
fam915	954098
fam916	955151
fam917	955752
fam918	956204
fam919	957364
fam921	958783
fam922	960421
fam923	961650
fam924	962264
fam925	963257
fam926	963896
fam927	965397
fam928	965685
fam930	967998
fam931	968966
fam933	970829
fam934	971624
fam935	972232
fam937	974850
fam938	975365
fam939	976073
fam940	976674
fam941	977232
fam942	978034
fam944	980838
fam945	982005
fam946	982412
fam947	982586
fam948	983384
fam950	984393
fam951	984957
fam952	986378
fam954	987793
fam955	988413
fam956	989766
fam957	990936
fam958	992066
fam959	993349
fam961	995502
fam962	996291
fam964	998907
fam967	1001103
fam968	1002348
fam969	1003097
fam970	1003808
fam971	1004641
fam973	1006600
fam974	1007381
fam975	1008983
fam976	1009453
fam977	1010202
fam978	1011141
fam979	1012605
fam980	1013553
fam981	1014600
fam982	1016217
fam983	1017266
fam985	1018692
fam986	1019239
fam987	1020344
fam988	1020978
fam989	1024482
fam990	1025852
fam991	1026566
fam993	1029188
fam994	1030302
fam995	1030954
fam996	1032799
fam997	1033739
fam998	1035291
fam999	1035502
fam1002	1037703
fam1003	1038320
fam1004	1038986
fam1005	1039813
fam1007	1042193
fam1008	1043001
fam1009	1043847
fam1010	1044097
fam1011	1044777
fam1013	1047971
fam1015	1052042
fam1016	1053277
fam1017	1053744
fam1018	1054553
fam1019	1055215
fam1020	1056228
fam1023	1059397
fam1024	1061248
fam1025	1062493
fam1026	1063015
fam1027	1063859
fam1028	1064640
fam1029	1065287
fam1030	1065733
fam1031	1067036
fam1033	1068536
fam1034	1069057
fam1035	1071383
fam1036	1072096
fam1037	1072684
fam1038	1073283
fam1039	1074092
fam1040	1074907
fam1041	1075830
fam1043	1079127
fam1044	1079516
fam1045	1080136
fam1046	1080378
fam1047	1081981
fam1048	1084034
fam1049	1084804
fam1051	1085456
fam1052	1085914
fam1053	1087009
fam1054	1087759
fam1055	1088216
fam1056	1088552
fam1058	1091020
fam1059	1091529
fam1061	1094072
fam1062	1094280
fam1063	1094808
fam1064	1095947
fam1066	1096865
fam1068	1097676
fam1069	1097990
fam1070	1098195
fam1071	1098799
fam1072	1099444
fam1073	1100286
fam1074	1100696
fam1075	1104507
fam1076	1104848
fam1077	1105644
