fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.08383553177137686	0.06097560975609755	0.05613958770583957	0.0029268617021276596	0.0	0.005197932971130261	0.0489343085106383	0.0	0.08081019100391497	1957012	0.01671144064761086
fam393	0.03818678123987626	0.043859649122807015	0.03592632003948362	0.0009168163265306122	0.0	0.0015266806954487547	0.01926473469387755	0.0058	0.022419906907610906	501021	0.006216424714215582
fam158	0.0063459631308432855	0.0	0.011930094766493796	0.00018367346938775512	0.0	0.000503243333350212	0.02458971088435374	0.0	0.03612301598136403	211069	0.006828322726940239
fam1037	0.02329968519251104	0.0	0.03616662601556479	0.0010175170068027213	0.0	0.00270567857585361	0.031325680272108844	0.0	0.07987808910730895	1169063	0.00858273338489915
fam1499	0.006701878649789099	0.0	0.012526950312563269	0.0004097959183673469	0.0	0.0013516437306765484	0.03759951020408163	0.0	0.04686771396179889	1668879	0.01131602379171564
fam2659	0.06542736933116854	0.0	0.09539576441606372	0.0011511020408163264	0.0	0.00219601884907804	0.014301877551020407	0.007	0.01826924538909714	1099399	0.004984069577197968
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.006317387755102041	0.0	0.01378397175192293	1161522	0.0018294086865515437
fam3345	0.03588878651001166	0.03550295857988166	0.03150747763628585	0.0012720816326530612	0.0	0.002514968282647689	0.02853624489795918	0.0	0.04137305571707988	306252	0.009601278233713413
fam875	0.0	0.0	0.0	0.0	0.0	0.0	0.0026886530612244895	0.0	0.006395157113964171	961942	0.0007256235827664398
fam1781	0.020100071680028714	0.0	0.025995776014957558	0.00048595918367346934	0.0	0.0013188487552218996	0.022403265306122452	0.0	0.031203460652381408	1952537	0.0072325004768262445
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.015307993197278913	0.0162	0.018127887170093882	536162	0.0043907500106961025
fam1195	0.012263394037449846	0.0	0.033860423423438084	0.0003422040816326531	0.0	0.0009448153038296359	0.028682612244897963	0.0	0.05498995960036383	1348393	0.007511547829008147
fam3379	0.038351527694553404	0.0	0.0687480508754782	0.0008607346938775511	0.0	0.002581719303538966	0.016263510204081632	0.0	0.046061575459388236	260225	0.005158012572117455
fam1928	0.03691001655201898	0.033112582781456956	0.05324199701313868	0.0012231836734693878	0.0	0.002497473267397691	0.03190889795918368	0.0	0.05214345966784756	2115338	0.010135234816818293
fam3111	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.005388877434122991	577094	0.000310077519379845
fam98	0.09435852044059395	0.07773851590106008	0.11237462914606187	0.0010418775510204082	0.0	0.0018756792906392016	0.011396979591836734	0.0	0.013002232738389855	148957	0.005557394128822699
fam1496	0.009528758662144728	0.0	0.02381390510047402	0.00024848979591836736	0.0	0.0005907032862147089	0.015366775510204083	0.0	0.019005553597878942	1664614	0.004644361145818871
