fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.03279879423182769	0.008660213958227202	0.03414517150439494	0.0008419047619047617	0.0	0.0008499614503730045	0.04869285714285714	0.0206	0.07027705644992045	473137	0.007070076939072572
fam4124	0.050911962144015235	0.04036697247706422	0.023350651714535074	0.0026100000000000003	0.0017	0.003024525936879554	0.05707761904761905	0.0445	0.072813204742047	732737	0.009523809523809521
fam1785	0.02419721714241665	0.02296450939457203	0.016324552802117254	0.001484761904761905	0.0011	0.0018158445996222597	0.05754428571428571	0.048049999999999995	0.06889602995483422	1941476	0.008691719802830915
fam966	0.15476418940238	0.15	0.11853459016159552	0.005732380952380953	0.0071	0.004596344204403264	0.07378285714285714	0.0319	0.1127708029227279	1072144	0.01304791029561672
fam393	0.05675920029058982	0.052545155993431854	0.032873033352225425	0.003375714285714286	0.003	0.003118245952956446	0.08396095238095237	0.0433	0.1253814097219156	436764	0.013077200577200576
fam1571	0.010373838928190968	0.0	0.018530728064632667	0.0013876190476190477	0.0	0.002705503922363245	0.06912761904761905	0.0362	0.104487983355789	1706800	0.008128163546120202
fam3872	0.0063356447403516945	0.0	0.009878383781537896	0.0010133333333333333	0.0	0.0021558808460168254	0.07175666666666668	0.0479	0.09249642195567985	1006077	0.009765684051398335
fam158	0.08690686202474374	0.10362694300518134	0.06424780657144197	0.0060863157894736845	0.008	0.007075824081094216	0.059934736842105256	0.0756	0.044864959409604784	195161	0.014998280013759888
fam4609	0.03765740277542286	0.048747276688453155	0.016355504063300833	0.007709523809523809	0.0018	0.00881064857684559	0.15966523809523808	0.0719	0.16359136134251007	221283	0.025325963718820864
fam1037	0.1537480154138145	0.16304347826086957	0.08292648747211556	0.006745238095238096	0.0059	0.007964558469242178	0.052918095238095236	0.0286	0.07870613672564956	1145931	0.012890812890812888
fam3276	0.07816874401926142	0.06822059230794683	0.042234764127956875	0.004524761904761905	0.0043	0.004983759929867083	0.06497619047619048	0.0589	0.07457613881614966	1631314	0.01247987117552335
fam1720	0.03322239190627654	0.030303030303030304	0.02345332695375453	0.0015219047619047619	0.0015	0.0013462810116607444	0.052059047619047616	0.0335	0.058788874385158306	1863663	0.005407861849579643
fam1499	0.026956172884424864	0.0	0.03129529992632039	0.003980952380952381	0.0	0.005074832302893795	0.0957357142857143	0.071	0.0755895451999641	1631603	0.01874129768866611
fam2659	0.05082428425710389	0.03204047217537943	0.04762022902582791	0.0022485714285714283	0.0021	0.0019960730154463782	0.06916238095238093	0.0758	0.06147921727084551	2316076	0.010740546218487395
fam3994	0.01844836828178945	0.01575262543757293	0.021409844179218457	0.0007176190476190477	0.0005	0.001048955965129159	0.04506809523809525	0.0233	0.060866674603795	878342	0.007934365829102672
fam1031	0.10539108867419043	0.09907529722589167	0.036814906588283985	0.005589473684210525	0.0075	0.004759521729272043	0.05376526315789473	0.0756	0.05210974101971026	1139706	0.011582353943110201
fam3345	0.1138031196920464	0.0859122401847575	0.07148895311310843	0.010306190476190476	0.0034	0.009955974983319349	0.08384952380952382	0.0559	0.08468589259454698	1562158	0.019603577471597772
