fam	loc
fam1	20495
fam2	20935
fam3	22599
fam4	24578
fam5	25955
fam6	27003
fam7	27895
fam8	28720
fam9	29466
fam10	30474
fam11	31269
fam12	32011
fam13	32676
fam14	33127
fam15	34700
fam16	35788
fam17	36431
fam18	37318
fam22	42282
fam23	44016
fam24	44276
fam25	44599
fam26	44757
fam27	46834
fam28	47939
fam29	49070
fam30	51503
fam31	52443
fam32	53410
fam33	54365
fam34	56107
fam35	56485
fam36	57208
fam37	57743
fam38	59569
fam41	61506
fam47	68814
fam48	70156
fam49	71261
fam50	72021
fam51	73221
fam52	74008
fam53	74709
fam54	75272
fam55	77458
fam58	80793
fam59	82872
fam60	83935
fam61	86397
fam62	87601
fam63	88247
fam64	88852
fam65	90467
fam66	90903
fam67	91693
fam68	92466
fam70	95173
fam71	95919
fam74	100309
fam75	100941
fam76	101870
fam78	103281
fam79	104745
fam80	106583
fam84	108629
fam85	109839
fam86	110757
fam87	111311
fam88	112800
fam91	114881
fam93	117626
fam107	130518
fam109	133783
fam110	134565
fam111	137091
fam112	138509
fam113	140030
fam115	141192
fam116	141778
fam117	143699
fam118	144409
fam119	145950
fam120	147377
fam121	149857
fam122	152066
fam123	153254
fam124	154168
fam125	155164
fam126	156150
fam127	158093
fam129	159851
fam130	160232
fam131	160976
fam132	163576
fam134	167063
fam135	170518
fam136	172753
fam137	174313
fam138	176079
fam139	176386
fam140	178520
fam141	180049
fam142	181341
fam143	181799
fam144	183459
fam145	184854
fam146	185937
fam149	189478
fam150	190409
fam151	191115
fam152	192232
fam153	193484
fam154	194566
fam155	195930
fam156	196685
fam157	198454
fam158	201154
fam159	202282
fam160	203045
fam162	206852
fam163	207209
fam164	207494
fam165	208390
fam166	209100
fam167	210008
fam168	210724
fam169	212965
fam170	213482
fam171	214879
fam172	215783
fam173	216320
fam174	218352
fam175	218985
fam176	219654
fam177	220845
fam178	221647
fam179	222759
fam180	224197
fam181	224405
fam182	226211
fam183	227469
fam184	228665
fam185	229263
fam186	229778
fam187	230479
fam188	230946
fam191	233861
fam192	236005
fam193	236437
fam194	237104
fam196	238714
fam197	238990
fam198	239600
fam200	242103
fam201	243046
fam202	244221
fam203	246355
fam204	247559
fam205	247948
fam206	249469
fam207	250513
fam208	251793
fam209	252557
fam210	253263
fam211	254495
fam212	256002
fam213	256968
fam214	257810
fam215	258886
fam216	259623
fam217	260640
fam218	260950
fam219	261962
fam220	262922
fam221	265301
fam222	266213
fam223	267462
fam224	268539
fam225	269149
fam226	270837
fam227	271671
fam228	272293
fam229	273921
fam230	274265
fam231	274826
fam232	275600
fam233	276436
fam234	277473
fam235	278004
fam236	278975
fam237	280558
fam238	281310
fam239	282646
fam240	284846
fam242	287719
fam243	288333
fam244	289819
fam245	290374
fam246	297260
fam247	298219
fam248	299218
fam249	299986
fam250	302218
fam251	302861
fam252	303408
fam253	304002
fam255	305546
fam256	305975
fam257	310336
fam258	314678
fam259	315293
fam260	315757
fam261	317033
fam263	319664
fam264	320443
fam265	320645
fam266	321391
fam267	322034
fam268	323970
fam269	324752
fam270	325621
fam271	326724
fam272	327420
fam273	328059
fam274	328521
fam275	329229
fam276	330562
fam277	332200
fam278	339811
fam279	340119
fam280	342169
fam281	344387
fam283	349144
fam287	357716
fam289	361881
fam291	366039
fam292	367484
fam293	368902
fam294	370538
fam295	371402
fam297	373268
fam316	389617
fam318	391680
fam319	393091
fam321	394777
fam322	395635
fam323	396118
fam324	397809
fam325	398522
fam327	400784
fam328	401393
fam329	401595
fam330	401847
fam331	402357
fam332	402884
fam333	403328
fam334	403733
fam335	404482
fam336	406271
fam337	407634
fam338	411054
fam339	411961
fam340	413087
fam341	413878
fam342	415869
fam343	417382
fam344	417863
fam346	421573
fam347	422507
fam348	422930
fam349	424309
fam350	425628
fam351	426636
fam352	426900
fam353	428297
fam354	428956
fam355	431490
fam356	432283
fam357	434028
fam358	434493
fam359	434765
fam361	436077
fam362	436576
fam363	436942
fam364	437794
fam365	438120
fam366	438352
fam367	438844
fam368	439310
fam369	439988
fam370	440876
fam371	442929
fam372	443925
fam373	444484
fam374	445021
fam375	446422
fam376	447241
fam377	449264
fam378	453079
fam379	453429
fam380	454013
fam381	455827
fam382	456877
fam383	458426
fam384	458887
fam385	459271
fam386	460145
fam387	461548
fam388	461875
fam389	462412
fam390	463434
fam391	464016
fam392	464291
fam394	466557
fam395	467655
fam396	468314
fam397	469756
fam398	470489
fam399	470895
fam400	471668
fam401	473656
fam402	474585
fam403	475927
fam404	476484
fam405	477448
fam406	478978
fam407	481692
fam408	482173
fam409	483117
fam410	483511
fam411	485885
fam412	486898
fam414	489007
fam415	490367
fam416	490603
fam417	491666
fam418	492858
fam419	493994
fam420	495130
fam423	498035
fam424	499042
fam425	499822
fam426	500319
fam427	501144
fam428	502583
fam429	504808
fam430	505188
fam431	506062
fam432	506725
fam433	507464
fam434	508080
fam435	508646
fam436	509782
fam437	510486
fam438	511291
fam439	512151
fam440	513229
fam442	514257
fam443	514983
fam444	516269
fam448	520709
fam450	523016
fam451	524175
fam452	524804
fam453	526497
fam454	527980
fam455	529057
fam456	532190
fam457	534792
fam462	539419
fam463	540043
fam464	540991
fam465	542849
fam466	544067
fam467	544655
fam468	545598
fam469	547221
fam470	547950
fam471	551026
fam472	551488
fam473	553084
fam474	554461
fam475	555531
fam476	556402
fam495	580604
fam496	580829
fam497	583228
fam505	592660
fam506	593084
fam507	594487
fam511	596526
fam512	597393
fam513	598058
fam515	600199
fam517	602419
fam518	603925
fam519	604783
fam521	606167
fam522	607321
fam524	608695
fam526	611726
fam527	612423
fam528	613666
fam529	614810
fam530	616189
fam532	619174
fam533	620239
fam534	621502
fam535	622490
fam536	623893
fam537	624277
fam538	625130
fam539	626338
fam541	628310
fam543	630426
fam545	631766
fam546	632574
fam547	633367
fam550	635490
fam551	636451
fam552	637212
fam553	638663
fam555	639967
fam556	640785
fam557	641656
fam558	643030
fam559	643961
fam560	645702
fam561	646234
fam562	647410
fam563	648294
fam565	650142
fam566	651434
fam568	653066
fam569	653422
fam570	654692
fam572	656916
fam575	659981
fam576	660527
fam577	661972
fam578	663083
fam579	664175
fam580	664759
fam581	665147
fam584	668612
fam585	669743
fam586	670066
fam587	670320
fam588	671449
fam589	672228
fam590	673690
fam591	676155
fam592	677571
fam593	678469
fam594	679322
fam595	680410
fam596	681815
fam597	683148
fam598	684715
fam599	685748
fam600	686757
fam601	688454
fam602	689094
fam603	690380
fam605	693549
fam606	693933
fam607	694463
fam608	695212
fam609	696078
fam610	696900
fam611	697668
fam612	698987
fam614	701808
fam615	702739
fam616	704032
fam617	704856
fam618	706398
fam619	707736
fam620	708475
fam621	709907
fam623	712790
fam624	714021
fam625	715423
fam626	716515
fam627	716850
fam629	718179
fam631	721152
fam632	721675
fam633	722147
fam634	723081
fam635	724279
fam636	725439
fam637	726398
fam638	727683
fam639	728768
fam640	730387
fam641	733629
fam642	734357
fam644	736852
fam645	737781
fam646	738242
fam647	738868
fam648	740938
fam649	741836
fam650	742216
fam651	743047
fam652	744032
fam653	745320
fam654	747746
fam655	748796
fam656	749590
fam657	752554
fam658	755168
fam659	756154
fam660	756475
fam661	758173
fam664	760785
fam665	761747
fam666	763622
fam668	765239
fam669	766856
fam670	767496
fam671	768906
fam672	769999
fam673	771576
fam675	773396
fam676	775670
fam677	777705
fam678	778199
fam679	779422
fam680	779897
fam681	781219
fam682	782163
fam683	782480
fam684	784286
fam685	785760
fam686	787118
fam687	788194
fam688	789516
fam689	790715
fam690	791783
fam691	793343
fam692	794256
fam693	795109
fam694	796362
fam695	797591
fam696	798612
fam697	799242
fam698	799799
fam699	802590
fam700	803075
fam701	803306
fam702	804110
fam703	804730
fam704	806136
fam705	807390
fam706	808829
fam707	809272
fam708	810352
fam709	811033
fam710	811887
fam711	813239
