fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.12077065093849866	0.12026578073089703	0.028836662036106447	0.014233333333333336	0.0147	0.006351657701384383	0.11665999999999999	0.1073	0.05073766253977414	663075	0.03680911680911681
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	366132	0.0
fam966	0.04305870548534071	0.046579330422125184	0.0152570020299608	0.03002	0.0273	0.01813689425820566	0.7562333333333334	0.9095	0.3881949281253198	1291146	0.08163082437275986
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.034120000000000004	0.0323	0.01641045195396316	1324773	0.0045878136200716855
fam1571	0.017151762662196587	0.02233502538071066	0.015160681056979076	0.0013200000000000002	0.0022	0.0010777754868245984	0.07897333333333334	0.0793	0.01638244860276455	611245	0.009019607843137255
fam158	0.0	0.0	0.0	0.0	0.0	0.0	0.03939999999999999	0.0357	0.031158754788983466	1046236	0.008776844070961718
fam4609	0.17036847450851125	0.10689368770764121	0.13493337789878493	0.06299333333333333	0.0518	0.049638351660339766	0.7940333333333335	0.8525	0.6925923723390419	65627	0.10633608815426995
fam3479	0.07500059477605872	0.08480086697371987	0.05037840526296456	0.015393333333333334	0.0105	0.01281870854996278	0.18976	0.1916	0.08588230551167103	732666	0.03307086614173228
fam3276	0.08130025541550095	0.0920666013712047	0.03711099116014567	0.00522	0.0055	0.002623788609371316	0.06301333333333334	0.0569	0.01871106149373205	483786	0.011936507936507938
fam1720	0.10603946441819108	0.09310761789600969	0.05610167387210361	0.012026666666666666	0.0077	0.008151193504975547	0.11471333333333332	0.1129	0.03947434384789977	444184	0.023767476085356884
fam1499	0.1290513591417316	0.13703703703703704	0.0522955127244825	0.011059999999999999	0.011	0.0031805240658314997	0.10208666666666665	0.0916	0.04728674044827178	687372	0.02112482853223594
fam2659	0.03296665773652378	0.02948829141370338	0.010482427239320111	0.003873333333333334	0.0034	0.0011427841246515265	0.12201999999999999	0.1292	0.030027081110224483	642544	0.0142512077294686
fam3345	0.060523045590315565	0.05485232067510549	0.03083858290059069	0.002326666666666667	0.0021	0.001246042624560742	0.037660000000000006	0.0385	0.007053963424912267	560445	0.008800332088003321
fam4095	0.13617736029780544	0.14005805515239478	0.020043333049849458	0.035039999999999995	0.0178	0.0280945261572428	0.24974	0.1378	0.19019027244665626	692960	0.06987249544626595
fam875	0.08972920231433788	0.08911097230897355	0.027692407415422674	0.02298	0.0162	0.014861099106952576	0.2434	0.1829	0.1313743861387498	1405358	0.12273625939106365
fam1483	0.025707322878452656	0.026641883519206943	0.013234504035413106	0.0038866666666666663	0.0043	0.0019700648607483854	0.16403333333333334	0.1537	0.04909937768331579	701336	0.01650422352176738
fam1781	0.09238721258751238	0.074	0.0681324468387659	0.005753333333333332	0.0038	0.0036143909891186675	0.06653333333333335	0.0755	0.013204931738643037	370001	0.013376483279395902
fam425	0.11126889391452315	0.061871348187649326	0.08725334447840623	0.011693333333333333	0.0116	0.007442711572777461	0.12725999999999998	0.0973	0.061744190549934866	1357027	0.028019323671497582
fam1195	0.024247984115891227	0.02828746177370031	0.013483020146565224	0.0023133333333333335	0.0031	0.0013445527963684514	0.08854666666666668	0.0916	0.02788827391973591	1011612	0.012490922294843864
fam4141	0.02969283956143359	0.027624309392265192	0.013199211136903609	0.0024666666666666674	0.003	0.0011469767022723502	0.08961999999999999	0.0832	0.03897194204381746	632342	0.009188034188034188
fam1928	0.0	0.0	0.0	0.0	0.0	0.0	0.015146666666666666	0.0122	0.015613321947049646	220485	0.0032786885245901644
fam3111	0.08656871050371322	0.07853403141361257	0.03422477230635581	0.011919999999999998	0.0096	0.005896688336119973	0.14572000000000002	0.1398	0.05289450128951653	279880	0.02822137727080693
fam657	0.015696713675951716	0.014382402707275803	0.01142139495086052	0.00202	0.0017	0.0013511476603243631	0.12495333333333333	0.128	0.030488683510808107	1625400	0.013053613053613055
fam4153	0.047448932855448156	0.04248623131392605	0.021067011998497105	0.0064333333333333334	0.0054	0.003527542424345249	0.14098666666666665	0.1395	0.07047781557971905	615821	0.01990740740740741
fam3894	0.06980800014168577	0.056793673616103525	0.028873687815891495	0.011646666666666666	0.0087	0.0051134941304573946	0.17261999999999997	0.1784	0.045735721997872375	939679	0.02695143656242054
fam1496	0.13514246095916851	0.15039682539682542	0.0676511686020412	0.056453333333333335	0.0133	0.06388964304868895	0.3916866666666666	0.1686	0.3773065824439796	691652	0.08160597572362278
fam2317	0.09639286980198257	0.0343796711509716	0.13735162222609187	0.0034933333333333327	0.0023	0.0037911241370103175	0.03491999999999999	0.0231	0.02192749263671825	243608	0.006310013717421126
fam4592	0.05266776310978674	0.05426356589147287	0.016218564129867392	0.004313333333333334	0.0046	0.0012852323611791845	0.08226666666666668	0.0815	0.010108654158140384	83638	0.014945919370698132
fam1988	0.043628223119279906	0.031065088757396452	0.030428183074730934	0.0040933333333333325	0.0041	0.0025985808092538177	0.09964	0.0944	0.030187233504689805	148403	0.017754868270332187
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.05632000000000001	0.0541	0.03016530457330076	1174121	0.00660377358490566
fam5264	0.07306789144895207	0.07502799552071668	0.012051314165101665	0.011966666666666669	0.0119	0.0035988269693826014	0.16526000000000002	0.1641	0.04475318685114316	229756	0.03422126229901608
fam1786	0.02020068204157128	0.021844660194174758	0.008420064480722762	0.0027	0.0027	0.0012727922061357855	0.1337666666666667	0.1383	0.04598780514682368	364808	0.014690170940170942
fam3641	0.03147820727125014	0.028391167192429023	0.010254780013103561	0.0031999999999999993	0.0033	0.0009605553948974868	0.10524000000000001	0.1083	0.024118507416504863	945847	0.01562924180725228
fam443	0.11504049493948923	0.10928013876843018	0.03520654604123398	0.0103	0.0111	0.002691715685828155	0.09186	0.0916	0.01537885127916473	1377911	0.0216
fam3286	0.03191469074665888	0.027777777777777776	0.011036016797526011	0.003953333333333334	0.0031	0.0018614928298426388	0.13312	0.103	0.06621170289306869	495398	0.014278959810874703
fam3280	0.10803142124455346	0.03426395939086295	0.12912571468732975	0.010226666666666667	0.0028	0.011459986426208754	0.09986666666666667	0.1153	0.031641021194364474	486629	0.02095238095238095
fam4434	0.020608080953305123	0.013667425968109338	0.01723917011134147	0.0028866666666666667	0.0012	0.0028013964771560307	0.11827333333333337	0.1151	0.03782368687593647	278761	0.015254858819215258
fam1784	0.03110632359801226	0.02645113886847906	0.013824564824582681	0.0036599999999999996	0.0036	0.0011074294559925701	0.12808666666666665	0.1255	0.039876256371708496	366758	0.017543859649122806
fam3247	0.06417052629728662	0.04870624048706241	0.049373731204392673	0.00506	0.0051	0.001779438113562818	0.10469333333333335	0.1023	0.03851710384866558	448454	0.016066066066066066
fam3314	0.06735343886027027	0.0334138256754043	0.0734903355616055	0.004	0.003	0.002835724481209931	0.09360666666666666	0.0923	0.061882862104319494	526230	0.013648293963254595
fam2375	0.032561246502242944	0.01831210191082803	0.03233162844221979	0.0035266666666666667	0.0023	0.002200747347809123	0.14726	0.1486	0.06059425495319943	304124	0.01758691206543967
fam4546	0.059342483980464523	0.04296875	0.04888675029585192	0.008653333333333334	0.0091	0.0030041896670409403	0.18048666666666666	0.1926	0.06352420920842348	145671	0.0258448229251149
fam2090	0.44517897138535373	0.3125	0.30867498607819044	0.01162	0.0126	0.006278556097277993	0.031753333333333335	0.0243	0.021597156191396023	20903	0.016000000000000004
fam2139	0.06523159575493279	0.05559968228752978	0.031718256356686486	0.0054266666666666664	0.0047	0.0020377983762438867	0.09697333333333334	0.0934	0.042164969135791174	31037	0.014540466392318242
fam2305	0.053685673850261406	0.04295302013422819	0.026927165269005012	0.005373333333333332	0.0053	0.002490372573643461	0.11580000000000003	0.1262	0.051440658368000436	230165	0.016433239962651728
fam519	0.035321089632677126	0.029891304347826088	0.04621413071844134	0.002206666666666667	0.0033	0.0019827478127308297	0.09222666666666668	0.0806	0.04158341763518509	1473362	0.014124293785310738
fam1093	0.16142933334767823	0.15795090715048024	0.06191505983377209	0.036860000000000004	0.0207	0.02869259602522342	0.21047333333333337	0.1701	0.1169067290145819	1129767	0.06682653876898481
fam2823	0.042421328342416666	0.04496124031007751	0.019230902872159818	0.0030200000000000005	0.003	0.0010973908449894536	0.07616	0.0812	0.015074561353485548	821078	0.010005817335660269
fam2025	0.01948421706717562	0.022044088176352707	0.01813868210084366	0.0014133333333333335	0.0021	0.001271149960556276	0.08128	0.0721	0.03933729697543202	108619	0.011956521739130437
fam4230	0.04732513640131011	0.0527448869752422	0.0167314397829396	0.007646666666666665	0.008	0.004085562656749034	0.1537333333333333	0.1475	0.044511207078168025	526660	0.020685579196217493
