fam	loc
fam2	1690
fam3	2919
fam4	3287
fam5	4117
fam6	5014
fam9	9480
fam10	10419
fam11	12292
fam12	13943
fam13	14614
fam15	15668
fam17	19775
fam18	20172
fam19	20701
fam20	21345
fam21	22323
fam24	25575
fam25	27550
fam26	28698
fam27	30151
fam30	34031
fam32	37484
fam33	38295
fam36	42906
fam38	44809
fam40	46869
fam41	48463
fam42	50455
fam43	51731
fam44	53005
fam45	53815
fam46	54750
fam47	55119
fam48	55439
fam49	57115
fam50	58534
fam52	59716
fam53	60835
fam54	61657
fam56	65176
fam57	67089
fam58	68035
fam60	69859
fam61	71286
fam62	73093
fam63	73364
fam64	73844
fam65	75354
fam66	76653
fam67	77757
fam68	79124
fam69	79770
fam70	80416
fam72	81332
fam73	82173
fam74	82474
fam76	83542
fam77	83966
fam78	84157
fam80	85022
fam81	85348
fam82	85905
fam83	86222
fam84	86651
fam86	87567
fam87	88083
fam88	88269
fam89	88708
fam90	90041
fam91	90183
fam92	90680
fam93	91086
fam94	91736
fam95	92758
fam96	93189
fam97	94127
fam98	95410
fam99	95726
fam100	96737
fam101	97852
fam102	99341
fam103	101434
fam104	102417
fam105	105071
fam109	109856
fam110	110866
fam111	111823
fam112	112605
fam113	113617
fam114	114354
fam116	116216
fam124	127138
fam125	129095
fam135	139113
fam136	140732
fam137	141551
fam138	142671
fam139	143915
fam140	144544
fam141	145328
fam142	146018
fam143	147819
fam144	148905
fam145	150383
fam146	151788
fam147	153095
fam148	154763
fam149	156175
fam151	157696
fam152	159409
fam153	160272
fam155	163587
fam156	164437
fam158	165697
fam159	167622
fam160	168775
fam161	170193
fam165	174806
fam166	175288
fam167	176262
fam168	176904
fam169	177526
fam170	177892
fam171	180174
fam177	187034
fam178	188176
fam179	188807
fam180	189485
fam181	189816
fam182	190446
fam183	190833
fam184	192017
fam185	192779
fam186	193440
fam187	195000
fam189	200519
fam190	202357
fam192	205668
fam193	206749
fam194	207512
fam196	210234
fam197	210784
fam198	211958
fam200	216965
fam202	220612
fam203	222677
fam204	223403
fam205	224640
fam206	226168
fam207	226901
fam208	227387
fam209	228909
fam210	230355
fam211	233069
fam212	234271
fam215	236898
fam216	238306
fam217	238758
fam218	239333
fam220	243040
fam221	244020
fam223	246221
fam224	248673
fam225	249716
fam226	250192
fam227	251732
fam228	252980
fam229	254448
fam230	255412
fam231	256209
fam233	259549
fam234	260346
fam235	261761
fam236	262501
fam237	263972
fam239	265635
fam240	266408
fam241	267688
fam242	268881
fam244	270588
fam245	272831
fam246	274153
fam247	274879
fam248	275793
fam249	276363
fam250	276785
fam251	278176
fam252	280125
fam253	281729
fam254	282675
fam255	283550
fam256	284402
fam257	285062
fam258	286017
fam259	286634
fam260	287563
fam261	288234
fam262	289372
fam263	291384
fam264	291610
fam265	292767
fam266	293247
fam269	296233
fam270	296892
fam272	299503
fam273	300145
fam274	300643
fam275	301433
fam276	302702
fam277	303049
fam278	303743
fam280	306098
fam281	307258
fam282	307902
fam283	308661
fam286	311301
fam287	312290
fam288	313223
fam289	314171
fam290	315915
fam291	316731
fam292	316919
fam293	317968
fam294	319001
fam295	320001
fam296	320753
fam297	321244
fam298	322804
fam301	326620
fam302	326988
fam305	330521
fam306	332665
fam307	333064
fam308	333727
fam309	334754
fam310	335251
fam385	390847
fam388	395574
fam389	397028
fam390	399431
fam391	400758
fam395	403773
fam396	405370
fam397	406788
fam398	408454
fam402	410872
fam403	411762
fam404	412164
fam406	413817
fam407	414969
fam408	415584
fam409	417095
fam410	417841
fam412	421631
fam413	423642
fam414	425106
fam415	426240
fam416	428974
fam417	429954
fam419	431925
fam422	435512
fam423	436284
fam424	437170
fam425	438520
fam426	440925
fam427	441615
fam428	442643
fam429	443207
fam430	444013
fam431	445267
fam432	445862
fam433	447749
fam434	448420
fam435	449060
fam436	449991
fam437	450595
fam438	450978
fam440	453597
fam441	454181
fam443	456390
fam444	457691
fam445	458321
fam447	461055
fam448	461881
fam449	464311
fam450	465214
fam451	466418
fam459	475636
fam460	476365
fam461	477118
fam462	477339
fam463	477875
fam464	479827
fam465	480369
fam466	480833
fam467	481744
fam469	482917
fam470	483243
fam471	484062
fam472	485337
fam473	486083
fam474	486872
fam475	487909
fam476	488628
fam477	490569
fam478	491302
fam479	491979
fam480	492935
fam481	494935
fam482	495518
fam484	496820
fam485	498113
fam486	500501
fam487	504150
fam488	504713
fam489	506117
fam491	508510
fam492	509609
fam495	514499
fam496	515921
fam497	516886
fam498	518558
fam499	519306
fam500	521744
fam501	522873
fam502	524534
fam503	525626
fam504	527025
fam505	528490
fam506	530209
fam507	530994
fam511	557349
fam512	558023
fam513	559052
fam514	560867
fam515	561482
fam517	563230
fam518	563798
fam519	564713
fam523	568477
fam524	568827
fam525	570066
fam526	572476
fam528	575593
fam529	576310
fam530	577176
fam531	577985
fam534	580540
fam536	582518
fam537	583729
fam539	585086
fam540	585300
fam541	585569
fam542	587391
fam543	587953
fam544	588905
fam545	590065
fam546	590892
fam547	591894
fam548	592790
fam550	595129
fam551	595731
fam553	597009
fam554	597845
fam555	599255
fam557	601301
fam558	602501
fam559	603043
fam560	603946
fam563	607786
fam567	612388
fam569	615191
fam570	616159
fam571	617453
fam572	618288
fam573	619732
fam574	620619
fam576	622669
fam577	623443
fam578	624060
fam579	624967
fam580	625706
fam581	626384
fam582	627067
fam583	627356
fam584	628220
fam585	629212
fam586	630195
fam587	631091
fam588	632938
fam589	633680
fam590	634767
fam591	635084
fam592	636907
fam593	638401
fam594	639776
fam596	642175
fam597	643377
fam598	644519
fam599	645978
fam600	646916
fam601	647689
fam602	648995
fam603	650384
fam604	651347
fam605	652651
fam606	653869
fam607	654897
fam608	655901
fam609	656872
fam610	657868
fam611	659381
fam612	659812
fam613	660218
fam614	660595
fam615	661292
fam616	662723
fam617	663600
fam618	665180
fam619	666357
fam620	666975
fam622	667857
fam624	670522
fam625	671390
fam626	671938
fam627	672666
fam628	673187
fam630	674774
fam631	675556
fam632	676100
fam633	676783
fam634	677165
fam635	677404
fam638	681575
fam639	682418
fam640	683285
fam641	683716
fam642	684395
fam644	686471
fam645	688032
fam648	690030
fam649	691814
fam650	692490
fam652	694755
fam653	695980
fam654	697057
fam655	697694
fam656	698107
fam657	698888
fam658	700680
fam659	702004
fam660	703083
fam661	705791
fam662	706349
fam663	707151
fam664	709113
fam665	709678
fam666	710450
fam668	711437
fam669	712347
fam670	712702
fam671	713194
fam672	714342
fam673	715702
fam674	715999
fam675	716530
fam676	718168
fam677	718927
fam678	719305
fam681	723295
fam683	726212
fam684	727602
fam685	728713
fam688	732350
fam690	734708
fam691	735799
fam694	739156
fam695	741443
fam696	742533
fam697	744474
fam698	745666
fam700	747591
fam701	748588
fam702	749450
fam705	753061
fam706	754018
fam707	754635
fam708	755950
fam709	756571
fam710	757898
fam711	758605
fam713	761231
fam714	761588
fam715	762240
fam716	765037
fam718	767014
fam719	768559
fam720	769524
fam721	770675
fam722	771980
fam723	772877
fam724	773731
fam726	776395
fam727	779116
fam728	780350
fam730	783352
fam731	784924
fam732	785629
fam733	786331
fam734	787672
fam735	788295
fam736	789364
fam738	794020
fam739	795309
fam740	795783
fam741	797054
fam742	797925
fam743	798633
fam744	800059
fam745	801078
fam746	802659
fam747	803937
fam748	805469
fam749	806385
fam751	808108
fam752	808744
fam753	810384
fam754	811764
fam755	813301
fam756	814407
fam757	815315
fam759	822767
fam760	823829
fam762	825679
fam763	827367
fam764	828942
fam765	830036
fam766	831076
fam767	832471
fam769	833849
fam770	835707
fam772	837444
fam773	838557
fam774	839692
fam777	842550
fam778	845916
fam780	849430
fam782	851600
fam783	853112
fam784	854080
fam785	854550
fam786	855170
fam787	855735
fam788	856775
fam789	858429
fam794	862138
fam795	863492
fam796	865557
fam797	867100
fam798	868212
fam799	869361
fam802	872802
fam803	874825
fam804	875309
fam806	877244
fam807	878489
fam809	880343
fam812	885507
fam813	886516
fam815	887488
fam818	891545
fam832	906320
fam833	907201
fam834	908617
fam835	909749
fam836	910895
fam837	911429
fam838	912692
fam839	914057
fam844	919020
fam845	920377
fam846	920763
fam847	921849
fam849	923049
fam850	924539
fam851	925218
fam852	925680
fam854	926387
fam856	929960
fam857	930567
fam858	932366
fam859	935014
fam860	935946
fam861	937339
fam862	938035
fam863	939517
fam864	940826
fam866	942914
fam867	944410
fam868	946629
fam869	950125
fam871	953012
fam874	955515
fam875	956702
fam876	957440
fam878	958498
fam879	959877
fam886	966443
fam887	967720
fam888	968750
fam889	969162
fam890	972250
fam891	973833
fam892	974511
fam893	974987
fam906	991622
fam908	995938
fam911	999000
fam912	999485
fam913	1001320
fam914	1002761
fam915	1003602
fam916	1004607
fam917	1006109
fam919	1009547
fam920	1010161
fam921	1011075
fam922	1015992
fam925	1019218
fam926	1020653
fam928	1021915
fam929	1023045
fam930	1024070
fam931	1024689
fam932	1025522
fam933	1029471
fam934	1030431
fam935	1031473
fam937	1035341
fam939	1037188
fam941	1039689
fam943	1042944
fam946	1045782
fam947	1046222
fam948	1047231
fam949	1047726
fam950	1048376
fam951	1049243
fam961	1057074
fam962	1058275
fam963	1058630
fam964	1060138
fam965	1062721
fam966	1064581
fam967	1065224
fam968	1073998
fam969	1075088
fam970	1075980
fam971	1078007
fam972	1078732
fam973	1079307
fam974	1081117
fam975	1082323
fam976	1084535
fam977	1085809
fam979	1087186
fam980	1088714
fam981	1089474
fam982	1090209
fam983	1091431
fam984	1092330
fam985	1094386
fam986	1095436
fam987	1096219
fam988	1096991
fam990	1099515
fam995	1105762
fam996	1107857
fam997	1108341
fam998	1109969
fam999	1110677
fam1000	1111478
fam1001	1112442
fam1002	1113287
fam1004	1114886
fam1007	1118348
fam1009	1120002
fam1010	1120503
fam1011	1121940
fam1012	1123074
fam1014	1126751
fam1015	1127837
fam1016	1128849
fam1018	1135655
fam1021	1138352
fam1022	1140550
fam1023	1141732
fam1024	1143126
fam1025	1143796
fam1028	1145454
fam1029	1147168
fam1030	1148091
fam1032	1151958
fam1033	1153464
fam1034	1154363
fam1035	1155045
fam1036	1155547
fam1037	1156458
fam1038	1157410
fam1039	1158408
fam1041	1160411
fam1044	1162890
fam1045	1163380
fam1046	1165790
fam1048	1166657
fam1049	1167603
fam1050	1168989
fam1051	1169525
