fam	loc
fam1	1365
fam2	2676
fam3	3103
fam4	4231
fam5	6199
fam6	8699
fam7	9182
fam8	9734
fam9	9995
fam10	11006
fam11	13132
fam12	13599
fam13	14975
fam14	15956
fam15	17163
fam16	19298
fam29	33987
fam30	35571
fam31	36443
fam32	36748
fam33	38877
fam41	46411
fam44	50346
fam45	50652
fam46	51616
fam47	54528
fam48	55505
fam52	58432
fam53	59613
fam58	68616
fam59	69814
fam60	70463
fam61	71553
fam62	74474
fam64	77139
fam65	79121
fam67	81362
fam68	82309
fam77	91586
fam78	92770
fam79	94667
fam80	95985
fam81	96796
fam82	97599
fam83	98903
fam84	99893
fam85	100547
fam86	101905
fam87	102443
fam88	103605
fam90	105096
fam91	106319
fam92	106904
fam93	108159
fam94	109599
fam96	111492
fam97	112423
fam99	113784
fam100	115387
fam101	116349
fam102	116788
fam103	117567
fam104	118084
fam105	118910
fam106	119512
fam107	121049
fam108	121761
fam109	122711
fam110	123531
fam112	124961
fam113	125914
fam114	126601
fam116	128122
fam117	129774
fam118	130598
fam119	131459
fam120	133310
fam121	134555
fam122	135301
fam125	140056
fam126	140814
fam128	144795
fam129	145671
fam130	146858
fam131	148077
fam132	148703
fam133	149632
fam134	150437
fam135	150859
fam137	152741
fam138	153387
fam139	154157
fam140	154969
fam141	155637
fam142	156968
fam143	157862
fam144	158658
fam145	159470
fam146	160104
fam147	161551
fam148	163561
fam149	164922
fam150	167342
fam151	168055
fam152	168700
fam153	169896
fam154	171217
fam155	172331
fam156	175414
fam157	176246
fam159	179249
fam160	181313
fam161	183161
fam162	185019
fam163	187167
fam165	189874
fam166	191022
fam168	191693
fam171	197469
fam172	199382
fam173	200385
fam174	201180
fam175	202028
fam176	202536
fam177	203390
fam179	204918
fam180	205539
fam181	206491
fam183	208825
fam184	209760
fam185	210932
fam186	212170
fam187	212790
fam188	215720
fam189	217238
fam190	218800
fam191	219469
fam192	220845
fam194	222098
fam195	222574
fam196	224170
fam197	224865
fam198	226240
fam199	227014
fam200	227472
fam201	229037
fam202	229829
fam203	230155
fam205	230825
fam206	232402
fam207	233781
fam208	234844
fam209	235649
fam210	236401
fam211	237564
fam212	238072
fam213	238649
fam214	239979
fam215	242053
fam216	242826
fam217	243373
fam218	244253
fam219	244568
fam220	245522
fam221	246955
fam222	248037
fam223	249133
fam224	250894
fam225	252638
fam226	255061
fam227	255708
fam228	256832
fam229	258161
fam230	259553
fam231	260413
fam232	262105
fam233	263507
fam234	264039
fam235	264630
fam236	266383
fam237	267780
fam238	269182
fam239	269761
fam240	270749
fam241	272490
fam242	272974
fam243	273811
fam244	274482
fam254	284190
fam258	286414
fam266	296168
fam267	298597
fam272	306708
fam273	307988
fam274	308884
fam275	309641
fam276	311344
fam277	311712
fam278	313242
fam279	314712
fam280	315146
fam281	316276
fam282	317019
fam283	318137
fam284	318879
fam285	322378
fam286	322637
fam287	323102
fam288	323458
fam289	324776
fam290	326986
fam291	329744
fam294	334446
fam295	336005
fam296	338929
fam297	342766
fam298	346455
fam299	347201
fam300	347775
fam301	348269
fam302	350395
fam303	350974
fam304	351630
fam305	352262
fam306	352558
fam307	353414
fam308	353723
fam309	354097
fam310	354780
fam311	355220
fam312	355407
fam313	355696
fam314	356098
fam315	356358
fam316	356915
fam317	357115
fam318	357538
fam319	358093
fam320	358480
fam321	359022
fam322	359217
fam323	359683
fam324	360978
fam325	361643
fam326	361938
fam327	362069
fam328	362450
fam329	362864
fam330	363848
fam331	364258
fam332	365292
fam333	366137
fam334	366927
fam335	367722
fam336	368268
fam337	368677
fam343	378283
fam344	379101
fam345	380053
fam346	380406
fam347	381383
fam349	383205
fam350	383449
fam351	384148
fam352	385192
fam372	421938
fam374	423655
fam375	425034
fam376	426615
fam377	428117
fam378	428553
fam379	429295
fam380	430066
fam381	430352
fam382	431982
fam383	435141
fam384	436291
fam385	436770
fam386	436948
fam387	437595
fam388	438151
fam389	438941
fam390	439716
fam391	440350
fam392	441138
fam393	441837
fam394	442243
fam395	443157
fam396	443413
fam397	444128
fam398	444386
fam401	446410
fam402	448395
fam403	448737
fam404	449338
fam405	449571
fam406	450319
fam407	450659
fam408	451516
fam409	451871
fam410	452734
fam411	453483
fam412	454053
fam413	454807
fam414	455327
fam415	456391
fam420	463948
fam421	465428
fam422	466727
fam434	479808
fam435	481359
fam436	481923
fam437	482719
fam438	483426
fam443	488212
fam444	488967
fam445	490179
fam446	491841
fam449	497878
fam450	499776
fam451	500360
fam452	501408
fam453	501924
fam454	503469
fam455	504590
fam456	505593
fam457	506962
fam458	509842
fam459	510154
fam460	510585
fam461	510901
fam462	511501
fam463	513911
fam464	514301
fam466	516718
fam467	517615
fam468	518241
fam469	519572
fam471	521067
fam472	521422
fam482	533887
fam483	535026
fam484	537918
fam485	539414
fam486	540816
fam487	541242
fam488	542634
fam489	543173
fam490	543958
fam491	544563
fam492	545221
fam493	546204
fam494	546675
fam495	553710
fam499	557405
fam500	560062
fam501	561822
fam504	564786
fam505	565764
fam506	567720
fam507	568749
fam508	569127
fam509	570168
fam510	570851
fam511	571555
fam512	572071
fam513	574453
fam514	575087
fam515	576025
fam516	576826
fam517	577618
fam518	579301
fam519	580859
fam521	582702
fam522	584827
fam525	587331
fam533	599571
fam534	599782
fam538	603911
fam539	604111
fam540	604861
fam541	605600
fam544	609739
fam546	613707
fam548	616624
fam549	617578
fam550	618101
fam551	619838
fam552	621600
fam553	622475
fam554	623670
fam555	624496
fam556	625131
fam557	625795
fam558	626371
fam564	633139
fam566	634039
fam589	655877
fam590	656494
fam591	657481
fam592	658490
fam593	659380
fam594	660191
fam595	660957
fam596	661657
fam598	663804
fam599	664355
fam600	665371
fam601	666069
fam606	672520
fam607	673248
fam610	677202
fam611	678019
fam612	678841
fam613	680274
fam614	680941
fam615	682342
fam616	683173
fam617	684413
fam618	685744
fam619	686107
fam620	687363
fam621	687905
fam622	688344
fam623	689354
fam624	690277
fam625	691256
fam626	692349
fam627	693889
fam628	694312
fam630	696185
fam631	696855
fam632	698140
fam633	700693
fam634	703425
fam635	704276
fam637	708648
fam638	709213
fam639	709793
fam641	711476
fam642	712948
fam643	713562
fam645	716451
fam646	717927
fam650	722743
fam651	724738
fam652	725414
fam653	725896
fam654	726723
fam655	727284
fam656	727516
fam658	729532
fam659	730449
fam660	730800
fam661	731325
fam662	731644
fam663	732826
fam664	733480
fam665	733938
fam666	734340
fam667	735235
fam668	736595
fam669	736821
fam670	737688
fam671	738504
fam672	740194
fam673	740547
fam674	741322
fam675	741544
fam676	743995
fam677	744961
fam678	746258
fam679	747017
fam680	749008
fam681	749901
fam682	750560
fam683	751225
fam684	751458
fam685	751991
fam686	753677
fam687	755720
fam688	756739
fam689	757037
fam690	758205
fam691	759180
fam692	760145
fam694	763123
fam696	765800
fam697	769375
fam698	770667
fam699	772131
fam701	778027
fam702	779459
fam703	779818
fam704	780408
fam705	781120
fam706	781584
fam707	782321
fam708	782936
fam710	784217
fam711	784603
fam712	784896
fam713	786739
fam719	794873
fam720	795555
fam721	796646
fam722	797585
fam723	798648
fam724	799483
fam725	800040
fam726	800778
fam727	801596
fam728	802865
fam729	804579
fam730	808883
fam731	809467
fam732	810707
fam733	811014
fam734	811328
fam735	813975
fam736	814377
fam737	815316
fam738	816267
fam739	818037
fam741	819879
fam742	820469
fam743	822361
fam744	823607
fam745	825591
fam746	826448
fam747	828818
fam748	829480
fam749	831113
fam750	832653
fam751	833745
fam752	834266
fam753	835786
fam754	838127
fam755	839099
fam810	883948
fam811	885412
fam812	885807
fam813	887496
fam819	892357
fam821	894322
fam822	895388
fam823	896082
fam824	897626
fam825	899014
fam826	900020
fam827	901511
fam828	902630
fam829	905076
fam830	906847
fam834	910757
fam835	911767
fam836	912180
fam837	914447
fam838	914884
fam839	916453
fam840	918308
fam841	919568
fam842	920102
fam843	920868
fam845	922061
fam846	923005
fam847	923755
fam848	924649
fam849	924971
fam850	925878
fam851	926205
fam852	926755
fam853	927745
fam854	928276
fam855	929212
fam856	929965
fam857	931177
fam858	933242
fam859	935077
fam860	936211
fam866	942090
fam867	942748
fam868	943492
fam869	944358
fam870	945164
fam871	945958
fam872	947217
fam873	947896
fam874	948605
fam876	950263
fam877	950527
fam878	951124
fam879	951942
fam880	952919
fam881	954310
fam883	955833
fam884	956642
fam885	958287
fam886	959222
fam887	959931
fam888	961105
fam889	961814
fam890	962918
fam891	964195
fam892	965280
fam893	968461
fam894	969030
fam895	969630
fam896	972391
fam901	979760
fam904	982871
fam906	983999
fam910	990900
fam911	992541
fam915	994570
fam918	996080
fam919	996553
fam921	997230
fam927	1002748
fam932	1006390
fam933	1007172
fam935	1008606
fam937	1009853
fam938	1010819
fam939	1011695
fam940	1013037
fam944	1019426
fam945	1020511
