fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.030810243033764714	0.027724665391969407	0.01703486178068885	0.006830609756097559	0.0047	0.00922674279228736	0.23251951219512196	0.212	0.2574914839884832	1770540	0.04686425595599239
fam1785	0.0033418302912163822	0.0040178571428571425	0.0037500281179629596	0.0010825641025641022	0.0009	0.0025719450067382336	0.22345948717948716	0.1723	0.2633842943057093	2007163	0.037452813390313394
fam966	0.16679534885154082	0.16755496335776146	0.09976118684511498	0.031512560975609755	0.0275	0.02462520275073029	0.17652475609756096	0.19924999999999998	0.11427401667542642	1121429	0.057329147548901234
fam393	0.02377307056744327	0.019950124688279305	0.018289251644920654	0.0033274099883855977	0.0016	0.005665884327112242	0.14210371660859467	0.0859	0.1686018997916824	469171	0.0237683214468404
fam5072	0.04091550957847349	0.04296545914069082	0.016009809870720766	0.010236987818383166	0.0084	0.015474793729873523	0.21772945736434104	0.1875	0.27370901208429693	1014410	0.04213824645718333
fam158	0.03578792432530074	0.033708106490263706	0.029164965446867624	0.006964024390243902	0.0062	0.004899595393886659	0.20202463414634148	0.2133	0.10160967355036868	216365	0.033916666666666664
fam4609	0.0	0.0	0.0	0.0	0.0	0.0	0.014838648947951274	0.0128	0.018689127282281788	1521841	0.00458404644451156
fam3479	0.07255523637689269	0.08014212396367942	0.04735631476190174	0.011984756097560976	0.0144	0.009693968419641123	0.14969914634146342	0.1303	0.09447980794342972	2857394	0.0334547199638663
fam4712	0.008559687924900562	0.011778563015312132	0.007427121084977461	0.0011846689895470383	0.001	0.0024011799341703884	0.09243495934959349	0.0671	0.11215362109364826	1413607	0.017633816549805708
fam3276	0.027150665373678592	0.023156089193825044	0.017665869865521776	0.008503986710963455	0.0043	0.013827976747043181	0.25126910299003324	0.2038	0.23295068087666282	3136361	0.05031250938593916
fam5537	0.6427794255963508	0.515625	0.5157782798482622	0.013458704453441295	0.0066	0.012635767217164277	0.015163697705802968	0.0128	0.017828413442259307	515020	0.02478632478632479
fam1499	0.014920176606661836	0.012113055181695826	0.014411724725288568	0.004401328903654485	0.0018	0.011787995207567677	0.17945559246954595	0.1254	0.24980031402568117	1692718	0.02303535539969648
fam1031	0.0232877035254072	0.0	0.030937715752376926	0.004060575858250277	0.0	0.010795253278922867	0.11007596899224804	0.0849	0.1442950476020869	1191660	0.02518729950764016
fam5256	0.3253021299245547	0.3483992467043314	0.22106716850461547	0.012559814169570267	0.0092	0.012594639162027658	0.044492682926829265	0.0519	0.040716248271294705	813891	0.02175981706412525
fam4952	0.05902104189175753	0.05627240143369175	0.03369841409407143	0.015770243902439026	0.0101	0.028624273213719895	0.24031134146341462	0.1782	0.36054228625259654	1156829	0.04211988082613745
fam4095	0.03527119651002752	0.035184167124793844	0.018076046156539932	0.006248199767711963	0.0065	0.003494716388500081	0.185530081300813	0.1963	0.09573251686951645	2069797	0.03583684848411334
