fam	loc
fam2	67051
fam3	66143
fam4	64784
fam5	63677
fam7	61810
fam8	61400
fam9	60438
fam12	58335
fam13	57986
fam14	57228
fam17	51659
fam19	48506
fam20	47667
fam25	43153
fam26	42596
fam27	41402
fam29	39535
fam31	37946
fam32	37136
fam33	36564
fam34	34620
fam35	33934
fam36	33412
fam37	31994
fam38	30660
fam39	29967
fam40	28820
fam41	27963
fam42	27476
fam43	26837
fam44	25888
fam45	24980
fam46	22618
fam47	21437
fam48	20602
fam49	19648
fam50	17894
fam51	15394
fam52	13862
fam53	12585
fam54	11761
fam55	11173
fam56	10332
fam58	7919
fam59	7207
fam60	6276
fam61	5260
fam62	3970
fam63	1164
fam64	765
fam65	1850
fam66	2061
fam67	4046
fam69	5826
fam70	6950
fam72	9501
fam73	9876
fam74	10748
fam75	11380
fam76	11968
fam77	15387
fam78	15656
fam79	16056
fam80	17106
fam81	17743
fam82	17938
fam83	18681
fam84	19624
fam85	20506
fam86	21490
fam87	21948
fam88	22368
fam90	29046
fam91	29680
fam93	32588
fam94	32943
fam95	34936
fam96	35924
fam97	38137
fam99	41692
fam100	42440
fam101	43267
fam102	44120
fam104	45689
fam106	47648
fam108	49300
fam109	49982
fam110	51036
fam111	52213
fam113	54709
fam114	55678
fam115	56331
fam117	57962
fam118	59505
fam119	60483
fam123	67316
fam124	68071
fam125	70041
fam126	71116
fam127	72394
fam131	75100
fam132	75538
fam133	75746
fam134	76205
fam135	76542
fam136	77707
fam137	79146
fam138	80686
fam139	81896
fam140	83119
fam141	83618
fam142	83942
fam143	85672
fam144	86566
fam145	87524
fam146	89057
fam147	89691
fam148	90286
fam149	91176
fam150	92583
fam151	93504
fam154	95247
fam155	96175
fam156	96621
fam158	98917
fam160	99929
fam161	100517
fam162	101284
fam163	102363
fam164	103214
fam165	103880
fam166	104332
fam167	105561
fam168	106178
fam170	108537
fam171	109564
fam172	110220
fam173	111412
fam174	111977
fam175	113886
fam176	114813
fam177	116529
fam178	117106
fam179	117653
fam180	118598
fam181	119298
fam182	119728
fam183	120227
fam184	120478
fam185	121071
fam186	123073
fam187	123521
fam188	124903
fam189	126413
fam190	128016
fam191	128761
fam192	129861
fam193	130313
fam194	130650
fam195	132380
fam196	134462
fam198	135563
fam199	136253
fam200	137100
fam202	138913
