fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.001698579124349633	0.0	0.007634566867876734	0.00016724738675958191	0.0	0.0005225644532393475	0.0559116144018583	0.0335	0.05471157935069685	285335	0.009153495261660692
fam966	0.11756812710509984	0.0	0.23789469301677688	0.0008044134727061556	0.0	0.0013358903597220381	0.006837746806039489	0.0045	0.006215996301626907	1211800	0.002486504649413071
fam393	0.36265246071103985	0.3686131386861314	0.22677786621813037	0.012860188933873145	0.0101	0.01003918608176365	0.0358527665317139	0.0284	0.03190329277969686	511058	0.018168016194331983
fam1571	0.16273061856838406	0.15675675675675677	0.06850534622009385	0.0019823461091753774	0.0014	0.0014737705405213372	0.012545296167247387	0.0123	0.009638297921160503	520654	0.00398073169382764
fam1720	0.3110644463644715	0.21739130434782608	0.2746399680979834	0.004318466898954703	0.0033	0.0033534727915136456	0.018250174216027874	0.0173	0.01867536691039674	358005	0.007956595738464124
fam1031	0.0316092779725987	0.0	0.09050138410501245	0.0003006968641114982	0.0	0.0009932171719303606	0.008807549361207898	0.0064	0.008643570645662858	1139310	0.0023784516724182957
fam680	0.392206214262014	0.4067796610169491	0.2328301190694118	0.0022104529616724738	0.0024	0.0017968697531563886	0.005229849012775843	0.0059	0.00490148983968296	863654	0.007126367559971896
fam875	0.4635676074014766	0.44	0.2866622380948395	0.0023574912891986062	0.0022	0.001969536926296949	0.005942973286875726	0.005	0.00578068090829394	1319105	0.0034142487514080056
fam1483	0.059331602305491934	0.03481454124243518	0.08054687312444435	0.005144250871080139	0.0056	0.003243108308453819	0.13389698025551686	0.1189	0.09380613247704236	631344	0.03049194106104675
fam1781	0.4883703699776422	0.4344262295081967	0.35523414086693567	0.007243786295005807	0.008	0.004857292045204013	0.01784843205574913	0.0184	0.010537071903576093	290469	0.049558076127873746
fam425	0.23103139855171234	0.1986754966887417	0.12161819844031176	0.006067804878048781	0.006	0.0027513965519927637	0.029901829268292685	0.0302	0.014906381317102105	547916	0.011697222676924754
fam1928	0.18498347270492754	0.1651090342679128	0.18672360513844638	0.002489198606271777	0.0013	0.0032773976155062133	0.009654587688734029	0.0039	0.010308318662951047	109407	0.004512893818709954
fam1040	0.3149309420909892	0.23140495867768596	0.2057878415454373	0.0027077816492450633	0.0028	0.0020923392881667417	0.01043937282229965	0.0081	0.00857527543205278	1123991	0.004685560874300331
fam1786	0.18354703203200065	0.2884615384615385	0.17224369650160704	0.001770034843205575	0.0	0.002088152215137273	0.026629268292682928	0.0	0.07004709915759365	284888	0.006151030541274444
fam355	0.13503625591865964	0.1245136186770428	0.11069951474497139	0.002080720092915215	0.0021	0.0013457810159987111	0.018116724738675958	0.0185	0.010809506675553261	463973	0.03289247991731463
fam1784	0.31308103258696995	0.2125	0.33298480370934513	0.002504994192799071	0.0033	0.0019239696323767013	0.011046457607433216	0.0081	0.0077231962547832855	286301	0.004992155184709741
fam519	0.3280471349254333	0.29213483146067415	0.15203467089307668	0.002599419279907085	0.0026	0.0011541218912592386	0.008640998838559814	0.0089	0.004059645708238764	677932	0.0044738924015588636
fam814	0.12923458697286616	0.06741573033707865	0.14794580834708082	0.0009475029036004647	0.0011	0.0005295310870714548	0.013992799070847852	0.0134	0.010031759980642528	1021331	0.0035359401213059753
fam594	0.8233213361350664	0.953125	0.4392662805190789	0.005051335656213705	0.0061	0.0030937145383169904	0.0029601626016260165	0.0	0.0037250328089405904	771582	0.015891234542597523
fam346	0.1316732151570135	0.06382978723404255	0.1576053355977487	0.002164576074332172	0.0015	0.0017744965654250071	0.028399186991869912	0.0201	0.0227406789224151	454126	0.010057424767082698
fam643	0.4317947342278695	0.31034482758620696	0.28059618327591734	0.002300116144018583	0.0027	0.001364784398992164	0.006137746806039488	0.0043	0.006487536807707776	820279	0.0053235513503019395
fam1679	0.027516445469488775	0.0	0.05699040707822018	0.0004149825783972126	0.0	0.0008955021980365864	0.014982346109175376	0.0179	0.010880534444757454	395637	0.003292828627211004
fam494	0.11553145313183631	0.07913669064748202	0.1060788669326275	0.0019764227642276424	0.0022	0.0013771030299394148	0.020727874564459927	0.0213	0.010572478187158757	629825	0.009596824845072339
