fam	loc
fam2	526647
fam5	520342
fam6	519246
fam7	518413
fam8	516740
fam9	514540
fam11	513038
fam12	512118
fam14	510553
fam15	509550
fam16	508364
fam17	506788
fam18	505730
fam19	503862
fam20	502709
fam21	502004
fam22	500940
fam23	499891
fam24	498807
fam25	498199
fam26	496802
fam27	495725
fam28	494330
fam29	493465
fam33	488199
fam34	487556
fam35	486555
fam36	485658
fam38	484338
fam39	483269
fam42	480999
fam43	480302
fam44	479380
fam45	478258
fam46	477573
fam47	476795
fam48	476498
fam49	475481
fam51	474521
fam53	472683
fam54	471062
fam55	470497
fam56	469334
fam57	468483
fam58	467957
fam61	465853
fam62	465348
fam63	464971
fam64	464552
fam65	463669
fam66	461874
fam67	461011
fam69	458939
fam70	458474
fam71	457924
fam72	456795
fam73	455478
fam75	453224
fam76	452604
fam77	450880
fam78	450442
fam80	449603
fam81	448705
fam85	445128
fam86	443046
fam87	441757
fam90	439357
fam91	437719
fam93	435345
fam94	433164
fam96	431627
fam101	425659
fam104	423441
fam105	423122
fam106	422178
fam107	420877
fam109	419346
fam110	418982
fam111	417671
fam112	416983
fam113	416035
fam114	415169
fam115	414048
fam117	410761
fam119	408660
fam122	406581
fam126	402986
fam128	401786
fam129	400813
fam130	399427
fam131	399239
fam132	398987
fam133	397720
fam134	394957
fam135	394390
fam136	392402
fam137	391475
fam138	390785
fam139	389989
fam140	389131
fam142	388425
fam144	385862
fam146	382600
fam148	380500
fam149	379672
fam150	378492
fam151	377784
fam153	375788
fam154	373878
fam156	371978
fam157	370895
fam161	367431
fam162	365959
fam163	365283
fam164	363496
fam165	361517
fam166	357705
fam167	356487
fam169	354204
fam170	352688
fam174	351340
fam175	350545
fam176	349626
fam178	348583
fam205	318084
fam207	317503
fam209	313665
fam211	312157
fam212	311432
fam213	310849
fam215	308152
fam217	306925
fam218	306359
fam219	305413
fam220	304392
fam221	303830
fam222	303501
fam223	302251
fam224	301651
fam225	300619
fam226	299421
fam228	298010
fam229	296774
fam231	294467
fam236	288536
fam237	287067
fam238	286162
fam240	285143
fam241	283935
fam243	282499
fam244	281507
fam247	279586
fam248	277690
fam249	277115
fam251	273418
fam253	270538
fam255	269432
fam258	267380
fam262	262981
fam263	262220
fam264	260754
fam265	258799
fam268	254818
fam271	251650
fam273	250000
fam274	248937
fam277	247125
fam278	245834
fam280	244580
fam281	244218
fam282	243766
fam284	242905
fam285	242309
fam286	242253
fam287	241330
fam289	239808
fam291	238208
fam292	236189
fam293	235225
fam294	234074
fam295	232880
fam297	231343
fam298	230548
fam299	229280
fam301	227931
fam302	227356
fam305	224599
fam309	222003
fam310	221350
fam311	220336
fam312	218259
fam313	217641
fam314	216833
fam315	216027
fam316	214951
fam317	214128
fam319	212755
fam320	211802
fam321	210410
fam322	209167
fam323	208178
fam324	207259
fam325	206150
fam326	204410
fam327	203982
fam328	202693
fam329	202137
fam330	200881
fam331	199829
fam332	199492
fam333	198905
fam334	198086
fam335	197367
fam336	196384
fam337	195104
fam338	194451
fam339	192806
fam341	190739
fam342	190231
fam343	188720
fam344	188284
fam345	187853
fam346	187390
fam348	184360
fam350	182122
fam351	181664
fam352	180231
fam353	178548
fam354	176634
fam355	175181
fam357	173414
fam362	169847
fam363	168717
fam365	168137
fam366	167162
fam367	166565
fam368	165211
fam369	164061
fam370	163151
fam371	162390
fam372	161420
fam376	157806
fam378	157015
fam379	155662
fam380	154712
fam381	153412
fam383	151919
fam384	151119
fam385	150460
fam386	148966
fam387	148355
fam388	147030
fam390	144661
fam391	143385
fam392	142278
fam393	141407
fam394	139808
fam395	138315
fam396	137903
fam397	136494
fam398	135301
fam399	134792
fam401	131037
fam404	129179
fam406	128302
fam407	127650
fam408	126822
fam409	126535
fam410	125670
fam411	123261
fam412	122669
fam413	121263
fam414	119852
fam415	119107
fam416	118003
fam417	117468
fam419	115618
fam420	112798
fam421	111521
fam422	110066
fam424	109076
fam425	108634
fam432	102416
fam433	101293
fam441	93914
fam442	92802
fam443	91711
fam444	90893
fam448	89529
fam449	88480
fam450	88151
fam451	87648
fam452	86428
fam454	83533
fam455	82776
fam456	80943
fam457	80629
fam459	79967
fam461	76654
fam463	73997
fam465	71521
fam466	70845
fam467	70084
fam468	69779
fam469	69478
fam473	66699
fam474	65489
fam475	62930
fam476	61712
fam478	59915
fam479	58729
fam480	57432
fam481	56416
fam482	56087
fam485	54218
fam487	51823
fam490	49683
fam491	48122
fam492	46646
fam493	45763
fam494	44717
fam495	43998
fam496	43610
fam497	42894
fam498	41812
fam499	41545
fam500	40312
fam501	39858
fam502	36745
fam503	34671
fam505	33089
fam506	32089
fam507	30699
fam508	29764
fam509	28948
fam510	27851
fam515	24307
fam516	23520
fam517	22955
fam518	22290
fam519	21299
fam522	19229
fam524	17627
fam525	16005
fam526	15366
fam529	12033
fam530	11488
fam532	8918
fam533	8056
fam534	7674
fam535	7081
fam536	6585
fam537	6443
fam539	4750
fam540	3252
fam542	115
fam545	1925
fam546	4299
fam548	4880
fam549	6252
fam550	7412
fam551	7973
fam552	8567
fam553	9317
fam554	10656
fam555	11478
fam558	13404
fam559	14203
fam560	14555
fam561	15009
fam562	16037
fam563	16555
fam564	17186
fam565	18477
fam566	20144
fam567	22004
fam570	23283
fam571	24035
fam572	25299
fam573	26323
fam574	27297
fam576	30420
fam577	31780
fam578	33569
fam580	36462
fam581	37157
fam582	37980
fam583	38903
fam586	40845
fam587	41809
fam588	42155
fam589	42753
fam590	43295
