fam	loc
fam1	21007
fam3	22490
fam4	23303
fam5	24264
fam6	25258
fam7	27044
fam8	27663
fam9	28206
fam10	28701
fam11	29402
fam13	30634
fam14	34906
fam15	39150
fam16	39663
fam18	43467
fam19	44575
fam20	45327
fam21	46397
fam24	48597
fam25	49231
fam26	51351
fam28	52993
fam29	54040
fam30	54662
fam31	54955
fam32	55783
fam33	56071
fam34	56404
fam35	57205
fam36	57624
fam37	57826
fam38	58109
fam40	60653
fam41	61920
fam42	62251
fam43	62803
fam44	63121
fam45	63527
fam47	64455
fam48	64995
fam49	65184
fam50	65634
fam51	66974
fam52	67202
fam53	67350
fam54	67757
fam55	68174
fam56	68809
fam57	70010
fam58	70564
fam61	73526
fam62	75615
fam63	76235
fam64	77160
fam65	79375
fam66	80719
fam67	82079
fam68	82273
fam69	82622
fam70	85123
fam71	85872
fam72	86948
fam73	88099
fam74	88932
fam75	91846
fam76	93186
fam77	93919
fam78	96266
fam79	96906
fam80	97704
fam84	102305
fam86	104628
fam87	105453
fam88	106584
fam90	108445
fam91	109224
fam92	110568
fam94	111546
fam95	113759
fam96	114767
fam97	115891
fam98	116507
fam99	117699
fam100	118985
fam102	120805
fam104	127909
fam105	128771
fam108	132942
fam109	133784
fam111	138858
fam112	140271
fam114	141410
fam115	143241
fam116	144214
fam117	145422
fam118	146307
fam119	147756
fam142	177933
fam143	179095
fam144	180302
fam145	182194
fam146	183490
fam147	184244
fam148	185347
fam149	186202
fam151	188708
fam153	190928
fam154	191507
fam155	192563
fam156	193701
fam157	194989
fam158	195161
fam159	195990
fam160	196853
fam161	198058
fam162	198897
fam163	199831
fam164	200437
fam165	201120
fam166	202509
fam168	203807
fam170	205540
fam171	206103
fam172	207057
fam173	208115
fam174	208711
fam177	211377
fam178	211989
fam180	214022
fam181	215073
fam182	215966
fam183	216892
fam184	217521
fam187	221663
fam190	224241
fam191	225104
fam192	226550
fam193	226910
fam194	228030
fam195	229728
fam196	230134
fam197	230976
fam198	232011
fam199	233094
fam200	234469
fam201	235427
fam202	237566
fam203	238657
fam204	239931
fam205	241675
fam206	242666
fam207	243431
fam208	244221
fam209	245195
fam213	248131
fam215	249790
fam216	250264
fam217	250710
fam218	252266
fam219	253149
fam220	253588
fam221	254016
fam222	254434
fam223	255715
fam224	256614
fam225	258013
fam226	259190
fam227	260130
fam228	260938
fam230	263795
fam231	264437
fam232	265466
fam233	266053
fam234	267065
fam235	267975
fam236	269419
fam237	270549
fam238	271060
fam239	272111
fam240	273337
fam241	273971
fam242	275310
fam243	275924
fam244	276928
fam245	277577
fam246	278230
fam247	278829
fam248	279462
fam249	280173
fam250	281563
fam251	281861
fam252	283486
fam253	284552
fam254	285311
fam255	286192
fam256	287102
fam257	287777
fam259	289849
fam261	292855
fam262	294231
fam263	295749
fam264	296362
fam266	298098
fam267	299384
fam269	301003
fam270	302062
fam271	302695
fam272	303365
fam273	304669
fam274	305967
fam275	306281
fam276	307854
fam277	310262
fam278	311095
fam279	312279
fam280	313342
fam281	314127
fam283	315566
fam284	317227
fam285	318817
fam286	319867
fam287	320578
fam288	321123
fam289	322137
fam290	323247
fam291	323790
fam292	324104
fam293	324488
fam294	325465
fam295	327034
fam296	328506
fam298	330129
fam300	333570
fam301	334455
fam302	335535
fam303	337743
fam305	338806
fam306	339663
fam307	340965
fam308	342169
fam309	342579
fam310	342924
fam311	344497
fam312	345577
fam313	346756
fam314	348935
fam315	350950
fam316	352322
fam317	353389
fam318	354925
fam327	368874
fam328	369554
fam329	370314
fam330	371204
fam331	371778
fam332	372823
fam333	373620
fam334	375362
fam335	376181
fam337	377537
fam338	378275
fam339	379427
fam340	382134
fam341	382913
fam342	383788
fam343	384904
fam344	385899
fam345	387628
fam346	388763
fam347	389780
fam348	391079
fam349	391906
fam350	392710
fam351	393275
fam352	394127
fam353	395167
fam354	396395
fam355	398335
fam356	399228
fam360	403184
fam361	403902
fam362	404993
fam363	405962
fam364	406867
fam365	408165
fam366	409076
fam367	410013
fam368	410756
fam369	411468
fam370	412278
fam371	412586
fam372	413403
fam373	414570
fam375	416359
fam376	417889
fam378	420053
fam381	424856
fam382	426025
fam383	426848
fam384	427212
fam385	427777
fam386	429011
fam387	430025
fam388	430910
fam389	431416
fam390	433790
fam392	435802
fam393	436764
fam394	437328
fam395	439063
fam398	441484
fam399	442382
fam400	443382
fam401	444402
fam402	445756
fam403	447243
fam404	447915
fam405	448393
fam406	448956
fam407	450203
fam408	451024
fam410	451622
fam411	452323
fam412	453009
fam413	453990
fam414	454766
fam415	456232
fam416	457184
fam419	463931
fam420	464722
fam421	465309
fam422	466363
fam423	467014
fam424	467963
fam425	469558
fam426	470559
fam427	471619
fam428	472652
fam429	473532
fam430	475469
fam431	476866
fam432	477556
fam433	478203
fam434	479858
fam435	483040
fam436	484238
fam437	485504
fam438	486816
fam439	487667
fam440	488979
fam441	489382
fam442	490253
fam443	491376
fam444	491787
fam445	493073
fam446	493759
fam447	494759
fam448	494950
fam450	502236
fam451	502399
fam453	511675
fam454	513263
fam455	514011
fam456	514799
fam457	515179
fam458	516213
fam460	518681
fam461	519621
fam462	520250
fam464	522508
fam467	527580
fam468	529074
fam469	529866
fam470	530333
fam473	532038
fam474	533120
fam475	534120
fam476	535720
fam477	536768
fam481	542136
fam482	542756
fam486	546389
fam501	560838
fam502	561750
fam503	562363
fam504	562700
fam505	563451
fam506	565059
fam507	565742
fam508	565982
fam509	566940
fam510	567771
fam511	568697
fam512	570006
fam513	570950
fam514	571981
fam529	585886
fam530	586989
fam531	589118
fam533	590956
fam534	592016
fam535	593077
fam536	594716
fam537	595647
fam538	597350
fam539	598696
fam540	599463
fam541	600498
fam542	601307
fam543	602294
fam545	603943
fam546	605543
fam547	606728
fam548	607234
fam549	608748
fam552	610549
fam553	611255
fam554	612294
fam555	613186
fam556	614499
fam557	615522
fam558	615996
fam559	617192
fam560	618036
fam561	618797
fam562	620017
fam563	620781
fam564	622484
fam565	623152
fam566	624109
fam567	625280
fam570	628779
fam571	629270
fam572	630462
fam573	631793
fam574	632970
fam578	635899
fam579	637224
fam581	639005
fam582	639764
fam583	640473
fam584	642458
fam585	643237
fam586	644489
