fam	loc
fam1	37311
fam2	38620
fam3	40583
fam4	41609
fam5	42486
fam6	44524
fam7	44897
fam8	45896
fam9	46379
fam10	47251
fam19	53331
fam20	54812
fam21	56112
fam22	57334
fam24	58462
fam25	60840
fam27	66207
fam28	67481
fam29	68588
fam30	70180
fam32	72484
fam33	72750
fam34	72962
fam35	73345
fam36	74428
fam37	75085
fam38	77392
fam39	79190
fam40	80082
fam41	80461
fam42	81193
fam43	82247
fam44	83080
fam45	84309
fam46	84521
fam47	86366
fam48	88359
fam49	90662
fam50	91159
fam51	92737
fam52	93864
fam53	95514
fam54	96581
fam55	98619
fam56	101816
fam57	103582
fam58	104592
fam59	107444
fam60	110634
fam61	113207
fam62	114385
fam63	115463
fam64	116143
fam65	117280
fam66	118827
fam67	119447
fam68	120334
fam69	120867
fam70	121890
fam71	122166
fam72	124796
fam73	126071
fam74	127076
fam75	127930
fam76	128607
fam77	129846
fam78	130952
fam79	131716
fam80	132552
fam81	133239
fam82	135010
fam83	136383
fam84	137621
fam86	139336
fam87	140163
fam88	141917
fam89	142344
fam90	143063
fam91	144367
fam94	147086
fam95	148155
fam96	149341
fam97	151428
fam98	152264
fam99	153352
fam102	156030
fam103	157245
fam104	158075
fam105	158556
fam106	160242
fam107	161117
fam108	163402
fam109	166363
fam110	166990
fam111	167936
fam112	168484
fam113	169213
fam114	170094
fam115	172401
fam116	173510
fam117	174874
fam118	176091
fam119	176316
fam120	176852
fam121	177301
fam123	177953
fam125	179950
fam126	180261
fam127	181733
fam128	182802
fam129	183713
fam130	192855
fam131	194263
fam133	196157
fam134	196792
fam135	197908
fam136	198352
fam137	199758
fam138	201080
fam139	202054
fam140	202524
fam141	202726
fam142	204073
fam143	204985
fam144	206192
fam145	207151
fam146	208247
fam147	208665
fam148	209407
fam149	210489
fam150	211886
fam151	213382
fam152	213637
fam153	214416
fam154	214886
fam156	220009
fam157	220706
fam158	221746
fam159	223785
fam160	224355
fam161	224856
fam162	225613
fam163	226210
fam164	226468
fam165	226709
fam166	228119
fam167	228670
fam168	229772
fam169	230488
fam170	233226
fam171	233724
fam172	235754
fam173	237048
fam174	237437
fam175	238674
fam176	239297
fam177	240058
fam178	241577
fam180	243461
fam181	244966
fam182	245275
fam183	246231
fam184	246618
fam185	247280
fam186	247642
fam187	248892
fam188	249501
fam189	251199
fam190	251786
fam191	251990
fam192	254029
fam193	255251
fam194	258271
fam195	258803
fam196	260044
fam197	260450
fam198	260748
fam199	261286
fam201	262063
fam203	263109
fam204	263318
fam205	264868
fam206	266376
fam207	268661
fam208	269650
fam209	270434
fam210	271433
fam211	271656
fam213	273530
fam214	273787
fam216	274546
fam217	275281
fam219	276002
fam220	276608
fam221	276958
fam223	278371
fam229	281232
fam230	281891
fam231	282902
fam232	283992
fam233	284510
fam234	285128
fam235	285388
fam236	286675
fam237	287739
fam238	288689
fam239	289802
fam240	292430
fam241	292818
fam242	295998
fam243	296898
fam244	297720
fam245	298501
fam246	299791
fam247	300518
fam248	301151
fam249	302059
fam250	305121
fam251	306216
fam252	307538
fam253	308609
fam254	309774
fam255	310391
fam256	310947
fam257	312166
fam258	312730
fam259	313995
fam260	314388
fam261	319250
fam263	320299
fam264	320511
fam265	322403
fam266	323825
fam267	324728
fam268	325453
fam269	325918
fam270	326706
fam271	327236
fam272	327900
fam273	329326
fam274	330060
fam275	331982
fam276	333059
fam277	334012
fam278	335658
fam279	337495
fam280	337953
fam281	340813
fam292	351505
fam293	352947
fam294	354351
fam295	356069
fam296	357118
fam297	357956
fam298	359901
fam299	361222
fam300	361952
fam301	362627
fam302	363317
fam303	364329
fam304	365066
fam305	366656
fam306	367126
fam307	369315
fam308	369999
fam309	372100
fam310	372536
fam311	374428
fam312	375789
fam313	376671
fam314	377342
fam315	378033
fam316	379519
fam317	380726
fam318	381465
fam320	383708
fam321	384689
fam322	385474
fam323	386099
fam324	388004
fam325	389045
fam326	389435
fam327	390259
fam328	391116
fam329	392344
fam330	393439
fam331	394651
fam332	396830
fam333	397064
fam334	397839
fam335	399421
fam336	400306
fam337	401286
fam338	401746
fam339	402123
fam340	403255
fam341	404064
fam342	404562
fam343	405338
fam344	407771
fam345	408034
fam346	409189
fam347	410330
fam348	410787
fam349	412204
fam350	412950
fam351	415057
fam359	423570
fam362	425942
fam363	428635
fam364	429477
fam365	430556
fam366	431368
fam367	431788
fam368	433018
fam369	433978
fam370	435969
fam371	436734
fam372	437247
fam373	439613
fam374	440194
fam375	440623
fam376	441698
fam378	444498
fam379	446615
fam380	447502
fam381	448466
fam382	448948
fam383	449452
fam384	451020
fam385	451955
fam386	452575
fam387	453876
fam388	454305
fam389	455140
fam390	456778
fam391	457086
fam392	458493
fam393	459071
fam394	459990
fam395	460321
fam396	461857
fam397	462378
fam398	463534
fam399	464141
fam400	465532
fam401	467023
fam403	469846
fam404	470829
fam405	471875
fam406	473866
fam407	474130
fam408	474962
fam409	475780
fam410	476548
fam411	477324
fam412	478392
fam413	479590
fam414	481343
fam415	482970
fam416	483902
fam417	485019
fam418	486263
fam419	486618
fam420	487428
fam421	489792
fam422	495251
fam423	496287
fam424	497780
fam425	498334
fam426	499403
fam427	500543
fam428	501463
fam429	502228
fam430	502800
fam431	503501
fam432	505237
fam433	506622
fam434	507647
fam435	508500
fam436	509472
fam437	510993
fam438	512620
fam439	513476
fam440	514977
fam442	516589
fam443	516989
fam444	518527
fam445	519123
fam446	519854
fam448	521684
fam449	522231
fam451	525622
fam452	526008
fam453	526880
fam454	528677
fam455	529667
fam456	530960
fam457	532429
fam458	532871
fam459	534308
fam460	535404
fam461	536349
fam462	537166
fam463	538152
fam464	539497
fam465	540641
fam466	541500
fam467	542693
fam468	543743
fam469	544091
fam470	544773
fam471	546079
fam472	546802
fam473	547378
fam474	548812
fam475	549827
fam476	550400
fam477	550835
fam479	553442
fam480	554161
fam481	555816
fam482	556132
fam483	558290
fam484	558660
fam485	558926
fam486	560869
fam487	561539
fam488	562131
fam489	562515
fam490	563003
fam491	563691
fam492	564131
fam493	564785
fam494	565169
fam495	565830
fam496	566755
fam497	567408
fam498	568067
fam499	570180
fam500	570888
fam501	571627
fam502	575019
fam503	575866
fam504	576651
fam505	577530
fam506	578597
fam507	578913
fam508	579277
fam509	587338
fam510	588246
fam511	589394
fam512	590619
fam513	592148
fam514	593215
fam515	593994
fam516	594832
fam517	595274
fam518	597866
fam519	598621
fam520	598903
fam521	599703
fam522	600847
fam523	602560
fam524	603567
fam525	604143
fam526	605578
fam527	608133
fam528	608861
fam529	610514
fam530	612115
fam531	612837
fam532	613343
fam533	613888
fam534	615227
fam536	617250
fam538	621368
fam539	621970
fam540	622605
fam541	622887
fam542	623725
fam543	624018
fam544	624582
fam545	625292
fam546	625720
fam547	625895
fam548	626183
fam549	626548
fam550	626784
fam551	627329
fam552	627516
fam553	627922
fam554	628468
fam555	628839
fam556	629290
fam557	629699
fam558	630949
fam559	631711
fam560	631931
fam561	632128
fam562	632494
fam563	632898
fam564	633534
fam565	634561
fam566	634923
fam567	637014
fam568	637630
fam569	639370
fam570	640053
fam571	640369
fam572	640940
fam573	643205
fam574	643852
fam575	644898
fam576	645722
fam577	647249
fam578	647983
fam579	651051
fam580	651896
fam581	652683
fam582	653708
fam583	655695
fam584	656232
fam585	657219
fam592	661537
fam598	668841
fam599	670043
fam600	671321
fam604	675880
fam606	679746
fam607	681334
fam608	683211
fam609	683517
fam610	684035
fam611	684732
fam612	685740
fam613	688259
fam614	689092
fam615	689316
fam616	690556
fam617	691296
fam618	691852
fam619	692217
fam620	692723
fam621	693095
fam622	694592
fam623	695018
fam624	696066
fam625	697709
fam626	699074
fam627	699895
fam628	701642
fam629	702121
fam630	703723
fam631	706580
fam632	707607
fam633	708375
fam634	708649
fam635	710138
fam636	710683
fam637	711559
fam638	712208
fam639	714814
fam640	715307
fam641	716635
fam642	717542
fam643	718639
fam644	719879
fam645	720251
fam646	721178
fam647	724326
fam648	726066
fam649	727426
fam650	727784
fam651	729560
fam652	730534
fam653	730898
fam654	731603
fam655	733604
fam656	734151
fam657	735934
fam658	736432
fam659	737362
fam660	738375
fam661	738858
fam662	739235
fam663	740564
fam665	743103
fam668	747799
fam669	750158
fam670	751030
fam671	751678
fam672	752365
fam673	753462
fam674	754331
fam675	755155
fam676	755671
fam677	756872
fam678	757822
fam679	758484
fam680	759781
fam681	760555
fam682	762060
fam683	764161
fam686	769671
fam687	771430
fam691	776372
fam692	778011
fam694	778876
fam695	779846
fam697	782698
fam698	784577
fam699	785687
fam701	787292
fam705	790875
fam710	796490
fam712	797609
fam713	799653
fam714	802375
fam715	802911
fam716	803676
fam717	805425
fam718	806596
fam719	807252
fam721	810200
fam722	810897
fam723	812822
fam724	813621
fam725	814853
fam734	825607
fam736	828447
fam740	830650
fam741	831411
fam742	831644
fam743	832481
fam744	833898
fam747	836131
fam748	837791
fam749	838770
fam750	839059
fam751	843146
fam752	845227
fam753	847482
fam754	848365
fam755	848817
fam756	849085
fam759	851770
fam761	853323
fam762	854017
fam763	854848
fam764	855745
fam765	856394
fam766	856984
fam767	858084
fam768	859615
fam769	863395
fam770	864513
fam771	865421
fam772	865639
fam773	866783
fam775	869510
fam776	870219
fam777	871248
fam778	871824
fam779	872088
fam782	874182
fam783	874565
fam784	875902
fam785	876870
fam786	877601
fam787	878676
fam788	879366
fam789	879778
fam790	880996
fam791	881742
fam792	883610
fam793	884260
fam794	884831
fam795	885296
fam796	886225
fam797	887088
fam798	887342
