fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.0813893974068675	0.07081175468709591	0.028876807808270174	0.01396	0.0132	0.003272063569064636	0.18539	0.1881	0.049804205645708276	1539262	0.053919035314384155
fam4124	0.132669360340201	0.14103219240859755	0.02356715352862686	0.01775	0.018349999999999998	0.005372010796712902	0.13548	0.1407	0.03949915948472828	1797440	0.04976744186046512
fam1785	0.10709982696443125	0.1015824430644146	0.036369429090782175	0.021820000000000003	0.023350000000000003	0.005596749056371922	0.21198999999999998	0.219	0.03625728754333397	1930128	0.0649546827794562
fam966	0.08491365319701584	0.09322377494066325	0.031519639483684116	0.01671	0.01715	0.005351345625167561	0.20517	0.2107	0.03136756445757304	1041150	0.06030368763557483
fam393	0.09801855076457508	0.08895605383139724	0.02321313018947215	0.016300000000000002	0.01765	0.003769350076604719	0.17234	0.1807	0.040673485220718425	422799	0.05763612217795484
fam1571	0.09136631118382646	0.0824264978185783	0.030025484278744997	0.01253	0.0121	0.0023874882198662256	0.14318999999999998	0.14055	0.026703125285254533	1670973	0.04700098328416912
fam158	0.0278782257145802	0.030603886529765263	0.01361617564451343	0.005109999999999999	0.0052499999999999995	0.002543403231892261	0.18211000000000002	0.18995	0.023861033087441964	177100	0.046557377049180323
fam4609	0.06634722743707264	0.06271335128001596	0.015899042640779723	0.01048	0.0094	0.003175783367926723	0.15953	0.16704999999999998	0.03301908690439516	1281064	0.05133868808567604
fam1037	0.09246416868107214	0.0570935965014682	0.07809581541262259	0.004619999999999999	0.0033	0.0033653528789712385	0.051000000000000004	0.04915	0.018240339909113536	1108540	0.017592592592592594
fam4712	0.016358652264723016	0.013722050034992888	0.00650606265087197	0.0025399999999999997	0.00245	0.0008799999999999999	0.16213	0.16765	0.0416131001008096	1183328	0.0392831541218638
fam3276	0.13250915800594876	0.130426146189992	0.012890474684325172	0.02696	0.0281	0.005064030015708833	0.20536	0.21744999999999998	0.04026177343336978	2708965	0.06936026936026937
