fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.2882928105115282	0.23484848484848483	0.1295622861675442	0.0037600000000000003	0.0031	0.0020587374771932434	0.01318	0.0132	0.0050177285697813505	587097	0.006413124533929902
fam393	0.22530980413507484	0.12064343163538874	0.19824548698604946	0.0031100000000000004	0.0033	0.0014869095466772684	0.020839999999999997	0.018349999999999998	0.014193674647532257	673322	0.007142857142857143
fam158	0.03952461898937203	0.0	0.044263524250659124	0.00064	0.0	0.0007838367176906171	0.009689999999999999	0.0078	0.00726408287397659	422140	0.002908805031446541
fam1037	0.0597409697792035	0.05181347150259067	0.04657632674592562	0.0007900000000000001	0.001	0.000580430874437258	0.01619	0.01935	0.007852445478957495	505070	0.004258443465491924
fam1720	0.028312423699316865	0.03629964414660121	0.016727737463186582	0.0006000000000000001	0.001	0.0004898979485566356	0.02172	0.0246	0.01114296190426944	232776	0.00529595015576324
fam1499	0.3736454195630585	0.30863952333664346	0.17814626584119803	0.0037799999999999995	0.0021	0.0030863570759068044	0.009540000000000002	0.0095	0.005330891107497883	2633	0.005164319248826291
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	511574	0.0
fam875	0.12715408587763785	0.11079545454545453	0.07965331755141868	0.0023399999999999996	0.0026	0.0012737346662472526	0.020929999999999997	0.0192	0.011259400516901422	680608	0.006997084548104958
fam1483	0.0	0.0	0.0	0.0	0.0	0.0	0.00456	0.0076	0.0037232244090304304	20088	0.001091405184174625
fam425	0.09936842302758254	0.0	0.11583147876804184	0.0016	0.0	0.0019595917942265427	0.01587	0.01765	0.007434655338346224	714315	0.00486322188449848
fam1195	0.5687016620042784	0.5687016620042784	0.17887115352970212	0.003999999999999999	0.0023	0.003135602015562562	0.00648	0.0059	0.0037907255242235626	319242	0.004678362573099415
fam98	0.27979355645918047	0.33695652173913043	0.08084064076436756	0.00556	0.0046	0.003485168575549825	0.016599999999999997	0.0276	0.013554039988136379	356164	0.008247422680412373
fam1496	0.11872009569377989	0.15789473684210525	0.06854481875766799	0.0025199999999999997	0.0042	0.0020575713839378696	0.018520000000000002	0.0264	0.010640751853135191	469	0.006349206349206349
