fam	loc
fam1	37907
fam3	35774
fam4	29208
fam5	27595
fam7	25851
fam8	24972
fam9	23247
fam13	18518
fam15	16348
fam16	15375
fam18	12641
fam19	11800
fam20	11285
fam21	9891
fam22	8682
fam23	8255
fam25	6342
fam26	4923
fam27	3259
fam28	2244
fam29	1445
fam31	357
fam32	1861
fam33	3671
fam35	4591
fam36	4837
fam37	6838
fam38	8032
fam39	9244
fam40	11840
fam41	13573
fam42	14943
fam43	15704
fam44	16077
fam45	17394
fam46	19106
fam47	20371
fam48	22585
fam49	24540
fam50	26122
fam51	27311
fam52	28066
fam53	29010
fam54	29333
fam55	31394
fam56	32115
fam57	35742
fam67	51945
fam68	52535
fam69	53003
fam70	53553
fam71	53788
fam72	55254
fam73	55855
fam74	57637
fam75	57993
fam76	59000
fam77	59874
fam78	61279
fam79	62750
fam80	63919
fam81	64721
fam82	66889
fam83	67736
fam84	68801
fam85	69658
fam86	70896
fam87	71861
fam88	73174
fam89	74419
fam90	75137
fam91	75899
fam92	76679
fam93	77575
fam94	78206
fam95	79467
fam96	80562
fam97	81363
fam98	83992
fam99	84751
fam100	84932
fam101	86248
fam102	87439
fam103	87792
fam104	89701
fam105	90482
fam106	93725
fam107	95057
fam108	96595
fam110	100898
fam111	102531
fam112	103862
fam113	106786
fam114	107208
fam116	110302
fam117	111047
fam118	112566
fam119	113384
fam120	114710
fam121	115997
fam122	118500
fam123	119702
fam124	121215
fam125	122070
fam126	123077
fam127	124532
fam128	126739
fam129	127379
fam133	133173
fam134	134101
fam135	135360
fam136	137063
fam138	142555
fam139	144108
fam140	145508
fam141	146017
fam142	146396
fam144	150189
fam145	151681
fam147	154786
fam148	155731
fam149	156264
fam150	156494
fam151	157366
fam152	157818
fam153	158203
fam154	160849
fam155	161557
fam156	163446
fam157	164575
fam158	165407
fam159	166731
fam161	169625
fam162	170098
fam163	171391
fam164	172347
fam165	174743
fam166	175010
fam168	178711
fam169	179222
fam170	180007
fam171	180945
fam172	184029
