fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.041906177057125585	0.02474226804123711	0.048001387418640976	0.010798901098901099	0.0186	0.00956143230919957	0.43923406593406594	0.7794	0.40119903427506953	978568	0.06944391264948757
fam4124	0.0815464828703554	0.056965659813942804	0.05618079150443013	0.025645714285714282	0.0468	0.023806001758545917	0.4504695238095238	0.8247	0.4279683250681971	1249931	0.0927624100037893
fam966	0.14554133504389458	0.04449447839605447	0.19430666295397533	0.021406593406593403	0.0372	0.01848685783390313	0.4868318681318681	0.8712	0.4536164056666344	230692	0.08657272432782637
fam393	0.10221568453727563	0.06179081307047493	0.12837430447791315	0.027391428571428574	0.0492	0.02515280582392999	0.4467847619047619	0.8178	0.42158374455446257	474913	0.09605274208448811
fam1571	0.09355036903880504	0.0700135860155391	0.048653469082546856	0.049447619047619046	0.0869	0.0446853339000576	0.7257152380952382	1.3062	0.6818509986347671	1013220	0.10572767259514246
fam3872	0.1475773437504953	0.10694620153949785	0.1639116062732259	0.04505428571428571	0.0792	0.04104013605419625	0.4047714285714286	0.6847	0.37357730881286666	1570882	0.0951015531660693
fam158	0.14336298577828183	0.05724789915966386	0.18933094610478535	0.01710952380952381	0.029	0.0147103884498225	0.3070171428571429	0.5585	0.28659629727350694	730779	0.07778544590138793
fam1037	0.06406649374106045	0.057079785556606755	0.0839010649380173	0.009747619047619048	0.018	0.009026491120591288	0.16616380952380955	0.3054	0.1555447289053841	315956	0.047245564892623715
fam3479	0.11563056188878822	0.08753074555639695	0.12666501083566153	0.015474285714285716	0.0262	0.013433355986544259	0.1720657142857143	0.3065	0.1564269979307685	2032474	0.05570111596312471
fam3276	0.02033108283068884	0.007486027790596319	0.031873101934226857	0.007561904761904762	0.0133	0.006833062214631515	1.057984761904762	1.5909	1.0668830831450717	2267775	0.07756707402725102
fam1720	0.013129156976565606	0.009325771896660366	0.02409024249284153	0.004026666666666667	0.0074	0.0037206570506953325	0.4109714285714285	0.7555	0.38751692478290195	1205874	0.06760393046107332
fam3994	0.08493386687106352	0.11392405063291138	0.0683848018564617	0.030008571428571433	0.0576	0.02892095998632501	0.26027904761904763	0.4885	0.24952720347746346	1407211	0.07369242779078844
fam1031	0.1492684666601216	0.08619153674832962	0.17251798947260816	0.02041904761904762	0.0341	0.01741786764729497	0.23465142857142857	0.4012	0.21045009412449023	310549	0.060145343277873395
fam3345	0.03726817622748639	0.023739543296405156	0.03436452257611663	0.005604761904761906	0.0082	0.004432163417830877	0.2337361904761905	0.4171	0.2065885780845866	2185701	0.054123871770930594
fam680	0.12899102183741648	0.09067409376557165	0.06250638088588086	0.04961047619047619	0.0919	0.04600923080014337	0.5727028571428572	1.0306	0.5445004708480439	104191	0.10827037885861417
fam875	0.07938751793619118	0.12245885769603097	0.06414662025363314	0.026012380952380953	0.0505	0.02527951060119297	0.20352095238095239	0.3521	0.1901232090214574	124613	0.05568884042166485
fam4190	0.03328571841798931	0.039319383766383074	0.04123511521853626	0.009381904761904761	0.0171	0.00884365557848844	0.22119142857142854	0.406	0.2098188343782892	1177618	0.048831168831168836
