fam	loc
fam1	47285
fam2	35211
fam3	21628
fam4	19567
fam5	2225
fam6	3135
fam7	3783
fam8	4662
fam9	12522
fam10	15028
fam11	18436
fam12	23199
fam13	26336
fam14	28535
fam15	43151
fam16	48134
fam17	48703
fam18	49436
fam19	50890
fam20	76097
fam21	76334
fam22	85429
fam24	101626
fam25	124457
fam26	126054
fam27	167118
fam28	170312
fam29	249767
fam30	268302
fam31	285937
fam32	286703
fam33	294416
fam35	308384
fam36	315608
fam37	341424
fam38	362883
fam39	365947
fam40	368729
fam42	370122
fam43	376334
fam44	382649
fam45	383856
fam46	392117
fam47	392577
fam48	395504
fam49	397341
fam50	406795
fam51	408189
fam52	411192
fam53	411773
fam54	412108
fam55	423282
fam56	423690
fam57	430701
fam59	436732
fam60	437039
fam61	438872
fam63	458943
fam64	459885
fam65	337086
fam67	330314
fam69	317951
fam70	292578
fam71	275938
fam73	265687
fam74	256180
fam75	240263
fam76	239839
fam77	234062
fam78	226777
fam79	221508
fam80	217975
fam81	203246
fam82	202001
fam83	198408
fam84	198121
fam85	197814
fam86	180498
fam87	174016
fam88	173775
fam89	168569
fam90	168452
fam91	168229
fam92	166785
fam93	160024
fam95	147497
fam96	141886
fam97	137119
fam98	135192
fam99	135004
fam101	118113
fam102	112550
fam103	110524
fam104	109943
fam105	108690
fam106	108334
fam107	107783
fam108	107376
fam109	107189
fam110	106303
fam111	105929
fam112	105642
fam113	104027
fam114	102366
fam115	100866
fam116	100543
fam117	95144
fam118	92859
fam119	91664
fam120	90705
fam121	89602
fam122	85568
fam123	84643
fam124	75913
fam126	68948
fam127	68490
fam129	60875
fam131	50509
fam132	50000
