fam	loc
fam1	28668
fam2	27292
fam3	25202
fam4	22630
fam5	21717
fam6	20839
fam7	19519
fam9	17851
fam10	17363
fam11	16946
fam12	15383
fam13	15073
fam14	14320
fam38	19343
fam39	20468
fam40	21904
fam41	24169
fam42	24587
fam43	25132
fam44	26217
fam45	28707
fam46	29171
fam47	30295
fam61	41749
fam65	45518
fam66	46129
fam68	48059
fam69	49526
fam70	51954
fam71	52905
fam72	54047
fam73	55261
fam74	56266
fam75	57620
fam76	57949
fam77	58781
fam78	60492
fam79	61667
fam82	65251
fam83	66036
fam84	66767
fam85	67792
fam86	68514
fam87	69892
fam88	72528
fam89	72820
fam91	74773
fam92	75612
fam93	76804
fam95	80811
fam96	85350
fam97	85914
fam98	87081
fam100	88703
fam103	92113
fam104	92691
fam107	96168
fam108	98654
fam109	99384
fam110	100099
fam111	101967
fam112	104129
fam114	106140
fam115	107131
fam116	107855
fam117	109189
fam118	110845
fam119	112459
fam120	113815
fam123	119247
fam124	120054
fam125	121659
fam126	122412
fam127	122938
fam128	123560
fam129	125605
fam130	126050
fam131	126961
fam132	128003
fam133	130129
fam134	130751
fam136	132291
fam137	133159
fam138	134792
fam139	135478
fam141	137900
fam142	139134
fam145	142942
fam146	144383
fam147	145046
fam148	145704
fam150	147858
fam151	149247
fam152	150662
fam153	151646
fam155	153063
fam156	153521
fam157	154016
fam158	154634
fam159	155680
fam160	156285
fam161	157096
fam168	161923
fam169	162353
fam171	164300
fam174	166725
fam176	167900
fam177	170098
fam178	171513
fam182	176183
fam185	181995
fam186	183474
fam187	184361
fam188	184907
fam189	188172
fam190	188702
fam191	189822
fam192	190807
fam193	191353
fam194	193116
fam195	194105
fam196	194342
fam197	195513
fam199	196584
fam200	198236
fam205	202174
fam206	203091
fam208	204260
fam209	204867
fam210	207135
fam211	207961
fam212	208366
fam213	209169
fam214	210550
fam215	211597
fam216	212895
fam217	214627
fam218	215994
fam219	217452
fam223	223602
fam224	225254
fam225	226428
fam226	227197
fam227	227920
fam228	229676
fam229	230839
fam230	231554
fam231	232651
fam232	235686
fam233	236849
fam235	238147
fam236	238701
fam237	239572
fam238	240794
fam239	241709
fam240	242675
fam241	243589
fam242	244316
fam245	249465
fam247	251208
fam248	252829
fam249	254010
fam250	254804
fam251	255976
fam252	256863
fam253	257437
fam254	258529
fam258	262600
fam259	263188
fam260	263945
fam261	265395
fam262	266745
fam263	267032
fam264	268145
fam265	268873
fam266	269731
fam323	312462
fam324	312760
fam325	313189
fam326	314072
fam327	315473
fam328	315979
fam329	317161
fam330	318919
fam332	320792
fam337	326264
fam338	327157
fam339	330223
fam340	331939
fam341	333110
fam342	333814
fam343	335170
fam346	338269
fam347	338868
fam348	341114
fam349	342214
fam350	343718
fam351	344441
fam352	346184
fam353	346713
fam354	347180
fam355	347554
fam356	349089
fam359	351649
fam361	354926
fam363	356185
fam364	357061
fam365	358299
fam366	359237
fam367	359673
fam369	361085
fam370	362074
fam371	363784
fam372	364602
fam373	365298
fam374	366789
fam375	367259
fam376	369614
fam377	370424
fam378	373065
fam379	373752
fam380	375806
fam381	377526
fam382	377631
fam384	379150
fam385	380113
fam387	381791
fam388	382998
fam389	384536
fam390	385915
fam391	399294
fam392	400043
fam393	401439
fam394	402996
fam395	403771
fam397	406138
fam399	410534
fam400	411285
fam401	412262
fam402	413929
fam404	414761
fam405	415650
fam406	415889
fam407	416660
fam408	417338
fam409	418512
fam410	419410
fam412	421451
fam413	421980
fam414	423747
fam415	424728
fam416	425277
fam417	425627
fam418	426819
fam420	428214
fam421	429577
fam422	431880
fam423	432558
fam424	433792
fam426	434824
fam427	436236
fam428	436994
fam429	437858
fam430	439458
fam431	440895
fam432	442518
fam434	447202
fam435	447848
fam437	449752
fam438	450401
fam439	451238
fam440	451758
fam441	453289
fam442	454977
fam443	458194
fam444	459497
fam445	460085
fam447	461483
fam448	461762
fam449	462875
fam450	463592
fam452	464986
fam454	467058
fam455	467678
fam456	470934
fam465	485486
fam468	487328
fam470	488368
fam475	492323
fam476	493169
fam478	494104
fam479	494479
fam480	495541
fam481	495874
fam483	497373
fam484	498768
fam485	500481
fam486	501606
fam487	503013
fam488	504194
fam489	506132
fam490	507737
fam491	508831
fam492	510400
fam493	512647
fam494	513032
fam495	514188
fam496	514679
fam497	515126
fam498	515507
fam499	516815
fam504	523678
fam505	525150
