fam	loc
fam1	45168
fam2	46273
fam3	47553
fam4	49996
fam5	51006
fam11	58760
fam15	64401
fam17	66616
fam30	76410
fam31	76947
fam32	78920
fam36	81970
fam37	83325
fam38	84474
fam40	86734
fam45	90506
fam46	90800
fam47	91587
fam48	92832
fam49	94179
fam50	95204
fam51	95869
fam52	97371
fam53	98709
fam54	100243
fam56	101656
fam58	103408
fam59	104850
fam61	108244
fam62	108839
fam63	109335
fam64	110230
fam65	111087
fam66	112200
fam69	115064
fam71	119214
fam77	122942
fam84	132855
fam87	138511
fam88	139944
fam89	142061
fam90	142756
fam91	145073
fam92	145367
fam93	146045
fam95	148601
fam115	163286
fam119	165524
fam120	166088
fam121	167289
fam122	168130
fam123	168584
fam124	168772
fam125	169679
fam126	170182
fam127	171468
fam129	174068
fam130	174858
fam133	178020
fam134	179048
fam139	184219
fam140	185265
fam141	186200
fam142	187599
fam143	188634
fam144	189962
fam145	190911
fam146	192198
fam147	193752
fam148	194431
fam150	195279
fam151	196298
fam152	197197
fam153	197855
fam154	199110
fam155	199883
fam156	201535
fam161	208860
fam162	210005
fam163	212048
fam164	213113
fam165	214603
fam166	216450
fam168	218742
fam169	220449
fam171	223815
fam172	224692
fam173	225850
fam174	227391
fam175	228897
fam176	231061
fam179	235868
fam180	238172
fam181	240807
fam183	241756
fam184	243573
fam188	247566
fam191	250573
fam192	251602
fam193	253374
fam194	256083
fam201	263244
fam203	264472
fam207	268783
fam213	272963
fam214	274385
fam216	275926
fam217	276811
fam218	279155
fam219	280579
fam220	281089
fam222	283238
fam228	289220
fam231	292496
fam232	293875
fam236	298313
fam237	299975
fam238	301020
fam247	311389
fam248	312336
fam250	316042
fam251	316798
fam254	320315
fam255	321067
fam257	323371
fam258	324798
fam260	328915
fam262	330514
fam263	331184
fam264	332285
fam265	333634
fam266	334195
fam267	334933
fam268	335348
fam269	337015
fam270	339414
fam271	340121
fam274	341511
fam276	343899
fam277	344947
fam278	346048
fam283	350273
fam285	352533
fam286	353297
fam287	354012
fam289	356003
fam290	356991
fam291	357833
fam293	359909
fam300	367724
fam301	368396
fam302	369733
fam303	371181
fam304	373693
fam305	375666
fam306	376976
fam308	380876
fam313	385657
fam314	386182
fam315	387088
fam320	394643
fam322	399726
fam323	401814
fam324	403179
fam325	404131
fam326	404873
fam327	405681
fam328	407102
fam329	409433
fam330	409679
fam332	412440
fam333	413012
fam335	415306
fam338	420078
fam339	420504
fam340	421183
fam341	423380
fam342	424266
fam343	426938
fam348	430354
fam350	431340
fam351	432485
fam353	434889
fam354	435584
fam355	436335
fam356	437332
fam360	446073
fam361	446672
fam362	449212
fam364	451511
fam365	451787
fam366	452379
fam367	452974
fam368	454277
fam370	457088
fam372	457800
fam373	458765
fam374	459035
fam376	460606
fam386	470800
fam387	471617
fam388	473422
fam389	473632
fam391	474723
fam392	475761
fam393	476760
fam394	477146
fam395	477502
fam396	477797
fam397	478297
fam399	481074
fam403	482709
fam404	483258
fam407	484413
fam408	485075
fam409	485691
fam410	485990
fam411	486829
fam412	487124
fam413	487471
fam414	488190
fam415	488613
fam416	488804
fam417	489058
fam418	489593
fam419	489918
fam420	490472
fam422	491218
fam423	491764
fam424	492127
fam425	492645
fam426	492828
fam427	493266
fam428	494605
fam429	494753
fam430	495256
fam431	495662
fam432	496316
fam433	497331
fam434	497758
fam435	498234
fam438	499347
fam439	500865
fam441	503175
fam442	503700
fam443	504956
fam444	505401
fam446	506547
fam449	508154
fam450	515045
fam455	523060
fam457	524409
fam458	525400
fam460	527444
fam461	528907
fam463	530597
fam464	531078
