fam	loc
fam1	1317
fam2	2621
fam3	3061
fam4	4192
fam5	6141
fam6	8677
fam9	11182
fam10	11948
fam11	12223
fam12	14381
fam13	14833
fam14	16281
fam15	17540
fam19	21912
fam20	23783
fam21	25065
fam22	25867
fam23	26697
fam25	29030
fam26	29670
fam27	30611
fam30	35408
fam35	39399
fam36	40599
fam38	43386
fam39	45147
fam41	53387
fam42	54250
fam43	56113
fam44	56763
fam52	63880
fam53	65589
fam54	66412
fam55	67262
fam56	67888
fam58	69219
fam59	70861
fam60	72357
fam61	73609
fam62	74699
fam63	75393
fam65	78442
fam69	82970
fam70	85754
fam71	85900
fam72	87259
fam73	90360
fam74	91945
fam77	95439
fam78	96950
fam79	98872
fam80	99619
fam81	101313
fam85	108549
fam86	109703
fam87	110629
fam88	111583
fam89	112430
fam90	112643
fam91	113756
fam92	114563
fam93	115976
fam94	117326
fam95	118096
fam96	118862
fam123	140075
fam124	140961
fam125	142301
fam126	143596
fam127	144807
fam131	148472
fam133	149855
fam134	151604
fam135	152376
fam136	153499
fam137	154813
fam138	156192
fam143	161551
fam144	161796
fam145	162477
fam146	164706
fam147	166145
fam148	167182
fam150	169309
fam151	170836
fam152	171771
fam153	173074
fam154	174191
fam155	175053
fam156	175375
fam157	177306
fam173	199658
fam183	213061
fam185	216432
fam195	231640
fam196	232381
fam199	236601
fam203	238820
fam204	239652
fam205	241177
fam206	242484
fam208	245986
fam210	248220
fam211	248921
fam212	250312
fam213	251210
fam214	253311
fam215	254103
fam216	254659
fam217	255539
fam218	256670
fam219	257753
fam220	258421
fam221	259215
fam222	260276
fam223	261659
fam224	262721
fam225	263559
fam226	264557
fam227	265924
fam228	266464
fam230	268865
fam231	270344
fam232	270684
fam233	272120
fam236	274671
fam237	275365
fam238	276275
fam239	277829
fam240	279478
fam241	279841
fam242	280965
fam243	281330
fam244	282098
fam245	282846
fam246	286406
fam247	286675
fam248	287120
fam249	287755
fam250	289104
fam251	289669
fam252	291921
fam253	292879
fam254	293969
fam255	295478
fam265	311834
fam267	313711
fam268	314507
fam269	315363
fam270	316854
fam271	317701
fam272	319882
fam273	320330
fam274	322497
fam275	323443
fam276	324541
fam279	328040
fam282	329755
fam283	330494
fam284	331880
fam285	333046
fam286	334613
fam288	337016
fam289	337436
fam290	338181
fam291	338998
fam292	339209
fam293	339400
fam294	340054
fam295	340599
fam296	341385
fam298	343958
fam299	344838
fam300	345272
fam301	347152
fam302	348170
fam303	349900
fam304	351641
fam305	354723
fam306	356629
fam307	357719
fam308	359952
fam312	363332
fam313	363947
fam314	364197
fam316	365194
fam317	366252
fam318	366580
fam319	367443
fam320	368218
fam321	369849
fam322	372078
fam324	374130
fam325	375202
fam326	376691
fam327	377636
fam328	378920
fam329	380459
fam330	381731
fam331	383313
fam332	384115
fam333	384704
fam334	385707
fam336	387127
fam337	387643
fam338	388626
fam339	388903
fam340	389850
fam341	390565
fam342	391816
fam343	392265
fam344	392702
fam346	396483
fam347	397137
fam348	398099
fam350	401736
fam351	402553
fam352	403147
fam353	404803
fam354	406782
fam357	409470
fam358	410141
fam359	410822
fam360	413362
fam361	414538
fam362	414923
fam363	415276
fam364	416253
fam365	417091
fam366	418101
fam367	419075
fam368	420378
fam370	422571
fam372	425087
fam375	427678
fam376	428509
fam378	430674
fam379	431641
fam381	434555
fam382	435405
fam383	435641
fam384	437756
fam385	440627
fam386	441802
fam387	442890
fam388	443889
fam389	444845
fam390	446235
fam405	471169
fam406	472456
fam407	473329
fam408	474768
fam409	476356
fam410	477995
fam411	478297
fam412	480743
fam413	481237
fam414	481849
fam415	482676
fam416	483684
fam417	484145
fam418	484660
fam419	485329
fam420	486353
fam421	487210
fam422	488078
fam423	489476
fam424	491510
fam426	493962
fam427	494811
fam428	495746
fam429	497171
fam430	498197
fam432	500182
fam433	500860
fam435	503494
fam436	504317
fam437	505266
fam438	505617
fam439	506956
fam440	508458
fam441	509521
fam446	513994
fam447	515674
fam452	519611
fam453	520527
fam454	521342
fam455	521923
fam457	523573
fam458	525317
fam460	528247
fam462	530346
fam463	531089
fam464	532426
fam465	533295
fam466	534383
fam467	535227
fam468	536277
fam469	537636
fam470	538411
fam471	539724
fam472	540494
fam473	541896
fam474	542933
fam475	543174
fam477	544264
fam478	545830
fam479	546797
fam480	548241
fam481	548675
fam482	549132
fam483	550365
fam484	551456
fam485	551699
fam486	551933
fam488	553489
fam489	554663
fam490	555866
fam491	557130
