fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.20115239750750474	0.18313583078491336	0.10160337396120976	0.004113333333333333	0.0038	0.0017496158308484624	0.022240000000000003	0.0255	0.008636804964800352	99322	0.008703703703703705
fam966	0.33354277889568923	0.23357664233576642	0.23757224297194143	0.005033333333333333	0.0048	0.002279376132970501	0.019966666666666667	0.0207	0.011825433983109833	879720	0.007782101167315174
fam158	0.0	0.0	0.0	0.0	0.0	0.0	0.03646	0.0341	0.015986819571134216	762031	0.008888888888888889
fam1037	0.28638938785405055	0.18380313199105147	0.23257476664662288	0.005053333333333332	0.0042	0.002294592677482336	0.025720000000000007	0.0297	0.01589055065125183	795196	0.03707165109034268
fam1499	0.0499444049282922	0.04819277108433735	0.02541114818861362	0.0036733333333333336	0.0044	0.0018802363917574006	0.07914666666666667	0.0774	0.023405522615162624	237147	0.0243436754176611
fam1031	0.02512303621359214	0.027944111776447105	0.014872578589546126	0.0012	0.0014	0.0008414273587185052	0.045399999999999996	0.0459	0.017225678506230167	798366	0.01125
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.16447333333333333	0.1252	0.11394004544301163	1182175	0.03152454780361757
fam875	0.18637992831541217	0.18637992831541217	0.0	0.0017333333333333333	0.0	0.002451303508113365	0.009300000000000001	0.0	0.013152186130069781	977411	0.028703703703703697
fam1781	0.04038978943253629	0.0	0.05813735696007206	0.0005333333333333334	0.0	0.0007542472332656507	0.01842	0.0181	0.00759940348536208	96053	0.005110336817653892
fam1195	0.2470889305647016	0.24363636363636365	0.1594869133406009	0.005353333333333333	0.0053	0.002587886310399967	0.02593333333333333	0.0275	0.00939060996717229	603630	0.0170048309178744
fam1928	0.04598930481283422	0.0	0.09197860962566844	0.0014333333333333331	0.0	0.002027039439401436	0.006233333333333333	0.0	0.008815264538792292	265149	0.002314814814814815
fam1496	0.3289080630370712	0.34741288278775073	0.08756320800595531	0.024513333333333328	0.0249	0.004810109723858236	0.07701333333333334	0.078	0.013302323940658724	240558	0.04129979035639413
fam1988	0.3217177100827228	0.2440055200966017	0.22030282807419757	0.003386666666666667	0.0032	0.001610741720105644	0.01206	0.0125	0.005346001621149524	335178	0.00559552358113509
fam265	0.30242302393695003	0.27	0.23953253542105574	0.00456	0.0054	0.0034696397507522304	0.015293333333333332	0.0149	0.006255607262466389	897575	0.007349081364829396
fam1786	0.05356554463889767	0.04137931034482758	0.04451669018380273	0.002	0.0024	0.0014966629547095765	0.036520000000000004	0.034	0.013623323138402515	100814	0.010265700483091788
fam355	0.11543823448906924	0.0	0.22824647097395923	0.0017666666666666666	0.0	0.0024984439601924684	0.025553333333333334	0.0307	0.011556289292944437	1006785	0.006955736224028908
fam1784	0.0	0.0	0.0	0.0	0.0	0.0	0.02493333333333333	0.0	0.03526105815516917	98088	0.006984126984126983
fam2090	nan	nan	nan	0.004733333333333334	0.0	0.00669394419523265	0.0	0.0	0.0	482716	0.003527336860670194
fam2139	0.11562526109725808	0.09784735812133073	0.08714786057994414	0.009526666666666666	0.0067	0.007136896306440839	0.17389333333333334	0.0511	0.19627492102207614	525137	0.07402351156617366
fam1093	0.12225831308752268	0.125193199381762	0.056188901596814333	0.009300000000000001	0.0055	0.007258925540326199	0.07482666666666665	0.0739	0.039388889578435976	721891	0.024669312169312167
fam2025	0.2513114091403509	0.19858156028368795	0.1315075589847945	0.005626666666666665	0.0056	0.002268175968090267	0.02564666666666667	0.028	0.009961784757539964	394814	0.011243913235945107
fam321	0.030882273674050782	0.02902979373567609	0.012070359588591659	0.003833333333333333	0.0038	0.0017590401422998346	0.12120666666666666	0.1207	0.024216536131788587	967391	0.03143254520166898
fam594	0.058953825983417876	0.05462184873949579	0.041458570238340126	0.0012999999999999997	0.0013	0.0008221921916437786	0.02349333333333333	0.0238	0.005613847957407547	1283619	0.007324643078833023
fam346	0.6183347615034516	0.28169014084507044	0.5922435224486132	0.009366666666666667	0.004	0.009021726861059115	0.012346666666666669	0.0141	0.008875123786304178	994382	0.009876543209876543
fam643	0.12075883076898056	0.11561382598331346	0.05047760456231614	0.008233333333333334	0.0086	0.002650450695426891	0.07236666666666668	0.0755	0.018271276790513453	1229227	0.034524677850717236
fam62	0.06293025120003169	0.038523274478330656	0.049878709616941595	0.0026399999999999996	0.0024	0.0018693314312876676	0.047633333333333326	0.0404	0.017427704636264894	655619	0.01415204678362573
fam1679	0.0	0.0	0.0	0.0	0.0	0.0	0.010006666666666664	0.0089	0.007133158876371363	22228	0.002317655078391275
fam922	0.07021504407732511	0.07285998672859986	0.06453408430075427	0.0022866666666666664	0.002	0.002318581942097847	0.02391333333333333	0.0274	0.015211919303259824	925635	0.007198748043818466
fam2091	0.027567190188737472	0.04421221864951768	0.024739100145857423	0.001833333333333333	0.0	0.002592724864350674	0.040773333333333335	0.0139	0.05025327142474297	482992	0.01176470588235294
fam1358	0.02841418966548898	0.02831626129988117	0.012741389643042987	0.0027333333333333333	0.0035	0.0013414751416092495	0.10044666666666666	0.1041	0.036808565428292486	391968	0.02864923747276688
fam651	0.0	0.0	0.0	0.0	0.0	0.0	0.006666666666666665	0.0056	0.004627838468322862	1219728	0.001652892561983471
fam870	0.061458088852003386	0.05185185185185185	0.0714235477332644	0.0016466666666666665	0.0014	0.001125976119738879	0.03417333333333334	0.027	0.017959638699657134	982300	0.009027777777777779
fam910	0.02747235863697191	0.030120481927710843	0.016771454354368387	0.0009533333333333334	0.001	0.0007116803277377342	0.032633333333333334	0.0332	0.012818978985169692	936868	0.009417040358744393
fam150	0.022518980522587575	0.0	0.037271107914254926	0.0006666666666666666	0.0	0.0009428090415820634	0.01933333333333333	0.0269	0.01230477775319634	750193	0.00498442367601246
fam155	0.05559887764817167	0.06198347107438017	0.04041618203688003	0.0013866666666666667	0.0015	0.000999244158796482	0.02578	0.0242	0.00640522703214596	759015	0.007905982905982906
fam885	0.16324408492683293	0.13297872340425532	0.1280346861318273	0.0029666666666666665	0.0025	0.0020417857108151406	0.02298	0.025	0.00855423481869263	968093	0.008538011695906433
fam2021	0.0585962349033963	0.053341148886283704	0.04760744996872981	0.005946666666666666	0.0066	0.0023044498017724077	0.12291333333333333	0.1339	0.03766715397914858	390009	0.04880382775119617
fam1934	0.0	0.0	0.0	0.0	0.0	0.0	0.014713333333333333	0.0132	0.006501473337294828	271811	0.003796296296296296
fam119	0.0732526202186838	0.09597855227882038	0.035155195965509346	0.011806666666666665	0.016	0.0072545587200202755	0.15031999999999995	0.1521	0.037828105953113755	711656	0.04270962412226353
fam1001	0.26476697929489873	0.14414414414414414	0.26120787263513423	0.0019200000000000005	0.0016	0.0013322662396583248	0.012533333333333332	0.0147	0.007907689647144452	832549	0.008609271523178808
fam1364	0.06961668131873884	0.054474708171206226	0.08884315555098472	0.0016466666666666667	0.0014	0.0008739692341394073	0.033293333333333335	0.0333	0.011166644776097946	384576	0.010059171597633136
fam2024	0.04357855070291791	0.038394415357766144	0.02976803496486029	0.00456	0.0044	0.002397999165971498	0.10909333333333333	0.1074	0.02519461494490881	393931	0.10688440601985268
fam2161	0.035464120032653985	0.026515151515151516	0.024926834012723408	0.0012199999999999997	0.0015	0.0006523802572120037	0.03949999999999999	0.0287	0.016081003285450403	559217	0.011618547681539807
fam1446	0.0	0.0	0.0	0.0	0.0	0.0	0.018619999999999994	0.0163	0.015823872261028063	293214	0.00481245576786978
fam1143	0.05493764236990229	0.05113636363636363	0.026207174253051926	0.001486666666666667	0.0014	0.0007570703768841809	0.02704	0.026	0.008325046546416422	666589	0.007887517146776405
fam933	0.03358233384240094	0.02721518987341772	0.020117860120170146	0.0017200000000000002	0.0015	0.0009558242516278816	0.055406666666666674	0.0606	0.02490321175181136	913449	0.01396604938271605
fam1534	0.061880563542728126	0.02451708766716196	0.0731172842715606	0.0022	0.0033	0.001967739820199815	0.05663333333333333	0.0209	0.06334256774783359	187357	0.01810699588477366
fam1447	0.21467207572684247	0.25777552400270454	0.14219394068326222	0.0021	0.0035	0.001714642819948225	0.013646666666666666	0.0102	0.009700093928525756	292801	0.004995693367786391
fam1804	0.042956302403710074	0.03846825111647245	0.033425351358623824	0.0017999999999999997	0.0024	0.0013682105101189654	0.04613333333333333	0.0497	0.016816169467377386	122047	0.013003901170351105
fam2116	0.4366119360287997	0.34246467817896387	0.4059755276059966	0.005300000000000001	0.0063	0.003729879354617251	0.014193333333333334	0.0121	0.007694280704234514	500575	0.007510288065843622
fam317	0.6285714285714284	0.5714285714285714	0.21380899352993948	0.005213333333333333	0.0034	0.0027388237540147695	0.003966666666666667	0.0	0.0056097137974132774	962135	0.004899387576552931
fam645	0.3637991451112911	0.3704735376044568	0.06748586028141038	0.008560000000000002	0.0089	0.003962288900791225	0.023139999999999997	0.0267	0.010315153900936234	1228258	0.011345029239766082
fam989	0.008178638276553329	0.0076388888888888895	0.008787658650244601	0.0009533333333333335	0.0011	0.0008860900380636022	0.12074000000000001	0.116	0.024972139142118627	846619	0.03582163094358217
fam2075	0.05948603678678901	0.05549199696344371	0.05352785839375424	0.0032333333333333333	0.0024	0.003400718878250434	0.04018666666666667	0.0431	0.025006822180268236	473034	0.013402061855670104
fam1715	0.07755754281007672	0.0696043245819124	0.08555400154782426	0.0017133333333333334	0.0025	0.0015283396946432501	0.023173333333333334	0.0182	0.0159477257173415	9472	0.00634920634920635
fam1082	0.5056416485748835	0.21009268795056643	0.6482002269941842	0.01761333333333333	0.0177	0.005106318525991979	0.07027333333333334	0.0771	0.03901661982056137	745114	0.02771241830065359
fam2128	0.26657939891819527	0.20394736842105263	0.1476931191782266	0.004733333333333333	0.0031	0.0024691879006849375	0.021733333333333337	0.0201	0.013100771817806087	515412	0.008607198748043821
fam622	0.11138148944363709	0.10283687943262411	0.11596606469968031	0.0019333333333333331	0.0029	0.0017292259025998374	0.024286666666666668	0.0277	0.010845881963010458	1256946	0.007211184694628404
fam1197	0.10502136881214116	0.0707070707070707	0.10723955326794288	0.0016466666666666667	0.0018	0.00119156293254793	0.02393333333333333	0.0159	0.018888644442862725	600075	0.00699912510936133
fam1736	0.0839160316244988	0.08077994428969358	0.08903023738547908	0.0015599999999999998	0.0029	0.001459588983241515	0.025233333333333337	0.0236	0.012241986040762431	34301	0.00625978090766823
fam531	0.46814488675560423	0.4263565891472868	0.270148640785526	0.00776	0.0083	0.003960942648747475	0.01648	0.013	0.010142267990937728	1348670	0.009221466364323506
fam1250	0.10153584057607022	0.0858577610843472	0.07940897513297554	0.0018999999999999998	0.0015	0.0011575836902790225	0.021500000000000002	0.0185	0.009904611720473112	527400	0.006651549508692365
fam157	0.08900967792558148	0.08333333333333333	0.05854087026054595	0.0014466666666666666	0.0017	0.0007392488680335526	0.02171333333333333	0.0204	0.009570431315022096	761258	0.006558791801510249
fam1604	0.13929863218636432	0.1490909090909091	0.055848631844417684	0.0034	0.0034	0.001156431292093626	0.02690666666666667	0.0275	0.008188810794139904	113568	0.012727898176814587
fam1808	0.36609936469242504	0.2833333333333333	0.14653201464358906	0.008866666666666667	0.0068	0.004983662196506591	0.020906666666666667	0.0242	0.013579173596193385	128231	0.011373578302712161
fam1334	0.14953206307878017	0.07788595271210014	0.24071049263100236	0.0074133333333333325	0.0075	0.0026170891378696965	0.10968	0.0915	0.0720067978272422	425092	0.029535864978902957
fam646	0.09359675916710312	0.06306306306306306	0.09812578542590877	0.0009399999999999999	0.0007	0.0009918333193300844	0.012586666666666668	0.0111	0.005877512701437195	1226223	0.004170940170940172
fam363	0.11085113112376216	0.10858585858585858	0.02681202619401559	0.009513333333333334	0.0087	0.0027529055357728657	0.08665333333333332	0.085	0.0184963732180723	1022993	0.027285513361462725
fam233	0.14641741401899894	0.08653846153846155	0.18772871227377055	0.0017933333333333336	0.0027	0.0015951872060113268	0.02187333333333334	0.0232	0.012082244088836404	860411	0.0068376068376068385
