fam	loc
fam1	951
fam2	2190
fam5	5524
fam6	6667
fam7	8119
fam9	11699
fam10	12345
fam11	13858
fam13	15746
fam14	16783
fam18	26033
fam21	28014
fam22	28665
fam26	34854
fam42	54450
fam43	55325
fam44	55759
fam74	89269
fam75	89571
fam76	90716
fam78	93346
fam79	94848
fam80	95883
fam81	96799
fam82	98179
fam83	99645
fam84	100782
fam86	102510
fam87	103261
fam88	104736
fam90	106082
fam93	109468
fam96	112503
fam100	115597
fam107	121466
fam115	129710
fam119	137387
fam120	138595
fam129	150646
fam136	158851
fam137	159221
fam140	163365
fam141	170039
fam142	170496
fam144	172482
fam147	175480
fam152	181878
fam153	182209
fam155	185873
fam159	190559
fam165	197126
fam166	198202
fam168	200304
fam169	201954
fam174	207715
fam175	208653
fam176	211541
fam177	212012
fam181	214814
fam182	215530
fam185	220070
fam186	220589
fam187	221608
fam192	226812
fam193	227794
fam195	231136
fam196	232063
fam197	233076
fam198	234592
fam199	235485
fam202	238072
fam216	257548
fam217	258507
fam218	260710
fam219	262155
fam220	263808
fam221	264808
fam222	265811
fam231	277457
fam232	278050
fam235	280808
fam238	284345
fam241	287185
fam243	289814
fam244	290559
fam245	291449
fam246	292084
fam248	294044
fam249	294514
fam253	299155
fam256	301613
fam258	303541
fam259	303802
fam261	304869
fam262	305588
fam265	309245
fam267	311186
fam268	311803
fam271	314911
fam273	317884
fam275	318718
fam276	319304
fam280	323808
fam285	329812
fam286	330789
fam287	332063
fam288	332827
fam289	333542
fam290	335285
fam291	336755
fam293	338669
fam294	339406
fam295	339780
fam301	346468
fam303	348537
fam311	361609
fam312	362484
fam313	363261
fam315	369671
fam322	376239
fam324	378824
fam328	384300
fam329	386007
fam332	388369
fam333	390569
fam339	396318
fam341	398285
fam342	399425
fam343	400807
fam351	407330
fam352	409870
fam353	411427
fam354	412616
fam355	413466
fam356	413741
fam357	414333
fam358	414927
fam360	418407
fam361	419097
fam362	419811
fam363	420771
fam364	421020
fam365	422039
fam366	423984
fam378	434921
