fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.007219999999999999	0.0	0.014440000000000001	359807	0.0006116207951070337
fam62	0.0	0.0	0.0	0.0	0.0	0.0	0.006435555555555555	0.0	0.008664131823034181	233826	0.0008008008008008006
fam43	0.0	0.0	0.0	0.0	0.0	0.0	0.013542222222222221	0.0213	0.011189290294024488	184382	0.0021432600112803162
fam124	0.1319404300765663	0.17117117117117117	0.058543054130073255	0.005648888888888888	0.0076	0.004459228743589447	0.07043777777777778	0.0444	0.09364768322195434	189769	0.013859020310633217
fam116	0.2116013071895425	0.1911764705882353	0.057770161861646054	0.0010377777777777777	0.0	0.0013800626215886627	0.0027199999999999998	0.0	0.005439999999999999	264089	0.0012903225806451615
fam69	0.0	0.0	0.0	0.0	0.0	0.0	0.005084444444444444	0.0	0.006845142821513191	253033	0.0006890611541774332
fam74	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	266027	0.0
fam93	0.0	0.0	0.0	0.0	0.0	0.0	0.013488888888888889	0.0156	0.01300584863687995	342866	0.0021341043645876356
fam44	nan	nan	nan	0.00045	0.00045	0.00045000000000000004	0.0	0.0	0.0	188011	0.0004084967320261438
fam15	0.1648509225520666	0.1620405101275319	0.007435652356844909	0.008304444444444446	0.0031	0.010247838917017374	0.04744444444444444	0.0	0.06387440647449598	16730	0.015083199141170156
fam17	0.0	0.0	0.0	0.0	0.0	0.0	0.033786666666666666	0.0	0.036119465973657776	44634	0.0055161544523246635
fam77	0.051181102362204724	0.051181102362204724	0.0	0.00026	0.0	0.0005199999999999998	0.00508	0.0	0.010159999999999997	300029	0.0011001100110011003
fam41	0.1087229687510233	0.10636921563595927	0.013066103921706127	0.0024166666666666664	0.0025	0.001735495446391158	0.009608333333333333	0.0	0.01797557563596906	173706	0.0034380371933114546
fam78	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	303586	0.0
fam36	nan	nan	nan	0.00056	0.0	0.00112	0.0	0.0	0.0	145336	0.0005128205128205128
fam16	0.07575757575757576	0.07575757575757576	0.0	0.0013333333333333335	0.0025	0.0012472191289246471	0.0176	0.033	0.01646329250180534	32304	0.0035087719298245606
fam126	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	154625	0.0
fam112	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	275899	0.0
fam115	0.12586040333293083	0.11419590025359258	0.053394750036886825	0.0013933333333333334	0.0022	0.001235835300065866	0.010977777777777777	0.0169	0.009604232606024141	269902	0.002983539094650206
fam35	0.0	0.0	0.0	0.0	0.0	0.0	0.0051555555555555565	0.0	0.006940879084751138	144940	0.0006621146285950755
fam130	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	111481	0.0
