fam	loc
fam2	25389
fam3	38411
fam5	62814
fam6	68383
fam7	68934
fam10	78047
fam11	82041
fam12	94468
fam14	105178
fam15	108768
fam16	109463
fam17	109968
fam19	113782
fam20	121549
fam22	125821
fam24	137717
fam26	145145
fam27	146427
fam28	149492
fam29	165229
fam30	168380
fam31	178306
fam32	179362
fam33	180559
fam34	180993
fam35	189053
fam36	189595
fam38	208775
fam43	229972
fam44	232574
fam45	249137
fam46	256087
fam48	261802
fam49	263027
fam50	270179
fam51	281270
fam53	310246
fam54	311189
fam55	316640
fam56	326498
fam57	332825
fam58	379604
fam59	379950
fam61	397368
fam62	399007
fam63	400685
fam64	406790
fam70	443465
fam71	447845
fam72	451877
fam73	461445
fam74	471893
fam75	480353
fam76	489147
fam77	498359
fam78	499899
fam79	507010
fam80	516353
fam82	518748
fam83	520880
fam84	521687
fam85	525897
fam87	534983
fam90	560123
fam91	567444
fam92	568003
fam94	584723
fam95	586854
fam96	375971
fam99	343768
fam100	336395
fam102	329179
fam104	322087
fam105	321918
fam106	301583
fam107	300292
fam108	273699
fam109	271707
fam110	267044
fam111	264682
fam112	264562
fam113	264328
fam114	262883
fam116	242821
fam117	242257
fam118	241852
fam120	240788
fam121	240407
fam122	240137
fam123	238518
fam124	234695
fam125	233821
fam126	229191
fam127	228876
fam128	228570
fam129	226382
fam130	225010
fam131	219793
fam133	200651
fam140	142344
fam141	141838
fam143	140100
fam145	125933
fam146	115951
fam148	97057
fam150	91409
fam152	86984
fam153	84734
fam155	77898
fam156	76031
fam158	68008
fam159	66174
fam163	49829
fam165	37836
fam166	36779
fam167	34627
fam168	34095
fam169	28715
fam171	6967
fam172	4869
