fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.037035624931335415	0.0	0.04302811664070921	0.0032800000000000004	0.0	0.004017163178164413	0.07535	0.06895000000000001	0.032264632339451815	93971	0.019979612640163097
fam4124	0.12947789098465468	0.0999315537303217	0.06286526853438187	0.012140000000000001	0.0137	0.006458978247370091	0.10266	0.0894	0.05032737227394254	308339	0.034765625
fam1785	0.24271788325264318	0.20079522862823063	0.22009344355706692	0.01006	0.00425	0.008997466310023062	0.04919	0.0236	0.040371015592873066	1973458	0.020672601384767557
fam966	0.1949509116409537	0.1949509116409537	0.0	0.00556	0.0	0.006809581484937235	0.02852	0.0	0.03492972373208812	1102232	0.011764705882352941
fam393	0.37931034482758624	0.37931034482758624	0.0	0.00264	0.0033	0.00198	0.00522	0.0087	0.00426211215244273	464909	0.006190476190476189
fam1571	0.010612983409555339	0.0	0.012674319271943655	0.00047999999999999996	0.0	0.0005878775382679626	0.038680000000000006	0.042249999999999996	0.019741823623971522	1758517	0.01116584564860427
fam3872	0.03291284336670757	0.03333333333333333	0.02332444640871867	0.0019200000000000003	0.0014	0.001384774349849101	0.07004	0.06855	0.034553818891694156	34829	0.020116618075801746
fam158	0.08752591014144823	0.07812500000000001	0.03579970974879521	0.00332	0.003	0.002235978532991764	0.0432	0.040499999999999994	0.027940615598085878	201508	0.014193548387096775
fam1037	0.0	0.0	0.0	0.0	0.0	0.0	0.0137	0.0085	0.012266539854416975	1175829	0.0041343669250646
fam3479	0.3596423271678422	0.31921824104234525	0.2121627801798579	0.00784	0.0098	0.0036227613777338416	0.02579	0.030449999999999998	0.01206121469836268	210065	0.014215686274509804
fam3276	0.017760822971951345	0.0	0.019939865910180505	0.0005499999999999999	0.0	0.0006741661516273269	0.02393	0.025300000000000003	0.01137066840603489	410401	0.006842619745845553
fam3994	0.12082650507637872	0.07777777777777778	0.09757548750184906	0.005900000000000001	0.0074	0.0031704889212864316	0.06569	0.0565	0.04159332758989115	158801	0.021875
fam1031	0.020244906303417742	0.027181688125894134	0.014433259425841487	0.00114	0.0019	0.0009308061022576077	0.05367999999999999	0.05945	0.01971840764362072	1169932	0.015510204081632655
fam3345	0.018847433528830695	0.0	0.022481963300661073	0.00056	0.0	0.0006858571279792898	0.030510000000000002	0.03	0.01827087573161177	356589	0.008615384615384617
fam680	0.11677444466784676	0.07709750566893424	0.09472836193976035	0.0020399999999999997	0.0017	0.001665653025092561	0.023979999999999998	0.0141	0.01979726243701386	800576	0.008904109589041096
fam875	0.22127253275478706	0.1267056530214425	0.2043615885057813	0.01132	0.013	0.008582866653979893	0.05351	0.0525	0.03460330764536824	1015063	0.02421652421652422
fam4190	0.04213513639767659	0.03468208092485549	0.014388417364377177	0.00249	0.0022500000000000003	0.0012848735346328837	0.05909000000000001	0.0634	0.022111917601148934	237387	0.01881127450980392
fam1781	0.20177667389802018	0.1981651376146789	0.036944184946594974	0.01006	0.0108	0.005061067081159861	0.05289999999999999	0.0485	0.030761924517168946	1968467	0.02200165425971878
