fam	loc
fam1	2001108
fam2	2001978
fam3	2003239
fam4	2004619
fam5	2005115
fam6	2007577
fam7	2008352
fam8	2010178
fam9	2011237
fam10	2012241
fam11	2012989
fam12	2013679
fam13	2014372
fam15	2015795
fam16	2016623
fam17	2017975
fam19	2020816
fam20	2022421
fam21	2023314
fam22	2024154
fam23	2025569
fam24	2026629
fam25	2028056
fam26	2028855
fam27	2029766
fam28	2030423
fam29	2031961
fam30	2032591
fam31	2033457
fam32	2033882
fam33	2034358
fam34	2034842
fam35	2035393
fam36	2036050
fam37	2037319
fam41	2040630
fam42	2041885
fam43	2044007
fam44	2044808
fam45	2045767
fam47	2048768
fam48	2050600
fam49	2051183
fam50	2051763
fam51	2052877
fam53	2054941
fam54	2056021
fam56	2057809
fam57	2058351
fam58	2059628
fam62	2063691
fam63	2065886
fam65	2067337
fam66	2070964
fam67	2071551
fam68	2072565
fam69	2074169
fam70	2075432
fam71	2077117
fam73	2079504
fam74	2081317
fam75	2081782
fam76	2082051
fam77	2082439
fam78	2082587
fam79	2082994
fam80	2084186
fam81	2086126
fam82	2088663
fam85	2094806
fam86	2095956
fam87	2096906
fam89	2101208
fam90	2103057
fam92	2105687
fam94	2108146
fam95	2108823
fam97	2110475
fam99	2168000
fam102	2164541
fam103	2161262
fam104	2160650
fam105	2160096
fam106	2158097
fam107	2157340
fam108	2157093
fam109	2154620
fam110	2153821
fam111	2151681
fam112	2145671
fam113	2144263
fam114	2142881
fam115	2142455
fam116	2142028
fam118	2138737
fam119	2137470
fam120	2135527
fam123	2132414
fam124	2131356
fam125	2129608
fam126	2128169
fam127	2126248
fam128	2124851
fam129	2121840
fam130	2119949
fam131	2118956
fam132	2118527
fam133	2117801
fam134	2117590
fam135	2116401
fam138	2113298
fam140	2111067
fam141	2109850
fam142	2108757
fam143	2108333
fam144	2107635
fam147	2103652
fam149	2102034
fam150	2100422
fam151	2099080
fam152	2098418
fam153	2097288
fam154	2096290
fam155	2095217
fam156	2094653
fam157	2094003
fam158	2092563
fam159	2090800
fam160	2090010
fam161	2089096
fam162	2087878
fam163	2086117
fam164	2084205
fam165	2083077
fam166	2081620
fam167	2080809
fam168	2079832
fam169	2079536
fam170	2078107
fam171	2076623
fam172	2075597
fam173	2075089
fam174	2074271
fam175	2072765
fam176	2071829
fam177	2071059
fam178	2070792
fam179	2068622
fam180	2068302
fam182	2067035
fam183	2065485
fam184	2063755
fam185	2061501
fam186	2061169
fam188	2059364
fam189	2059119
fam190	2058575
fam191	2055850
fam192	2054852
fam195	2051205
fam197	2049822
fam198	2049044
fam199	2048185
fam200	2045665
fam202	2044288
fam203	2041567
fam204	2041074
fam205	2040766
fam206	2039455
fam207	2039008
fam208	2037511
fam209	2036537
fam210	2035339
fam212	2033058
fam213	2032588
fam214	2032014
fam215	2031035
fam216	2030101
fam218	2027705
fam219	2026747
fam220	2026300
fam221	2025514
fam222	2023874
fam223	2022270
fam224	2020911
fam225	2020290
fam226	2019230
fam228	2017044
fam229	2016273
fam230	2015494
fam231	2014498
fam232	2013990
fam233	2012794
fam234	2011227
fam235	2010148
fam236	2008997
fam237	2007894
fam238	2006323
fam239	2005986
fam240	2004975
fam241	2004164
fam242	2002809
fam243	2002345
fam244	2001599
fam245	1999994
fam246	1998520
fam247	1997961
fam248	1995620
fam250	1994520
fam251	1993593
fam253	1991452
fam254	1990793
fam255	1989562
fam256	1988258
fam257	1987041
fam258	1986464
fam259	1985024
fam260	1983122
fam262	1981821
fam267	1976737
fam268	1976025
fam269	1974944
fam270	1973970
fam271	1972572
fam272	1971547
fam278	1965980
fam279	1965060
