fam	loc
fam1	10710
fam2	10981
fam3	12603
fam4	13548
fam5	14716
fam6	15260
fam7	17512
fam8	18855
fam11	20949
fam13	21968
fam14	23121
fam15	23489
fam18	26467
fam19	27394
fam20	30114
fam21	31057
fam22	32675
fam23	33664
fam24	34089
fam25	34785
fam26	35655
fam27	36611
fam28	37095
fam29	37513
fam31	38429
fam33	41054
fam34	42316
fam35	43827
fam36	45281
fam38	47244
fam39	48792
fam42	53800
fam43	54966
fam44	55442
fam45	56165
fam50	59511
fam51	60704
fam52	61156
fam53	61678
fam54	62186
fam55	63224
fam57	68014
fam58	69222
fam60	71083
fam61	71473
fam62	72818
fam63	73997
fam64	74771
fam65	75753
fam66	76466
fam67	77718
fam68	78131
fam69	78964
fam70	79822
fam71	80618
fam72	82228
fam73	83541
fam74	84440
fam75	85466
fam76	86383
fam78	87791
fam79	89670
fam80	90360
fam81	90881
fam82	92003
fam83	92571
fam84	93578
fam86	96406
fam87	97323
fam88	98177
fam90	103262
fam91	104721
fam93	106742
fam94	107084
fam95	108441
fam96	109462
fam97	110100
fam98	111659
fam99	112473
fam100	113720
fam101	114309
fam102	115913
fam103	116441
fam104	117717
fam105	118901
fam106	119389
fam108	120778
fam109	121446
fam110	122106
fam111	123883
fam112	124441
fam113	125553
fam114	126056
fam115	127775
fam116	128564
fam117	128925
fam118	129848
fam119	130419
fam120	131664
fam121	132502
fam122	133629
fam123	134543
fam124	135213
fam125	135942
fam126	136902
fam127	137954
fam128	138675
fam129	139457
fam130	140519
fam131	141202
fam132	141426
fam135	144296
fam136	145840
fam137	146871
fam138	148406
fam139	149263
fam140	150132
fam141	150957
fam142	151854
fam143	152607
fam144	153644
fam145	154019
fam146	154515
fam147	156217
fam148	156740
fam149	158039
fam150	158866
fam151	159372
fam152	160922
fam153	161488
fam154	162212
fam155	163308
fam156	163722
fam157	164625
fam158	165189
fam159	165957
fam160	166775
fam162	168385
fam163	169200
fam164	170961
fam165	171982
fam166	173495
fam167	175440
fam168	176000
fam169	176911
fam171	180073
fam172	181152
fam173	182387
fam174	183638
fam175	185855
fam176	191261
fam177	192830
fam178	193319
fam179	194320
fam180	194657
fam181	197954
fam182	201244
fam183	202594
fam184	202851
fam185	206229
fam186	208170
fam187	208957
fam188	210499
fam189	210819
fam190	212767
fam191	213595
fam192	215097
fam193	215611
fam194	216301
fam195	217837
fam196	218471
fam197	219361
fam198	220247
fam199	221031
fam200	221559
fam201	223544
fam202	224850
fam203	225857
fam204	226463
fam206	232359
fam207	233104
fam208	234008
fam210	236102
fam211	237012
fam212	238701
fam213	239741
fam229	250608
fam230	251149
fam231	251739
fam232	252075
fam233	253764
fam234	254124
fam235	255995
fam236	256504
fam237	257172
fam238	258692
fam239	259165
fam240	260351
fam241	261162
fam242	261842
fam243	262838
fam244	263949
fam245	264604
fam246	265353
fam247	265989
fam248	266945
fam249	267547
fam250	268002
fam252	268855
fam253	270003
fam254	271277
fam255	272554
fam256	274075
fam257	274995
fam258	276056
fam259	277103
fam260	278362
fam261	278865
fam262	279512
fam266	285647
fam267	286718
fam268	287374
fam269	288936
fam270	290141
fam271	292070
fam272	293449
fam273	295429
fam274	296611
fam275	298550
fam276	299748
fam278	301139
fam279	302992
fam280	303966
fam283	306567
fam284	307220
fam285	307986
fam286	308564
fam287	310833
fam288	312140
fam289	313507
fam290	314848
fam291	315819
fam292	316390
fam293	317762
fam294	318597
fam295	319087
fam296	319902
fam297	320343
fam298	320944
fam299	321850
fam300	323115
fam301	323760
fam302	324446
fam303	325553
fam304	326731
fam305	327750
fam306	328915
fam307	329164
fam308	329469
fam309	329635
fam310	329871
fam311	331191
fam312	331433
fam313	333329
fam314	334555
fam315	335577
fam316	336958
fam317	338309
fam318	339373
fam319	339925
fam320	341150
fam321	342530
fam322	343582
fam323	344412
fam324	344819
fam325	346563
fam326	347265
fam327	347915
fam328	348296
fam329	349404
fam330	350878
fam331	351476
fam332	352340
fam333	353317
fam334	354012
fam335	354657
fam336	355532
fam337	356565
fam338	357464
fam339	358855
fam340	359785
fam341	360194
fam342	361033
fam343	362319
fam344	363599
fam345	364281
fam346	365246
fam347	366325
fam348	367853
fam349	368344
fam350	369495
fam352	371570
fam353	372438
fam354	373346
fam355	374244
fam356	375751
fam357	376554
fam358	377075
fam359	378321
fam360	379061
fam361	380080
fam362	381433
fam363	382407
fam364	383543
fam365	384184
fam366	385392
fam367	386190
fam368	387515
fam369	388432
fam370	389079
fam371	390883
fam372	394125
fam373	397355
fam374	398787
fam375	399551
fam378	401539
fam379	403221
fam380	404185
fam381	406727
fam382	407304
fam383	408512
fam384	409552
fam385	409772
fam386	410242
fam387	411027
fam388	411879
fam390	413023
fam391	413987
fam392	414636
fam393	415404
fam394	416666
fam395	417602
fam396	418156
fam397	419101
fam398	421167
fam399	422970
fam400	423938
fam401	424845
fam402	426495
fam403	427263
fam404	428560
fam406	430017
fam408	431947
fam409	432528
fam411	433100
fam412	433443
fam413	434088
fam414	434755
fam419	440549
fam420	441744
fam421	444050
fam422	444595
fam423	445339
fam424	448318
fam426	451173
fam429	453613
fam430	454564
fam431	455477
fam432	455908
fam433	456551
fam434	457111
fam435	458754
fam436	460555
fam437	461558
fam438	461912
fam439	462607
fam440	464312
fam441	465579
fam442	466928
fam443	470953
fam444	472088
fam445	473786
fam446	475459
fam447	476421
fam448	476910
fam449	477454
fam450	478249
fam451	478734
fam452	480222
fam453	481295
fam454	482233
fam455	483020
fam456	483625
fam457	484378
fam458	485434
fam459	486627
fam460	487592
fam461	488834
fam462	489559
fam463	491124
fam464	491758
fam465	494183
fam466	494799
fam467	495848
fam468	496225
fam469	496746
fam470	497213
fam471	498765
fam472	499888
fam473	500840
fam474	501275
fam475	502093
fam476	503660
fam477	504167
fam478	506981
fam479	508159
fam480	508941
fam481	509993
