fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.0	0.0	0.0	0.0	0.0	0.0	0.03554	0.053	0.027615799825462233	314327	0.009803921568627449
fam966	0.02182013231424788	0.012111244019138757	0.0289572412876451	0.01987	0.0324	0.01602766670479518	2.06967	2.6752	1.7906031023373103	623431	0.10855457227138643
fam393	0.02900904633695412	0.020357009788978083	0.01720944135667975	0.03609	0.0601	0.029467387057559077	1.2683700000000002	1.2719	1.2212253412454233	1298568	0.10021929824561404
fam158	0.0	0.0	0.0	0.0	0.0	0.0	0.02082	0.0347	0.01699945881491526	1548524	0.0057971014492753615
fam1037	0.2725673102642436	0.11226034308779012	0.39904247645057445	0.07952	0.1299	0.06393705967590314	0.72115	1.1892	0.5880751112740616	546267	0.14924506387921024
fam1720	0.06280252435512529	0.06280252435512529	0.0	0.0615	0.1025	0.05021453972705515	0.97926	1.6321	0.799562441839285	249248	0.14054054054054055
fam1499	0.058018922059736515	0.04639746634996041	0.029105600310898566	0.03537	0.0586	0.028576355610889226	0.76457	1.263	0.6219512345031561	15042	0.12322580645161292
fam1031	0.028172748665937494	0.02817274866593749	3.469446951953614e-18	0.051000000000000004	0.085	0.041641325627314034	1.81026	3.0171	1.4780711005902254	553597	0.1296875
fam680	0.039659066364006346	0.04496894409937888	0.01623541667476815	0.05424	0.0903	0.04428684228978173	1.1746000000000003	1.8983	0.957310335262291	968485	0.14666666666666667
fam875	0.07788944723618091	0.07788944723618091	0.0	0.0837	0.1395	0.06834076382365067	1.0745999999999998	1.791	0.8774072258649342	734954	0.16615384615384615
fam1781	0.05627705627705628	0.05627705627705628	0.0	0.00312	0.0052	0.002547469332494505	0.05544	0.0924	0.04526657044663313	312545	0.01751824817518248
fam425	0.007319712739736655	0.008212439553109888	0.005465821300704775	0.011850000000000001	0.0197	0.009675561999181237	1.15347	1.51195	0.9335516911773017	1258877	0.10756376429199647
fam1195	0.046665662112071446	0.05025007552616562	0.01944269514108919	0.09027	0.1497	0.07370743585283644	1.6711799999999997	2.5786	1.3654931737654348	393950	0.17692307692307693
fam1928	0.044269442366435076	0.05493273542600897	0.027780162895466795	0.00346	0.0049	0.0026469605210505125	0.06078999999999999	0.0834	0.03779546136773568	487899	0.014728682170542637
fam657	0.07450845119006555	0.07450845119006555	0.0	0.01296	0.0216	0.01058179568882333	0.17394	0.2899	0.14202141528656864	996839	0.049999999999999996
fam1496	0.40116561437591075	0.4011656143759107	5.551115123125783e-17	0.04956000000000001	0.0826	0.0404655705507781	0.12354000000000001	0.2059	0.10086998760781127	20124	0.06666666666666668
fam2317	0.03013593229033085	0.030135932290330854	3.469446951953614e-18	0.014100000000000001	0.0235	0.011512601791080938	0.4678800000000001	0.7798	0.3820224202844644	941927	0.07261146496815288
fam1988	0.01606926558548642	0.01868131868131868	0.006560536131778202	0.0051	0.0085	0.004164132562731403	0.27278	0.4518	0.22122617295428676	559829	0.04711359404096834
fam265	0.053810946866080504	0.02054344253314342	0.08547875218040557	0.02207	0.0354	0.0176391071202598	1.1623899999999998	1.8254	0.9514068944988784	1439869	0.09420970266040689
fam2943	0.018221286281644457	0.021257614763082102	0.00743880899212486	0.05007	0.0834	0.04088200215253652	2.35582	3.9233	1.9225200252793206	1635523	0.12689511941848391
fam1040	0.021709131481234354	0.023133382008223492	0.009092495385671622	0.03612	0.0602	0.02949185650310946	1.4372899999999997	2.1874	1.1837246786732123	542840	0.12524654832347143
fam1786	0.0	0.0	0.0	0.0	0.0	0.0	0.06005999999999999	0.1001	0.04903878465051922	314518	0.015873015873015872
fam3198	0.04109754623473952	0.04109754623473952	0.0	0.0204	0.034	0.01665653025092561	0.49638	0.8273	0.4052925728409047	1705898	0.08499999999999999
fam355	0.10911894880170554	0.1255663430420712	0.04457671168708613	0.08141999999999999	0.1356	0.06647919674604981	0.6403399999999999	1.0508	0.5216471761641195	1341147	0.13644214162348875
fam1784	0.027029747608934205	0.030120481927710843	0.011112253869277357	0.0012000000000000001	0.002	0.0009797958971132711	0.03866	0.0607	0.030598176416250695	313904	0.010872675250357653
fam2761	0.019947618375959868	0.02302760696061756	0.008146729488183853	0.01056	0.0176	0.008622203894596787	0.45572	0.7484	0.36828369173776887	1442551	0.07384987893462469
fam2375	0.18617174257558058	0.03589292446902099	0.36853276697920384	0.08581	0.1416	0.0690779624771895	2.3891099999999996	3.9785	1.9497830173893709	1013135	0.1544761904761905
fam2090	0.0441966465896142	0.0441966465896142	0.0	0.03258	0.0543	0.026601458606625317	0.7371599999999999	1.2286	0.6018886195966824	684698	0.10175438596491229
fam2139	0.028225806451612906	0.028225806451612906	0.0	0.0147	0.0245	0.012002499739637571	0.5208	0.868	0.4252314193471597	740092	0.07358490566037736
fam2305	0.14816795934741908	0.14816795934741908	0.0	0.06648	0.1108	0.054280692700075225	0.44867999999999997	0.7478	0.36634568593065214	928723	0.10090090090090091
fam2823	0.17905366238921575	0.15622423742786481	0.06304097610526788	0.022949999999999998	0.0379	0.018318965582150102	0.14898	0.2426	0.1204219232532017	1505799	0.04521604938271605
fam814	0.03421573924005042	0.03421573924005042	0.0	0.0114	0.019	0.009308061022576076	0.33318000000000003	0.5553	0.27204033083349977	807516	0.09007633587786261
fam594	0.13006738746866947	0.10877216282621688	0.12919247808119885	0.09774	0.1614	0.07944391984286776	1.4530699999999999	1.5059	1.3813685265344655	1063908	0.1676543209876543
fam346	0.027892372931582848	0.03227582410019957	0.011389661848195396	0.02814	0.0469	0.02297621378730621	0.86524	1.4296	0.7056474490848812	1351226	0.10582329317269076
fam643	0.022631866499356695	0.024517845267124805	0.009402964814220437	0.03321	0.0553	0.027115879111693945	1.26541	1.9583	1.0370243019813954	1008455	0.11475409836065573
fam1679	0.017457878841300158	0.013272123994363894	0.011951948790739153	0.01803	0.0292	0.014488964766331651	1.43159	2.2001	1.1721348859666278	196777	0.08510445049954588
fam922	0.0398848685610139	0.021911235505797683	0.04465027300877608	0.01635	0.0261	0.012773742599567288	0.74301	1.2195	0.6027069693474599	675081	0.08229885057471265
fam494	0.021699272833696392	0.026595744680851064	0.007670223450234784	0.023119999999999998	0.0383	0.018776197698149644	1.29845	1.3261	1.2385760358169378	1177324	0.10046893317702228
fam2091	0.011870859682969496	0.013478416621887873	0.004858409742995881	0.018029999999999997	0.03	0.014721484300164844	1.30447	2.1096500000000002	1.0628954069427528	686053	0.10545171339563864
fam2732	0.029716605059070814	0.029716605059070814	0.0	0.024600000000000004	0.041	0.020085815890822062	0.82782	1.3797	0.6759121996235901	1409162	0.08983050847457627
fam1358	0.0338377219111164	0.033837721911116406	6.938893903907228e-18	0.034080000000000006	0.0568	0.027826203478016905	1.00716	1.6786	0.8223426964471686	185803	0.13667711598746082
fam2664	0.071877710320902	0.071877710320902	0.0	0.07956	0.1326	0.06496046797860988	1.1068799999999999	1.8448	0.9037637354972814	1332703	0.14979757085020243
fam651	0.039119585221614774	0.04381229235880399	0.016060145907089655	0.012690000000000002	0.0211	0.01036141399616867	0.27968	0.4466	0.22631926033813382	1002264	0.07416666666666667
fam910	0.027472706454092752	0.030673519069515823	0.011288009045517697	0.034050000000000004	0.0567	0.027801735557335266	1.0645900000000001	1.6991	0.870526858230118	693936	0.1004953998584572
fam508	0.05908574611852908	0.026508902667956084	0.08238367626460374	0.027240000000000004	0.043	0.021574206822036354	1.05741	1.7579	0.860564646554807	1160447	0.10604890604890604
fam155	0.0	0.0	0.0	0.0	0.0	0.0	0.11955	0.1976	0.09574772321052862	1550665	0.02462253193960511
fam179	0.07971350821978121	0.07971478788209954	0.0004640226102823054	0.09914999999999999	0.1636	0.08053532454767907	1.24118	2.06435	1.0134246156473605	1529112	0.17219589257503948
fam2642	0.03392486981141615	0.03392486981141615	0.0	0.08052000000000001	0.1342	0.0657443046963005	2.37348	3.9558	1.9379383049003394	1307273	0.1723404255319149
fam885	0.18736691391409319	0.15135185357242403	0.09767823538573493	0.09701	0.1595	0.07863141166226127	0.6566	1.0763	0.5348870665850877	724894	0.1606425702811245
fam2735	0.025001849169044736	0.02887917577271308	0.010210484216374913	0.02223	0.037	0.01815076031465349	0.7632899999999999	1.2594	0.6210227346080013	1413170	0.09527777777777777
fam1934	0.02785704160579932	0.03235454051114736	0.0113733856386699	0.028560000000000002	0.0476	0.023319142351295858	0.8838199999999998	1.4581	0.7115200148976837	496156	0.09304556354916065
fam119	0.012543606480966365	0.0146295422369042	0.005120907723651367	0.03351	0.0558	0.027360827838353138	2.29042	3.8142	1.8689376307410581	1586392	0.11486810551558753
fam1001	0.05129809041479975	0.057973267018961765	0.021014141646033848	0.06720000000000001	0.1119	0.054868624914426276	1.12445	1.8162	0.9180911449850716	576730	0.13631205673758867
fam2143	0.032102849409818814	0.032102849409818814	0.0	0.025619999999999997	0.0427	0.02091864240336834	0.7980600000000001	1.3301	0.651613261375181	744592	0.09999999999999999
fam2822	0.03154762407019589	0.026006412540078374	0.02401654719125155	0.00403	0.0055	0.0030301980133318022	0.17939	0.2807	0.14272046419487291	1505152	0.026666666666666665
fam1364	0.03893451853520217	0.03474613410129594	0.010310193979176678	0.03415	0.0555	0.02751364207079826	0.9809300000000001	1.5973	0.7953274584094278	174185	0.10729613733905578
fam1587	0.007203469491685847	0.00824253373228702	0.00294460334832167	0.00876	0.0146	0.00715251004892688	1.04439	1.7045	0.8497787564419341	81913	0.10366300366300366
fam174	0.027471575642275196	0.03186991869918699	0.011216465317894933	0.029369999999999997	0.0489	0.023980535857232213	0.91709	1.5172	0.7474564755890473	1533682	0.11005747126436782
fam2772	0.07589645816528562	0.07589645816528562	0.0	0.0621	0.1035	0.05070443767561179	0.81822	1.3637	0.668073832446684	1452596	0.12407407407407407
fam1446	0.08276411489725781	0.0827641148972578	0.0004958616285637985	0.06778	0.112	0.055080991276483034	0.81738	1.3614	0.6673883394246561	78400	0.15288640595903166
fam1143	0.03716106497471677	0.0310826694527883	0.016487131450174428	0.02833	0.0465	0.02293281709690286	0.9290400000000002	1.5314	0.7560205489270778	445605	0.10837138508371384
fam2627	0.02179598021774168	0.01429032778943969	0.013620439920943039	0.03192	0.0531	0.02606268597055952	1.55512	1.4576	1.5366288119126232	1293168	0.08333333333333334
fam933	0.023380057774580243	0.02710105232809572	0.009546254335855282	0.022529999999999998	0.0375	0.018395708738724908	0.82765	1.366	0.6725120627170936	661472	0.10340760157273918
fam839	0.12486081421012794	0.097429387496033	0.07626086141803712	0.05473	0.0897	0.04431182799208356	0.58291	0.9453	0.4751029645245334	772169	0.10968660968660968
fam1534	0.013631296769153149	0.014993985220828322	0.0056282548212725336	0.02097	0.0349	0.017121977105463024	1.32318	2.0818	1.0838265006909544	27535	0.10558766859344892
fam2304	0.03889554335061563	0.045119539816645696	0.015880843806554756	0.030090000000000006	0.0501	0.024568412647136977	0.6635199999999999	1.0978	0.540976792108497	928058	0.08992248062015504
fam1447	0.0734571844803584	0.06134474130276859	0.030321635938599174	0.046180000000000006	0.076	0.03744665005043842	0.75487	1.2389	0.6147109874567072	77276	0.1368888888888889
fam1804	0.0	0.0	0.0	0.0	0.0	0.0	0.017400000000000002	0.029	0.014207040508142433	323473	0.0046875
fam1584	0.01772918211020509	0.01772918211020509	0.0	0.01722	0.0287	0.014060071123575442	0.9712799999999999	1.6188	0.7930467991234819	79267	0.0951219512195122
fam2769	0.07277771849322377	0.07277771849322377	0.0	0.04092	0.0682	0.03341104009156255	0.56226	0.9371	0.45908336759242324	1450228	0.125
fam2045	0.06698526629103797	0.06990683902650394	0.0074328002238263	0.05796	0.0962	0.04720252535617136	0.8281500000000002	1.3717	0.673698152364989	630893	0.11701119724375537
fam2116	0.033642514576663056	0.039184632675998775	0.013734630767992355	0.04593	0.0764	0.03750186795347666	1.17177	1.9433	0.9535870689664369	717670	0.12666666666666665
fam2799	0.04715619768488684	0.045534469168738254	0.02115815196293364	0.08994	0.1496	0.07343607015629308	1.6858899999999999	2.3195	1.4268951211984713	1481563	0.1382716049382716
fam317	0.1045139695306071	0.08180529516667429	0.07505097897839398	0.11029	0.1789	0.08779126892806596	1.49764	2.1869	1.2370956294482653	1384508	0.17698815566835874
fam568	0.0634765625	0.0634765625	0.0	0.054599999999999996	0.091	0.04458071331865384	0.8601599999999999	1.4336	0.7023176990507928	1095522	0.18343949044585986
fam2613	0.013353753104329073	0.015561174868702588	0.005451672926634771	0.009600000000000001	0.016	0.00783836717690617	0.6210000000000001	1.0258	0.497421012825152	1278740	0.07150183150183151
fam989	0.01562644913356898	0.017861782281111977	0.006388615576928295	0.0165	0.0275	0.01347219358530748	0.90611	1.4785	0.7388290836858008	593973	0.09659863945578233
fam3155	0.046688795777330365	0.046688795777330365	0.0	0.051480000000000005	0.0858	0.04203324398615934	1.10262	1.8377	0.9002854600625293	1755804	0.10588235294117647
