fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.19457927687701926	0.21428571428571427	0.11351033060953031	0.0016666666666666668	0.0015	0.0010474837574980446	0.007477777777777779	0.0046	0.006699797306681545	583085	0.003055243795984536
fam966	0.3115167556752734	0.2878787878787879	0.2863492463295379	0.002972222222222222	0.0038	0.002101138727123291	0.008847222222222222	0.0066	0.0060901325524304354	162456	0.004279835390946502
fam393	0.8080188679245284	0.8396226415094339	0.550994615629833	0.0037138888888888885	0.0036	0.0027052575126735247	0.0032666666666666673	0.0053	0.0031673683433131403	780794	0.0035987404408457033
fam1571	0.3654513888888889	0.3125	0.282267588576108	0.0016694444444444448	0.002	0.0016739539759444545	0.0032	0.0032	0.0032	385758	0.002038735983690112
fam158	0.12613636363636366	0.0	0.16284134523826643	0.00185	0.00185	0.00185	0.0024305555555555556	0.0	0.004547210344109919	999855	0.001989592898683808
fam1037	0.22769614110342146	0.1388888888888889	0.26843285589505034	0.0012222222222222222	0.0015	0.000703606231066114	0.008541666666666664	0.0108	0.005348383712238057	86449	0.0030462058149354565
fam680	0.7516433398721427	0.6534653465346535	0.2617696962102317	0.010250000000000002	0.0099	0.005453108186061311	0.013719444444444444	0.01015	0.011968774638952172	465889	0.010973936899862825
fam1781	0.2783239467498959	0.18421052631578946	0.2788469490753542	0.0016499999999999998	0.0017499999999999998	0.0008804985961248193	0.006452777777777778	0.0076	0.004675021456344767	578951	0.0027160493827160497
fam1928	0.1640677966101695	0.0	0.24228605601384223	0.0007999999999999999	0.0	0.0010583005244258362	0.004124999999999999	0.0039	0.0035714434523499506	716584	0.0015642345342617822
fam98	0.2011998050391414	0.2872340425531915	0.1692597392913107	0.0009249999999999999	0.0014	0.0008554969316134337	0.0038777777777777777	0.0046	0.003006854309657548	1053664	0.0015723270440251573
fam2317	0.32202269244035897	0.2037037037037037	0.3023992579682998	0.0030250000000000003	0.0022	0.0027650974465448573	0.00936388888888889	0.0109	0.0052350927391646394	1402483	0.004801097393689986
fam265	0.14290416759399346	0.13924050632911392	0.11766433024251152	0.0023666666666666667	0.0033	0.0023823424513607517	0.019858333333333335	0.023649999999999997	0.012054214915216261	906499	0.0060785976816511164
fam1040	0.39327784690507905	0.30303030303030304	0.3102638009639874	0.0017749999999999999	0.0019	0.0011003471674380266	0.004538888888888888	0.0033	0.002581588419061431	81912	0.002402850277570636
fam1786	0.0	0.0	0.0	0.0	0.0	0.0	0.003311111111111111	0.0	0.0061945216736590805	583425	0.0007054673721340388
fam355	0.17108771929824562	0.16666666666666666	0.1735123161435331	0.0012833333333333332	0.0021	0.0012401836781523758	0.005927777777777778	0.0062	0.00491469514772399	814796	0.002434359241870979
fam1784	0.14324339589010654	0.14049586776859505	0.15865363525024645	0.0010333333333333332	0.0017	0.0009910712498212338	0.010016666666666667	0.012	0.006380242942083005	582217	0.002954316183888168
fam2375	0.12956567421568962	0.14814814814814814	0.1610611801221111	0.0020666666666666663	0.0028	0.002089789994765556	0.006241666666666667	0.0	0.008296832561619859	1340500	0.0030259017187121767
fam2090	0.19116403503428858	0.1719347181989404	0.16471109921011648	0.006825	0.008199999999999999	0.004284751710685489	0.03711388888888889	0.04135	0.023846443396328958	876883	0.01377156883979496
fam2139	0.38224277701549886	0.35449735449735453	0.20783453889840958	0.006452777777777777	0.00605	0.005043779783671452	0.017030555555555556	0.0126	0.01247488186193103	943836	0.01013787510137875
fam519	0.18568564368039062	0.17847769028871388	0.09556369288409909	0.004955555555555555	0.00485	0.0035816231922632547	0.024749999999999998	0.0312	0.013636969767673627	635800	0.00999025341130604
fam1093	0.08767308884894733	0.104	0.05564347294927198	0.0006972222222222221	0.0007	0.0005717838126381872	0.007075000000000001	0.00745	0.004138328634713402	31484	0.0020478614475454918
fam2025	0.24688078866969343	0.19435215946843856	0.22905167452590047	0.00908888888888889	0.0117	0.007224063867756992	0.036708333333333336	0.03949999999999999	0.026910472713549027	811668	0.015061728395061726
fam321	0.4837582236842106	0.7052631578947369	0.30268971738016254	0.004655555555555554	0.0067	0.0026504134315281256	0.002119444444444444	0.0	0.003965183157073049	850513	0.003978052126200273
fam594	0.46269048515711936	0.2979187910162889	0.35543831505911144	0.004436111111111109	0.0053	0.00210398468226598	0.012555555555555554	0.01175	0.007699222343286238	549539	0.0067302065044728705
fam346	0.5513846411239671	0.4950495049504951	0.4398348198683751	0.0037444444444444443	0.0033	0.002236371620435959	0.012569444444444446	0.0101	0.01245544993264761	822506	0.005851576483546745
fam62	0.4611427029334767	0.3612104187946884	0.4165059889817918	0.002966666666666667	0.0025	0.001803391865963197	0.008577777777777776	0.0088	0.00417253660599821	1087226	0.004206271167923085
fam1679	0.0	0.0	0.0	0.0	0.0	0.0	0.006138888888888888	0.0095	0.005557391363349543	476893	0.0013260173754000915
fam494	0.46596993841519396	0.3786699107866991	0.24755268498025187	0.0027888888888888885	0.0026	0.001708276873502422	0.005027777777777779	0.0045	0.0036844727582345943	670247	0.04862644101054697
fam1358	0.14534883720930233	0.14534883720930233	0.11867682862321599	0.0012500000000000002	0.00125	0.00125	0.008575	0.00855	0.006081272481972832	189294	0.002873563218390804
fam910	0.14589065988266442	0.1176470588235294	0.11746249801618197	0.001	0.0012	0.0007745966692414833	0.007005555555555555	0.0068	0.003594049437337318	209667	0.002595587501247879
fam150	0.4502627399269268	0.3131991051454139	0.23034352372287867	0.009319444444444444	0.0104	0.005442876049604476	0.022161111111111114	0.022	0.01580939027880754	1007889	0.012248468941382328
fam508	0.9227146461682454	0.8714285714285714	0.5519223365471778	0.014208333333333335	0.0143	0.006590328562033578	0.016386111111111115	0.016300000000000002	0.007754215798797514	650503	0.014615633074935401
fam155	0.285671559852011	0.16	0.3145484902638555	0.001363888888888889	0.0015	0.0010236516274206705	0.007669444444444445	0.00625	0.0042169512054487665	1002051	0.0028464860620337653
fam179	0.07168592603655234	0.0	0.10607677034549376	0.00045833333333333327	0.0	0.000857766803326457	0.005302777777777778	0.0068	0.0045900548357358135	983233	0.0015723270440251573
fam1934	0.0	0.0	0.0	0.0	0.0	0.0	0.007936111111111109	0.0095	0.004520825439487903	722976	0.0018684603886397607
fam1001	0.27519437470176383	0.0	0.36748900552141667	0.002769444444444444	0.0	0.0032977112807761116	0.008980555555555556	0.0074	0.006280517470030477	132717	0.004200076365024818
fam43	0.13143205693757198	0.14286521935775667	0.1039106671087551	0.0013805555555555554	0.0019	0.001169239887097702	0.011027777777777777	0.013049999999999999	0.0068529641239357605	1102489	0.0035708354094004316
fam1364	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0026	0.0026	192976	0.0006082725060827251
fam1587	nan	nan	nan	0.0013999999999999996	0.0014	0.0014	0.0	0.0	0.0	395267	0.0010964912280701754
fam2024	0.07414331164615265	0.060000000000000005	0.05075017094330973	0.0027111111111111103	0.0027	0.0019250941936229996	0.038024999999999996	0.0404	0.02310601623194944	811202	0.010697032436162872
fam2161	0.7387884391987032	0.6363636363636364	0.4658486857334414	0.004816666666666667	0.0043	0.0022624347749959804	0.0061694444444444435	0.00445	0.003977703095202085	969596	0.005120876503513161
fam174	0.13807534660132514	0.14431599826442693	0.09739130485026341	0.0015999999999999999	0.0015999999999999999	0.0011853269591129698	0.011177777777777778	0.01095	0.008124042203755164	986624	0.0037587092042537587
fam1446	0.4356265453585658	0.40816326530612246	0.32275429667643096	0.004677777777777777	0.004	0.003549265269125046	0.010855555555555556	0.013	0.005533004229391944	273912	0.0060882800608828
fam1143	0.10818262197572544	0.1149425287356322	0.07867628072771737	0.000675	0.001	0.0006417748826496718	0.005311111111111111	0.00655	0.005124872777704273	14585	0.0015899738121960348
fam933	0.09875741391213529	0.1042183622828784	0.055271494203269725	0.0027055555555555557	0.0028	0.0019262722267005838	0.02271388888888889	0.023	0.012821989635383292	187226	0.006521471637750707
fam1534	0.13157894736842105	0.0	0.1860807318911967	0.00175	0.0	0.0021937410968480304	0.0057	0.0057	0.005700000000000001	344885	0.002849002849002849
fam2304	0.20152167301479879	0.17692307692307693	0.18507498253501645	0.0025027777777777774	0.0024	0.0015639135581239619	0.01646666666666666	0.01605	0.010288693902640035	1413936	0.006204658266513935
fam1447	0.2319042773948204	0.21875	0.20961125558621907	0.0025666666666666667	0.0028	0.001761628034896508	0.012541666666666666	0.0115	0.00590735770035978	274876	0.005194218608852754
