fam	loc
fam1	3340
fam2	4696
fam3	4968
fam4	6136
fam5	6411
fam6	8349
fam7	10870
fam8	17348
fam9	17889
fam10	20617
fam12	23340
fam13	24283
fam14	25541
fam15	27164
fam16	28686
fam17	30028
fam18	30698
fam20	35473
fam21	36836
fam22	37656
fam23	39459
fam24	40630
fam25	42271
fam26	42634
fam27	43540
fam28	44310
fam29	45255
fam30	45685
fam31	45986
fam33	50061
fam34	50478
fam35	51091
fam36	51427
fam37	51709
fam39	58280
fam41	60914
fam42	67196
fam43	68506
fam44	69307
fam46	77498
fam47	78120
fam48	79212
fam49	80947
fam50	81247
fam51	81996
fam52	83340
fam53	84553
fam54	90660
fam55	91560
fam57	93022
fam58	95547
fam59	96689
fam60	97891
fam61	98496
fam62	100968
fam63	101918
fam64	103526
fam65	104725
fam66	111581
fam67	112375
fam69	120501
fam72	123209
fam73	124606
fam74	125212
fam75	125777
fam76	126736
fam77	127918
fam78	128144
fam79	128398
fam80	128994
fam81	129918
fam83	131499
fam84	131852
fam85	132959
fam86	133827
fam88	136771
fam89	137123
fam91	140477
fam92	141625
fam93	142431
fam94	143116
fam96	146695
fam97	147849
fam98	148912
fam99	149557
fam101	151386
fam102	151933
fam103	153260
fam104	153983
fam105	155119
fam106	157151
fam107	157837
fam110	160580
fam112	161400
fam113	161961
fam114	162970
fam116	165140
fam117	165850
fam118	166383
fam119	167089
fam120	170442
fam121	172884
fam122	175148
fam123	176453
fam124	176777
fam125	177301
fam126	178575
fam127	179992
fam128	180846
fam131	184553
fam132	185609
fam133	186641
fam134	186906
fam136	191517
fam137	192046
fam138	193553
fam139	195087
fam140	195780
fam142	197611
fam145	201764
fam146	202573
fam147	203311
fam149	207941
fam150	209172
fam160	225507
fam162	229620
fam163	229987
fam164	232673
fam165	233538
fam167	235753
fam168	236277
fam169	237156
fam170	237985
fam171	240643
fam172	241401
fam173	242594
fam176	245675
fam179	249769
fam181	252747
fam182	253913
fam183	254134
fam184	254899
fam185	256070
fam186	258728
fam187	259916
fam189	261493
fam190	263566
fam191	264544
fam195	268932
fam196	270602
fam197	271825
fam198	272436
