fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.02225919049437234	0.027363184079601987	0.010852790802433697	0.004044444444444444	0.0036	0.004127714221134746	0.1613611111111111	0.1167	0.14165699825395492	1218920	0.018310110753840658
fam393	0.010984047391694412	0.008541245223645763	0.010789316076432446	0.008841666666666666	0.0038	0.010894452589378791	0.7279166666666667	0.4014	0.9042204234403615	445185	0.04158976251999507
fam1571	0.019828235589610426	0.01681327246409086	0.03778627747289481	0.013363888888888889	0.005	0.016661785164757803	1.2309638888888887	1.5951	0.9322626430574338	1798202	0.08139003200731594
fam3872	0.007084045952063386	0.0	0.009513257021310749	0.001438888888888889	0.0	0.0018037426796306032	0.14793611111111113	0.0903	0.13849631393566195	1499340	0.017943958278087157
fam4609	0.0531195726674102	0.029933355924545352	0.04959882180851001	0.032711111111111114	0.024	0.03372310267933524	1.2661000000000002	0.9326	1.329006974732973	682311	0.08964972724662645
fam1037	0.05817833659343308	0.04315279612505504	0.051269324458382046	0.01445	0.011300000000000001	0.012577393741683264	0.3155583333333334	0.27705	0.28823169439320473	1174374	0.05887230514096187
fam4712	0.04185343896276197	0.03825630822103645	0.013652124085219465	0.053377777777777774	0.0711	0.03652096134117981	1.4272361111111111	1.6493	1.0677616544156434	563203	0.12489512165887572
fam3276	0.020805677758299758	0.020678749543851113	0.007304438188627823	0.025255555555555555	0.0085	0.033290726473536175	1.1015138888888891	0.49670000000000003	1.2772534857073372	2159802	0.07339574006240673
fam1499	0.0022375387424713937	0.0	0.0033585632714491958	0.0009333333333333333	0.0	0.0017461067804945061	0.1855	0.0266	0.22871135617726648	1718965	0.02009456264775414
fam5170	0.0071016302728189274	0.0	0.010688836468354293	0.00037777777777777777	0.0	0.0007067575063906334	0.022611111111111113	0.0108	0.028416884434920985	80633	0.006313131313131313
fam1031	0.0335419822574656	0.03098799382923067	0.018619444272630993	0.017044444444444442	0.01265	0.01730559390043906	0.5343944444444444	0.44830000000000003	0.49139731149744154	1169749	0.05979170852588573
fam4952	0.006351561484609587	0.007121525384792097	0.0037833041148712743	0.004152777777777779	0.0036499999999999996	0.004012652635456937	0.5235722222222222	0.4378	0.4718570850086279	309609	0.04602684695277287
fam3345	0.024591385222133808	0.028966507342917974	0.013350398762883926	0.01821944444444444	0.0084	0.020560936795622427	0.6048722222222221	0.4835	0.6142006212283443	2092564	0.07309145880574452
fam4095	0.07705604999102399	0.073178391959799	0.021874433284736754	0.038711111111111106	0.0366	0.029693917987225916	0.6071472222222222	0.4075	0.5720596605862555	1249215	0.09316415180612711
fam4775	0.06292714334802556	0.06156108834961656	0.030176097484788236	0.019708333333333335	0.0132	0.02140180904866585	0.34970277777777775	0.1807	0.3976970011384373	492814	0.04495335029686175
fam1483	0.03895694909104774	0.022600243013365735	0.04308679305098948	0.012733333333333333	0.0093	0.01306290336963588	0.46839722222222224	0.4121	0.4688106129617986	1704017	0.04911433172302738
fam1195	0.05708214327238122	0.06013071895424836	0.022932507765563583	0.03025	0.02545	0.029964687550515193	0.4641444444444444	0.39375	0.4490723700922234	1373936	0.07478632478632478
fam5082	0.014131703008584654	0.0091	0.011684233579467075	0.021555555555555557	0.0091	0.02419040724066331	1.0558527777777778	1.0814	0.8967084542574182	164419	0.08183990442054959
fam3726	0.0607839493263145	0.052077238150965474	0.03671812902844839	0.021111111111111112	0.017750000000000002	0.01899527394113508	0.3541638888888889	0.36055000000000004	0.24218173519622474	1664450	0.06526806526806526
fam3379	0.028277676479772803	0.029134098061110548	0.011955000857281437	0.045925	0.0441	0.03867926070044945	1.5058972222222224	1.2995	1.4034899472161275	2057505	0.09554886211512718
fam4153	0.05480070536078897	0.06512425021422451	0.025894013758526496	0.03765277777777778	0.0229	0.04155166453485689	0.944238888888889	0.34575	1.34523999826503	1184131	0.07583932853717026
fam3894	0.014961579546151297	0.011666663483923465	0.01202027335024984	0.015702777777777774	0.0104	0.01809773598656766	0.8835638888888888	0.895	0.7288421724263071	1472369	0.0960993642896628
fam5163	0.030431979789092057	0.03142041028304336	0.009520922846561886	0.016377777777777772	0.0075	0.01986672414856213	0.505386111111111	0.2829	0.5550981255361663	85145	0.046703703703703706
fam1496	0.18606300684808152	0.12663410653544133	0.16901500563810043	0.10125277777777779	0.1424	0.06827073753369786	0.8423916666666666	1.0883	0.6263592434657607	1716393	0.16539406705283483
fam2317	0.049040703422073756	0.05140324797226289	0.027310952699176713	0.026116666666666663	0.0231	0.024626143515468362	0.5134138888888888	0.4188	0.3521656674167695	2624958	0.09802400165528657
fam4592	0.017320828094467874	0.017499999999999998	0.01110379292534788	0.010966666666666664	0.0063	0.011718788333270636	1.0362138888888888	0.31115	1.4342660976868156	702299	0.06935893677318479
fam2943	0.03663787784941752	0.03170998401884094	0.027624078239720923	0.03485277777777778	0.0157	0.038702501255023065	0.9331944444444444	0.94995	0.734882990287284	3338816	0.11063930172210427
fam3456	0.026882550197977435	0.020739404869251576	0.012619996189895847	0.013333333333333332	0.0052	0.017699121133233957	0.41389444444444445	0.2874	0.40740936138841183	1964911	0.04842204235140217
fam3986	0.0363077212422957	0.03695281409891984	0.009133348280984426	0.027063888888888887	0.0258	0.02437692616637684	0.6701055555555556	0.6956	0.5228470064859874	1361783	0.09132821414253553
fam443	0.05017537548155557	0.030172413793103446	0.06677762975060109	0.016297222222222227	0.0063	0.021169940509430808	0.5177361111111112	0.2397	0.5903766778519822	497863	0.053747971078648364
fam3198	0.02173018038995903	0.018633540372670804	0.011686627922311286	0.010736111111111113	0.0018	0.014721510202907887	0.3867083333333333	0.2139	0.47569612579589315	2252425	0.0541002277904328
fam5211	0.007643763038881846	0.0	0.011412212391669958	0.004649999999999999	0.0	0.008070642959379246	0.2872444444444444	0.30195	0.2671432953433674	33496	0.04524410774410774
