fam	loc
fam2	702570
fam3	701284
fam4	700264
fam5	699965
fam6	697713
fam7	697158
fam8	696340
fam14	690374
fam15	689224
fam16	688716
fam26	681335
fam27	679851
fam28	678586
fam29	677817
fam32	675565
fam33	674973
fam34	674204
fam35	673863
fam36	672961
fam37	672101
fam39	671298
fam41	668206
fam42	666698
fam43	665775
fam44	663898
fam45	662600
fam46	661196
fam47	660093
fam48	658924
fam49	657483
fam50	656281
fam52	651599
fam53	650595
fam54	649333
fam55	648562
fam56	647219
fam57	646688
fam58	645592
fam59	645158
fam60	644831
fam61	644065
fam64	640823
fam65	640111
fam71	632277
fam72	631427
fam73	631158
fam74	630524
fam76	627682
fam77	627026
fam78	625984
fam79	624912
fam80	624007
fam81	623490
fam82	622312
fam83	621863
fam84	619286
fam85	618965
fam86	618679
fam87	617528
fam88	617027
fam89	616463
fam90	616314
fam91	615243
fam92	612758
fam93	610552
fam94	609762
fam95	609319
fam96	606921
fam97	605397
fam98	605074
fam99	602580
fam100	601520
fam101	600867
fam102	599939
fam103	599560
fam104	598992
fam105	598444
fam106	595898
fam108	594958
fam109	593552
fam110	592351
fam111	591809
fam112	589344
fam113	588222
fam120	581694
fam121	581028
fam123	579654
fam131	571217
fam132	569996
fam134	567853
fam136	566573
fam142	561117
fam143	560510
fam144	559625
fam155	548497
fam156	547704
fam157	546814
fam159	544974
fam160	543468
fam161	542678
fam162	542436
fam163	541849
fam165	539907
fam166	539637
fam167	538945
fam169	537884
fam170	537102
fam172	533495
fam175	531204
fam178	525651
fam179	524269
fam180	522987
fam181	521514
fam182	520446
fam183	519873
fam184	518678
fam185	517593
fam186	516245
fam187	515477
fam188	514889
fam189	513705
fam190	513005
fam191	512317
fam192	511440
fam193	510829
fam194	508827
fam195	507884
fam196	507243
fam197	506229
fam198	505388
fam199	504867
fam201	500566
fam202	497087
fam203	496296
fam204	494427
fam205	493907
fam206	493568
fam207	490629
fam208	489657
fam209	488799
fam210	488539
fam211	488084
fam212	486767
fam213	485412
fam214	484616
fam215	483525
fam216	482165
fam217	481159
fam218	479023
fam219	478640
fam220	477643
fam221	477173
fam222	476680
fam223	476373
fam224	474619
fam225	474251
fam226	473842
fam227	473437
fam228	472788
fam229	472132
fam230	471231
fam231	469257
fam232	468520
fam233	467174
fam234	466219
fam235	463700
fam236	463149
fam237	461965
fam238	461152
fam240	459575
fam241	458887
fam242	457636
fam243	456200
fam244	455300
fam245	453474
fam246	452141
fam247	451203
fam248	450327
fam249	449758
fam250	449267
fam251	448821
fam262	438301
fam263	436155
fam264	434418
fam265	433600
fam267	432296
fam268	430896
fam269	430292
fam271	427908
fam272	427580
fam273	427158
fam274	426397
fam275	425684
fam276	425070
fam278	423152
fam279	421548
fam280	419349
fam282	415310
fam284	412732
fam285	412345
fam286	411146
fam287	407519
fam288	406812
fam289	405333
fam290	404232
fam291	403414
fam292	401311
fam293	400429
fam294	399825
fam295	399239
fam297	396397
fam298	393828
fam299	392293
fam300	391226
fam301	389705
fam302	388223
fam303	387913
fam304	387423
fam305	387122
fam306	385702
fam307	384722
fam308	383597
fam309	382548
fam312	378504
fam313	378032
fam314	377474
fam315	377162
fam316	375993
fam317	374926
fam318	374267
fam319	372571
fam320	371110
fam321	369387
fam322	368895
fam323	368066
fam324	367155
fam325	366938
fam326	365668
fam328	364498
fam329	363011
fam330	362171
fam331	361276
fam332	360579
fam333	359740
fam334	359447
fam335	358455
fam336	357884
fam337	357094
fam338	356588
fam339	356136
fam340	355453
fam341	354891
fam342	354336
fam343	353986
fam344	352304
fam350	345808
fam352	343822
fam353	342646
fam354	341457
fam355	340518
fam356	339782
fam357	339516
fam358	339083
fam359	338309
fam360	337818
fam362	331538
fam363	330878
fam364	330626
fam365	330019
fam366	329436
fam367	328309
fam368	327895
fam369	325337
fam370	324757
fam371	324368
fam372	323883
fam373	322793
fam375	321850
fam376	320149
fam377	319549
fam378	316864
fam379	316019
fam380	315036
fam381	314692
fam382	313605
fam383	312903
fam384	312261
fam385	311087
fam386	310335
fam387	309873
fam389	308654
fam390	308332
fam391	307193
fam392	306667
fam394	305313
fam395	304556
fam397	303368
fam401	294505
fam404	286147
fam405	284991
fam406	283914
fam407	283178
fam408	282738
fam409	281267
fam410	280438
fam411	278742
fam412	278429
fam414	277084
fam415	276091
fam416	275270
fam417	274286
fam419	272296
fam420	271721
fam421	270893
fam422	269789
fam423	269132
fam424	268019
fam425	267616
fam426	267081
fam427	266387
fam428	264556
fam429	264285
fam430	262535
fam431	261371
fam432	260382
fam433	259315
fam434	258623
fam436	255166
fam437	254435
fam439	252290
fam440	251030
fam441	249594
fam442	247269
fam443	246208
fam445	243388
fam446	241982
fam447	240661
fam448	239760
fam449	238431
fam450	237240
fam451	236134
fam452	235220
fam453	234385
fam454	233434
fam455	232044
fam456	231362
fam457	230916
fam458	229756
fam459	229349
fam460	227992
fam461	227751
fam462	226473
fam463	224951
fam464	224796
fam465	223454
fam466	222628
fam467	222054
fam468	221266
fam469	220862
fam470	216983
fam471	213351
fam473	203628
fam474	202763
fam475	201246
fam476	199479
fam477	198562
fam478	196728
fam480	194919
fam481	193626
fam482	193369
fam483	192791
fam484	191295
fam485	190383
fam486	188705
fam487	187145
fam488	186040
fam489	184445
fam490	182986
