fam	loc
fam1	1437
fam2	2758
fam3	3114
fam4	4242
fam5	4505
fam6	6478
fam7	9154
fam8	15442
fam9	17029
fam10	18513
fam11	19594
fam12	20206
fam13	21803
fam14	22959
fam15	24051
fam16	24671
fam17	26048
fam18	26674
fam19	27239
fam20	29413
fam21	29761
fam22	30372
fam23	30615
fam24	30939
fam25	36552
fam26	37316
fam27	38447
fam28	39957
fam29	40592
fam30	40992
fam31	41445
fam32	42446
fam33	43276
fam34	43650
fam35	44453
fam36	44739
fam37	45595
fam38	45929
fam39	48409
fam40	49253
fam41	50707
fam42	51405
fam43	52276
fam44	53325
fam45	53796
fam46	54147
fam47	55160
fam48	56073
fam49	56450
fam50	56939
fam51	58500
fam52	59475
fam53	60168
fam54	60819
fam55	61111
fam56	64715
fam57	65388
fam58	67120
fam59	68585
fam60	68847
fam61	69228
fam62	69860
fam63	70255
fam64	70722
fam65	73734
fam66	74539
fam67	75506
fam68	77029
fam69	77565
fam70	79582
fam71	80508
fam72	81394
fam73	82329
fam74	83331
fam75	84920
fam76	85514
fam77	86362
fam78	87233
fam79	87588
fam80	88088
fam81	88267
fam82	89268
fam83	90857
fam84	102526
fam85	103097
fam86	104188
fam87	106620
fam88	108093
fam89	109179
fam90	110393
fam91	111105
fam92	111574
fam93	113117
fam94	114081
fam95	115478
fam96	115914
fam97	116647
fam98	117166
fam99	117885
fam100	118124
fam101	118336
fam102	119034
fam103	119627
fam104	120420
fam105	121175
fam106	121588
fam107	122285
fam108	126110
fam109	129772
fam111	130720
fam112	131230
fam113	133361
fam114	134671
fam115	135738
fam116	136295
fam117	136964
fam118	137615
fam119	137902
fam120	138767
fam121	139103
fam122	139461
fam123	140121
fam124	140557
fam125	140747
fam126	141033
fam127	141443
fam128	141791
fam129	142357
fam130	142565
fam131	142995
fam132	143566
fam133	143962
fam134	144487
fam135	144680
fam136	145151
fam137	146448
fam138	147153
fam139	147896
fam140	148439
fam141	148586
fam142	148974
fam143	149390
fam144	150511
fam145	150951
fam146	151928
fam147	152773
fam148	153567
fam149	154323
fam150	154920
fam151	155333
fam152	156237
fam153	156908
fam154	157682
fam155	158814
fam156	159404
fam157	160108
fam158	160873
fam159	173278
fam160	174771
fam161	175718
fam162	176739
fam163	178407
fam164	179499
fam165	180240
fam166	181247
fam167	182256
fam168	183231
fam169	184914
fam170	186297
fam171	188226
fam172	189556
fam173	190941
fam174	192014
fam175	192590
fam176	193060
fam177	194441
fam178	195081
fam179	196068
fam180	197497
fam181	198861
fam182	201095
fam187	208237
fam188	209043
fam189	209417
fam190	210045
fam191	211855
fam192	212652
fam208	258831
fam209	259173
fam211	260287
fam212	262091
fam214	264029
fam215	265461
fam216	266040
fam217	267540
fam220	271638
fam221	272778
fam222	274013
fam223	275015
fam224	275494
fam225	276302
fam226	276620
fam227	277695
fam228	278982
fam229	280401
fam230	281887
fam232	284456
fam234	287001
fam235	287948
fam237	289718
fam243	294997
fam244	295578
fam246	297593
fam247	297803
fam248	298593
fam249	299237
fam250	300435
fam251	301908
fam252	302510
fam254	304838
fam255	305906
fam256	306945
fam257	309990
fam258	310490
fam259	311721
fam260	312614
fam261	314375
fam262	315528
fam263	316278
fam264	317075
fam265	318114
fam266	318986
fam267	319591
fam268	320203
fam269	321015
fam270	322710
fam271	323805
fam272	325122
fam273	326762
fam274	327611
fam275	328492
fam276	329648
fam277	331214
fam280	333844
fam281	335421
fam282	335996
fam284	337522
fam285	338852
fam286	339572
fam287	340522
fam288	341351
fam289	342875
fam290	343560
fam291	344690
fam292	345544
fam293	346643
fam294	348209
fam295	349754
fam296	351147
fam297	352356
fam298	353842
fam299	354229
fam300	356677
fam301	358533
fam302	359733
fam303	360182
fam304	360578
fam306	362558
fam307	363016
fam308	363923
fam309	364555
fam310	365149
fam313	391151
fam314	391901
fam315	393333
fam316	394050
fam317	394795
fam318	395620
fam319	396337
fam320	397121
fam321	398125
fam322	398831
fam323	400255
fam324	400500
fam325	400961
fam326	402482
fam327	404507
fam328	404862
fam329	406625
fam330	407838
fam331	408981
fam332	410475
fam333	410979
fam334	411796
fam335	412493
fam336	413256
fam337	414425
fam338	415768
fam339	416555
fam340	418006
fam341	418902
fam342	420316
fam343	421624
fam344	421727
fam345	421985
fam346	423444
fam347	424812
fam348	425749
fam349	426501
fam350	427473
fam351	428938
fam352	429831
fam353	430739
fam354	431043
fam355	431499
fam356	432936
fam357	434352
fam358	435846
fam359	436863
fam360	437669
fam361	438326
fam362	439967
fam363	440572
fam364	441090
fam365	442706
fam366	443163
fam367	444286
fam368	444748
fam369	445829
fam370	446795
fam371	448032
fam372	448831
fam373	449592
fam374	450602
fam375	451369
fam376	452075
fam377	452486
fam378	454925
fam379	455942
fam380	458327
fam381	460062
fam382	461084
fam383	461600
fam384	462310
fam385	462739
